Orthogroup	Prak	Syaq
OG0000004	Prak.g_00826	Syaq.g_02603
OG0000004	Prak.g_00248	Syaq.g_02042, Syaq.g_01567
OG0000005	Prak.g_01474	Syaq.g_01692
OG0000006	Prak.g_00258	Syaq.g_02558, Syaq.g_00696, Syaq.g_01590
OG0000007	Prak.g_00458	Syaq.g_01793
OG0000007	Prak.g_01645	Syaq.g_01673
OG0000008	Prak.g_01544	Syaq.g_02162
OG0000008	Prak.g_01545, Prak.g_01546	Syaq.g_02575
OG0000010	Prak.g_00739, Prak.g_01034, Prak.g_00435	Syaq.g_00443
OG0000011	Prak.g_00660	Syaq.g_01038
OG0000012	Prak.g_00584	Syaq.g_02059
OG0000013	Prak.g_00343	Syaq.g_00569, Syaq.g_00572, Syaq.g_02023
OG0000014	Prak.g_00325	Syaq.g_00862
OG0000015	Prak.g_01584, Prak.g_01630	Syaq.g_02255
OG0000016	Prak.g_00013	Syaq.g_01136
OG0000016	Prak.g_01230	Syaq.g_00169
OG0000017	Prak.g_00566	Syaq.g_01999
OG0000017	Prak.g_00559	Syaq.g_01992
OG0000018	Prak.g_01194, Prak.g_00873	Syaq.g_00401
OG0000019	Prak.g_00266, Prak.g_01196	Syaq.g_00717
OG0000022	Prak.g_01482	Syaq.g_02126
OG0000023	Prak.g_00721	Syaq.g_02540
OG0000025	Prak.g_00881	Syaq.g_02381
OG0000026	Prak.g_00032	Syaq.g_01114
OG0000028	Prak.g_01543	Syaq.g_00878
OG0000030	Prak.g_01853	Syaq.g_01047, Syaq.g_01048
OG0000031	Prak.g_01350	Syaq.g_01009
OG0000032	Prak.g_01430	Syaq.g_00421
OG0000033	Prak.g_00181	Syaq.g_01399
OG0000034	Prak.g_01288	Syaq.g_00312, Syaq.g_01431
OG0000035	Prak.g_01391	Syaq.g_00372
OG0000037	Prak.g_00115	Syaq.g_01483
OG0000038	Prak.g_01893	Syaq.g_01260, Syaq.g_01258
