Orthogroup	Prak	Syac
OG0000001	Prak.g_01302, Prak.g_00755	Syac.g_02154
OG0000002	Prak.g_00908, Prak.g_00913, Prak.g_01202, Prak.g_01323, Prak.g_01200, Prak.g_01207, Prak.g_01494, Prak.g_00805	Syac.g_01084
OG0000004	Prak.g_00826	Syac.g_00898
OG0000004	Prak.g_00248	Syac.g_00948, Syac.g_01975
OG0000005	Prak.g_01474	Syac.g_00569
OG0000006	Prak.g_00258	Syac.g_01958, Syac.g_01961, Syac.g_02194
OG0000007	Prak.g_00458	Syac.g_01885
OG0000007	Prak.g_01645	Syac.g_00544
OG0000008	Prak.g_01544	Syac.g_00921
OG0000008	Prak.g_01545, Prak.g_01546	Syac.g_00922
OG0000010	Prak.g_00739, Prak.g_01034, Prak.g_00435	Syac.g_01701
OG0000012	Prak.g_00584	Syac.g_00955
OG0000013	Prak.g_00343	Syac.g_02046, Syac.g_02062, Syac.g_02056
OG0000014	Prak.g_00325	Syac.g_00253
OG0000015	Prak.g_01584, Prak.g_01630	Syac.g_01408
OG0000016	Prak.g_00013	Syac.g_00014
OG0000016	Prak.g_01230	Syac.g_01505, Syac.g_01053
OG0000017	Prak.g_00566	Syac.g_01742
OG0000017	Prak.g_00559	Syac.g_01749
OG0000018	Prak.g_01194, Prak.g_00873	Syac.g_01660
OG0000019	Prak.g_00266, Prak.g_01196	Syac.g_02207
OG0000022	Prak.g_01482	Syac.g_01031
OG0000023	Prak.g_00721	Syac.g_00760
OG0000024	Prak.g_01038, Prak.g_00802	Syac.g_00925
OG0000025	Prak.g_00881	Syac.g_00847
OG0000026	Prak.g_00032	Syac.g_00034
OG0000027	Prak.g_01564, Prak.g_01521	Syac.g_01095
OG0000028	Prak.g_01543	Syac.g_00237
OG0000029	Prak.g_01735, Prak.g_01534, Prak.g_01576	Syac.g_01942
OG0000030	Prak.g_01853	Syac.g_00143, Syac.g_00142
OG0000032	Prak.g_01430	Syac.g_01677
OG0000033	Prak.g_00181	Syac.g_00304
OG0000034	Prak.g_01288	Syac.g_00334, Syac.g_00715
OG0000035	Prak.g_01391	Syac.g_01630
OG0000037	Prak.g_00115	Syac.g_01077
OG0000038	Prak.g_01893	Syac.g_02357, Syac.g_02358
OG0000039	Prak.g_00814	Syac.g_00856, Syac.g_02378
OG0000041	Prak.g_01692	Syac.g_00655
OG0000042	Prak.g_01850	Syac.g_00146
OG0000045	Prak.g_01216	Syac.g_01040
OG0000046	Prak.g_00344	Syac.g_02063, Syac.g_02055, Syac.g_02047
OG0000047	Prak.g_00385	Syac.g_02031
OG0000048	Prak.g_01264, Prak.g_00289	Syac.g_02240
OG0000052	Prak.g_01369	Syac.g_00207
OG0000053	Prak.g_01590, Prak.g_01412	Syac.g_01657
OG0000054	Prak.g_00568	Syac.g_00933
OG0000055	Prak.g_01221	Syac.g_00859
OG0000055	Prak.g_01619	Syac.g_01034
OG0000057	Prak.g_00829	Syac.g_00894
OG0000058	Prak.g_01351	Syac.g_00226
OG0000059	Prak.g_01732	Syac.g_02142
OG0000061	Prak.g_01172	Syac.g_00769
OG0000062	Prak.g_01476	Syac.g_00567
OG0000063	Prak.g_01530	Syac.g_00037
OG0000064	Prak.g_00072	Syac.g_01567, Syac.g_00575
OG0000065	Prak.g_00113	Syac.g_00490, Syac.g_00396
OG0000066	Prak.g_00498, Prak.g_01557	Syac.g_01827
OG0000067	Prak.g_00845	Syac.g_01341
OG0000068	Prak.g_01329	Syac.g_01916
OG0000069	Prak.g_00416	Syac.g_01272
OG0000070	Prak.g_00412	Syac.g_00711
OG0000071	Prak.g_01277	Syac.g_00729
OG0000072	Prak.g_00183	Syac.g_00302
OG0000073	Prak.g_00461	Syac.g_01883
OG0000075	Prak.g_01816	Syac.g_00191
OG0000076	Prak.g_01842	Syac.g_00156
OG0000077	Prak.g_00083	Syac.g_00439
OG0000079	Prak.g_00269	Syac.g_02211
OG0000081	Prak.g_00490	Syac.g_01954
OG0000082	Prak.g_00546, Prak.g_01634	Syac.g_01766
OG0000084	Prak.g_01388	Syac.g_01627
OG0000085	Prak.g_01637, Prak.g_01516	Syac.g_00560
OG0000086	Prak.g_00092	Syac.g_00423
OG0000087	Prak.g_00147	Syac.g_00343
OG0000088	Prak.g_00178	Syac.g_00308
OG0000089	Prak.g_00379	Syac.g_01988, Syac.g_01543
OG0000090	Prak.g_00492	Syac.g_01836
OG0000091	Prak.g_01100	Syac.g_00987
OG0000097	Prak.g_01126	Syac.g_01507
OG0000098	Prak.g_01305	Syac.g_02157
OG0000099	Prak.g_01352	Syac.g_00234
OG0000100	Prak.g_01470	Syac.g_01309
OG0000101	Prak.g_01780	Syac.g_02094
OG0000102	Prak.g_01847	Syac.g_00151
OG0000103	Prak.g_01932	Syac.g_02476
OG0000104	Prak.g_01941	Syac.g_02490
OG0000105	Prak.g_00292	Syac.g_02245
OG0000106	Prak.g_00687	Syac.g_01098
OG0000107	Prak.g_01709	Syac.g_02191
OG0000108	Prak.g_00441	Syac.g_01904
OG0000109	Prak.g_00455	Syac.g_01889
OG0000110	Prak.g_00535	Syac.g_01778
OG0000112	Prak.g_00608	Syac.g_01173
OG0000113	Prak.g_00868	Syac.g_01314
OG0000114	Prak.g_00770	Syac.g_01394
OG0000115	Prak.g_01241	Syac.g_01655
OG0000116	Prak.g_01183	Syac.g_00753
OG0000117	Prak.g_01145	Syac.g_01477
OG0000118	Prak.g_01290	Syac.g_01728
OG0000120	Prak.g_01349	Syac.g_00233
OG0000121	Prak.g_01393	Syac.g_01635
OG0000122	Prak.g_01248, Prak.g_01434	Syac.g_01013
OG0000123	Prak.g_01787	Syac.g_02086
OG0000124	Prak.g_01859	Syac.g_00135
OG0000125	Prak.g_01895	Syac.g_02360
OG0000126	Prak.g_01940	Syac.g_02488
