Orthogroup	Prak	Syaj
OG0000001	Prak.g_01302, Prak.g_00755	Syaj.g_02674
OG0000002	Prak.g_00908, Prak.g_00913, Prak.g_01202, Prak.g_01323, Prak.g_01200, Prak.g_01207, Prak.g_01494, Prak.g_00805	Syaj.g_02667
OG0000004	Prak.g_00826	Syaj.g_00441
OG0000004	Prak.g_00248	Syaj.g_01314, Syaj.g_02853
OG0000005	Prak.g_01474	Syaj.g_01698
OG0000006	Prak.g_00258	Syaj.g_02635
OG0000007	Prak.g_00458	Syaj.g_00091
OG0000007	Prak.g_01645	Syaj.g_01721
OG0000008	Prak.g_01544	Syaj.g_00496
OG0000008	Prak.g_01545, Prak.g_01546	Syaj.g_00497
OG0000009	Prak.g_01486	Syaj.g_01069
OG0000010	Prak.g_00739, Prak.g_01034, Prak.g_00435	Syaj.g_01445
OG0000011	Prak.g_00660	Syaj.g_01780
OG0000012	Prak.g_01506	Syaj.g_00003, Syaj.g_01793, Syaj.g_00831
OG0000012	Prak.g_00584	Syaj.g_01306
OG0000013	Prak.g_00343	Syaj.g_02782, Syaj.g_02769, Syaj.g_02774
OG0000014	Prak.g_00325	Syaj.g_02522
OG0000015	Prak.g_01584, Prak.g_01630	Syaj.g_00725, Syaj.g_02659
OG0000016	Prak.g_00013	Syaj.g_02276
OG0000016	Prak.g_01230	Syaj.g_00590, Syaj.g_01191
OG0000017	Prak.g_00566	Syaj.g_00255
OG0000017	Prak.g_00559	Syaj.g_00248
OG0000018	Prak.g_01194, Prak.g_00873	Syaj.g_01413
OG0000019	Prak.g_00266, Prak.g_01196	Syaj.g_02613
OG0000021	Prak.g_01499	Syaj.g_00982
OG0000021	Prak.g_00831	Syaj.g_00042
OG0000022	Prak.g_01482	Syaj.g_01220
OG0000023	Prak.g_00721	Syaj.g_00829, Syaj.g_01791
OG0000024	Prak.g_01038, Prak.g_00802	Syaj.g_00500
OG0000025	Prak.g_00881	Syaj.g_00383
OG0000026	Prak.g_00032	Syaj.g_02298
OG0000027	Prak.g_01564, Prak.g_01521	Syaj.g_00396
OG0000028	Prak.g_01543	Syaj.g_02506
OG0000029	Prak.g_01735, Prak.g_01534, Prak.g_01576	Syaj.g_01229
OG0000030	Prak.g_01853	Syaj.g_02396, Syaj.g_02395
OG0000032	Prak.g_01430	Syaj.g_01432
OG0000033	Prak.g_00181	Syaj.g_01990
OG0000034	Prak.g_01288	Syaj.g_01959
OG0000035	Prak.g_01391	Syaj.g_01378
OG0000037	Prak.g_00115	Syaj.g_01891, Syaj.g_02902
OG0000038	Prak.g_01893	Syaj.g_02115
OG0000039	Prak.g_00814	Syaj.g_00392, Syaj.g_00275
OG0000041	Prak.g_01692	Syaj.g_01602
OG0000042	Prak.g_01850	Syaj.g_02399
OG0000043	Prak.g_01193	Syaj.g_01247
OG0000046	Prak.g_00344	Syaj.g_02768, Syaj.g_02775, Syaj.g_02781
OG0000047	Prak.g_00385	Syaj.g_02799
OG0000048	Prak.g_01264, Prak.g_00289	Syaj.g_02578
OG0000050	Prak.g_00741	Syaj.g_01242
OG0000052	Prak.g_01369	Syaj.g_02476
OG0000053	Prak.g_01590, Prak.g_01412	Syaj.g_01409
OG0000054	Prak.g_00568	Syaj.g_01341
OG0000055	Prak.g_01221	Syaj.g_00394
OG0000057	Prak.g_00829	Syaj.g_00438
OG0000058	Prak.g_01351	Syaj.g_02495
OG0000059	Prak.g_01732	Syaj.g_02686
OG0000061	Prak.g_01172	Syaj.g_00302
OG0000062	Prak.g_01476	Syaj.g_01700
OG0000063	Prak.g_01530	Syaj.g_02302
OG0000064	Prak.g_00072	Syaj.g_00041, Syaj.g_01253
OG0000065	Prak.g_00113	Syaj.g_00007, Syaj.g_01887
OG0000066	Prak.g_00498, Prak.g_01557	Syaj.g_00157
OG0000067	Prak.g_00845	Syaj.g_01023
OG0000068	Prak.g_01329	Syaj.g_00059
OG0000070	Prak.g_00412	Syaj.g_01529
OG0000071	Prak.g_01277	Syaj.g_01511
OG0000072	Prak.g_00183	Syaj.g_01992
OG0000073	Prak.g_00461	Syaj.g_00093
OG0000075	Prak.g_01816	Syaj.g_02457
OG0000076	Prak.g_01842	Syaj.g_02417
OG0000077	Prak.g_00083	Syaj.g_01831
OG0000078	Prak.g_00256	Syaj.g_02880
OG0000079	Prak.g_00269	Syaj.g_02609
OG0000081	Prak.g_00490	Syaj.g_02888
OG0000082	Prak.g_00546, Prak.g_01634	Syaj.g_00229
OG0000084	Prak.g_01388	Syaj.g_01375
OG0000085	Prak.g_01637, Prak.g_01516	Syaj.g_01707
OG0000086	Prak.g_00092	Syaj.g_01848
OG0000087	Prak.g_00147	Syaj.g_01945
OG0000088	Prak.g_00178	Syaj.g_01986
OG0000089	Prak.g_00379	Syaj.g_02829, Syaj.g_01915
OG0000090	Prak.g_00492	Syaj.g_00144
OG0000091	Prak.g_01100	Syaj.g_01275
