Orthogroup	Prak	Syae
OG0000001	Prak.g_01302, Prak.g_00755	Syae.g_02061
OG0000004	Prak.g_00826	Syae.g_00779
OG0000004	Prak.g_00248	Syae.g_00042, Syae.g_02231
OG0000005	Prak.g_01474	Syae.g_01143
OG0000006	Prak.g_00258	Syae.g_02030, Syae.g_02248
OG0000007	Prak.g_00458	Syae.g_02328
OG0000007	Prak.g_01645	Syae.g_01163
OG0000008	Prak.g_01544	Syae.g_00753
OG0000008	Prak.g_01545, Prak.g_01546	Syae.g_00752
OG0000009	Prak.g_01486	Syae.g_00561, Syae.g_00171
OG0000010	Prak.g_00739, Prak.g_01034, Prak.g_00435	Syae.g_02529
OG0000012	Prak.g_00584	Syae.g_00049
OG0000013	Prak.g_00343	Syae.g_02169, Syae.g_02155, Syae.g_02160
OG0000014	Prak.g_00325	Syae.g_01930
OG0000015	Prak.g_01584, Prak.g_01630	Syae.g_00590
OG0000016	Prak.g_00013	Syae.g_01726
OG0000016	Prak.g_01230	Syae.g_00681, Syae.g_00233
OG0000017	Prak.g_00566	Syae.g_02469
OG0000017	Prak.g_00559	Syae.g_02462
OG0000018	Prak.g_01194, Prak.g_00873	Syae.g_02625
OG0000019	Prak.g_00266, Prak.g_01196	Syae.g_02015
OG0000021	Prak.g_01499	Syae.g_01261
OG0000022	Prak.g_01482	Syae.g_00144
OG0000023	Prak.g_00721	Syae.g_00439, Syae.g_00930
OG0000025	Prak.g_00881	Syae.g_00833
OG0000026	Prak.g_00032	Syae.g_01748
OG0000027	Prak.g_01564, Prak.g_01521	Syae.g_00103, Syae.g_00814
OG0000028	Prak.g_01543	Syae.g_01916
OG0000029	Prak.g_01735, Prak.g_01534, Prak.g_01576	Syae.g_00136
OG0000030	Prak.g_01853	Syae.g_01817, Syae.g_01816
OG0000032	Prak.g_01430	Syae.g_02607
OG0000033	Prak.g_00181	Syae.g_01453
OG0000034	Prak.g_01288	Syae.g_00975, Syae.g_01424
OG0000035	Prak.g_01391	Syae.g_02653
OG0000037	Prak.g_00115	Syae.g_01367
OG0000038	Prak.g_01893	Syae.g_01571
OG0000039	Prak.g_00814	Syae.g_00822, Syae.g_02495
OG0000041	Prak.g_01692	Syae.g_01042
OG0000042	Prak.g_01850	Syae.g_01821
OG0000043	Prak.g_01193	Syae.g_00117
OG0000046	Prak.g_00344	Syae.g_02154, Syae.g_02161, Syae.g_02168
OG0000047	Prak.g_00385	Syae.g_02184
OG0000048	Prak.g_01264, Prak.g_00289	Syae.g_01982
OG0000050	Prak.g_00741	Syae.g_00122
OG0000052	Prak.g_01369	Syae.g_01886
OG0000053	Prak.g_01590, Prak.g_01412	Syae.g_02629
OG0000054	Prak.g_00568	Syae.g_00014
OG0000055	Prak.g_01221	Syae.g_00817
OG0000057	Prak.g_00829	Syae.g_00782
OG0000058	Prak.g_01351	Syae.g_01905
OG0000059	Prak.g_01732	Syae.g_02074
OG0000061	Prak.g_01172	Syae.g_00921
OG0000062	Prak.g_01476	Syae.g_01145
OG0000063	Prak.g_01530	Syae.g_01752
OG0000064	Prak.g_00072	Syae.g_00012, Syae.g_01631, Syae.g_00194, Syae.g_01137
OG0000065	Prak.g_00113	Syae.g_00722, Syae.g_01363
OG0000066	Prak.g_00498, Prak.g_01557	Syae.g_02386
