Orthogroup	Prak	Prbj
OG0000000	Prak.g_01562	Prbj.g_00164
OG0000001	Prak.g_01302, Prak.g_00755	Prbj.g_00672, Prbj.g_00169
OG0000002	Prak.g_00908, Prak.g_00913	Prbj.g_02517
OG0000002	Prak.g_01202, Prak.g_01323, Prak.g_01200, Prak.g_01207, Prak.g_01494, Prak.g_00805	Prbj.g_00030
OG0000004	Prak.g_00826	Prbj.g_00754
OG0000004	Prak.g_00248	Prbj.g_01777
OG0000005	Prak.g_01474	Prbj.g_00883
OG0000006	Prak.g_00258	Prbj.g_02699
OG0000007	Prak.g_00458	Prbj.g_01610
OG0000007	Prak.g_01645	Prbj.g_00857
OG0000008	Prak.g_01544	Prbj.g_00929
OG0000008	Prak.g_01545, Prak.g_01546	Prbj.g_00928
OG0000010	Prak.g_00739, Prak.g_01034, Prak.g_00435	Prbj.g_00129
OG0000012	Prak.g_00584	Prbj.g_02552
OG0000013	Prak.g_00343	Prbj.g_00359
OG0000014	Prak.g_00325	Prbj.g_01442
OG0000015	Prak.g_01584, Prak.g_01630	Prbj.g_02502
OG0000017	Prak.g_00566	Prbj.g_01761
OG0000017	Prak.g_00559	Prbj.g_01769
OG0000018	Prak.g_01194, Prak.g_00873	Prbj.g_00641
OG0000019	Prak.g_00266, Prak.g_01196	Prbj.g_00025
OG0000020	Prak.g_01498	Prbj.g_00046
OG0000020	Prak.g_01527	Prbj.g_00214, Prbj.g_02701
OG0000021	Prak.g_01499	Prbj.g_01121
OG0000021	Prak.g_00831	Prbj.g_01774
OG0000022	Prak.g_01482	Prbj.g_01572
OG0000023	Prak.g_00721	Prbj.g_02392
OG0000024	Prak.g_01038, Prak.g_00802	Prbj.g_00773
OG0000025	Prak.g_00881	Prbj.g_02475
OG0000026	Prak.g_00032	Prbj.g_01204
OG0000029	Prak.g_01534, Prak.g_01576	Prbj.g_00378
OG0000030	Prak.g_01853	Prbj.g_01288, Prbj.g_01287
OG0000031	Prak.g_01350	Prbj.g_01527, Prbj.g_01522
OG0000032	Prak.g_01430	Prbj.g_00659
OG0000033	Prak.g_00181	Prbj.g_00518
OG0000034	Prak.g_01288	Prbj.g_01740
OG0000035	Prak.g_01391	Prbj.g_01056
OG0000037	Prak.g_00115	Prbj.g_00624
OG0000038	Prak.g_01893	Prbj.g_01959, Prbj.g_01961
OG0000039	Prak.g_00814	Prbj.g_00429, Prbj.g_00278
OG0000041	Prak.g_01692	Prbj.g_00450
OG0000042	Prak.g_01850	Prbj.g_01808, Prbj.g_00001
OG0000045	Prak.g_01216	Prbj.g_00563
OG0000046	Prak.g_00344	Prbj.g_00358
OG0000047	Prak.g_00385	Prbj.g_02509
OG0000048	Prak.g_01264, Prak.g_00289	Prbj.g_01393
OG0000051	Prak.g_00667	Prbj.g_00705
OG0000052	Prak.g_01369	Prbj.g_01487
OG0000053	Prak.g_01590, Prak.g_01412	Prbj.g_00638
OG0000054	Prak.g_00568	Prbj.g_01758
OG0000057	Prak.g_00829	Prbj.g_00758
OG0000059	Prak.g_01732	Prbj.g_01521
OG0000062	Prak.g_01476	Prbj.g_00881
OG0000063	Prak.g_01530	Prbj.g_01208
OG0000065	Prak.g_00113	Prbj.g_00620
OG0000066	Prak.g_00498, Prak.g_01557	Prbj.g_02141
OG0000067	Prak.g_00845	Prbj.g_02412
OG0000068	Prak.g_01329	Prbj.g_01639
OG0000070	Prak.g_00412	Prbj.g_00118
OG0000071	Prak.g_01277	Prbj.g_01728
OG0000072	Prak.g_00183	Prbj.g_00516
OG0000073	Prak.g_00461	Prbj.g_01608
OG0000075	Prak.g_01816	Prbj.g_01502
OG0000076	Prak.g_01842	Prbj.g_01598
