Orthogroup	Prak	Syai
OG0000001	Prak.g_01302, Prak.g_00755	Syai.g_01716
OG0000002	Prak.g_00908, Prak.g_00913, Prak.g_01202, Prak.g_01323, Prak.g_01200, Prak.g_01207, Prak.g_01494, Prak.g_00805	Syai.g_01728
OG0000004	Prak.g_00826	Syai.g_01994
OG0000004	Prak.g_00248	Syai.g_01062, Syai.g_00530
OG0000005	Prak.g_01474	Syai.g_02356
OG0000006	Prak.g_00258	Syai.g_00317, Syai.g_00547
OG0000007	Prak.g_00458	Syai.g_00657
OG0000007	Prak.g_01645	Syai.g_02378
OG0000008	Prak.g_01544	Syai.g_01956
OG0000008	Prak.g_01545, Prak.g_01546	Syai.g_01955
OG0000009	Prak.g_01486	Syai.g_01626
OG0000010	Prak.g_00739, Prak.g_01034, Prak.g_00435	Syai.g_00864
OG0000012	Prak.g_00584	Syai.g_01068
OG0000013	Prak.g_00343	Syai.g_00450, Syai.g_00436, Syai.g_00442
OG0000014	Prak.g_00325	Syai.g_00220
OG0000015	Prak.g_01584, Prak.g_01630	Syai.g_01246, Syai.g_01245
OG0000016	Prak.g_00013	Syai.g_00014
OG0000016	Prak.g_01230	Syai.g_01785, Syai.g_01632
OG0000017	Prak.g_00566	Syai.g_00808
OG0000017	Prak.g_00559	Syai.g_00801
OG0000018	Prak.g_01194, Prak.g_00873	Syai.g_00915
OG0000019	Prak.g_00266, Prak.g_01196	Syai.g_00304
OG0000020	Prak.g_01498, Prak.g_01527	Syai.g_00476
OG0000021	Prak.g_00831	Syai.g_00556
OG0000022	Prak.g_01482	Syai.g_01159
OG0000023	Prak.g_00721	Syai.g_01027, Syai.g_01875, Syai.g_02821, Syai.g_01681, Syai.g_01022, Syai.g_02318
OG0000024	Prak.g_01038, Prak.g_00802	Syai.g_01951
OG0000025	Prak.g_00881	Syai.g_02044
OG0000026	Prak.g_00032	Syai.g_00038
OG0000027	Prak.g_01564, Prak.g_01521	Syai.g_01128, Syai.g_01654
OG0000028	Prak.g_01543	Syai.g_00205
OG0000029	Prak.g_01735, Prak.g_01534, Prak.g_01576	Syai.g_01035, Syai.g_01584
OG0000030	Prak.g_01853	Syai.g_00096, Syai.g_00095
OG0000032	Prak.g_01430	Syai.g_00895
OG0000033	Prak.g_00181	Syai.g_02634
OG0000034	Prak.g_01288	Syai.g_02192, Syai.g_02604
OG0000035	Prak.g_01391	Syai.g_00955
OG0000037	Prak.g_00115	Syai.g_02544, Syai.g_02815
OG0000038	Prak.g_01893	Syai.g_02780
OG0000039	Prak.g_00814	Syai.g_02034
OG0000041	Prak.g_01692	Syai.g_02265
OG0000042	Prak.g_01850	Syai.g_00099
OG0000045	Prak.g_01216	Syai.g_02432
OG0000046	Prak.g_00344	Syai.g_00435, Syai.g_00443, Syai.g_00449
OG0000047	Prak.g_00385	Syai.g_00462
OG0000048	Prak.g_01264, Prak.g_00289	Syai.g_00272
OG0000052	Prak.g_01369	Syai.g_00176
OG0000053	Prak.g_01590, Prak.g_01412	Syai.g_00930
OG0000054	Prak.g_00568	Syai.g_01040
OG0000055	Prak.g_01221	Syai.g_02029
OG0000057	Prak.g_00829	Syai.g_01997
OG0000058	Prak.g_01351	Syai.g_00195
OG0000059	Prak.g_01732	Syai.g_00351
OG0000061	Prak.g_01172	Syai.g_02144
OG0000062	Prak.g_01476	Syai.g_02358
OG0000063	Prak.g_01530	Syai.g_00042
OG0000064	Prak.g_00072	Syai.g_02844, Syai.g_01162, Syai.g_01163, Syai.g_01668, Syai.g_02350
OG0000066	Prak.g_00498, Prak.g_01557	Syai.g_01709, Syai.g_00719
OG0000067	Prak.g_00845	Syai.g_01321
OG0000068	Prak.g_01329	Syai.g_00628
OG0000070	Prak.g_00412	Syai.g_02196
OG0000071	Prak.g_01277	Syai.g_02179
OG0000072	Prak.g_00183	Syai.g_02636
OG0000073	Prak.g_00461	Syai.g_00659
OG0000075	Prak.g_01816	Syai.g_00161
OG0000076	Prak.g_01842	Syai.g_00111
OG0000077	Prak.g_00083	Syai.g_02486
OG0000078	Prak.g_00256	Syai.g_00543
OG0000079	Prak.g_00269	Syai.g_00300
OG0000081	Prak.g_00490	Syai.g_00553
OG0000082	Prak.g_00546, Prak.g_01634	Syai.g_00781
OG0000084	Prak.g_01388	Syai.g_00958
OG0000085	Prak.g_01637, Prak.g_01516	Syai.g_02365
OG0000086	Prak.g_00092	Syai.g_02507
OG0000087	Prak.g_00147	Syai.g_02592
OG0000088	Prak.g_00178	Syai.g_02630
OG0000089	Prak.g_00379	Syai.g_00517
OG0000090	Prak.g_00492	Syai.g_00707
OG0000091	Prak.g_01100	Syai.g_01112
OG0000092	Prak.g_00775	Syai.g_01358
OG0000097	Prak.g_01126	Syai.g_01787
OG0000098	Prak.g_01305	Syai.g_01718
OG0000099	Prak.g_01352	Syai.g_00199
OG0000100	Prak.g_01470	Syai.g_01372
OG0000101	Prak.g_01780	Syai.g_00404
OG0000102	Prak.g_01847	Syai.g_00106
OG0000103	Prak.g_01932	Syai.g_02912
OG0000104	Prak.g_01941	Syai.g_02929
OG0000105	Prak.g_00292	Syai.g_00267
OG0000106	Prak.g_00687	Syai.g_01601
OG0000107	Prak.g_01709	Syai.g_00319
OG0000108	Prak.g_00441	Syai.g_00638
OG0000109	Prak.g_00455	Syai.g_00653
OG0000110	Prak.g_00535	Syai.g_00766
OG0000111	Prak.g_00830	Syai.g_00884
OG0000112	Prak.g_00608	Syai.g_01512
OG0000113	Prak.g_00868	Syai.g_01367
OG0000114	Prak.g_00770	Syai.g_01261
OG0000115	Prak.g_01241	Syai.g_00932
OG0000116	Prak.g_01183	Syai.g_02156
OG0000117	Prak.g_01145	Syai.g_01756
OG0000118	Prak.g_01290	Syai.g_00818
OG0000119	Prak.g_01226, Prak.g_01488	Syai.g_02127
OG0000120	Prak.g_01349	Syai.g_00198
OG0000121	Prak.g_01393	Syai.g_00951
OG0000122	Prak.g_01248, Prak.g_01434	Syai.g_01143
OG0000123	Prak.g_01787	Syai.g_00411
OG0000124	Prak.g_01859	Syai.g_00089
OG0000125	Prak.g_01895	Syai.g_02782
OG0000126	Prak.g_01940	Syai.g_02927
OG0000128	Prak.g_00011	Syai.g_00012
OG0000129	Prak.g_00045	Syai.g_02771
OG0000130	Prak.g_00074	Syai.g_02474
OG0000131	Prak.g_00156	Syai.g_02608
OG0000132	Prak.g_00176	Syai.g_02628
OG0000133	Prak.g_00339	Syai.g_01507
OG0000134	Prak.g_00381	Syai.g_00520
OG0000135	Prak.g_01259	Syai.g_02826
OG0000136	Prak.g_00403	Syai.g_02217
OG0000137	Prak.g_00436	Syai.g_00865
OG0000138	Prak.g_00456	Syai.g_00654
OG0000139	Prak.g_00496	Syai.g_00714
OG0000140	Prak.g_00497	Syai.g_00716
OG0000141	Prak.g_00569	Syai.g_01041
OG0000142	Prak.g_01108	Syai.g_01104
OG0000143	Prak.g_01104	Syai.g_01108
OG0000144	Prak.g_01090	Syai.g_01608
OG0000145	Prak.g_01261	Syai.g_00660
OG0000146	Prak.g_00607	Syai.g_01513
OG0000147	Prak.g_00606	Syai.g_01514
