Orthogroup	Prak	Prad
OG0000000	Prak.g_01562	Prad.g_01982, Prad.g_00392
OG0000000	Prak.g_01209, Prak.g_01563, Prak.g_01578	Prad.g_01297
OG0000002	Prak.g_00908, Prak.g_00913	Prad.g_00601
OG0000002	Prak.g_01202, Prak.g_01323, Prak.g_01200, Prak.g_01207, Prak.g_01494, Prak.g_00805	Prad.g_01252
OG0000004	Prak.g_00826	Prad.g_01269
OG0000004	Prak.g_00248	Prad.g_01759
OG0000005	Prak.g_01474	Prad.g_00438
OG0000006	Prak.g_00258	Prad.g_01750
OG0000007	Prak.g_00458	Prad.g_00132
OG0000007	Prak.g_01645	Prad.g_00941
OG0000009	Prak.g_01486	Prad.g_00317
OG0000010	Prak.g_00739, Prak.g_01034, Prak.g_00435	Prad.g_00033
OG0000012	Prak.g_01506, Prak.g_00584	Prad.g_01412
OG0000013	Prak.g_00343	Prad.g_01664
OG0000014	Prak.g_00325	Prad.g_01685
OG0000015	Prak.g_01584, Prak.g_01630	Prad.g_01108
OG0000016	Prak.g_00013	Prad.g_01973
OG0000017	Prak.g_00559	Prad.g_01387
OG0000018	Prak.g_01194	Prad.g_01515
OG0000018	Prak.g_00873	Prad.g_01173
OG0000019	Prak.g_00266	Prad.g_01742
OG0000019	Prak.g_01196	Prad.g_01125
OG0000020	Prak.g_01498	Prad.g_00647
OG0000020	Prak.g_01527	Prad.g_01299
OG0000021	Prak.g_01499	Prad.g_01981, Prad.g_00745
OG0000022	Prak.g_01482	Prad.g_01105
OG0000023	Prak.g_00721	Prad.g_00751
OG0000024	Prak.g_01038	Prad.g_01088
OG0000024	Prak.g_00802	Prad.g_01249
OG0000025	Prak.g_00881	Prad.g_01181, Prad.g_01660
OG0000026	Prak.g_00032	Prad.g_01955, Prad.g_01004
OG0000027	Prak.g_01521	Prad.g_01298, Prad.g_00353
OG0000028	Prak.g_01543	Prad.g_01204
OG0000029	Prak.g_01735	Prad.g_00734
OG0000029	Prak.g_01534, Prak.g_01576	Prad.g_01096
OG0000032	Prak.g_01430	Prad.g_00572
OG0000033	Prak.g_00181	Prad.g_01822
OG0000034	Prak.g_01288	Prad.g_00618
OG0000037	Prak.g_00115	Prad.g_01884
OG0000038	Prak.g_01893	Prad.g_01582
OG0000039	Prak.g_00814	Prad.g_01260
OG0000041	Prak.g_01692	Prad.g_00894
OG0000042	Prak.g_01850	Prad.g_01624
OG0000043	Prak.g_01193	Prad.g_00276
OG0000045	Prak.g_01216	Prad.g_00738
OG0000047	Prak.g_00385	Prad.g_00683
OG0000048	Prak.g_00289	Prad.g_00735
OG0000050	Prak.g_00741	Prad.g_01291
OG0000052	Prak.g_00058	Prad.g_00571
OG0000053	Prak.g_01590, Prak.g_01412	Prad.g_00494
OG0000054	Prak.g_00568	Prad.g_01395
OG0000055	Prak.g_01221	Prad.g_01126
OG0000057	Prak.g_00829	Prad.g_01272
OG0000058	Prak.g_01351	Prad.g_00565
OG0000059	Prak.g_01732	Prad.g_00855
OG0000061	Prak.g_01172	Prad.g_01496
OG0000062	Prak.g_01476	Prad.g_00436
OG0000063	Prak.g_01530	Prad.g_01953, Prad.g_00081
OG0000065	Prak.g_00113	Prad.g_01886
OG0000066	Prak.g_00498, Prak.g_01557	Prad.g_00090
OG0000067	Prak.g_00845	Prad.g_01146
OG0000068	Prak.g_01329	Prad.g_00594
OG0000069	Prak.g_00416	Prad.g_00952, Prad.g_00400
OG0000070	Prak.g_00412	Prad.g_00057
OG0000071	Prak.g_01277	Prad.g_00628
OG0000072	Prak.g_00183	Prad.g_01820
OG0000073	Prak.g_00461	Prad.g_00130
OG0000074	Prak.g_00809	Prad.g_01256
