Orthogroup	Prak	Pray
OG0000000	Prak.g_01562	Pray.g_01576, Pray.g_01603
OG0000002	Prak.g_00908, Prak.g_00913	Pray.g_01836
OG0000002	Prak.g_01202, Prak.g_01323, Prak.g_01200, Prak.g_01207, Prak.g_01494, Prak.g_00805	Pray.g_01085
OG0000004	Prak.g_00826	Pray.g_01068
OG0000004	Prak.g_00248	Pray.g_00713
OG0000005	Prak.g_01474	Pray.g_01646
OG0000006	Prak.g_00258	Pray.g_00722
OG0000007	Prak.g_00458	Pray.g_00988, Pray.g_00987
OG0000007	Prak.g_01645	Pray.g_01559
OG0000008	Prak.g_01544	Pray.g_01931
OG0000009	Prak.g_01486	Pray.g_01920
OG0000010	Prak.g_00739, Prak.g_01034, Prak.g_00435	Pray.g_00964
OG0000012	Prak.g_01506, Prak.g_00584	Pray.g_01140
OG0000013	Prak.g_00343	Pray.g_00805
OG0000014	Prak.g_00325	Pray.g_00784
OG0000015	Prak.g_01584, Prak.g_01630	Pray.g_00309
OG0000016	Prak.g_00013	Pray.g_01475
OG0000017	Prak.g_00559	Pray.g_01165
OG0000018	Prak.g_01194	Pray.g_00083
OG0000018	Prak.g_00873	Pray.g_00375
OG0000019	Prak.g_00266	Pray.g_00730
OG0000019	Prak.g_01196	Pray.g_00328
OG0000020	Prak.g_01498	Pray.g_00120
OG0000021	Prak.g_01499	Pray.g_01578, Pray.g_00842
OG0000022	Prak.g_01482	Pray.g_00304
OG0000023	Prak.g_00721	Pray.g_00838
OG0000024	Prak.g_01038	Pray.g_00289
OG0000024	Prak.g_00802	Pray.g_01088
OG0000025	Prak.g_00881	Pray.g_00383, Pray.g_00809
OG0000026	Prak.g_00032	Pray.g_01493, Pray.g_00599
OG0000027	Prak.g_01521	Pray.g_00960, Pray.g_01887
OG0000028	Prak.g_01543	Pray.g_01935
OG0000029	Prak.g_01735	Pray.g_00853
OG0000029	Prak.g_01534, Prak.g_01576	Pray.g_00296
OG0000030	Prak.g_01853	Pray.g_01374
OG0000031	Prak.g_01350	Pray.g_01806
OG0000033	Prak.g_00181	Pray.g_00650
OG0000034	Prak.g_01288	Pray.g_01860
OG0000037	Prak.g_00115	Pray.g_00180
OG0000038	Prak.g_01893	Pray.g_01415
OG0000039	Prak.g_00814	Pray.g_01077
OG0000042	Prak.g_01850	Pray.g_01371
OG0000043	Prak.g_01193	Pray.g_00420
OG0000045	Prak.g_01216	Pray.g_00849
OG0000047	Prak.g_00385	Pray.g_00897
OG0000048	Prak.g_00289	Pray.g_00852
OG0000050	Prak.g_00741	Pray.g_00883
OG0000052	Prak.g_01369	Pray.g_01793
OG0000053	Prak.g_01590, Prak.g_01412	Pray.g_01702
OG0000054	Prak.g_00568	Pray.g_01157
OG0000055	Prak.g_01221	Pray.g_00329
OG0000057	Prak.g_00829	Pray.g_01065
OG0000058	Prak.g_01351	Pray.g_01786
OG0000059	Prak.g_01732	Pray.g_01258, Pray.g_01761
OG0000061	Prak.g_01172	Pray.g_00064
OG0000062	Prak.g_01476	Pray.g_01644
OG0000063	Prak.g_01530	Pray.g_01495
OG0000065	Prak.g_00113	Pray.g_00182
OG0000066	Prak.g_00498, Prak.g_01557	Pray.g_01222
OG0000067	Prak.g_00845	Pray.g_00348
OG0000068	Prak.g_01329	Pray.g_01829
OG0000069	Prak.g_00416	Pray.g_01609
OG0000070	Prak.g_00412	Pray.g_00940
OG0000071	Prak.g_01277	Pray.g_01870
OG0000072	Prak.g_00183	Pray.g_00652
OG0000073	Prak.g_00461	Pray.g_00990
OG0000074	Prak.g_00809	Pray.g_01081
OG0000075	Prak.g_01816	Pray.g_01339
OG0000076	Prak.g_01842	Pray.g_01364
OG0000077	Prak.g_00083	Pray.g_00211
OG0000078	Prak.g_00256	Pray.g_00720
OG0000079	Prak.g_00269	Pray.g_00733
OG0000081	Prak.g_00490	Pray.g_01022
OG0000082	Prak.g_00546, Prak.g_01634	Pray.g_01177
OG0000084	Prak.g_01388	Pray.g_01726
OG0000085	Prak.g_01637, Prak.g_01516	Pray.g_01566
OG0000086	Prak.g_00092	Pray.g_00201
OG0000087	Prak.g_00147	Pray.g_00150
OG0000088	Prak.g_00178	Pray.g_00647
OG0000089	Prak.g_00379	Pray.g_00834
OG0000090	Prak.g_00492	Pray.g_01024, Pray.g_01228
OG0000091	Prak.g_01100	Pray.g_01121
OG0000092	Prak.g_00775	Pray.g_00457
OG0000093	Prak.g_01071	Pray.g_00479
OG0000094	Prak.g_01022	Pray.g_00565
OG0000095	Prak.g_00920	Pray.g_00584
OG0000096	Prak.g_00702	Pray.g_00117, Pray.g_01905
OG0000097	Prak.g_01126	Pray.g_00022
OG0000098	Prak.g_01305	Pray.g_01847
OG0000099	Prak.g_01352	Pray.g_01788
OG0000100	Prak.g_01470	Pray.g_01648
OG0000101	Prak.g_01780	Pray.g_01306
OG0000102	Prak.g_01847	Pray.g_01369
OG0000103	Prak.g_01932	Pray.g_01449
OG0000104	Prak.g_01941	Pray.g_01457
OG0000105	Prak.g_00292	Pray.g_00753
OG0000106	Prak.g_00687	Pray.g_00848
OG0000107	Prak.g_01709	Pray.g_00864
OG0000108	Prak.g_00441	Pray.g_00970
OG0000109	Prak.g_00455	Pray.g_00984
OG0000110	Prak.g_00535	Pray.g_01187
OG0000111	Prak.g_00830	Pray.g_01064
OG0000112	Prak.g_00608	Pray.g_00313
OG0000113	Prak.g_00868	Pray.g_00370
OG0000114	Prak.g_00770	Pray.g_00452
OG0000115	Prak.g_01241	Pray.g_00126
OG0000116	Prak.g_01183	Pray.g_00074
OG0000117	Prak.g_01145	Pray.g_01927
OG0000118	Prak.g_01290	Pray.g_01858
OG0000119	Prak.g_01226, Prak.g_01488	Pray.g_01833
OG0000120	Prak.g_01349	Pray.g_01808
OG0000121	Prak.g_01393	Pray.g_01720
OG0000122	Prak.g_01248, Prak.g_01434	Pray.g_01682
OG0000123	Prak.g_01787	Pray.g_01313
OG0000124	Prak.g_01859	Pray.g_01380
OG0000125	Prak.g_01895	Pray.g_01417
OG0000126	Prak.g_01940	Pray.g_01456
OG0000128	Prak.g_00011	Pray.g_01473
OG0000129	Prak.g_00045	Pray.g_00239
OG0000130	Prak.g_00074	Pray.g_00220
OG0000131	Prak.g_00156	Pray.g_00144
OG0000132	Prak.g_00176	Pray.g_00645
OG0000133	Prak.g_00339	Pray.g_00800
OG0000134	Prak.g_00381	Pray.g_00835
OG0000135	Prak.g_01259	Pray.g_00861
OG0000136	Prak.g_00403	Pray.g_00931
OG0000137	Prak.g_00436	Pray.g_00965
OG0000138	Prak.g_00456	Pray.g_00985
OG0000139	Prak.g_00496	Pray.g_01224
OG0000140	Prak.g_00497	Pray.g_01223
OG0000141	Prak.g_00569	Pray.g_01156
OG0000142	Prak.g_01108	Pray.g_01128
OG0000143	Prak.g_01104	Pray.g_01124
OG0000144	Prak.g_01090	Pray.g_01111
OG0000145	Prak.g_01261	Pray.g_00306
OG0000146	Prak.g_00607	Pray.g_00314
OG0000147	Prak.g_00606	Pray.g_00315
OG0000148	Prak.g_00862	Pray.g_00364
OG0000149	Prak.g_00894	Pray.g_00395
OG0000150	Prak.g_00904	Pray.g_00403
OG0000151	Prak.g_00780	Pray.g_00462
OG0000152	Prak.g_00973	Pray.g_00511
OG0000153	Prak.g_00992	Pray.g_00530
OG0000154	Prak.g_01012	Pray.g_00558
OG0000155	Prak.g_01151	Pray.g_00043
OG0000156	Prak.g_01266	Pray.g_01881
OG0000157	Prak.g_01267	Pray.g_01880
OG0000158	Prak.g_01824	Pray.g_01787
OG0000159	Prak.g_00065	Pray.g_01785
OG0000160	Prak.g_01392	Pray.g_01721
OG0000161	Prak.g_01398	Pray.g_01715
OG0000162	Prak.g_01404	Pray.g_01709
OG0000163	Prak.g_01443	Pray.g_01675
OG0000164	Prak.g_01669	Pray.g_01535
OG0000165	Prak.g_01676	Pray.g_01528
OG0000166	Prak.g_01743	Pray.g_01270
OG0000167	Prak.g_01814	Pray.g_01337
OG0000168	Prak.g_01825	Pray.g_01347
OG0000169	Prak.g_01835	Pray.g_01357
OG0000170	Prak.g_01838	Pray.g_01359
OG0000171	Prak.g_01858	Pray.g_01379
OG0000172	Prak.g_01865	Pray.g_01388
OG0000173	Prak.g_01880	Pray.g_01403
OG0000174	Prak.g_01910	Pray.g_01431
OG0000175	Prak.g_01923	Pray.g_01441
OG0000176	Prak.g_00004	Pray.g_01465, Pray.g_01466
OG0000177	Prak.g_00005	Pray.g_01467
OG0000178	Prak.g_00006	Pray.g_01468
OG0000179	Prak.g_00016	Pray.g_01478
OG0000180	Prak.g_00017	Pray.g_01479
OG0000181	Prak.g_00018	Pray.g_01480
OG0000182	Prak.g_00019	Pray.g_01481
OG0000183	Prak.g_00023	Pray.g_01485
OG0000184	Prak.g_00049	Pray.g_00237
OG0000185	Prak.g_00052	Pray.g_00234
OG0000186	Prak.g_00068	Pray.g_00225
OG0000187	Prak.g_00069	Pray.g_00224
OG0000188	Prak.g_00086	Pray.g_00207
OG0000189	Prak.g_00100	Pray.g_00193
OG0000190	Prak.g_00102	Pray.g_00192
OG0000191	Prak.g_00125	Pray.g_00172
OG0000192	Prak.g_00130	Pray.g_00168
OG0000193	Prak.g_00157	Pray.g_00143
OG0000194	Prak.g_00160	Pray.g_00140
OG0000195	Prak.g_00162	Pray.g_00138
OG0000196	Prak.g_00173	Pray.g_00642
OG0000197	Prak.g_00174	Pray.g_00643
OG0000198	Prak.g_00175	Pray.g_00644
OG0000199	Prak.g_00182	Pray.g_00651
OG0000200	Prak.g_00196	Pray.g_00665
OG0000201	Prak.g_00205	Pray.g_00673
OG0000202	Prak.g_00206	Pray.g_00674
OG0000203	Prak.g_00207	Pray.g_00675
OG0000204	Prak.g_00208	Pray.g_00676
OG0000205	Prak.g_00215	Pray.g_00683
OG0000206	Prak.g_00220	Pray.g_00688
OG0000207	Prak.g_00223	Pray.g_00690
OG0000208	Prak.g_00224	Pray.g_00691
OG0000209	Prak.g_00233	Pray.g_00700
OG0000210	Prak.g_00234	Pray.g_00701
OG0000211	Prak.g_00249	Pray.g_00714
OG0000212	Prak.g_00257	Pray.g_00721
OG0000213	Prak.g_00275	Pray.g_00738
OG0000214	Prak.g_00285	Pray.g_00747
OG0000215	Prak.g_00312	Pray.g_00771
OG0000216	Prak.g_00313	Pray.g_00772
OG0000217	Prak.g_00316	Pray.g_00775
OG0000218	Prak.g_00318	Pray.g_00777
OG0000219	Prak.g_00319	Pray.g_00778
OG0000220	Prak.g_00320	Pray.g_00779
OG0000221	Prak.g_00321	Pray.g_00780
OG0000222	Prak.g_00328	Pray.g_00788
OG0000223	Prak.g_00340	Pray.g_00801
OG0000224	Prak.g_00342	Pray.g_00803
OG0000225	Prak.g_00368	Pray.g_00824
OG0000226	Prak.g_00372	Pray.g_00828
OG0000227	Prak.g_00374	Pray.g_00830
OG0000228	Prak.g_00378	Pray.g_00833
OG0000229	Prak.g_00398	Pray.g_00926
OG0000230	Prak.g_00400	Pray.g_00928
OG0000231	Prak.g_00411	Pray.g_00939
OG0000232	Prak.g_00422	Pray.g_00948
OG0000233	Prak.g_00428	Pray.g_00953
OG0000234	Prak.g_00437	Pray.g_00966
OG0000235	Prak.g_00440	Pray.g_00969
OG0000236	Prak.g_00454	Pray.g_00983
OG0000237	Prak.g_00467	Pray.g_00997
OG0000238	Prak.g_00473	Pray.g_01003
OG0000239	Prak.g_00484	Pray.g_01016
OG0000240	Prak.g_00485	Pray.g_01017
OG0000241	Prak.g_00489	Pray.g_01021
OG0000242	Prak.g_00491	Pray.g_01023
OG0000243	Prak.g_00502	Pray.g_01218
OG0000244	Prak.g_00506	Pray.g_01215
OG0000245	Prak.g_00508	Pray.g_01213
OG0000246	Prak.g_00512	Pray.g_01209
OG0000247	Prak.g_00522	Pray.g_01199
OG0000248	Prak.g_00525	Pray.g_01197
OG0000249	Prak.g_00527	Pray.g_01195
OG0000250	Prak.g_00532	Pray.g_01190
OG0000251	Prak.g_00552	Pray.g_01172
OG0000252	Prak.g_00555	Pray.g_01169
OG0000253	Prak.g_00556	Pray.g_01168
OG0000254	Prak.g_00573	Pray.g_01152
OG0000255	Prak.g_00579	Pray.g_01146
OG0000256	Prak.g_00589	Pray.g_01136
OG0000257	Prak.g_01113	Pray.g_01133
OG0000258	Prak.g_01099	Pray.g_01120
OG0000259	Prak.g_01082	Pray.g_01103
OG0000260	Prak.g_01079	Pray.g_01100
OG0000261	Prak.g_01076	Pray.g_01098
OG0000262	Prak.g_01072	Pray.g_01094
OG0000263	Prak.g_00808	Pray.g_01082
OG0000264	Prak.g_00819	Pray.g_01072
OG0000265	Prak.g_00837	Pray.g_01040
OG0000266	Prak.g_01053	Pray.g_01030
OG0000267	Prak.g_01041	Pray.g_00274
OG0000268	Prak.g_01040	Pray.g_00275
OG0000269	Prak.g_00840	Pray.g_00343
OG0000270	Prak.g_00843	Pray.g_00346
OG0000271	Prak.g_00851	Pray.g_00354
OG0000272	Prak.g_00852	Pray.g_00355
OG0000273	Prak.g_00876	Pray.g_00378
OG0000274	Prak.g_00877	Pray.g_00379
OG0000275	Prak.g_00880	Pray.g_00382
OG0000276	Prak.g_00886	Pray.g_00387
OG0000277	Prak.g_00887	Pray.g_00388
OG0000278	Prak.g_00890	Pray.g_00391
OG0000279	Prak.g_00897	Pray.g_00398
OG0000280	Prak.g_00898	Pray.g_00399
OG0000281	Prak.g_00905	Pray.g_00404
OG0000282	Prak.g_00772	Pray.g_00454
OG0000283	Prak.g_00949	Pray.g_00488
OG0000284	Prak.g_00954	Pray.g_00493
OG0000285	Prak.g_00959	Pray.g_00498
OG0000286	Prak.g_00972	Pray.g_00510
OG0000287	Prak.g_01238	Pray.g_00527
OG0000288	Prak.g_01011	Pray.g_00557
OG0000289	Prak.g_01027	Pray.g_00568
OG0000290	Prak.g_00923	Pray.g_00581
OG0000291	Prak.g_00921	Pray.g_00583
OG0000292	Prak.g_01217	Pray.g_00632
OG0000293	Prak.g_01182	Pray.g_00073
OG0000294	Prak.g_01181	Pray.g_00072
OG0000295	Prak.g_01158	Pray.g_00051
OG0000296	Prak.g_01156	Pray.g_00049
OG0000297	Prak.g_01147	Pray.g_00041
OG0000298	Prak.g_01146	Pray.g_00040
OG0000299	Prak.g_01127	Pray.g_00023
OG0000300	Prak.g_01124	Pray.g_00020
OG0000301	Prak.g_01123	Pray.g_00019
OG0000302	Prak.g_01121	Pray.g_00017
OG0000303	Prak.g_01115	Pray.g_00010
OG0000304	Prak.g_00594	Pray.g_00006
OG0000305	Prak.g_01215	Pray.g_01837
OG0000306	Prak.g_00909	Pray.g_01834
OG0000307	Prak.g_01338	Pray.g_01820
OG0000308	Prak.g_01339	Pray.g_01819
OG0000309	Prak.g_01343	Pray.g_01815
OG0000310	Prak.g_01377	Pray.g_01737
OG0000311	Prak.g_01379	Pray.g_01735
OG0000312	Prak.g_01382	Pray.g_01732
OG0000313	Prak.g_01395	Pray.g_01718
OG0000314	Prak.g_01418	Pray.g_01695
OG0000315	Prak.g_01428	Pray.g_01685
OG0000316	Prak.g_01453	Pray.g_01665
OG0000317	Prak.g_01642	Pray.g_01561
OG0000318	Prak.g_01646	Pray.g_01558
OG0000319	Prak.g_01659	Pray.g_01545
OG0000320	Prak.g_01661	Pray.g_01543
OG0000321	Prak.g_01662	Pray.g_01542
OG0000322	Prak.g_01663	Pray.g_01541
OG0000323	Prak.g_01672	Pray.g_01532
OG0000324	Prak.g_01699	Pray.g_01506
OG0000325	Prak.g_01710	Pray.g_01235
OG0000326	Prak.g_01717	Pray.g_01241
OG0000327	Prak.g_01738	Pray.g_01265
OG0000328	Prak.g_01739	Pray.g_01266
OG0000329	Prak.g_01756	Pray.g_01283
OG0000330	Prak.g_01757	Pray.g_01284
OG0000331	Prak.g_01758	Pray.g_01285
OG0000332	Prak.g_01772	Pray.g_01299
OG0000333	Prak.g_01774	Pray.g_01301
OG0000334	Prak.g_01783	Pray.g_01309
OG0000335	Prak.g_01788	Pray.g_01314
OG0000336	Prak.g_01792	Pray.g_01318
OG0000337	Prak.g_01810	Pray.g_01335
OG0000338	Prak.g_01811	Pray.g_01336
OG0000339	Prak.g_01817	Pray.g_01340
OG0000340	Prak.g_01826	Pray.g_01348
OG0000341	Prak.g_01828	Pray.g_01350
OG0000342	Prak.g_01829	Pray.g_01351
OG0000343	Prak.g_01830	Pray.g_01352
OG0000344	Prak.g_01833	Pray.g_01355
OG0000345	Prak.g_01839	Pray.g_01360
OG0000346	Prak.g_01843	Pray.g_01365
OG0000347	Prak.g_01860	Pray.g_01381
OG0000348	Prak.g_01868	Pray.g_01391
OG0000349	Prak.g_01886	Pray.g_01408
OG0000350	Prak.g_00656	Pray.g_01427
OG0000351	Prak.g_01926	Pray.g_01444
OG0000352	Prak.g_01927	Pray.g_01445
OG0000353	Prak.g_01944	Pray.g_01460
OG0000355	Prak.g_00001	Pray.g_01462
OG0000356	Prak.g_00002	Pray.g_01463
OG0000357	Prak.g_00003	Pray.g_01464
OG0000358	Prak.g_00007	Pray.g_01469
OG0000359	Prak.g_00008	Pray.g_01470
OG0000360	Prak.g_00009	Pray.g_01471
OG0000361	Prak.g_00010	Pray.g_01472
OG0000362	Prak.g_00012	Pray.g_01474
OG0000363	Prak.g_00014	Pray.g_01476
OG0000364	Prak.g_00015	Pray.g_01477
OG0000365	Prak.g_00020	Pray.g_01482
OG0000366	Prak.g_00021	Pray.g_01483
OG0000367	Prak.g_00022	Pray.g_01484
OG0000368	Prak.g_00024	Pray.g_01486
OG0000369	Prak.g_00025	Pray.g_01487
OG0000370	Prak.g_00026	Pray.g_01488
OG0000371	Prak.g_00033	Pray.g_01494
OG0000372	Prak.g_00036	Pray.g_01497
OG0000373	Prak.g_00037	Pray.g_01498
OG0000374	Prak.g_00038	Pray.g_01499
OG0000375	Prak.g_00040	Pray.g_00243
OG0000376	Prak.g_00042	Pray.g_00241
