Orthogroup	Prak	Syao
OG0000001	Prak.g_01302, Prak.g_00755	Syao.g_00314
OG0000004	Prak.g_00826	Syao.g_02374
OG0000004	Prak.g_00248	Syao.g_01271, Syao.g_01007
OG0000005	Prak.g_01474	Syao.g_01578
OG0000006	Prak.g_00258	Syao.g_01518
OG0000007	Prak.g_00458	Syao.g_00105
OG0000007	Prak.g_01645	Syao.g_01554
OG0000008	Prak.g_01545, Prak.g_01546	Syao.g_01321
OG0000010	Prak.g_00739, Prak.g_01034, Prak.g_00435	Syao.g_02683
OG0000011	Prak.g_00660	Syao.g_01282
OG0000012	Prak.g_01506, Prak.g_00584	Syao.g_01193
OG0000013	Prak.g_00343	Syao.g_01222, Syao.g_01844, Syao.g_01910
OG0000014	Prak.g_00325	Syao.g_02027
OG0000015	Prak.g_01584, Prak.g_01630	Syao.g_00302
OG0000016	Prak.g_00013	Syao.g_01955
OG0000017	Prak.g_00566	Syao.g_01064
OG0000017	Prak.g_00559	Syao.g_00997
OG0000018	Prak.g_01194, Prak.g_00873	Syao.g_00071
OG0000019	Prak.g_00266, Prak.g_01196	Syao.g_02108
OG0000021	Prak.g_01499, Prak.g_00831	Syao.g_01002
OG0000022	Prak.g_01482	Syao.g_01218
OG0000023	Prak.g_00721	Syao.g_01266
OG0000025	Prak.g_00881	Syao.g_00436, Syao.g_00437
OG0000026	Prak.g_00032	Syao.g_02234
OG0000027	Prak.g_01564, Prak.g_01521	Syao.g_00202
OG0000028	Prak.g_01543	Syao.g_02012
OG0000030	Prak.g_01853	Syao.g_02189, Syao.g_02188
OG0000031	Prak.g_01350	Syao.g_01083
OG0000032	Prak.g_01430	Syao.g_00090
OG0000033	Prak.g_01357, Prak.g_00181	Syao.g_02507
OG0000035	Prak.g_01391	Syao.g_01486
OG0000037	Prak.g_00115	Syao.g_00374
OG0000038	Prak.g_01893	Syao.g_02440, Syao.g_02442
OG0000039	Prak.g_00814	Syao.g_00704
OG0000042	Prak.g_01850	Syao.g_00019, Syao.g_01941
OG0000045	Prak.g_01216	Syao.g_01214, Syao.g_00148
OG0000046	Prak.g_00344	Syao.g_01845, Syao.g_01909
OG0000047	Prak.g_00385	Syao.g_01899
OG0000048	Prak.g_01264, Prak.g_00289	Syao.g_02077
OG0000051	Prak.g_00667	Syao.g_01261
OG0000052	Prak.g_00058	Syao.g_01972
OG0000052	Prak.g_01369	Syao.g_01085
OG0000053	Prak.g_01590, Prak.g_01412	Syao.g_00067
OG0000055	Prak.g_01619	Syao.g_00498
OG0000058	Prak.g_01351	Syao.g_01080
OG0000059	Prak.g_01732	Syao.g_01959
OG0000061	Prak.g_01172	Syao.g_00123
OG0000062	Prak.g_01476	Syao.g_01576
OG0000063	Prak.g_01530	Syao.g_02230
OG0000064	Prak.g_00072	Syao.g_02607, Syao.g_00495, Syao.g_01462, Syao.g_02605, Syao.g_01898
OG0000065	Prak.g_00113	Syao.g_02600
OG0000066	Prak.g_00498, Prak.g_01557	Syao.g_01422
OG0000067	Prak.g_00845	Syao.g_00756
OG0000068	Prak.g_01329	Syao.g_00868, Syao.g_00036
OG0000069	Prak.g_00416	Syao.g_00313
OG0000070	Prak.g_00412	Syao.g_00330
OG0000071	Prak.g_01277	Syao.g_01433
OG0000072	Prak.g_00183	Syao.g_02509, Syao.g_01749
OG0000073	Prak.g_00461	Syao.g_00103
OG0000075	Prak.g_01816	Syao.g_02257
OG0000076	Prak.g_01842	Syao.g_01949
OG0000079	Prak.g_00269	Syao.g_00574, Syao.g_00010, Syao.g_00581, Syao.g_01145, Syao.g_02105
OG0000082	Prak.g_00546, Prak.g_01634	Syao.g_01035
OG0000084	Prak.g_01388	Syao.g_02606
OG0000085	Prak.g_01637, Prak.g_01516	Syao.g_01569
OG0000086	Prak.g_00092	Syao.g_02653, Syao.g_01240
OG0000087	Prak.g_00147	Syao.g_02555
OG0000088	Prak.g_00178	Syao.g_02503
OG0000089	Prak.g_00379	Syao.g_01716
OG0000090	Prak.g_00492	Syao.g_01412
OG0000091	Prak.g_01100	Syao.g_00902
OG0000092	Prak.g_00775	Syao.g_00656
OG0000097	Prak.g_01126	Syao.g_00973
OG0000098	Prak.g_01305	Syao.g_01374
OG0000099	Prak.g_01352	Syao.g_02019
OG0000100	Prak.g_01470	Syao.g_00787
OG0000101	Prak.g_01780	Syao.g_01840
OG0000102	Prak.g_01847	Syao.g_01945
OG0000103	Prak.g_01932	Syao.g_02340
OG0000104	Prak.g_01941	Syao.g_02157
OG0000105	Prak.g_00292	Syao.g_02071, Syao.g_02072
OG0000106	Prak.g_00687	Syao.g_01385
OG0000107	Prak.g_01709	Syao.g_01935
OG0000108	Prak.g_00441	Syao.g_00028
OG0000109	Prak.g_00455	Syao.g_00110
OG0000110	Prak.g_00535	Syao.g_01051
OG0000111	Prak.g_00830	Syao.g_00378
OG0000112	Prak.g_00608	Syao.g_00683, Syao.g_00303
OG0000113	Prak.g_00868	Syao.g_00782
OG0000114	Prak.g_00770	Syao.g_00965
OG0000115	Prak.g_01241	Syao.g_00065, Syao.g_01464
OG0000116	Prak.g_01183	Syao.g_00137
OG0000117	Prak.g_01145	Syao.g_00169
OG0000118	Prak.g_01290	Syao.g_01475
OG0000120	Prak.g_01349	Syao.g_02009
OG0000121	Prak.g_01393	Syao.g_01489
OG0000122	Prak.g_01248, Prak.g_01434	Syao.g_01247
OG0000123	Prak.g_01787	Syao.g_01832
OG0000124	Prak.g_01859	Syao.g_02179
OG0000125	Prak.g_01895	Syao.g_02444
OG0000126	Prak.g_01940	Syao.g_02198
OG0000128	Prak.g_00011	Syao.g_02149
OG0000129	Prak.g_00045	Syao.g_02434
OG0000130	Prak.g_00074	Syao.g_02617
OG0000131	Prak.g_00156	Syao.g_02480
OG0000132	Prak.g_00176	Syao.g_02501
OG0000133	Prak.g_00339	Syao.g_00678
OG0000134	Prak.g_00381	Syao.g_01719
OG0000135	Prak.g_01259	Syao.g_00147
OG0000136	Prak.g_00403	Syao.g_01614, Syao.g_01613
OG0000137	Prak.g_00436	Syao.g_02682
OG0000138	Prak.g_00456	Syao.g_00108
OG0000139	Prak.g_00496	Syao.g_02005
OG0000140	Prak.g_00497	Syao.g_01373, Syao.g_01372
OG0000141	Prak.g_00569	Syao.g_01202
OG0000142	Prak.g_01108	Syao.g_00894
OG0000143	Prak.g_01104	Syao.g_00898
OG0000145	Prak.g_01261	Syao.g_00102
OG0000146	Prak.g_00607	Syao.g_00684, Syao.g_00304
OG0000147	Prak.g_00606	Syao.g_00305, Syao.g_00685
OG0000148	Prak.g_00862	Syao.g_00776
OG0000149	Prak.g_00894	Syao.g_00534
OG0000150	Prak.g_00904	Syao.g_01203
OG0000151	Prak.g_00780	Syao.g_00975
OG0000152	Prak.g_00973	Syao.g_00674
OG0000153	Prak.g_00992	Syao.g_00818, Syao.g_01176
OG0000154	Prak.g_01012	Syao.g_00447
OG0000155	Prak.g_01151	Syao.g_00178
OG0000156	Prak.g_01266	Syao.g_00151
OG0000157	Prak.g_01267	Syao.g_00152
OG0000158	Prak.g_01824	Syao.g_02267
OG0000159	Prak.g_00065	Syao.g_02276
OG0000160	Prak.g_01392	Syao.g_01488
OG0000161	Prak.g_01398	Syao.g_01494
OG0000162	Prak.g_01404	Syao.g_01515
OG0000163	Prak.g_01443	Syao.g_01745
OG0000164	Prak.g_01669	Syao.g_01663
OG0000165	Prak.g_01676	Syao.g_01655
OG0000166	Prak.g_01743	Syao.g_01790
OG0000167	Prak.g_01814	Syao.g_01960
OG0000168	Prak.g_01825	Syao.g_02128
OG0000169	Prak.g_01835	Syao.g_02139
OG0000170	Prak.g_01838	Syao.g_02148
OG0000171	Prak.g_01858	Syao.g_02181
OG0000172	Prak.g_01865	Syao.g_02170
OG0000173	Prak.g_01880	Syao.g_02212
OG0000174	Prak.g_01910	Syao.g_02364, Syao.g_02355
OG0000175	Prak.g_01923	Syao.g_02327, Syao.g_00308
OG0000176	Prak.g_00004	Syao.g_02165
OG0000177	Prak.g_00005	Syao.g_02156
OG0000178	Prak.g_00006	Syao.g_02155
OG0000179	Prak.g_00016	Syao.g_02250
OG0000180	Prak.g_00017	Syao.g_02249
OG0000181	Prak.g_00018	Syao.g_02248
OG0000182	Prak.g_00019	Syao.g_02247
OG0000183	Prak.g_00023	Syao.g_02243
OG0000184	Prak.g_00049	Syao.g_02423
OG0000185	Prak.g_00052	Syao.g_02410
OG0000186	Prak.g_00068	Syao.g_02613
OG0000187	Prak.g_00069	Syao.g_02615
OG0000188	Prak.g_00086	Syao.g_02637
OG0000189	Prak.g_00100	Syao.g_02672
OG0000190	Prak.g_00102	Syao.g_01015
OG0000191	Prak.g_00125	Syao.g_02573
OG0000192	Prak.g_00130	Syao.g_02579
OG0000193	Prak.g_00157	Syao.g_02481
OG0000194	Prak.g_00160	Syao.g_02484
OG0000195	Prak.g_00162	Syao.g_02486
OG0000196	Prak.g_00173	Syao.g_02498
OG0000197	Prak.g_00174	Syao.g_02499
OG0000198	Prak.g_00175	Syao.g_02500
OG0000199	Prak.g_00182	Syao.g_02508
OG0000200	Prak.g_00196	Syao.g_02524
OG0000201	Prak.g_00205	Syao.g_02540
OG0000202	Prak.g_00206	Syao.g_02454
OG0000203	Prak.g_00207	Syao.g_02455
OG0000204	Prak.g_00208	Syao.g_02456
OG0000205	Prak.g_00215	Syao.g_02464
OG0000206	Prak.g_00220	Syao.g_02469
OG0000207	Prak.g_00223	Syao.g_02471
OG0000208	Prak.g_00224	Syao.g_02472
OG0000209	Prak.g_00233	Syao.g_02394
OG0000210	Prak.g_00234	Syao.g_02395
OG0000211	Prak.g_00249	Syao.g_01700
OG0000212	Prak.g_00257	Syao.g_01710
OG0000213	Prak.g_00275	Syao.g_02098
OG0000214	Prak.g_00285	Syao.g_02081
OG0000215	Prak.g_00312	Syao.g_02050
OG0000216	Prak.g_00313	Syao.g_02045
OG0000217	Prak.g_00316	Syao.g_02041
OG0000218	Prak.g_00318	Syao.g_02039
OG0000219	Prak.g_00319	Syao.g_02038
OG0000220	Prak.g_00320	Syao.g_02037
OG0000221	Prak.g_00321	Syao.g_02034
OG0000222	Prak.g_00328	Syao.g_02023
OG0000223	Prak.g_00340	Syao.g_00291
OG0000224	Prak.g_00342	Syao.g_01973
OG0000225	Prak.g_00368	Syao.g_01751
OG0000226	Prak.g_00372	Syao.g_01758
OG0000227	Prak.g_00374	Syao.g_01760
OG0000228	Prak.g_00378	Syao.g_01715
OG0000229	Prak.g_00398	Syao.g_01736
OG0000230	Prak.g_00400	Syao.g_01738
OG0000231	Prak.g_00411	Syao.g_01513
OG0000232	Prak.g_00422	Syao.g_00057
OG0000233	Prak.g_00428	Syao.g_02698
OG0000234	Prak.g_00437	Syao.g_02680
OG0000235	Prak.g_00440	Syao.g_00029
OG0000236	Prak.g_00454	Syao.g_00111
OG0000237	Prak.g_00467	Syao.g_00166
OG0000238	Prak.g_00473	Syao.g_00161
OG0000239	Prak.g_00484	Syao.g_01398
OG0000240	Prak.g_00485	Syao.g_01399
OG0000241	Prak.g_00489	Syao.g_00887
OG0000242	Prak.g_00491	Syao.g_01410
OG0000243	Prak.g_00502	Syao.g_00873
OG0000244	Prak.g_00506	Syao.g_00865
OG0000245	Prak.g_00508	Syao.g_00863
OG0000246	Prak.g_00512	Syao.g_00859
OG0000247	Prak.g_00522	Syao.g_00847
OG0000248	Prak.g_00525	Syao.g_00844
OG0000249	Prak.g_00527	Syao.g_00842
OG0000250	Prak.g_00532	Syao.g_00835
OG0000251	Prak.g_00552	Syao.g_01026
OG0000252	Prak.g_00555	Syao.g_01020
OG0000253	Prak.g_00556	Syao.g_01003
OG0000254	Prak.g_00573	Syao.g_01053
OG0000255	Prak.g_00579	Syao.g_01009
OG0000256	Prak.g_00589	Syao.g_01328
OG0000257	Prak.g_01113	Syao.g_00884
OG0000258	Prak.g_01099	Syao.g_00907
OG0000259	Prak.g_01082	Syao.g_00933, Syao.g_00932
OG0000260	Prak.g_01079	Syao.g_00936
OG0000261	Prak.g_01076	Syao.g_00941
OG0000262	Prak.g_01072	Syao.g_00946
OG0000263	Prak.g_00808	Syao.g_00247
OG0000264	Prak.g_00819	Syao.g_00699
OG0000265	Prak.g_00837	Syao.g_00049
OG0000266	Prak.g_01053	Syao.g_00480
OG0000267	Prak.g_01041	Syao.g_00589
OG0000268	Prak.g_01040	Syao.g_00588
OG0000269	Prak.g_00840	Syao.g_00751
OG0000270	Prak.g_00843	Syao.g_00754
OG0000271	Prak.g_00851	Syao.g_00762
OG0000272	Prak.g_00852	Syao.g_00763
OG0000273	Prak.g_00876	Syao.g_00791
OG0000274	Prak.g_00877	Syao.g_00792
OG0000275	Prak.g_00880	Syao.g_00438
OG0000276	Prak.g_00886	Syao.g_00558
OG0000277	Prak.g_00887	Syao.g_00557
OG0000278	Prak.g_00890	Syao.g_00554
OG0000279	Prak.g_00897	Syao.g_00529
OG0000280	Prak.g_00898	Syao.g_00608
OG0000281	Prak.g_00905	Syao.g_01377
OG0000282	Prak.g_00772	Syao.g_00967
OG0000283	Prak.g_00949	Syao.g_00640
OG0000284	Prak.g_00954	Syao.g_00634
OG0000285	Prak.g_00959	Syao.g_00706
OG0000286	Prak.g_00972	Syao.g_00675
OG0000287	Prak.g_01238	Syao.g_00825
OG0000288	Prak.g_01011	Syao.g_00446
OG0000289	Prak.g_01027	Syao.g_00461
OG0000290	Prak.g_00923	Syao.g_00428
OG0000291	Prak.g_00921	Syao.g_00333
OG0000292	Prak.g_01217	Syao.g_02196
OG0000293	Prak.g_01182	Syao.g_00136
OG0000294	Prak.g_01181	Syao.g_00135
OG0000295	Prak.g_01158	Syao.g_00186
OG0000296	Prak.g_01156	Syao.g_00184
OG0000299	Prak.g_01127	Syao.g_00231
OG0000301	Prak.g_01123	Syao.g_00272, Syao.g_00273
OG0000302	Prak.g_01121	Syao.g_00271
OG0000303	Prak.g_01115	Syao.g_00262
OG0000304	Prak.g_00594	Syao.g_00256
OG0000305	Prak.g_01215	Syao.g_00388
OG0000306	Prak.g_00909	Syao.g_01216
OG0000307	Prak.g_01338	Syao.g_00045
OG0000308	Prak.g_01339	Syao.g_00047
OG0000309	Prak.g_01343	Syao.g_02705
OG0000310	Prak.g_01377	Syao.g_01530
OG0000311	Prak.g_01379	Syao.g_01533
OG0000312	Prak.g_01382	Syao.g_01538
OG0000313	Prak.g_01395	Syao.g_01491
OG0000314	Prak.g_01418	Syao.g_00078
OG0000315	Prak.g_01428	Syao.g_00088
OG0000316	Prak.g_01453	Syao.g_01602
OG0000317	Prak.g_01642	Syao.g_01560
OG0000318	Prak.g_01646	Syao.g_01553
OG0000319	Prak.g_01659	Syao.g_01678
OG0000320	Prak.g_01661	Syao.g_01676
OG0000321	Prak.g_01662	Syao.g_01675
OG0000322	Prak.g_01663	Syao.g_01674
OG0000323	Prak.g_01672	Syao.g_01661
OG0000324	Prak.g_01699	Syao.g_01630
OG0000325	Prak.g_01710	Syao.g_01936
OG0000326	Prak.g_01717	Syao.g_01918
OG0000327	Prak.g_01738	Syao.g_01795
OG0000328	Prak.g_01739	Syao.g_01794
OG0000329	Prak.g_01756	Syao.g_01776
OG0000330	Prak.g_01757	Syao.g_01775
OG0000331	Prak.g_01758	Syao.g_01774
OG0000332	Prak.g_01772	Syao.g_01813
OG0000333	Prak.g_01774	Syao.g_01810
OG0000334	Prak.g_01783	Syao.g_01836
OG0000335	Prak.g_01788	Syao.g_01831
OG0000336	Prak.g_01792	Syao.g_01827
OG0000337	Prak.g_01810	Syao.g_01968
OG0000338	Prak.g_01811	Syao.g_01962
OG0000339	Prak.g_01817	Syao.g_02259
OG0000340	Prak.g_01826	Syao.g_02129
OG0000341	Prak.g_01828	Syao.g_02131
OG0000342	Prak.g_01829	Syao.g_02132
OG0000343	Prak.g_01830	Syao.g_02133
OG0000344	Prak.g_01833	Syao.g_02137
OG0000345	Prak.g_01839	Syao.g_01953
OG0000346	Prak.g_01843	Syao.g_01948
OG0000347	Prak.g_01860	Syao.g_02178
OG0000348	Prak.g_01868	Syao.g_02166
OG0000349	Prak.g_01886	Syao.g_02219
OG0000350	Prak.g_00656	Syao.g_01925
