Orthogroup	Prak	Prai
OG0000000	Prak.g_01562	Prai.g_01612, Prai.g_01592
OG0000002	Prak.g_00908, Prak.g_00913	Prai.g_01363
OG0000002	Prak.g_01202, Prak.g_01323, Prak.g_01200, Prak.g_01207, Prak.g_01494, Prak.g_00805	Prai.g_00707
OG0000004	Prak.g_00826	Prai.g_00724
OG0000004	Prak.g_00248	Prai.g_00243
OG0000005	Prak.g_01474	Prai.g_01538
OG0000006	Prak.g_00258	Prai.g_00252, Prai.g_00254
OG0000007	Prak.g_00458	Prai.g_00527
OG0000007	Prak.g_01645	Prai.g_01638
OG0000008	Prak.g_01544, Prak.g_01545, Prak.g_01546	Prai.g_00701
OG0000009	Prak.g_01486	Prai.g_01578
OG0000010	Prak.g_00739, Prak.g_01034, Prak.g_00435	Prai.g_00504
OG0000011	Prak.g_00660	Prai.g_01599
OG0000012	Prak.g_01506, Prak.g_00584	Prai.g_00652
OG0000013	Prak.g_00343	Prai.g_00340
OG0000014	Prak.g_00325	Prai.g_00319
OG0000015	Prak.g_01584, Prak.g_01630	Prai.g_01243
OG0000016	Prak.g_00013	Prai.g_00013
OG0000016	Prak.g_01230	Prai.g_01573
OG0000017	Prak.g_00559	Prai.g_00626
OG0000018	Prak.g_01194	Prai.g_01153
OG0000018	Prak.g_00873	Prai.g_00820
OG0000019	Prak.g_00266	Prai.g_00262
OG0000019	Prak.g_01196	Prai.g_00867
OG0000020	Prak.g_01498	Prai.g_01125
OG0000020	Prak.g_01527	Prai.g_00400
OG0000021	Prak.g_01499	Prai.g_00378
OG0000022	Prak.g_01482	Prai.g_00885
OG0000023	Prak.g_00721	Prai.g_00373
OG0000024	Prak.g_01038	Prai.g_00899
OG0000024	Prak.g_00802	Prai.g_00704
OG0000025	Prak.g_00881	Prai.g_00812, Prai.g_00344
OG0000026	Prak.g_00032	Prai.g_00031, Prai.g_01074
OG0000027	Prak.g_01521	Prai.g_00904
OG0000028	Prak.g_01543	Prai.g_01297
OG0000029	Prak.g_01534, Prak.g_01576	Prai.g_00890
OG0000030	Prak.g_01853	Prai.g_01848
OG0000031	Prak.g_01350	Prai.g_01444
OG0000033	Prak.g_00181	Prai.g_00180
OG0000034	Prak.g_01288	Prai.g_01345
OG0000037	Prak.g_00115	Prai.g_00109
OG0000038	Prak.g_01893	Prai.g_01890
OG0000039	Prak.g_00814	Prai.g_00715
OG0000041	Prak.g_01692	Prai.g_01684
