Orthogroup	Prak	Prap
OG0000000	Prak.g_01210	Prap.g_00494
OG0000000	Prak.g_01562	Prap.g_01862
OG0000000	Prak.g_01209	Prap.g_00493
OG0000000	Prak.g_01209	Prap.g_01861
OG0000000	Prak.g_01563	Prap.g_00493
OG0000000	Prak.g_01563	Prap.g_01861
OG0000000	Prak.g_01578	Prap.g_01846
OG0000001	Prak.g_01302	Prap.g_01925
OG0000001	Prak.g_00755	Prap.g_00653
OG0000002	Prak.g_00908	Prap.g_00720
OG0000002	Prak.g_00913	Prap.g_00715
OG0000002	Prak.g_01202	Prap.g_00486
OG0000002	Prak.g_01323	Prap.g_01946
OG0000002	Prak.g_01200	Prap.g_00484
OG0000002	Prak.g_01207	Prap.g_00491
OG0000002	Prak.g_01494	Prap.g_00224
OG0000002	Prak.g_00805	Prap.g_00823
OG0000004	Prak.g_00826	Prap.g_00802
OG0000004	Prak.g_00248	Prap.g_01480
OG0000005	Prak.g_01474	Prap.g_00204
OG0000006	Prak.g_00258	Prap.g_01470
OG0000007	Prak.g_00458	Prap.g_01270
OG0000007	Prak.g_01645	Prap.g_01779
OG0000008	Prak.g_01544	Prap.g_01888
OG0000008	Prak.g_01545, Prak.g_01546	Prap.g_01887
OG0000009	Prak.g_01486	Prap.g_00216
OG0000010	Prak.g_00739	Prap.g_00669
OG0000010	Prak.g_01034	Prap.g_00318
OG0000010	Prak.g_00435	Prap.g_01293
OG0000011	Prak.g_00660	Prap.g_00619
OG0000012	Prak.g_01506	Prap.g_00236
OG0000012	Prak.g_00584	Prap.g_01145
OG0000013	Prak.g_00343	Prap.g_01385
OG0000014	Prak.g_00325	Prap.g_01403
OG0000015	Prak.g_01584	Prap.g_01840
OG0000015	Prak.g_01630	Prap.g_01794
OG0000016	Prak.g_01230	Prap.g_00514
OG0000017	Prak.g_00566	Prap.g_01163
OG0000017	Prak.g_00559	Prap.g_01170
OG0000018	Prak.g_01194	Prap.g_00478
OG0000018	Prak.g_00873	Prap.g_00755
OG0000019	Prak.g_00266	Prap.g_01462
OG0000019	Prak.g_01196	Prap.g_00480
OG0000020	Prak.g_01498	Prap.g_00228
OG0000020	Prak.g_01527	Prap.g_01906
OG0000021	Prak.g_01499	Prap.g_00229
OG0000021	Prak.g_00831	Prap.g_00797
OG0000022	Prak.g_01482	Prap.g_00212
OG0000023	Prak.g_00721	Prap.g_00029
OG0000024	Prak.g_01038	Prap.g_00322
OG0000024	Prak.g_00802	Prap.g_00826
OG0000025	Prak.g_00881	Prap.g_00747
OG0000026	Prak.g_00032	Prap.g_00923
OG0000027	Prak.g_01564	Prap.g_01860
OG0000027	Prak.g_01521	Prap.g_01912
OG0000028	Prak.g_01543	Prap.g_01889
OG0000029	Prak.g_01735	Prap.g_01688
OG0000029	Prak.g_01534	Prap.g_01899
OG0000029	Prak.g_01576	Prap.g_01848
OG0000030	Prak.g_01853	Prap.g_01569
OG0000031	Prak.g_01350	Prap.g_00080
OG0000032	Prak.g_01430	Prap.g_00160
OG0000033	Prak.g_01357	Prap.g_00087
OG0000033	Prak.g_00181	Prap.g_01001
OG0000034	Prak.g_01288	Prap.g_00572
OG0000035	Prak.g_01391	Prap.g_00121
OG0000037	Prak.g_00115	Prap.g_01067
OG0000038	Prak.g_01893	Prap.g_01530
OG0000039	Prak.g_00814	Prap.g_00814
OG0000041	Prak.g_01692	Prap.g_01731
