Orthogroup	Prak	Syaa
OG0000004	Prak.g_00826	Syaa.g_00892
OG0000004	Prak.g_00248	Syaa.g_01667, Syaa.g_02116
OG0000005	Prak.g_01474	Syaa.g_00573
OG0000006	Prak.g_00258	Syaa.g_01043, Syaa.g_02353, Syaa.g_02099
OG0000007	Prak.g_00458	Syaa.g_02032
OG0000007	Prak.g_01645	Syaa.g_00551
OG0000008	Prak.g_01544	Syaa.g_00918
OG0000008	Prak.g_01545, Prak.g_01546	Syaa.g_00919
OG0000010	Prak.g_00739, Prak.g_01034, Prak.g_00435	Syaa.g_01843
OG0000012	Prak.g_00584	Syaa.g_01660
OG0000013	Prak.g_00343	Syaa.g_02204, Syaa.g_02217, Syaa.g_02212
OG0000014	Prak.g_00325	Syaa.g_00222
OG0000015	Prak.g_01584, Prak.g_01630	Syaa.g_01079, Syaa.g_01989
OG0000016	Prak.g_00013	Syaa.g_00014
OG0000016	Prak.g_01230	Syaa.g_00981, Syaa.g_01481
OG0000017	Prak.g_00566	Syaa.g_01883
OG0000017	Prak.g_00559	Syaa.g_01890
OG0000018	Prak.g_01194, Prak.g_00873	Syaa.g_01801
OG0000019	Prak.g_00266, Prak.g_01196	Syaa.g_00307
OG0000021	Prak.g_00831	Syaa.g_02627
OG0000022	Prak.g_01482	Syaa.g_01571
OG0000023	Prak.g_00721	Syaa.g_01529, Syaa.g_01216
OG0000024	Prak.g_01038, Prak.g_00802	Syaa.g_00922
OG0000025	Prak.g_00881	Syaa.g_00839
OG0000026	Prak.g_00032	Syaa.g_00038
OG0000027	Prak.g_01564, Prak.g_01521	Syaa.g_01605, Syaa.g_00854
OG0000028	Prak.g_01543	Syaa.g_00205
OG0000029	Prak.g_01735, Prak.g_01534, Prak.g_01576	Syaa.g_01578
OG0000030	Prak.g_01853	Syaa.g_00099, Syaa.g_00098
OG0000031	Prak.g_01350	Syaa.g_00480
OG0000032	Prak.g_01430	Syaa.g_01818
OG0000033	Prak.g_01357	Syaa.g_00485
OG0000033	Prak.g_00181	Syaa.g_02478
OG0000034	Prak.g_01288	Syaa.g_00722, Syaa.g_02444
