Orthogroup	Prak	Syam
OG0000001	Prak.g_01302, Prak.g_00755	Syam.g_00946
OG0000002	Prak.g_00908, Prak.g_00913, Prak.g_01202, Prak.g_01323, Prak.g_01200, Prak.g_01207, Prak.g_01494, Prak.g_00805	Syam.g_00931
OG0000004	Prak.g_00826	Syam.g_00787
OG0000004	Prak.g_00248	Syam.g_01499, Syam.g_00501
OG0000005	Prak.g_01474	Syam.g_01970
OG0000006	Prak.g_00258	Syam.g_00286, Syam.g_00518
OG0000007	Prak.g_00458	Syam.g_00602
OG0000007	Prak.g_01645	Syam.g_01990
OG0000008	Prak.g_01544	Syam.g_00810
OG0000008	Prak.g_01545, Prak.g_01546	Syam.g_00811
OG0000010	Prak.g_00739, Prak.g_01034, Prak.g_00435	Syam.g_01669
OG0000012	Prak.g_00584	Syam.g_01492
OG0000013	Prak.g_00343	Syam.g_00421, Syam.g_00404, Syam.g_00409
OG0000014	Prak.g_00325	Syam.g_00191
OG0000015	Prak.g_01584, Prak.g_01630	Syam.g_01218, Syam.g_01362
OG0000016	Prak.g_00013	Syam.g_00014
OG0000016	Prak.g_01230	Syam.g_00876, Syam.g_01011
OG0000017	Prak.g_00566	Syam.g_01708
OG0000017	Prak.g_00559	Syam.g_01715
OG0000018	Prak.g_01194, Prak.g_00873	Syam.g_01640
OG0000019	Prak.g_00266, Prak.g_01196	Syam.g_00274
OG0000021	Prak.g_00831	Syam.g_00523
OG0000022	Prak.g_01482	Syam.g_01418
OG0000023	Prak.g_00721	Syam.g_01217, Syam.g_01553, Syam.g_01583, Syam.g_01075, Syam.g_01943
OG0000024	Prak.g_01038, Prak.g_00802	Syam.g_00815
OG0000025	Prak.g_00881	Syam.g_00740
OG0000026	Prak.g_00032	Syam.g_00035
OG0000027	Prak.g_01564, Prak.g_01521	Syam.g_01442, Syam.g_00989
OG0000028	Prak.g_01543	Syam.g_00176
OG0000029	Prak.g_01735, Prak.g_01534, Prak.g_01576	Syam.g_01390, Syam.g_01055
OG0000030	Prak.g_01853	Syam.g_00104, Syam.g_00103
OG0000031	Prak.g_01350	Syam.g_00086
OG0000032	Prak.g_01430	Syam.g_01660
OG0000033	Prak.g_00181	Syam.g_02217
OG0000034	Prak.g_01288	Syam.g_02185, Syam.g_01843, Syam.g_02187
OG0000035	Prak.g_01391	Syam.g_01612
OG0000037	Prak.g_00115	Syam.g_02125
OG0000038	Prak.g_01893	Syam.g_02317
OG0000039	Prak.g_00814	Syam.g_00749
