Orthogroup	Prak	Syab
OG0000000	Prak.g_01210, Prak.g_01562, Prak.g_01209, Prak.g_01563, Prak.g_01578	Syab.g_01226
OG0000001	Prak.g_01302, Prak.g_00755	Syab.g_01549
OG0000002	Prak.g_00908, Prak.g_00913, Prak.g_01202, Prak.g_01323, Prak.g_01200, Prak.g_01207, Prak.g_01494, Prak.g_00805	Syab.g_02285
OG0000004	Prak.g_00826	Syab.g_00549, Syab.g_01193
OG0000004	Prak.g_00248	Syab.g_01911, Syab.g_02377
OG0000005	Prak.g_01474	Syab.g_02806, Syab.g_02232
OG0000006	Prak.g_00258	Syab.g_00365, Syab.g_01847, Syab.g_02361
OG0000007	Prak.g_00458	Syab.g_02117
OG0000007	Prak.g_01645	Syab.g_02256
OG0000008	Prak.g_01544	Syab.g_01755
OG0000008	Prak.g_01545, Prak.g_01546	Syab.g_01168
OG0000009	Prak.g_01486	Syab.g_00995
OG0000010	Prak.g_00739, Prak.g_01034, Prak.g_00435	Syab.g_00696
OG0000013	Prak.g_00343	Syab.g_00497, Syab.g_00482, Syab.g_00487
OG0000014	Prak.g_00325	Syab.g_00249
OG0000016	Prak.g_00013	Syab.g_00014
OG0000016	Prak.g_01230	Syab.g_01049
OG0000017	Prak.g_00566	Syab.g_01945
OG0000017	Prak.g_00559	Syab.g_01953
OG0000018	Prak.g_01194, Prak.g_00873	Syab.g_00742
OG0000019	Prak.g_00266, Prak.g_01196	Syab.g_00344
OG0000020	Prak.g_01498, Prak.g_01527	Syab.g_02230
OG0000022	Prak.g_01482	Syab.g_01825
OG0000023	Prak.g_00721	Syab.g_00708, Syab.g_02058, Syab.g_01294
OG0000024	Prak.g_01038, Prak.g_00802	Syab.g_01834
OG0000025	Prak.g_00881	Syab.g_01705
OG0000026	Prak.g_00032	Syab.g_00036
OG0000027	Prak.g_01564, Prak.g_01521	Syab.g_01782
OG0000028	Prak.g_01543	Syab.g_00234
OG0000030	Prak.g_01853	Syab.g_00096, Syab.g_00095
OG0000032	Prak.g_01430	Syab.g_00724
OG0000033	Prak.g_00181	Syab.g_02590
OG0000034	Prak.g_01288	Syab.g_00900, Syab.g_02560
OG0000035	Prak.g_01391	Syab.g_00776
OG0000037	Prak.g_00115	Syab.g_02504
OG0000038	Prak.g_01893	Syab.g_02759, Syab.g_02761
OG0000039	Prak.g_00814	Syab.g_02791
OG0000041	Prak.g_01692	Syab.g_02333
OG0000042	Prak.g_01850	Syab.g_01019, Syab.g_00099
OG0000043	Prak.g_01193	Syab.g_01539
OG0000045	Prak.g_01216	Syab.g_01787
OG0000046	Prak.g_00344	Syab.g_00481, Syab.g_00488, Syab.g_00496
OG0000047	Prak.g_00385	Syab.g_00876
OG0000048	Prak.g_01264, Prak.g_00289	Syab.g_00308
OG0000051	Prak.g_00667	Syab.g_01073
OG0000052	Prak.g_01369	Syab.g_00214
OG0000053	Prak.g_01590, Prak.g_01412	Syab.g_00746
OG0000054	Prak.g_00568	Syab.g_01932
OG0000055	Prak.g_01221	Syab.g_01255
OG0000057	Prak.g_00829	Syab.g_01200
OG0000058	Prak.g_01351	Syab.g_00227
OG0000059	Prak.g_01732	Syab.g_00397
OG0000061	Prak.g_01172	Syab.g_00969
OG0000062	Prak.g_01476	Syab.g_02234
OG0000063	Prak.g_01530	Syab.g_00040
OG0000064	Prak.g_00072	Syab.g_02808, Syab.g_01783, Syab.g_00997, Syab.g_00824
OG0000065	Prak.g_00113	Syab.g_02500, Syab.g_01768
OG0000066	Prak.g_00498, Prak.g_01557	Syab.g_02031
OG0000067	Prak.g_00845	Syab.g_01659
OG0000068	Prak.g_01329	Syab.g_02087
OG0000070	Prak.g_00412	Syab.g_00614
OG0000071	Prak.g_01277	Syab.g_00915
OG0000072	Prak.g_00183	Syab.g_02593
OG0000073	Prak.g_00461	Syab.g_02119
OG0000075	Prak.g_01816	Syab.g_00202
OG0000076	Prak.g_01842	Syab.g_00113
OG0000077	Prak.g_00083	Syab.g_02446
OG0000078	Prak.g_00256	Syab.g_02366
OG0000079	Prak.g_00269	Syab.g_00340
OG0000081	Prak.g_00490	Syab.g_01793
OG0000082	Prak.g_00546, Prak.g_01634	Syab.g_01971
OG0000084	Prak.g_01388	Syab.g_00781
OG0000085	Prak.g_01637, Prak.g_01516	Syab.g_02243
OG0000086	Prak.g_00092	Syab.g_02468
OG0000087	Prak.g_00147	Syab.g_02551
OG0000088	Prak.g_00178	Syab.g_02586
OG0000089	Prak.g_00379	Syab.g_00551
OG0000090	Prak.g_00492	Syab.g_02041
OG0000091	Prak.g_01100	Syab.g_01866
OG0000092	Prak.g_00775	Syab.g_01242, Syab.g_00690
OG0000093	Prak.g_01071	Syab.g_01090
OG0000097	Prak.g_01126	Syab.g_01051
OG0000098	Prak.g_01305	Syab.g_01553
OG0000099	Prak.g_01352	Syab.g_00230
OG0000100	Prak.g_01470	Syab.g_01694
OG0000101	Prak.g_01780	Syab.g_00446
OG0000102	Prak.g_01847	Syab.g_00104
