Orthogroup	Prak	Syak
OG0000001	Prak.g_01302, Prak.g_00755	Syak.g_00342
OG0000004	Prak.g_00826	Syak.g_01219, Syak.g_00720
OG0000004	Prak.g_00248	Syak.g_00003, Syak.g_02297
OG0000005	Prak.g_01474	Syak.g_00885, Syak.g_02436
OG0000006	Prak.g_00258	Syak.g_00059, Syak.g_00061, Syak.g_01394, Syak.g_02315, Syak.g_02317
OG0000007	Prak.g_00458	Syak.g_02595
OG0000007	Prak.g_01645	Syak.g_02416
OG0000008	Prak.g_01544	Syak.g_00267
OG0000008	Prak.g_01545, Prak.g_01546	Syak.g_00692
OG0000010	Prak.g_00739, Prak.g_01034, Prak.g_00435	Syak.g_01119
OG0000011	Prak.g_00660	Syak.g_02294
OG0000012	Prak.g_00584	Syak.g_00010
OG0000013	Prak.g_00343	Syak.g_01275, Syak.g_01270
OG0000014	Prak.g_00325	Syak.g_01505
OG0000015	Prak.g_01584, Prak.g_01630	Syak.g_00358
OG0000016	Prak.g_00013	Syak.g_01780
OG0000016	Prak.g_01230	Syak.g_00818
OG0000017	Prak.g_00566	Syak.g_02738
OG0000017	Prak.g_00559	Syak.g_02730
OG0000018	Prak.g_01194, Prak.g_00873	Syak.g_01072
OG0000019	Prak.g_00266, Prak.g_01196	Syak.g_01413
OG0000021	Prak.g_01499	Syak.g_00566
OG0000022	Prak.g_01482	Syak.g_00088
OG0000023	Prak.g_00721	Syak.g_00316, Syak.g_00223
OG0000025	Prak.g_00881	Syak.g_00610
OG0000026	Prak.g_00032	Syak.g_01757
OG0000027	Prak.g_01564, Prak.g_01521	Syak.g_00127
OG0000028	Prak.g_01543	Syak.g_01522
OG0000029	Prak.g_01735, Prak.g_01534, Prak.g_01576	Syak.g_00169, Syak.g_00178
OG0000030	Prak.g_01853	Syak.g_01684, Syak.g_01685
OG0000031	Prak.g_01350	Syak.g_01630
OG0000032	Prak.g_01430	Syak.g_01092
OG0000033	Prak.g_01357, Prak.g_00181	Syak.g_02101
OG0000034	Prak.g_01288	Syak.g_00950, Syak.g_02133
OG0000035	Prak.g_01391	Syak.g_01041
OG0000037	Prak.g_00115	Syak.g_02188
OG0000038	Prak.g_01893	Syak.g_01938, Syak.g_01936
OG0000039	Prak.g_00814	Syak.g_00772, Syak.g_01918
OG0000041	Prak.g_01692	Syak.g_02354
OG0000042	Prak.g_01850	Syak.g_00843, Syak.g_01681
OG0000043	Prak.g_01193	Syak.g_00335
OG0000045	Prak.g_01216	Syak.g_00228
OG0000046	Prak.g_00344	Syak.g_01276, Syak.g_01269
OG0000047	Prak.g_00385	Syak.g_01147
OG0000048	Prak.g_01264, Prak.g_00289	Syak.g_01446
OG0000050	Prak.g_00741	Syak.g_00106
OG0000052	Prak.g_01369	Syak.g_01549
OG0000053	Prak.g_01590, Prak.g_01412	Syak.g_01068
OG0000054	Prak.g_00568	Syak.g_02744
OG0000055	Prak.g_01221	Syak.g_00766
OG0000057	Prak.g_00829	Syak.g_00724
OG0000058	Prak.g_01351	Syak.g_01530
OG0000059	Prak.g_01732	Syak.g_01355
OG0000061	Prak.g_01172	Syak.g_00898
OG0000062	Prak.g_01476	Syak.g_02434
OG0000063	Prak.g_01530	Syak.g_01752
OG0000064	Prak.g_00072	Syak.g_00254, Syak.g_00126, Syak.g_00164, Syak.g_00983
