Orthogroup	Syar	Syac
OG0000001	Syar.g_00069	Syac.g_02154
OG0000001	Syar.g_00070	Syac.g_00341, Syac.g_00340
OG0000004	Syar.g_02051	Syac.g_00898
OG0000004	Syar.g_02225	Syac.g_00948
OG0000004	Syar.g_00842	Syac.g_01975
OG0000005	Syar.g_02952	Syac.g_00527
OG0000005	Syar.g_02909	Syac.g_00569
OG0000005	Syar.g_01752	Syac.g_01087
OG0000006	Syar.g_00151, Syar.g_02056, Syar.g_03013	Syac.g_01958, Syac.g_01961, Syac.g_02194
OG0000006	Syar.g_02439	Syac.g_01002
OG0000007	Syar.g_01491	Syac.g_01885
OG0000007	Syar.g_02929	Syac.g_00544
OG0000008	Syar.g_02097	Syac.g_00921
OG0000008	Syar.g_02098	Syac.g_00922
OG0000009	Syar.g_03116	Syac.g_01004, Syac.g_00398
OG0000010	Syar.g_01272	Syac.g_01701
OG0000013	Syar.g_02032, Syar.g_01103, Syar.g_01106	Syac.g_02062
OG0000014	Syar.g_00825	Syac.g_00253
OG0000016	Syar.g_02859	Syac.g_00014, Syac.g_01505, Syac.g_01053
OG0000017	Syar.g_02180	Syac.g_01742
OG0000017	Syar.g_02188	Syac.g_01749
OG0000018	Syar.g_01409	Syac.g_01660
OG0000019	Syar.g_00163	Syac.g_02207
OG0000022	Syar.g_00835	Syac.g_01031
OG0000025	Syar.g_01811	Syac.g_00847
OG0000026	Syar.g_00505	Syac.g_00034
OG0000027	Syar.g_02055	Syac.g_01095
OG0000028	Syar.g_00718	Syac.g_00237
OG0000031	Syar.g_00714	Syac.g_00232
OG0000032	Syar.g_01390	Syac.g_01677
OG0000033	Syar.g_00105	Syac.g_00304
OG0000034	Syar.g_00074, Syar.g_02790	Syac.g_00334, Syac.g_00715
OG0000035	Syar.g_02809	Syac.g_01630
OG0000037	Syar.g_02154, Syar.g_02562, Syar.g_01310, Syar.g_02856	Syac.g_01077
OG0000038	Syar.g_00334	Syac.g_02357
OG0000038	Syar.g_00336	Syac.g_02358
OG0000039	Syar.g_00007	Syac.g_00856
OG0000039	Syar.g_02151	Syac.g_02378
OG0000040	Syar.g_00858	Syac.g_02437
OG0000042	Syar.g_00595, Syar.g_01970	Syac.g_00146
OG0000044	Syar.g_02052, Syar.g_02167, Syar.g_01631	Syac.g_00477, Syac.g_00858
OG0000045	Syar.g_02592	Syac.g_00576, Syac.g_01040
OG0000046	Syar.g_03233	Syac.g_02047
OG0000048	Syar.g_00213	Syac.g_02240
OG0000051	Syar.g_01597	Syac.g_01073, Syac.g_01292
OG0000052	Syar.g_02742, Syar.g_02751	Syac.g_00207
OG0000053	Syar.g_01413	Syac.g_01657
OG0000054	Syar.g_02265	Syac.g_01050
OG0000055	Syar.g_01386	Syac.g_00859, Syac.g_01034
OG0000057	Syar.g_00006	Syac.g_00894
OG0000060	Syar.g_01260	Syac.g_01909
OG0000061	Syar.g_01539	Syac.g_00769
OG0000062	Syar.g_02911	Syac.g_00567
OG0000063	Syar.g_00509	Syac.g_00037
OG0000064	Syar.g_00860	Syac.g_01567
OG0000065	Syar.g_03119	Syac.g_00490, Syac.g_00396
OG0000066	Syar.g_02228	Syac.g_01827
OG0000067	Syar.g_02639	Syac.g_01341
OG0000068	Syar.g_02329, Syar.g_01461	Syac.g_01916
OG0000069	Syar.g_01716	Syac.g_01272
OG0000070	Syar.g_02223	Syac.g_00711
OG0000071	Syar.g_02777	Syac.g_00729, Syac.g_01049
OG0000072	Syar.g_00107	Syac.g_00302
OG0000073	Syar.g_01493	Syac.g_01883
OG0000075	Syar.g_03065, Syar.g_00659	Syac.g_00191
OG0000076	Syar.g_00608	Syac.g_00156
OG0000077	Syar.g_03051	Syac.g_00439
OG0000078	Syar.g_03265	Syac.g_01964
OG0000079	Syar.g_00166	Syac.g_02211
OG0000081	Syar.g_01898	Syac.g_00461, Syac.g_01954
OG0000082	Syar.g_02202	Syac.g_01766
OG0000085	Syar.g_02919	Syac.g_00560
OG0000086	Syar.g_03085	Syac.g_00423
OG0000087	Syar.g_00068	Syac.g_00343
OG0000088	Syar.g_00101	Syac.g_00308
OG0000089	Syar.g_01162	Syac.g_01988, Syac.g_01543
OG0000090	Syar.g_02363, Syar.g_02353, Syar.g_02356	Syac.g_01836
OG0000091	Syar.g_01891, Syar.g_02426	Syac.g_00987
OG0000093	Syar.g_02623	Syac.g_01357
OG0000094	Syar.g_01789	Syac.g_01251
OG0000095	Syar.g_01932	Syac.g_00884
OG0000097	Syar.g_01706	Syac.g_01507
OG0000098	Syar.g_02343	Syac.g_02157
OG0000099	Syar.g_00715	Syac.g_00234
OG0000100	Syar.g_02477	Syac.g_01309
OG0000101	Syar.g_03154	Syac.g_02094
OG0000102	Syar.g_00602, Syar.g_02164, Syar.g_01644, Syar.g_02138	Syac.g_00151
OG0000103	Syar.g_00014	Syac.g_02476
OG0000104	Syar.g_00466	Syac.g_02490
OG0000105	Syar.g_00218	Syac.g_02245
OG0000106	Syar.g_01748	Syac.g_01098
OG0000107	Syar.g_00149, Syar.g_03290	Syac.g_02191
OG0000108	Syar.g_01469	Syac.g_01904
OG0000109	Syar.g_03310	Syac.g_01889
OG0000110	Syar.g_02295	Syac.g_01778
OG0000111	Syar.g_00005	Syac.g_00893
OG0000112	Syar.g_02548	Syac.g_01173
OG0000113	Syar.g_02664	Syac.g_01314
OG0000114	Syar.g_01616	Syac.g_01394
OG0000115	Syar.g_02854, Syar.g_01415	Syac.g_01655
OG0000116	Syar.g_01525, Syar.g_02255	Syac.g_00753
OG0000117	Syar.g_01969	Syac.g_01477
OG0000118	Syar.g_02793	Syac.g_01728
OG0000120	Syar.g_00713	Syac.g_00233
OG0000121	Syar.g_02806	Syac.g_01635
OG0000123	Syar.g_01079	Syac.g_02086
OG0000124	Syar.g_00586	Syac.g_00135
OG0000125	Syar.g_00338	Syac.g_02360
OG0000126	Syar.g_00887, Syar.g_00888	Syac.g_02488
OG0000128	Syar.g_00482	Syac.g_00012
OG0000129	Syar.g_00324	Syac.g_02349
OG0000130	Syar.g_03040	Syac.g_00450
OG0000131	Syar.g_00078, Syar.g_02216	Syac.g_00330
OG0000132	Syar.g_00099	Syac.g_00310
OG0000133	Syar.g_02543	Syac.g_01178
OG0000134	Syar.g_01165	Syac.g_01985
OG0000135	Syar.g_00698	Syac.g_02398
OG0000136	Syar.g_02874	Syac.g_00701
OG0000137	Syar.g_01273	Syac.g_01700
OG0000138	Syar.g_01486	Syac.g_01888
OG0000139	Syar.g_03245	Syac.g_01830
OG0000140	Syar.g_02344	Syac.g_01829
OG0000141	Syar.g_02129	Syac.g_00934
OG0000142	Syar.g_02418	Syac.g_00979
OG0000143	Syar.g_02422	Syac.g_00983
OG0000144	Syar.g_02441	Syac.g_01090
OG0000145	Syar.g_01494	Syac.g_01882
OG0000146	Syar.g_02549	Syac.g_01172
OG0000147	Syar.g_02550	Syac.g_01171
OG0000148	Syar.g_02658	Syac.g_01320
OG0000149	Syar.g_01830	Syac.g_00832
OG0000150	Syar.g_02130	Syac.g_00935
OG0000151	Syar.g_02038	Syac.g_01383
OG0000152	Syar.g_02539	Syac.g_01182
OG0000153	Syar.g_02503	Syac.g_01217
OG0000154	Syar.g_01800	Syac.g_01241
OG0000155	Syar.g_01959	Syac.g_00804
OG0000156	Syar.g_01517	Syac.g_00743
OG0000157	Syar.g_01516	Syac.g_00742
OG0000158	Syar.g_00650	Syac.g_00182
OG0000159	Syar.g_02762	Syac.g_00181
OG0000160	Syar.g_02807	Syac.g_01633
OG0000161	Syar.g_02801	Syac.g_01641
OG0000162	Syar.g_02863	Syac.g_01648
OG0000163	Syar.g_01186	Syac.g_00619
OG0000164	Syar.g_03168	Syac.g_00508
OG0000165	Syar.g_02976	Syac.g_00674
OG0000166	Syar.g_01034	Syac.g_02132
OG0000167	Syar.g_00662	Syac.g_00194
OG0000168	Syar.g_00246	Syac.g_00179
OG0000169	Syar.g_00262	Syac.g_00168
OG0000170	Syar.g_00613	Syac.g_00161
OG0000171	Syar.g_00587	Syac.g_00136
OG0000172	Syar.g_00547	Syac.g_00084
OG0000173	Syar.g_00528	Syac.g_00057
OG0000174	Syar.g_00701	Syac.g_02401
OG0000175	Syar.g_00438	Syac.g_02465
OG0000176	Syar.g_00474	Syac.g_00004
OG0000177	Syar.g_00475	Syac.g_00005
OG0000178	Syar.g_00476	Syac.g_00006
OG0000179	Syar.g_00489	Syac.g_00019
OG0000180	Syar.g_00490	Syac.g_00020
OG0000181	Syar.g_00491	Syac.g_00021
OG0000182	Syar.g_00492	Syac.g_00022
OG0000183	Syar.g_00496	Syac.g_00026
OG0000184	Syar.g_00897	Syac.g_02339
OG0000185	Syar.g_00909	Syac.g_02336
OG0000186	Syar.g_03036	Syac.g_00454
OG0000187	Syar.g_03038	Syac.g_00453
OG0000188	Syar.g_03058	Syac.g_00433
OG0000189	Syar.g_03104	Syac.g_00408
OG0000190	Syar.g_03107, Syar.g_02374	Syac.g_00406
OG0000191	Syar.g_00039	Syac.g_00373
OG0000192	Syar.g_00046	Syac.g_00368
OG0000193	Syar.g_00079	Syac.g_00329
OG0000194	Syar.g_00082	Syac.g_00326
OG0000195	Syar.g_00023	Syac.g_00324
OG0000196	Syar.g_00096	Syac.g_00313
OG0000197	Syar.g_00097	Syac.g_00312
OG0000198	Syar.g_00098	Syac.g_00311
OG0000199	Syar.g_00106	Syac.g_00303
OG0000200	Syar.g_00124	Syac.g_02261
OG0000201	Syar.g_01000	Syac.g_02278
OG0000202	Syar.g_00998	Syac.g_02279
OG0000203	Syar.g_00997	Syac.g_02280
OG0000204	Syar.g_00996	Syac.g_02281
OG0000205	Syar.g_00988	Syac.g_02288
OG0000206	Syar.g_00963	Syac.g_02297
OG0000207	Syar.g_00957	Syac.g_02300
OG0000208	Syar.g_00956	Syac.g_02301
OG0000209	Syar.g_00936, Syar.g_03261	Syac.g_02316
OG0000210	Syar.g_00935	Syac.g_02317
OG0000211	Syar.g_03026	Syac.g_01972
