Orthogroup	Syar	Pram
OG0000001	Syar.g_00069	Pram.g_01954, Pram.g_01953, Pram.g_00719
OG0000004	Syar.g_02051	Pram.g_00789
OG0000004	Syar.g_02225, Syar.g_00842	Pram.g_00219
OG0000005	Syar.g_02909	Pram.g_01295
OG0000006	Syar.g_00151, Syar.g_02056, Syar.g_03013	Pram.g_00229
OG0000007	Syar.g_01491	Pram.g_00433
OG0000007	Syar.g_02929	Pram.g_01632
OG0000008	Syar.g_02097	Pram.g_01263
OG0000008	Syar.g_02098	Pram.g_01262
OG0000010	Syar.g_01272	Pram.g_00704, Pram.g_01000, Pram.g_00410
OG0000013	Syar.g_03281, Syar.g_02032, Syar.g_01103, Syar.g_01106, Syar.g_03167	Pram.g_00315
OG0000014	Syar.g_00825	Pram.g_00295
OG0000016	Syar.g_02859	Pram.g_01193
OG0000017	Syar.g_02180	Pram.g_00542
OG0000017	Syar.g_02188	Pram.g_00535
OG0000018	Syar.g_01409	Pram.g_01162, Pram.g_00837
OG0000019	Syar.g_00163	Pram.g_00237, Pram.g_01164
OG0000022	Syar.g_00835	Pram.g_01287
OG0000025	Syar.g_01811	Pram.g_00844
OG0000026	Syar.g_00505	Pram.g_00018
OG0000028	Syar.g_00718	Pram.g_00308, Pram.g_00363
OG0000031	Syar.g_00714	Pram.g_01413
OG0000032	Syar.g_01390	Pram.g_01339
OG0000033	Syar.g_00105	Pram.g_00154
OG0000034	Syar.g_00074, Syar.g_02790	Pram.g_01240
OG0000035	Syar.g_02809	Pram.g_01378, Pram.g_01381
OG0000037	Syar.g_02154, Syar.g_02562, Syar.g_01310, Syar.g_02856	Pram.g_00093
OG0000038	Syar.g_00334, Syar.g_00336	Pram.g_01884
OG0000039	Syar.g_00007, Syar.g_02827, Syar.g_02151, Syar.g_02044	Pram.g_00777
OG0000042	Syar.g_00595, Syar.g_01970	Pram.g_01841
OG0000044	Syar.g_02052, Syar.g_02167, Syar.g_01631	Pram.g_01620
OG0000045	Syar.g_02592	Pram.g_01184
OG0000046	Syar.g_01102, Syar.g_01105, Syar.g_03233	Pram.g_00316
OG0000048	Syar.g_00213	Pram.g_00259
OG0000052	Syar.g_00281	Pram.g_00040
OG0000052	Syar.g_02742, Syar.g_02751	Pram.g_01436
OG0000053	Syar.g_01413	Pram.g_01580, Pram.g_01357
OG0000055	Syar.g_01386	Pram.g_01189, Pram.g_01617
OG0000056	Syar.g_01662	Pram.g_01611, Pram.g_00603, Pram.g_00602
OG0000057	Syar.g_00006	Pram.g_00792
OG0000061	Syar.g_01539	Pram.g_01140
OG0000062	Syar.g_02911, Syar.g_01439	Pram.g_01293
OG0000063	Syar.g_00509	Pram.g_01258
OG0000064	Syar.g_03117, Syar.g_00860	Pram.g_00052
OG0000065	Syar.g_03119	Pram.g_00091
OG0000066	Syar.g_02228	Pram.g_01558
OG0000067	Syar.g_02639	Pram.g_00809
OG0000068	Syar.g_02329, Syar.g_01461	Pram.g_01468
OG0000069	Syar.g_01716	Pram.g_00391
