Orthogroup	Syar	Praq
OG0000001	Syar.g_00069	Praq.g_00160, Praq.g_01394, Praq.g_01393
OG0000004	Syar.g_02051	Praq.g_00824
OG0000004	Syar.g_02225, Syar.g_00842	Praq.g_01770
OG0000005	Syar.g_02952	Praq.g_00484
OG0000005	Syar.g_02909	Praq.g_00370
OG0000006	Syar.g_00151, Syar.g_02056, Syar.g_03013	Praq.g_01761
OG0000007	Syar.g_01491	Praq.g_01105
OG0000007	Syar.g_02929	Praq.g_00497
OG0000008	Syar.g_02097	Praq.g_00071
OG0000008	Syar.g_00419, Syar.g_02048	Praq.g_00801
OG0000009	Syar.g_03116	Praq.g_01898
OG0000010	Syar.g_01272	Praq.g_00552, Praq.g_01626, Praq.g_00525
OG0000013	Syar.g_03281, Syar.g_02032, Syar.g_01103, Syar.g_01106, Syar.g_03167	Praq.g_01675
OG0000014	Syar.g_00825	Praq.g_01696
OG0000017	Syar.g_02188	Praq.g_01004
OG0000018	Syar.g_01409	Praq.g_01314, Praq.g_01425
OG0000019	Syar.g_00163	Praq.g_01753, Praq.g_00649
OG0000022	Syar.g_00835	Praq.g_00635, Praq.g_01296
OG0000025	Syar.g_01811	Praq.g_01432, Praq.g_01671
OG0000026	Syar.g_00505	Praq.g_01234, Praq.g_01633
OG0000027	Syar.g_02055	Praq.g_00521
OG0000028	Syar.g_00718	Praq.g_01682, Praq.g_00103
OG0000032	Syar.g_00543	Praq.g_00202
OG0000033	Syar.g_00105	Praq.g_01833
OG0000034	Syar.g_00074, Syar.g_02790	Praq.g_00143
OG0000035	Syar.g_02809	Praq.g_00294
OG0000037	Syar.g_02154, Syar.g_02562, Syar.g_01310, Syar.g_02856	Praq.g_01894
OG0000038	Syar.g_00334, Syar.g_00336	Praq.g_00716
OG0000039	Syar.g_00007, Syar.g_02827, Syar.g_02151, Syar.g_02044	Praq.g_00815
OG0000040	Syar.g_02831	Praq.g_01313
OG0000042	Syar.g_00595, Syar.g_01970	Praq.g_00770
OG0000044	Syar.g_02052, Syar.g_02167, Syar.g_01631	Praq.g_00058
OG0000045	Syar.g_02592	Praq.g_00567, Praq.g_01172
OG0000048	Syar.g_00213	Praq.g_01169
OG0000053	Syar.g_01413	Praq.g_01246, Praq.g_00314
OG0000055	Syar.g_01386	Praq.g_00650
OG0000057	Syar.g_00006	Praq.g_00827
OG0000061	Syar.g_01539	Praq.g_01333
OG0000062	Syar.g_01439	Praq.g_00372
OG0000063	Syar.g_00509	Praq.g_01237, Praq.g_01236, Praq.g_00075
OG0000065	Syar.g_03119	Praq.g_01896
OG0000066	Syar.g_02228	Praq.g_01063
OG0000067	Syar.g_02639	Praq.g_00670
OG0000068	Syar.g_02329, Syar.g_01461	Praq.g_00175
OG0000069	Syar.g_01716	Praq.g_00056, Praq.g_00018
OG0000070	Syar.g_02223	Praq.g_01107
OG0000071	Syar.g_02777	Praq.g_00133
OG0000072	Syar.g_00107, Syar.g_01140	Praq.g_01831
OG0000073	Syar.g_01493, Syar.g_01364	Praq.g_01103
OG0000075	Syar.g_03065, Syar.g_00659	Praq.g_00739
OG0000076	Syar.g_00608	Praq.g_01243, Praq.g_00763
OG0000078	Syar.g_01366	Praq.g_01763
OG0000081	Syar.g_01898	Praq.g_01071
OG0000082	Syar.g_02202	Praq.g_01018
OG0000086	Syar.g_03085	Praq.g_01915
OG0000087	Syar.g_03192, Syar.g_00068	Praq.g_01864
OG0000088	Syar.g_00101	Praq.g_01836
OG0000089	Syar.g_01162	Praq.g_01188
OG0000090	Syar.g_03271, Syar.g_02363, Syar.g_02353, Syar.g_02356	Praq.g_01069
OG0000091	Syar.g_01891, Syar.g_02426	Praq.g_00960
OG0000092	Syar.g_01960	Praq.g_01495, Praq.g_00725
OG0000094	Syar.g_01789	Praq.g_01600
OG0000095	Syar.g_01932	Praq.g_01619
OG0000097	Syar.g_01706, Syar.g_00364	Praq.g_01374
OG0000098	Syar.g_02343	Praq.g_00157
OG0000099	Syar.g_00715	Praq.g_00216
OG0000100	Syar.g_02477	Praq.g_00368
OG0000101	Syar.g_01073, Syar.g_03154	Praq.g_00879
OG0000102	Syar.g_00602, Syar.g_02164, Syar.g_01644, Syar.g_02138	Praq.g_00768
OG0000103	Syar.g_00452, Syar.g_00014	Praq.g_00414
OG0000104	Syar.g_00466	Praq.g_00422
OG0000105	Syar.g_00218	Praq.g_01729
OG0000106	Syar.g_01748	Praq.g_01173
OG0000107	Syar.g_00149	Praq.g_01158
OG0000108	Syar.g_01469	Praq.g_00531
OG0000109	Syar.g_03310, Syar.g_01485	Praq.g_00545
OG0000110	Syar.g_02295	Praq.g_01028
OG0000111	Syar.g_01940	Praq.g_00828
OG0000112	Syar.g_02548, Syar.g_03195	Praq.g_00638
OG0000113	Syar.g_02664	Praq.g_01420
OG0000114	Syar.g_01616	Praq.g_01490
OG0000115	Syar.g_02854, Syar.g_01415	Praq.g_01278
OG0000116	Syar.g_01525, Syar.g_02255	Praq.g_01323
OG0000117	Syar.g_01969	Praq.g_00084
OG0000118	Syar.g_02793	Praq.g_00145
OG0000120	Syar.g_00713	Praq.g_00208
OG0000121	Syar.g_02806	Praq.g_00296
OG0000123	Syar.g_01079	Praq.g_00873
OG0000124	Syar.g_00586	Praq.g_00682
OG0000125	Syar.g_00338	Praq.g_00718
OG0000126	Syar.g_00887, Syar.g_00888	Praq.g_00421
OG0000128	Syar.g_00482	Praq.g_00437
OG0000129	Syar.g_00324	Praq.g_01259
OG0000130	Syar.g_03040	Praq.g_01934
OG0000131	Syar.g_00078	Praq.g_01857
OG0000132	Syar.g_00099	Praq.g_01838
OG0000133	Syar.g_02543	Praq.g_01680
OG0000134	Syar.g_02009, Syar.g_01165	Praq.g_01187
OG0000135	Syar.g_00698	Praq.g_01160
OG0000136	Syar.g_02874	Praq.g_01116
OG0000137	Syar.g_01273	Praq.g_00526
OG0000138	Syar.g_01486	Praq.g_00546
OG0000139	Syar.g_03245	Praq.g_01065
OG0000140	Syar.g_02344, Syar.g_03246	Praq.g_01064
OG0000141	Syar.g_02129	Praq.g_00995
OG0000142	Syar.g_02418	Praq.g_00967
OG0000143	Syar.g_02422	Praq.g_00963
OG0000144	Syar.g_02441	Praq.g_00781
OG0000145	Syar.g_01494	Praq.g_00637
OG0000146	Syar.g_02549	Praq.g_00639
OG0000147	Syar.g_02550	Praq.g_00640
OG0000148	Syar.g_02658	Praq.g_01414
OG0000149	Syar.g_01830, Syar.g_03289, Syar.g_03288	Praq.g_01444
OG0000150	Syar.g_02130	Praq.g_01452
OG0000151	Syar.g_02038	Praq.g_01500
OG0000152	Syar.g_02539	Praq.g_01548
OG0000153	Syar.g_03283, Syar.g_02503	Praq.g_01567
OG0000154	Syar.g_01800	Praq.g_01593
OG0000155	Syar.g_01959	Praq.g_01353
OG0000156	Syar.g_01517	Praq.g_00122
OG0000157	Syar.g_01516	Praq.g_00123
OG0000158	Syar.g_00650	Praq.g_00258
OG0000159	Syar.g_02359	Praq.g_00253, Praq.g_00217
OG0000160	Syar.g_02807	Praq.g_00295
OG0000161	Syar.g_02801	Praq.g_00301
OG0000162	Syar.g_02863	Praq.g_00307
OG0000163	Syar.g_01186	Praq.g_00341
OG0000164	Syar.g_03168, Syar.g_02969	Praq.g_00473
OG0000165	Syar.g_02976	Praq.g_00466
OG0000166	Syar.g_01034	Praq.g_00915
OG0000167	Syar.g_00662	Praq.g_00737
OG0000168	Syar.g_00246	Praq.g_00747
OG0000169	Syar.g_00262	Praq.g_00757
OG0000170	Syar.g_00613	Praq.g_00759
OG0000171	Syar.g_00587	Praq.g_00681
OG0000172	Syar.g_00547	Praq.g_00689
OG0000173	Syar.g_00528	Praq.g_00704
OG0000174	Syar.g_00701	Praq.g_00396
OG0000175	Syar.g_00438	Praq.g_00406
OG0000176	Syar.g_00474	Praq.g_00430
OG0000177	Syar.g_00475	Praq.g_00431
OG0000178	Syar.g_00476	Praq.g_00432
OG0000179	Syar.g_00489	Praq.g_01219
OG0000180	Syar.g_00490	Praq.g_01220
OG0000181	Syar.g_00491	Praq.g_01221
OG0000182	Syar.g_00492	Praq.g_01222
OG0000183	Syar.g_00496	Praq.g_01226
OG0000184	Syar.g_00897	Praq.g_01262
OG0000185	Syar.g_00909	Praq.g_01265
OG0000186	Syar.g_03036	Praq.g_01939
OG0000187	Syar.g_03038	Praq.g_01938
OG0000188	Syar.g_03058	Praq.g_01921
OG0000189	Syar.g_03104	Praq.g_01907
OG0000190	Syar.g_03107, Syar.g_02374	Praq.g_01906
OG0000191	Syar.g_00039	Praq.g_01886
OG0000192	Syar.g_00046	Praq.g_01882
OG0000193	Syar.g_00079	Praq.g_01856
OG0000194	Syar.g_00082, Syar.g_03236	Praq.g_01853
OG0000195	Syar.g_00023, Syar.g_00084	Praq.g_01851
OG0000196	Syar.g_00096	Praq.g_01841
OG0000197	Syar.g_00097	Praq.g_01840
OG0000198	Syar.g_00098	Praq.g_01839
OG0000199	Syar.g_00106	Praq.g_01832
OG0000200	Syar.g_00124	Praq.g_01818
