Orthogroup	Syar	Prbi
OG0000001	Syar.g_00069	Prbi.g_01424, Prbi.g_01542, Prbi.g_01763, Prbi.g_01270
OG0000004	Syar.g_02051	Prbi.g_00698
OG0000004	Syar.g_02225, Syar.g_00842	Prbi.g_00256
OG0000005	Syar.g_02952	Prbi.g_01800
OG0000005	Syar.g_02909	Prbi.g_01666
OG0000006	Syar.g_00151, Syar.g_02056, Syar.g_03013	Prbi.g_00265
OG0000007	Syar.g_01491	Prbi.g_00500
OG0000007	Syar.g_02929	Prbi.g_01787
OG0000008	Syar.g_02097	Prbi.g_01764
OG0000008	Syar.g_02098	Prbi.g_01540, Prbi.g_01765, Prbi.g_01539
OG0000008	Syar.g_00419, Syar.g_02048	Prbi.g_00675
OG0000009	Syar.g_03116	Prbi.g_00112
OG0000010	Syar.g_01272	Prbi.g_01094, Prbi.g_00477
OG0000013	Syar.g_03281, Syar.g_02032, Syar.g_01103, Syar.g_01106, Syar.g_03167	Prbi.g_00351
OG0000014	Syar.g_00825	Prbi.g_00330
OG0000014	Syar.g_02736	Prbi.g_01475
OG0000016	Syar.g_02859	Prbi.g_00013
OG0000017	Syar.g_02188	Prbi.g_00600
OG0000018	Syar.g_01409	Prbi.g_01188, Prbi.g_00874
OG0000019	Syar.g_00163	Prbi.g_00273, Prbi.g_00827
OG0000022	Syar.g_00835	Prbi.g_00805, Prbi.g_01170
OG0000025	Syar.g_01811	Prbi.g_00882, Prbi.g_00355
OG0000026	Syar.g_00505	Prbi.g_00031, Prbi.g_01101
OG0000027	Syar.g_02055	Prbi.g_00472, Prbi.g_01374
OG0000028	Syar.g_00718	Prbi.g_00344, Prbi.g_01319, Prbi.g_01768
OG0000032	Syar.g_00543	Prbi.g_01497
OG0000033	Syar.g_00105	Prbi.g_00193
OG0000034	Syar.g_00074, Syar.g_02790	Prbi.g_01401
OG0000035	Syar.g_02809	Prbi.g_01589, Prbi.g_01591
OG0000037	Syar.g_02154, Syar.g_02562, Syar.g_01310, Syar.g_02856	Prbi.g_00116
OG0000038	Syar.g_00334, Syar.g_00336	Prbi.g_02057
OG0000039	Syar.g_00007, Syar.g_02827, Syar.g_02151, Syar.g_02044	Prbi.g_00689
OG0000040	Syar.g_02831	Prbi.g_01187
OG0000042	Syar.g_00595, Syar.g_01970	Prbi.g_02001
OG0000044	Syar.g_02052, Syar.g_02167, Syar.g_01631	Prbi.g_01744, Prbi.g_01760
OG0000045	Syar.g_02592	Prbi.g_00395
OG0000048	Syar.g_00213	Prbi.g_00398
OG0000051	Syar.g_01597	Prbi.g_01364, Prbi.g_01281
OG0000052	Syar.g_02742, Syar.g_02751	Prbi.g_01478
OG0000053	Syar.g_01413	Prbi.g_01611
OG0000055	Syar.g_01386	Prbi.g_00828
OG0000056	Syar.g_01662	Prbi.g_01276
OG0000057	Syar.g_00006	Prbi.g_00702
OG0000061	Syar.g_01539	Prbi.g_01207
OG0000062	Syar.g_01439	Prbi.g_01668
OG0000063	Syar.g_00509	Prbi.g_00033
OG0000065	Syar.g_03119	Prbi.g_00114
OG0000066	Syar.g_02228	Prbi.g_00542
OG0000067	Syar.g_02639	Prbi.g_00847
OG0000068	Syar.g_02329, Syar.g_01461	Prbi.g_01439
OG0000069	Syar.g_01716	Prbi.g_01702
OG0000070	Syar.g_02223	Prbi.g_00451
OG0000071	Syar.g_02777	Prbi.g_01391
OG0000072	Syar.g_00107, Syar.g_01140	Prbi.g_00195
OG0000073	Syar.g_01493, Syar.g_01364	Prbi.g_00502
OG0000075	Syar.g_03065, Syar.g_00659	Prbi.g_01970
OG0000076	Syar.g_00608	Prbi.g_01994
OG0000078	Syar.g_01366	Prbi.g_00263
OG0000079	Syar.g_00166	Prbi.g_00276
OG0000081	Syar.g_01898	Prbi.g_00534
OG0000082	Syar.g_02202	Prbi.g_00587
OG0000085	Syar.g_02919	Prbi.g_01780
OG0000086	Syar.g_03085	Prbi.g_00095
OG0000087	Syar.g_03192, Syar.g_00068	Prbi.g_00147
OG0000088	Syar.g_00101	Prbi.g_00190
OG0000089	Syar.g_01162	Prbi.g_00380
OG0000090	Syar.g_03271, Syar.g_02363, Syar.g_02353, Syar.g_02356	Prbi.g_00536
OG0000091	Syar.g_01891, Syar.g_02426	Prbi.g_00645
OG0000092	Syar.g_01960	Prbi.g_00956
OG0000094	Syar.g_01789	Prbi.g_01067
OG0000095	Syar.g_01932	Prbi.g_01086
OG0000097	Syar.g_01706, Syar.g_00364	Prbi.g_01248
OG0000098	Syar.g_02343	Prbi.g_01421
OG0000099	Syar.g_00715	Prbi.g_01462
OG0000100	Syar.g_02477	Prbi.g_01664
OG0000101	Syar.g_01073, Syar.g_03154	Prbi.g_01938
OG0000102	Syar.g_00602, Syar.g_02164, Syar.g_01644, Syar.g_02138	Prbi.g_01999
OG0000103	Syar.g_00452, Syar.g_00014	Prbi.g_02091
OG0000104	Syar.g_00466	Prbi.g_02099
OG0000105	Syar.g_00218	Prbi.g_00298
OG0000106	Syar.g_01748	Prbi.g_00394
OG0000107	Syar.g_00149	Prbi.g_00409
OG0000108	Syar.g_01469	Prbi.g_00483
OG0000109	Syar.g_03310, Syar.g_01485	Prbi.g_00497
OG0000110	Syar.g_02295	Prbi.g_00577
OG0000111	Syar.g_01940	Prbi.g_00703
OG0000112	Syar.g_02548, Syar.g_03195	Prbi.g_00811
OG0000113	Syar.g_02664	Prbi.g_00869
OG0000114	Syar.g_01616	Prbi.g_00951
OG0000115	Syar.g_02854, Syar.g_01415	Prbi.g_01148
OG0000116	Syar.g_01525, Syar.g_02255	Prbi.g_01197
OG0000117	Syar.g_01969	Prbi.g_01330
OG0000118	Syar.g_02793	Prbi.g_01403
OG0000120	Syar.g_00713	Prbi.g_01460
OG0000121	Syar.g_02806	Prbi.g_01593
OG0000123	Syar.g_01079	Prbi.g_01945
OG0000124	Syar.g_00586	Prbi.g_02010
OG0000125	Syar.g_00338	Prbi.g_02059
OG0000126	Syar.g_00887, Syar.g_00888	Prbi.g_02098
OG0000128	Syar.g_00482	Prbi.g_00011
OG0000129	Syar.g_00324	Prbi.g_00053
OG0000130	Syar.g_03040	Prbi.g_00076
OG0000131	Syar.g_00078	Prbi.g_00169
OG0000132	Syar.g_00099	Prbi.g_00188
OG0000133	Syar.g_02543	Prbi.g_00346
OG0000134	Syar.g_02009, Syar.g_01165	Prbi.g_00381
OG0000135	Syar.g_00698	Prbi.g_00407
OG0000136	Syar.g_02874	Prbi.g_00442
OG0000137	Syar.g_01273	Prbi.g_00478
OG0000138	Syar.g_01486	Prbi.g_00498
OG0000139	Syar.g_03245	Prbi.g_00540
OG0000140	Syar.g_02344, Syar.g_03246	Prbi.g_00541
OG0000141	Syar.g_02129	Prbi.g_00609
OG0000142	Syar.g_02418	Prbi.g_00638
OG0000143	Syar.g_02422	Prbi.g_00642
OG0000144	Syar.g_02441	Prbi.g_00655
OG0000145	Syar.g_01494	Prbi.g_00807
OG0000146	Syar.g_02549	Prbi.g_00812
OG0000147	Syar.g_02550	Prbi.g_00813
OG0000148	Syar.g_02658	Prbi.g_00863
OG0000149	Syar.g_01830, Syar.g_03289, Syar.g_03288	Prbi.g_00894
OG0000150	Syar.g_02130	Prbi.g_00902
OG0000151	Syar.g_02038	Prbi.g_00961
OG0000152	Syar.g_02539	Prbi.g_01009
OG0000153	Syar.g_03283, Syar.g_02503	Prbi.g_01028
OG0000154	Syar.g_01800	Prbi.g_01060
OG0000155	Syar.g_01959	Prbi.g_01227
OG0000156	Syar.g_01517	Prbi.g_01380
OG0000157	Syar.g_01516	Prbi.g_01381
OG0000158	Syar.g_00650	Prbi.g_01489
OG0000159	Syar.g_02359	Prbi.g_01490
OG0000160	Syar.g_02807	Prbi.g_01592
OG0000161	Syar.g_02801	Prbi.g_01598
OG0000162	Syar.g_02863	Prbi.g_01604
OG0000163	Syar.g_01186	Prbi.g_01637
OG0000164	Syar.g_03168, Syar.g_02969	Prbi.g_01811
OG0000165	Syar.g_02976	Prbi.g_01818
OG0000166	Syar.g_01034	Prbi.g_01902
OG0000167	Syar.g_00662	Prbi.g_01968
OG0000168	Syar.g_00246	Prbi.g_01978
OG0000169	Syar.g_00262	Prbi.g_01988
OG0000170	Syar.g_00613	Prbi.g_01990
OG0000171	Syar.g_00587	Prbi.g_02009
OG0000172	Syar.g_00547	Prbi.g_02030
OG0000173	Syar.g_00528	Prbi.g_02045
OG0000174	Syar.g_00701	Prbi.g_02073
OG0000175	Syar.g_00438	Prbi.g_02083
OG0000176	Syar.g_00474	Prbi.g_00004
OG0000177	Syar.g_00475	Prbi.g_00005
OG0000178	Syar.g_00476	Prbi.g_00006
OG0000179	Syar.g_00489	Prbi.g_00016
OG0000180	Syar.g_00490	Prbi.g_00017
OG0000181	Syar.g_00491	Prbi.g_00018
OG0000182	Syar.g_00492	Prbi.g_00019
OG0000183	Syar.g_00496	Prbi.g_00023
OG0000184	Syar.g_00897	Prbi.g_00057
OG0000185	Syar.g_00909	Prbi.g_00060
OG0000186	Syar.g_03036	Prbi.g_00071
OG0000187	Syar.g_03038	Prbi.g_00072
OG0000188	Syar.g_03058	Prbi.g_00089
OG0000189	Syar.g_03104	Prbi.g_00103
OG0000190	Syar.g_03107, Syar.g_02374	Prbi.g_00104
OG0000191	Syar.g_00039	Prbi.g_00125
OG0000192	Syar.g_00046	Prbi.g_00129
OG0000193	Syar.g_00079	Prbi.g_00170
OG0000194	Syar.g_00082, Syar.g_03236	Prbi.g_00173
OG0000195	Syar.g_00023, Syar.g_00084	Prbi.g_00175
OG0000196	Syar.g_00096	Prbi.g_00185
OG0000197	Syar.g_00097	Prbi.g_00186
OG0000198	Syar.g_00098	Prbi.g_00187
OG0000199	Syar.g_00106	Prbi.g_00194
OG0000200	Syar.g_00124	Prbi.g_00208
OG0000201	Syar.g_01000	Prbi.g_00216
OG0000202	Syar.g_00021, Syar.g_00998	Prbi.g_00217
OG0000203	Syar.g_00997, Syar.g_00020	Prbi.g_00218
OG0000204	Syar.g_00996	Prbi.g_00219
OG0000205	Syar.g_00988	Prbi.g_00226
OG0000206	Syar.g_00963	Prbi.g_00231
OG0000207	Syar.g_00957	Prbi.g_00233
OG0000208	Syar.g_00956	Prbi.g_00234
OG0000209	Syar.g_00936, Syar.g_03261	Prbi.g_00243
OG0000210	Syar.g_03260, Syar.g_00935	Prbi.g_00244
OG0000211	Syar.g_03026	Prbi.g_00257
OG0000212	Syar.g_03017	Prbi.g_00264
OG0000213	Syar.g_00187	Prbi.g_00281
OG0000214	Syar.g_00209	Prbi.g_00291
OG0000215	Syar.g_00239	Prbi.g_00316
OG0000216	Syar.g_00244	Prbi.g_00318
OG0000217	Syar.g_00854	Prbi.g_00321
OG0000218	Syar.g_00852	Prbi.g_00323
OG0000219	Syar.g_00851	Prbi.g_00324
OG0000220	Syar.g_00850, Syar.g_02026	Prbi.g_00325
OG0000221	Syar.g_00834	Prbi.g_00326
OG0000222	Syar.g_02119, Syar.g_00728	Prbi.g_00334
OG0000223	Syar.g_00649	Prbi.g_00347
OG0000224	Syar.g_00273	Prbi.g_00349
OG0000225	Syar.g_01142	Prbi.g_00370
OG0000226	Syar.g_01146	Prbi.g_00374
OG0000227	Syar.g_01148	Prbi.g_00376
OG0000228	Syar.g_01161	Prbi.g_00379
OG0000229	Syar.g_01177, Syar.g_03273	Prbi.g_00437
OG0000230	Syar.g_01179	Prbi.g_00439
OG0000231	Syar.g_02865, Syar.g_03151	Prbi.g_00450
OG0000232	Syar.g_01424	Prbi.g_00459
OG0000233	Syar.g_03183, Syar.g_01247	Prbi.g_00465
OG0000234	Syar.g_01275	Prbi.g_00479
OG0000235	Syar.g_01468	Prbi.g_00482
OG0000236	Syar.g_01484, Syar.g_03311	Prbi.g_00496
OG0000237	Syar.g_01503	Prbi.g_00509
