Orthogroup	Syar	Prbb
OG0000001	Syar.g_00069	Prbb.g_01611, Prbb.g_01883, Prbb.g_00474, Prbb.g_01915, Prbb.g_01157
OG0000004	Syar.g_02051	Prbb.g_01450
OG0000004	Syar.g_02225, Syar.g_00842	Prbb.g_00288
OG0000005	Syar.g_02952	Prbb.g_01393
OG0000005	Syar.g_02909	Prbb.g_01766
OG0000006	Syar.g_00151, Syar.g_02056, Syar.g_03013	Prbb.g_00299, Prbb.g_01328, Prbb.g_01560
OG0000007	Syar.g_01491	Prbb.g_00501
OG0000007	Syar.g_02929	Prbb.g_01823
OG0000008	Syar.g_02097	Prbb.g_01884
OG0000008	Syar.g_02098	Prbb.g_01885
OG0000010	Syar.g_01272	Prbb.g_01072, Prbb.g_00477
OG0000013	Syar.g_03281, Syar.g_02032, Syar.g_01103, Syar.g_01106, Syar.g_03167	Prbb.g_00378
OG0000014	Syar.g_00825	Prbb.g_00357
OG0000016	Syar.g_02859	Prbb.g_00014, Prbb.g_01919
OG0000017	Syar.g_02188	Prbb.g_00605
OG0000018	Syar.g_01409	Prbb.g_01539, Prbb.g_00812
OG0000019	Syar.g_00163	Prbb.g_00761
OG0000022	Syar.g_00835	Prbb.g_01231, Prbb.g_01258
OG0000025	Syar.g_01811	Prbb.g_00052, Prbb.g_00818
OG0000026	Syar.g_00505	Prbb.g_00032
OG0000027	Syar.g_02055	Prbb.g_01375
OG0000028	Syar.g_00718	Prbb.g_01635
OG0000032	Syar.g_01390	Prbb.g_01723
OG0000033	Syar.g_00105	Prbb.g_00226
OG0000034	Syar.g_00074, Syar.g_02790	Prbb.g_01596
OG0000035	Syar.g_02809	Prbb.g_01686
OG0000037	Syar.g_02154, Syar.g_02562, Syar.g_01310, Syar.g_02856	Prbb.g_00164
OG0000038	Syar.g_00334, Syar.g_00336	Prbb.g_02129
OG0000039	Syar.g_00007, Syar.g_02827, Syar.g_02151, Syar.g_02044	Prbb.g_00692
OG0000042	Syar.g_00595, Syar.g_01970	Prbb.g_02069
OG0000044	Syar.g_02052, Syar.g_02167, Syar.g_01631	Prbb.g_00079
OG0000045	Syar.g_02592	Prbb.g_01347, Prbb.g_01094
OG0000046	Syar.g_01102, Syar.g_01105, Syar.g_03233	Prbb.g_00379
OG0000048	Syar.g_00213	Prbb.g_00325
OG0000051	Syar.g_01597	Prbb.g_01383, Prbb.g_01391
OG0000052	Syar.g_00281	Prbb.g_00112
OG0000053	Syar.g_01413	Prbb.g_01705
OG0000055	Syar.g_01386	Prbb.g_00747, Prbb.g_01897
OG0000056	Syar.g_01662	Prbb.g_00078
OG0000057	Syar.g_00006	Prbb.g_00706, Prbb.g_01359
OG0000061	Syar.g_01539	Prbb.g_01517, Prbb.g_00874
OG0000062	Syar.g_01439	Prbb.g_01768
OG0000063	Syar.g_00509	Prbb.g_01921
OG0000065	Syar.g_03119	Prbb.g_00162
OG0000066	Syar.g_02228	Prbb.g_00542
OG0000067	Syar.g_02639	Prbb.g_00783
OG0000068	Syar.g_02329, Syar.g_01461	Prbb.g_01639
OG0000069	Syar.g_01716	Prbb.g_01324, Prbb.g_01729
OG0000070	Syar.g_02223	Prbb.g_00455
OG0000071	Syar.g_02777	Prbb.g_01586
OG0000072	Syar.g_00107, Syar.g_01140	Prbb.g_00228
