Orthogroup	Syar	Prao
OG0000001	Syar.g_00069	Prao.g_01254, Prao.g_01852, Prao.g_01529
OG0000004	Syar.g_02051	Prao.g_00133
OG0000004	Syar.g_02225, Syar.g_00842	Prao.g_00370
OG0000005	Syar.g_02952	Prao.g_01565
OG0000005	Syar.g_02909	Prao.g_01472
OG0000006	Syar.g_00151, Syar.g_02056, Syar.g_03013	Prao.g_00379
OG0000007	Syar.g_01491	Prao.g_00603
OG0000007	Syar.g_02929	Prao.g_01552
OG0000008	Syar.g_00419, Syar.g_02048	Prao.g_00111
OG0000010	Syar.g_01272	Prao.g_00985, Prao.g_00580
OG0000013	Syar.g_03281, Syar.g_02032, Syar.g_01103, Syar.g_01106, Syar.g_03167	Prao.g_00463
OG0000014	Syar.g_00825, Syar.g_02736	Prao.g_01213
OG0000016	Syar.g_02859	Prao.g_00160
OG0000017	Syar.g_02188	Prao.g_00036
OG0000018	Syar.g_01409	Prao.g_01108, Prao.g_00768
OG0000019	Syar.g_00163	Prao.g_00387, Prao.g_00720
OG0000022	Syar.g_00835	Prao.g_00699, Prao.g_01126
OG0000025	Syar.g_01811	Prao.g_00776, Prao.g_00467
OG0000026	Syar.g_00505	Prao.g_00177, Prao.g_00992
OG0000027	Syar.g_02055	Prao.g_00576, Prao.g_01293
OG0000028	Syar.g_00718	Prao.g_00456, Prao.g_01348
OG0000033	Syar.g_00105	Prao.g_00307
OG0000034	Syar.g_00074, Syar.g_02790	Prao.g_01266
OG0000035	Syar.g_02809	Prao.g_01397
OG0000037	Syar.g_02154, Syar.g_02562, Syar.g_01310, Syar.g_02856	Prao.g_00247
OG0000038	Syar.g_00334, Syar.g_00336	Prao.g_01794
OG0000039	Syar.g_00007, Syar.g_02827, Syar.g_02151, Syar.g_02044	Prao.g_00124
OG0000040	Syar.g_02831	Prao.g_01109
OG0000042	Syar.g_00595, Syar.g_01970	Prao.g_01750
OG0000045	Syar.g_02592	Prao.g_00506
OG0000048	Syar.g_00213	Prao.g_00509
OG0000051	Syar.g_01597	Prao.g_01304
OG0000052	Syar.g_00281, Syar.g_02742, Syar.g_02751	Prao.g_01358
OG0000053	Syar.g_01413	Prao.g_01417
OG0000055	Syar.g_01386	Prao.g_00721
OG0000057	Syar.g_00006	Prao.g_00136
OG0000061	Syar.g_01539	Prao.g_01089
OG0000062	Syar.g_01439	Prao.g_01474
OG0000063	Syar.g_00509	Prao.g_00179
OG0000065	Syar.g_03119	Prao.g_00245
OG0000067	Syar.g_02639	Prao.g_00741
OG0000068	Syar.g_02329, Syar.g_01461	Prao.g_01239
OG0000069	Syar.g_01716	Prao.g_01508
OG0000070	Syar.g_02223	Prao.g_00554
OG0000071	Syar.g_02777	Prao.g_01276
OG0000072	Syar.g_00107, Syar.g_01140	Prao.g_00309
