Orthogroup	Syar	Prar
OG0000001	Syar.g_00069	Prar.g_00926, Prar.g_01202, Prar.g_01203
OG0000004	Syar.g_02051	Prar.g_01525
OG0000004	Syar.g_02225, Syar.g_00842	Prar.g_00095
OG0000005	Syar.g_02952	Prar.g_01130
OG0000005	Syar.g_02909	Prar.g_00771
OG0000006	Syar.g_00151, Syar.g_02056, Syar.g_03013	Prar.g_00086
OG0000007	Syar.g_01491	Prar.g_01328
OG0000007	Syar.g_02929	Prar.g_01143
OG0000008	Syar.g_02097	Prar.g_01185
OG0000008	Syar.g_00419, Syar.g_02048	Prar.g_01502
OG0000009	Syar.g_03116	Prar.g_00223
OG0000010	Syar.g_01272	Prar.g_01567, Prar.g_01912, Prar.g_00524
OG0000013	Syar.g_03281, Syar.g_02032, Syar.g_01103, Syar.g_01106, Syar.g_03167	Prar.g_00260
OG0000014	Syar.g_00825	Prar.g_00281
OG0000016	Syar.g_02859	Prar.g_00025
OG0000017	Syar.g_02188	Prar.g_01428
OG0000018	Syar.g_01409	Prar.g_01282, Prar.g_01711
OG0000019	Syar.g_00163	Prar.g_00078, Prar.g_01663
OG0000022	Syar.g_00835	Prar.g_01649, Prar.g_01300
OG0000025	Syar.g_01811	Prar.g_01718, Prar.g_00256
OG0000026	Syar.g_00505	Prar.g_00007, Prar.g_01919
OG0000027	Syar.g_02055	Prar.g_00520
OG0000028	Syar.g_00718	Prar.g_00267, Prar.g_00985
OG0000032	Syar.g_00543	Prar.g_00886
OG0000033	Syar.g_00105	Prar.g_00158
OG0000034	Syar.g_00074, Syar.g_02790	Prar.g_00945
OG0000035	Syar.g_02809	Prar.g_00339
OG0000037	Syar.g_02154, Syar.g_02562, Syar.g_01310, Syar.g_02856	Prar.g_00219
OG0000038	Syar.g_00334, Syar.g_00336	Prar.g_00702
OG0000039	Syar.g_00007, Syar.g_02827, Syar.g_02151, Syar.g_02044	Prar.g_01516
OG0000040	Syar.g_02831	Prar.g_01283
OG0000042	Syar.g_00595, Syar.g_01970	Prar.g_00660
OG0000044	Syar.g_02052, Syar.g_02167, Syar.g_01631	Prar.g_01172
OG0000045	Syar.g_02592	Prar.g_01583, Prar.g_00432
OG0000048	Syar.g_00213	Prar.g_00435
OG0000053	Syar.g_01413	Prar.g_00589, Prar.g_00827
OG0000055	Syar.g_01386	Prar.g_01664
OG0000056	Syar.g_01662	Prar.g_00932
OG0000057	Syar.g_00006	Prar.g_01528
OG0000061	Syar.g_01539	Prar.g_01263
OG0000062	Syar.g_01439	Prar.g_00769
OG0000063	Syar.g_00509	Prar.g_00004, Prar.g_00005, Prar.g_01189
OG0000065	Syar.g_03119	Prar.g_00221
OG0000066	Syar.g_02228	Prar.g_01369
OG0000067	Syar.g_02639	Prar.g_01684
OG0000068	Syar.g_02329, Syar.g_01461	Prar.g_00911
OG0000069	Syar.g_01716	Prar.g_01170, Prar.g_00736
OG0000070	Syar.g_02223	Prar.g_00498
OG0000071	Syar.g_02777	Prar.g_00955
OG0000072	Syar.g_00107, Syar.g_01140	Prar.g_00156
OG0000073	Syar.g_01493, Syar.g_01364	Prar.g_01330
OG0000075	Syar.g_03065, Syar.g_00659	Prar.g_00629
OG0000076	Syar.g_00608	Prar.g_00592, Prar.g_00653
OG0000078	Syar.g_01366	Prar.g_00088
OG0000081	Syar.g_01898	Prar.g_01361
OG0000082	Syar.g_02202	Prar.g_01414
OG0000085	Syar.g_02919	Prar.g_01150
OG0000086	Syar.g_03085	Prar.g_00240
OG0000087	Syar.g_03192, Syar.g_00068	Prar.g_00189
OG0000088	Syar.g_00101	Prar.g_00161
OG0000089	Syar.g_01162	Prar.g_00416
OG0000090	Syar.g_03271, Syar.g_02363, Syar.g_02353, Syar.g_02356	Prar.g_01363
OG0000091	Syar.g_01891, Syar.g_02426	Prar.g_01472
OG0000092	Syar.g_01960	Prar.g_01781, Prar.g_00615
OG0000094	Syar.g_01789	Prar.g_01885
OG0000095	Syar.g_01932	Prar.g_01904
OG0000097	Syar.g_01706, Syar.g_00364	Prar.g_01222
OG0000098	Syar.g_02343	Prar.g_00929
OG0000099	Syar.g_00715	Prar.g_00872
OG0000100	Syar.g_02477	Prar.g_00773
OG0000101	Syar.g_01073, Syar.g_03154	Prar.g_01027
