Orthogroup	Syar	Praw
OG0000001	Syar.g_00069	Praw.g_01000, Praw.g_00500, Praw.g_01739, Praw.g_01951, Praw.g_00497
OG0000004	Syar.g_02051	Praw.g_01827
OG0000004	Syar.g_02225, Syar.g_00842	Praw.g_01203
OG0000005	Syar.g_02952	Praw.g_00528
OG0000005	Syar.g_02909	Praw.g_00413
OG0000006	Syar.g_00151, Syar.g_02056, Syar.g_03013	Praw.g_01950
OG0000007	Syar.g_01491	Praw.g_00651
OG0000007	Syar.g_02929	Praw.g_00515
OG0000008	Syar.g_02097	Praw.g_00501
OG0000008	Syar.g_02098	Praw.g_00502
OG0000008	Syar.g_00419, Syar.g_02048	Praw.g_01850
OG0000009	Syar.g_03116	Praw.g_01330
OG0000010	Syar.g_01272	Praw.g_01460, Praw.g_00673
OG0000013	Syar.g_03281, Syar.g_02032, Syar.g_01103, Syar.g_01106, Syar.g_03167	Praw.g_00807
OG0000014	Syar.g_00825	Praw.g_00828
OG0000016	Syar.g_02859	Praw.g_01415, Praw.g_00484
OG0000017	Syar.g_02188	Praw.g_01944
OG0000018	Syar.g_01409	Praw.g_00215, Praw.g_01670
OG0000019	Syar.g_00163	Praw.g_00884, Praw.g_01717
OG0000022	Syar.g_00835	Praw.g_01746, Praw.g_00197
OG0000025	Syar.g_01811	Praw.g_01664, Praw.g_00803
OG0000026	Syar.g_00505	Praw.g_01397, Praw.g_01453
OG0000027	Syar.g_02055	Praw.g_00677, Praw.g_00492, Praw.g_00962
OG0000028	Syar.g_00718	Praw.g_00814, Praw.g_00334
OG0000032	Syar.g_00543	Praw.g_01043
OG0000033	Syar.g_00105	Praw.g_01266
OG0000034	Syar.g_00074, Syar.g_02790	Praw.g_00991
OG0000035	Syar.g_02809	Praw.g_01081, Praw.g_01083
OG0000037	Syar.g_02154, Syar.g_02562, Syar.g_01310, Syar.g_02856	Praw.g_01326
OG0000038	Syar.g_00334, Syar.g_00336	Praw.g_01182
OG0000039	Syar.g_00007, Syar.g_02827, Syar.g_02151, Syar.g_02044	Praw.g_01836
OG0000040	Syar.g_02831	Praw.g_00214
OG0000042	Syar.g_00595, Syar.g_01970	Praw.g_00032
OG0000045	Syar.g_02592	Praw.g_00761
OG0000048	Syar.g_00213	Praw.g_00504, Praw.g_00758
OG0000051	Syar.g_01597	Praw.g_00955, Praw.g_00491
OG0000052	Syar.g_02742, Syar.g_02751	Praw.g_01071
OG0000053	Syar.g_01413	Praw.g_00357
OG0000055	Syar.g_01386	Praw.g_01716
OG0000057	Syar.g_00006	Praw.g_01824
OG0000061	Syar.g_01539	Praw.g_00234
OG0000062	Syar.g_01439	Praw.g_00415
OG0000063	Syar.g_00509	Praw.g_01395
OG0000065	Syar.g_03119	Praw.g_01328
OG0000066	Syar.g_02228	Praw.g_00609
OG0000067	Syar.g_02639	Praw.g_01697
OG0000068	Syar.g_02329, Syar.g_01461	Praw.g_01016
OG0000069	Syar.g_01716	Praw.g_00448
OG0000070	Syar.g_02223	Praw.g_00697
OG0000071	Syar.g_02777	Praw.g_00981
OG0000072	Syar.g_00107, Syar.g_01140	Praw.g_01264
OG0000073	Syar.g_01493, Syar.g_01364	Praw.g_00649
OG0000075	Syar.g_03065, Syar.g_00659	Praw.g_00064
OG0000076	Syar.g_00608	Praw.g_00039
OG0000078	Syar.g_01366	Praw.g_01196
