Orthogroup	Syar	Syat
OG0000001	Syar.g_00069	Syat.g_02910, Syat.g_02911
OG0000001	Syar.g_00070	Syat.g_02908, Syat.g_02909
OG0000001	Syar.g_02229	Syat.g_00878
OG0000005	Syar.g_02952	Syat.g_03065
OG0000005	Syar.g_02909	Syat.g_03105
OG0000005	Syar.g_01752	Syat.g_01038
OG0000006	Syar.g_00151, Syar.g_02056, Syar.g_03013	Syat.g_01439, Syat.g_01865
OG0000006	Syar.g_02439	Syat.g_00371
OG0000007	Syar.g_01491	Syat.g_03191
OG0000007	Syar.g_02929	Syat.g_03124
OG0000008	Syar.g_02097	Syat.g_02626
OG0000008	Syar.g_02098	Syat.g_02627
OG0000009	Syar.g_03116	Syat.g_01567
OG0000010	Syar.g_01272	Syat.g_01372
OG0000012	Syar.g_00690	Syat.g_02642
OG0000012	Syar.g_02860	Syat.g_02987, Syat.g_00139, Syat.g_00143
OG0000013	Syar.g_02032, Syar.g_01103, Syar.g_01106	Syat.g_01027
OG0000014	Syar.g_00825	Syat.g_02104
OG0000014	Syar.g_02736	Syat.g_02250
OG0000015	Syar.g_00180	Syat.g_00775, Syat.g_01677
OG0000016	Syar.g_02859	Syat.g_02329, Syat.g_00909, Syat.g_00222, Syat.g_00832
OG0000017	Syar.g_02188	Syat.g_00015
OG0000018	Syar.g_01409	Syat.g_01334
OG0000019	Syar.g_00163	Syat.g_01876
OG0000022	Syar.g_00835	Syat.g_00210
OG0000025	Syar.g_01811	Syat.g_00719
OG0000026	Syar.g_00505	Syat.g_02306
OG0000027	Syar.g_02055	Syat.g_00850
OG0000028	Syar.g_00718	Syat.g_02126
OG0000031	Syar.g_00714	Syat.g_02131
OG0000032	Syar.g_01390	Syat.g_01354
OG0000032	Syar.g_02465	Syat.g_00349
OG0000032	Syar.g_00543	Syat.g_02237
OG0000033	Syar.g_00105	Syat.g_02858
OG0000034	Syar.g_00074, Syar.g_02790	Syat.g_01165, Syat.g_02902
OG0000035	Syar.g_02809	Syat.g_01227
OG0000037	Syar.g_02154, Syar.g_02562, Syar.g_01310, Syar.g_02856	Syat.g_00849, Syat.g_00187
OG0000038	Syar.g_00334	Syat.g_02688
OG0000038	Syar.g_00336	Syat.g_02686
OG0000039	Syar.g_00007, Syar.g_02827, Syar.g_02151, Syar.g_02044	Syat.g_01278
OG0000040	Syar.g_00858	Syat.g_02551
OG0000041	Syar.g_02993	Syat.g_03006
OG0000041	Syar.g_01370, Syar.g_02014	Syat.g_00785
OG0000042	Syar.g_00595, Syar.g_01970	Syat.g_00223
OG0000044	Syar.g_02052, Syar.g_02167	Syat.g_00933
OG0000044	Syar.g_01631	Syat.g_01910, Syat.g_00146, Syat.g_03333
OG0000045	Syar.g_02592	Syat.g_00935
OG0000046	Syar.g_01102, Syar.g_01105	Syat.g_01026
OG0000048	Syar.g_00213	Syat.g_02046
OG0000052	Syar.g_00281	Syat.g_02140
OG0000053	Syar.g_01413	Syat.g_01330
OG0000054	Syar.g_02265	Syat.g_00987
OG0000055	Syar.g_01386	Syat.g_00693
OG0000057	Syar.g_01941	Syat.g_02055
OG0000057	Syar.g_00006	Syat.g_00817
OG0000058	Syar.g_00648	Syat.g_02133, Syat.g_02238
OG0000059	Syar.g_01024	Syat.g_01832
OG0000060	Syar.g_01260	Syat.g_01384, Syat.g_01383
OG0000061	Syar.g_01539	Syat.g_03260
OG0000062	Syar.g_02911	Syat.g_03107
OG0000063	Syar.g_00509	Syat.g_02303
OG0000064	Syar.g_03117	Syat.g_01568
OG0000065	Syar.g_03119	Syat.g_01571
OG0000066	Syar.g_02228	Syat.g_03283
OG0000067	Syar.g_02639	Syat.g_00479
OG0000068	Syar.g_02329	Syat.g_00085
