Orthogroup	Syar	Prab
OG0000001	Syar.g_00069	Prab.g_00788, Prab.g_01279, Prab.g_01281
OG0000004	Syar.g_02051	Prab.g_00700
OG0000004	Syar.g_02225, Syar.g_00842	Prab.g_00223
OG0000005	Syar.g_02952	Prab.g_01682
OG0000005	Syar.g_02909	Prab.g_01542
OG0000006	Syar.g_00151, Syar.g_02056, Syar.g_03013	Prab.g_00231
OG0000007	Syar.g_01491	Prab.g_00501
OG0000007	Syar.g_02929	Prab.g_01669
OG0000008	Syar.g_00419, Syar.g_02048	Prab.g_00677
OG0000009	Syar.g_03116	Prab.g_00096
OG0000010	Syar.g_01272	Prab.g_01104, Prab.g_00478
OG0000013	Syar.g_03281, Syar.g_02032, Syar.g_01103, Syar.g_01106, Syar.g_03167	Prab.g_00315
OG0000014	Syar.g_00825	Prab.g_00294
OG0000014	Syar.g_02736	Prab.g_01444, Prab.g_01445
OG0000016	Syar.g_02859	Prab.g_00013, Prab.g_01579
OG0000017	Syar.g_02188	Prab.g_00602
OG0000018	Syar.g_01409	Prab.g_01201, Prab.g_00867
OG0000019	Syar.g_00163	Prab.g_00239, Prab.g_00820
OG0000022	Syar.g_00835	Prab.g_00782, Prab.g_01182
OG0000025	Syar.g_01811	Prab.g_00874, Prab.g_00319
OG0000026	Syar.g_00505	Prab.g_01629, Prab.g_00031, Prab.g_01111
OG0000027	Syar.g_02055	Prab.g_00914, Prab.g_01616
OG0000028	Syar.g_00718	Prab.g_00308
OG0000033	Syar.g_00105	Prab.g_01400, Prab.g_00160
OG0000034	Syar.g_00074, Syar.g_02790	Prab.g_01336
OG0000035	Syar.g_02809	Prab.g_01466
OG0000037	Syar.g_02154, Syar.g_02562, Syar.g_01310, Syar.g_02856	Prab.g_00100
OG0000038	Syar.g_00334, Syar.g_00336	Prab.g_01908
OG0000039	Syar.g_00007, Syar.g_02827, Syar.g_02151, Syar.g_02044	Prab.g_00691
OG0000040	Syar.g_02831	Prab.g_01200
OG0000042	Syar.g_00595, Syar.g_01970	Prab.g_01864
OG0000044	Syar.g_02052, Syar.g_02167, Syar.g_01631	Prab.g_01648
OG0000045	Syar.g_02592	Prab.g_00360
OG0000048	Syar.g_00213	Prab.g_00411, Prab.g_00363
OG0000051	Syar.g_01597	Prab.g_01304, Prab.g_01643
OG0000052	Syar.g_02742, Syar.g_02751	Prab.g_01423
OG0000053	Syar.g_01413	Prab.g_01486
OG0000055	Syar.g_01386	Prab.g_00821
OG0000057	Syar.g_00006	Prab.g_00703
OG0000061	Syar.g_01539	Prab.g_01219
OG0000062	Syar.g_01439	Prab.g_01544
OG0000063	Syar.g_00509	Prab.g_00033
OG0000065	Syar.g_03119	Prab.g_00098
OG0000066	Syar.g_02228	Prab.g_00543
OG0000067	Syar.g_02639	Prab.g_00840
OG0000068	Syar.g_02329, Syar.g_01461	Prab.g_01360
OG0000069	Syar.g_01716	Prab.g_01585
OG0000070	Syar.g_02223	Prab.g_00456
OG0000071	Syar.g_02777	Prab.g_01637, Prab.g_01326
OG0000072	Syar.g_00107, Syar.g_01140	Prab.g_00162
OG0000073	Syar.g_01493, Syar.g_01364	Prab.g_00503
OG0000075	Syar.g_03065, Syar.g_00659	Prab.g_01834
OG0000076	Syar.g_00608	Prab.g_01857
OG0000078	Syar.g_01366	Prab.g_00229
OG0000079	Syar.g_00166	Prab.g_00242
