Orthogroup	Syar	Syao
OG0000001	Syar.g_00069	Syao.g_00314
OG0000001	Syar.g_00070	Syao.g_02557, Syao.g_02556, Syao.g_01317, Syao.g_02558
OG0000004	Syar.g_02051	Syao.g_02374
OG0000004	Syar.g_02225	Syao.g_01271, Syao.g_01007
OG0000005	Syar.g_02952	Syao.g_01680
OG0000005	Syar.g_02909	Syao.g_01578
OG0000005	Syar.g_01752	Syao.g_01210
OG0000006	Syar.g_02439	Syao.g_00919
OG0000007	Syar.g_01491	Syao.g_00105
OG0000007	Syar.g_02929	Syao.g_01554
OG0000008	Syar.g_02098	Syao.g_01321
OG0000009	Syar.g_03116	Syao.g_02598
OG0000010	Syar.g_01272	Syao.g_02683
OG0000012	Syar.g_00690	Syao.g_01045
OG0000012	Syar.g_02860	Syao.g_00201
OG0000013	Syar.g_02032, Syar.g_01103, Syar.g_01106	Syao.g_01844
OG0000014	Syar.g_00825	Syao.g_02027
OG0000015	Syar.g_00451, Syar.g_00180	Syao.g_02339
OG0000016	Syar.g_02859	Syao.g_01955
OG0000017	Syar.g_02180	Syao.g_01064
OG0000017	Syar.g_02188	Syao.g_00997
OG0000018	Syar.g_01409	Syao.g_00071
OG0000019	Syar.g_00163	Syao.g_02108
OG0000022	Syar.g_00835	Syao.g_01218
OG0000025	Syar.g_01811	Syao.g_00436, Syao.g_00437
OG0000026	Syar.g_00505	Syao.g_02234
OG0000027	Syar.g_02055	Syao.g_00202
OG0000028	Syar.g_00718	Syao.g_02012
OG0000031	Syar.g_00714	Syao.g_02008
OG0000032	Syar.g_01390	Syao.g_00090
OG0000032	Syar.g_00543	Syao.g_01984, Syao.g_01983
OG0000033	Syar.g_00105	Syao.g_02507
OG0000038	Syar.g_00334	Syao.g_02440
OG0000038	Syar.g_00336	Syao.g_02442
OG0000040	Syar.g_00858	Syao.g_00711
OG0000041	Syar.g_01370, Syar.g_02014	Syao.g_00509
OG0000042	Syar.g_00595, Syar.g_01970	Syao.g_00019
OG0000045	Syar.g_02592	Syao.g_01214, Syao.g_00148
OG0000046	Syar.g_01102, Syar.g_01105	Syao.g_01845
OG0000048	Syar.g_00213	Syao.g_02077
OG0000051	Syar.g_01597	Syao.g_01261
OG0000052	Syar.g_00281	Syao.g_01972
OG0000052	Syar.g_02742, Syar.g_02751	Syao.g_01085, Syao.g_02520
