Orthogroup	Syar	Pras
OG0000001	Syar.g_00069	Pras.g_00235, Pras.g_00118, Pras.g_00120, Pras.g_00541
OG0000004	Syar.g_02051	Pras.g_01571
OG0000004	Syar.g_02225, Syar.g_00842	Pras.g_01084
OG0000005	Syar.g_02952	Pras.g_00563
OG0000005	Syar.g_02909	Pras.g_00429
OG0000006	Syar.g_00151, Syar.g_02056, Syar.g_03013	Pras.g_00148, Pras.g_01093
OG0000007	Syar.g_01491	Pras.g_01375
OG0000007	Syar.g_02929	Pras.g_00550
OG0000008	Syar.g_00419, Syar.g_02048	Pras.g_01548
OG0000009	Syar.g_03116	Pras.g_00956
OG0000010	Syar.g_01272	Pras.g_00523, Pras.g_01942, Pras.g_01352
OG0000013	Syar.g_03281, Syar.g_02032, Syar.g_01103, Syar.g_01106, Syar.g_03167	Pras.g_01179
OG0000014	Syar.g_00825	Pras.g_01158
OG0000016	Syar.g_02859	Pras.g_00855
OG0000017	Syar.g_02188	Pras.g_01474
OG0000018	Syar.g_01409	Pras.g_00037, Pras.g_01728
OG0000019	Syar.g_00163	Pras.g_01101, Pras.g_01681
OG0000022	Syar.g_00835	Pras.g_01662, Pras.g_00019
OG0000025	Syar.g_01811	Pras.g_01735, Pras.g_01183
OG0000026	Syar.g_00505	Pras.g_00873, Pras.g_01949
OG0000027	Syar.g_02055	Pras.g_01348, Pras.g_00185
OG0000028	Syar.g_00718	Pras.g_01172, Pras.g_00169
OG0000032	Syar.g_00543	Pras.g_00326
OG0000033	Syar.g_00105	Pras.g_01020
OG0000034	Syar.g_00074, Syar.g_02790	Pras.g_00219
OG0000035	Syar.g_02809	Pras.g_00350
OG0000037	Syar.g_02154, Syar.g_02562, Syar.g_01310, Syar.g_02856	Pras.g_00960
OG0000038	Syar.g_00334, Syar.g_00336	Pras.g_00795
OG0000039	Syar.g_00007, Syar.g_02827, Syar.g_02151, Syar.g_02044	Pras.g_01562
OG0000040	Syar.g_02831	Pras.g_00036
OG0000042	Syar.g_00595, Syar.g_01970	Pras.g_00750
OG0000045	Syar.g_02592	Pras.g_00509, Pras.g_01224
OG0000048	Syar.g_00213	Pras.g_01227
OG0000051	Syar.g_01597	Pras.g_00179, Pras.g_00508
OG0000052	Syar.g_02742, Syar.g_02751	Pras.g_00285
OG0000053	Syar.g_01413	Pras.g_00886, Pras.g_00370
OG0000055	Syar.g_01386	Pras.g_01682
OG0000056	Syar.g_01662	Pras.g_00881
OG0000057	Syar.g_00006	Pras.g_01574
OG0000061	Syar.g_01539	Pras.g_00056
OG0000062	Syar.g_01439	Pras.g_00431
OG0000063	Syar.g_00509	Pras.g_00875
OG0000065	Syar.g_03119	Pras.g_00958
OG0000066	Syar.g_02228	Pras.g_01416
OG0000067	Syar.g_02639	Pras.g_01701, Pras.g_00311
OG0000068	Syar.g_02329, Syar.g_01461	Pras.g_00250
OG0000069	Syar.g_01716	Pras.g_00538, Pras.g_00464
OG0000070	Syar.g_02223	Pras.g_01328
OG0000071	Syar.g_02777	Pras.g_00209
OG0000072	Syar.g_00107, Syar.g_01140	Pras.g_01022
OG0000073	Syar.g_01493, Syar.g_01364	Pras.g_01377
OG0000075	Syar.g_03065, Syar.g_00659	Pras.g_00719
OG0000076	Syar.g_00608	Pras.g_00883, Pras.g_00743
OG0000078	Syar.g_01366	Pras.g_01091
OG0000079	Syar.g_00166	Pras.g_01104
OG0000081	Syar.g_01898	Pras.g_01408
OG0000082	Syar.g_02202	Pras.g_01462
OG0000085	Syar.g_02919	Pras.g_00543
OG0000086	Syar.g_03085	Pras.g_00939
OG0000087	Syar.g_03192, Syar.g_00068	Pras.g_00990
OG0000088	Syar.g_00101	Pras.g_01017
OG0000089	Syar.g_01162	Pras.g_01209
OG0000090	Syar.g_03271, Syar.g_02363, Syar.g_02353, Syar.g_02356	Pras.g_01410
OG0000091	Syar.g_01891, Syar.g_02426	Pras.g_01518
OG0000092	Syar.g_01960	Pras.g_01806
OG0000094	Syar.g_01789	Pras.g_01915
OG0000095	Syar.g_01932	Pras.g_01934
OG0000097	Syar.g_01706, Syar.g_00364	Pras.g_00098
OG0000098	Syar.g_02343	Pras.g_00232
OG0000099	Syar.g_00715	Pras.g_00294
OG0000100	Syar.g_02477	Pras.g_00427
OG0000101	Syar.g_01073, Syar.g_03154	Pras.g_00687
OG0000102	Syar.g_00602, Syar.g_02164, Syar.g_01644, Syar.g_02138	Pras.g_00748
OG0000103	Syar.g_00452, Syar.g_00014	Pras.g_00829
OG0000104	Syar.g_00466	Pras.g_00838
OG0000105	Syar.g_00218	Pras.g_01126
OG0000106	Syar.g_01748	Pras.g_01223
OG0000107	Syar.g_00149	Pras.g_01239
OG0000108	Syar.g_01469	Pras.g_01358
OG0000109	Syar.g_03310, Syar.g_01485	Pras.g_01372
OG0000110	Syar.g_02295	Pras.g_01451
OG0000111	Syar.g_01940	Pras.g_01575
OG0000112	Syar.g_02548, Syar.g_03195	Pras.g_01665
OG0000113	Syar.g_02664	Pras.g_01723
OG0000114	Syar.g_01616	Pras.g_01801
OG0000115	Syar.g_02854, Syar.g_01415	Pras.g_01994
OG0000116	Syar.g_01525, Syar.g_02255	Pras.g_00046
OG0000117	Syar.g_01969	Pras.g_00150
OG0000118	Syar.g_02793	Pras.g_00221, Pras.g_00222
OG0000120	Syar.g_00713	Pras.g_00273, Pras.g_00272, Pras.g_00271, Pras.g_00330
OG0000121	Syar.g_02806	Pras.g_00352
OG0000123	Syar.g_01079	Pras.g_00694
OG0000124	Syar.g_00586	Pras.g_00759
OG0000125	Syar.g_00338	Pras.g_00797
OG0000126	Syar.g_00887, Syar.g_00888	Pras.g_00837
OG0000128	Syar.g_00482	Pras.g_00853
OG0000129	Syar.g_00324	Pras.g_00897
OG0000130	Syar.g_03040	Pras.g_00921
OG0000131	Syar.g_00078	Pras.g_00996
OG0000132	Syar.g_00099	Pras.g_01015
OG0000133	Syar.g_02543	Pras.g_01174
OG0000134	Syar.g_02009, Syar.g_01165	Pras.g_01210
OG0000135	Syar.g_00698	Pras.g_01236
OG0000136	Syar.g_02874	Pras.g_01319
OG0000137	Syar.g_01273	Pras.g_01353
OG0000138	Syar.g_01486	Pras.g_01373
OG0000139	Syar.g_03245	Pras.g_01414
OG0000140	Syar.g_02344, Syar.g_03246	Pras.g_01415
OG0000141	Syar.g_02129	Pras.g_01483
OG0000142	Syar.g_02418	Pras.g_01511
OG0000143	Syar.g_02422	Pras.g_01515
OG0000144	Syar.g_02441	Pras.g_01528
OG0000145	Syar.g_01494	Pras.g_01664
OG0000146	Syar.g_02549	Pras.g_01666
OG0000147	Syar.g_02550	Pras.g_01667
OG0000148	Syar.g_02658	Pras.g_01717
OG0000149	Syar.g_01830, Syar.g_03289, Syar.g_03288	Pras.g_01747
OG0000150	Syar.g_02130	Pras.g_01755
OG0000151	Syar.g_02038	Pras.g_01811
OG0000152	Syar.g_02539	Pras.g_01859
OG0000153	Syar.g_03283, Syar.g_02503	Pras.g_01878
OG0000154	Syar.g_01800	Pras.g_01908
OG0000155	Syar.g_01959	Pras.g_00076
OG0000156	Syar.g_01517	Pras.g_00197
OG0000157	Syar.g_01516	Pras.g_00198
OG0000158	Syar.g_00650	Pras.g_00289
OG0000160	Syar.g_02807	Pras.g_00351
OG0000161	Syar.g_02801	Pras.g_00357
OG0000162	Syar.g_02863	Pras.g_00363
OG0000163	Syar.g_01186	Pras.g_00399
OG0000164	Syar.g_03168, Syar.g_02969	Pras.g_00574
OG0000165	Syar.g_02976	Pras.g_00581
OG0000166	Syar.g_01034	Pras.g_00651
OG0000167	Syar.g_00662	Pras.g_00717
OG0000168	Syar.g_00246	Pras.g_00727
OG0000169	Syar.g_00262	Pras.g_00737
OG0000170	Syar.g_00613	Pras.g_00739
OG0000171	Syar.g_00587	Pras.g_00758
OG0000172	Syar.g_00547	Pras.g_00768
OG0000173	Syar.g_00528	Pras.g_00783
OG0000174	Syar.g_00701	Pras.g_00811, Pras.g_00810
OG0000175	Syar.g_00438	Pras.g_00821
OG0000176	Syar.g_00474	Pras.g_00846
OG0000177	Syar.g_00475	Pras.g_00847
OG0000178	Syar.g_00476	Pras.g_00848
OG0000179	Syar.g_00489	Pras.g_00858
OG0000180	Syar.g_00490	Pras.g_00859
OG0000181	Syar.g_00491	Pras.g_00860
OG0000182	Syar.g_00492	Pras.g_00861
OG0000183	Syar.g_00496	Pras.g_00865
OG0000184	Syar.g_00897	Pras.g_00899
OG0000185	Syar.g_00909	Pras.g_00902
OG0000186	Syar.g_03036	Pras.g_00916
OG0000187	Syar.g_03038	Pras.g_00917
OG0000188	Syar.g_03058	Pras.g_00933
OG0000189	Syar.g_03104	Pras.g_00947
OG0000190	Syar.g_03107, Syar.g_02374	Pras.g_00948
OG0000191	Syar.g_00039	Pras.g_00968
OG0000192	Syar.g_00046	Pras.g_00972
OG0000193	Syar.g_00079	Pras.g_00997
OG0000194	Syar.g_00082, Syar.g_03236	Pras.g_01000
OG0000195	Syar.g_00023, Syar.g_00084	Pras.g_01002
OG0000196	Syar.g_00096	Pras.g_01012
OG0000197	Syar.g_00097	Pras.g_01013
OG0000198	Syar.g_00098	Pras.g_01014
OG0000199	Syar.g_00106	Pras.g_01021
OG0000200	Syar.g_00124	Pras.g_01035
OG0000201	Syar.g_01000	Pras.g_01043
OG0000202	Syar.g_00021, Syar.g_00998	Pras.g_01044
OG0000203	Syar.g_00997, Syar.g_00020	Pras.g_01045
OG0000204	Syar.g_00996	Pras.g_01046
