Orthogroup	Syar	Prbm
OG0000001	Syar.g_00069	Prbm.g_01633, Prbm.g_01905, Prbm.g_01906, Prbm.g_00496, Prbm.g_01940, Prbm.g_01426
OG0000004	Syar.g_02051	Prbm.g_01483
OG0000004	Syar.g_02225, Syar.g_00842	Prbm.g_00291
OG0000005	Syar.g_02909	Prbm.g_01790
OG0000006	Syar.g_00151, Syar.g_02056, Syar.g_03013	Prbm.g_00302, Prbm.g_01236, Prbm.g_01588
OG0000007	Syar.g_01491	Prbm.g_00522
OG0000007	Syar.g_02929	Prbm.g_01841
OG0000008	Syar.g_02097	Prbm.g_01907
OG0000008	Syar.g_02098	Prbm.g_01908
OG0000010	Syar.g_01272	Prbm.g_01066, Prbm.g_00499
OG0000013	Syar.g_03281, Syar.g_02032, Syar.g_01103, Syar.g_01106, Syar.g_03167	Prbm.g_00382
OG0000014	Syar.g_00825	Prbm.g_00362
OG0000014	Syar.g_02736	Prbm.g_02126
OG0000016	Syar.g_02859	Prbm.g_00013, Prbm.g_01944
OG0000017	Syar.g_02188	Prbm.g_00635
OG0000018	Syar.g_01409	Prbm.g_01571, Prbm.g_00843
OG0000019	Syar.g_00163	Prbm.g_00792
OG0000022	Syar.g_00835	Prbm.g_01204, Prbm.g_01324
OG0000025	Syar.g_01811	Prbm.g_00849
OG0000026	Syar.g_00505	Prbm.g_00031
OG0000028	Syar.g_00718	Prbm.g_01656
OG0000032	Syar.g_01390	Prbm.g_01747
OG0000033	Syar.g_00105	Prbm.g_00228
OG0000034	Syar.g_00074, Syar.g_02790	Prbm.g_01620
OG0000035	Syar.g_02809	Prbm.g_01710
OG0000037	Syar.g_02154, Syar.g_02562, Syar.g_01310, Syar.g_02856	Prbm.g_00166
OG0000038	Syar.g_00334, Syar.g_00336	Prbm.g_02174
OG0000039	Syar.g_00007, Syar.g_02827, Syar.g_02151, Syar.g_02044	Prbm.g_00723
OG0000042	Syar.g_00595, Syar.g_01970	Prbm.g_02102
OG0000044	Syar.g_02052, Syar.g_02167, Syar.g_01631	Prbm.g_00478, Prbm.g_01281
OG0000045	Syar.g_02592	Prbm.g_01088
OG0000046	Syar.g_01102, Syar.g_01105, Syar.g_03233	Prbm.g_00383
OG0000048	Syar.g_00213	Prbm.g_00329
OG0000051	Syar.g_01597	Prbm.g_01267, Prbm.g_01276
OG0000052	Syar.g_00281	Prbm.g_00114
OG0000053	Syar.g_01413	Prbm.g_01729
OG0000055	Syar.g_01386	Prbm.g_00778, Prbm.g_01921
OG0000056	Syar.g_01662	Prbm.g_00477
OG0000057	Syar.g_00006	Prbm.g_00735
OG0000061	Syar.g_01539	Prbm.g_01549
OG0000062	Syar.g_01439	Prbm.g_01792
OG0000063	Syar.g_00509	Prbm.g_01947
OG0000065	Syar.g_03119	Prbm.g_00164
OG0000066	Syar.g_02228	Prbm.g_00572
OG0000067	Syar.g_02639	Prbm.g_00814
OG0000068	Syar.g_02329, Syar.g_01461	Prbm.g_01660
OG0000069	Syar.g_01716	Prbm.g_00772, Prbm.g_01414, Prbm.g_01387, Prbm.g_01753
OG0000070	Syar.g_02223	Prbm.g_00460
OG0000071	Syar.g_02777	Prbm.g_00468, Prbm.g_01611
OG0000072	Syar.g_00107, Syar.g_01140	Prbm.g_00230
OG0000073	Syar.g_01493	Prbm.g_00533
OG0000075	Syar.g_03065, Syar.g_00659	Prbm.g_02069
OG0000076	Syar.g_00608	Prbm.g_02094
OG0000077	Syar.g_03051	Prbm.g_00135
OG0000078	Syar.g_01366	Prbm.g_00300
OG0000079	Syar.g_00166	Prbm.g_00311
OG0000081	Syar.g_01898	Prbm.g_00564
OG0000082	Syar.g_02202	Prbm.g_01900
OG0000085	Syar.g_02919	Prbm.g_01834
OG0000086	Syar.g_03085	Prbm.g_00145
OG0000087	Syar.g_03192, Syar.g_00068	Prbm.g_00198
OG0000088	Syar.g_00101	Prbm.g_00225
OG0000089	Syar.g_01162	Prbm.g_00423
OG0000090	Syar.g_03271, Syar.g_02363, Syar.g_02353, Syar.g_02356	Prbm.g_00566
OG0000091	Syar.g_01891, Syar.g_02426	Prbm.g_00673
OG0000092	Syar.g_01960	Prbm.g_00934
OG0000093	Syar.g_00819	Prbm.g_00799
OG0000094	Syar.g_01789	Prbm.g_00888
OG0000095	Syar.g_01932	Prbm.g_01064
OG0000097	Syar.g_01706, Syar.g_00364	Prbm.g_01502
OG0000098	Syar.g_02343	Prbm.g_01630
OG0000099	Syar.g_00715	Prbm.g_00394
OG0000100	Syar.g_02477	Prbm.g_01787
OG0000101	Syar.g_01073, Syar.g_03154	Prbm.g_02033
OG0000102	Syar.g_00602, Syar.g_02164, Syar.g_01644, Syar.g_02138	Prbm.g_02099
OG0000103	Syar.g_00452, Syar.g_00014	Prbm.g_02218
OG0000104	Syar.g_00466	Prbm.g_02229
OG0000105	Syar.g_00218	Prbm.g_00331
OG0000106	Syar.g_01748	Prbm.g_01172, Prbm.g_01237
OG0000107	Syar.g_00149	Prbm.g_01949
OG0000108	Syar.g_01469	Prbm.g_00506
OG0000109	Syar.g_03310, Syar.g_01485	Prbm.g_00519
OG0000110	Syar.g_02295	Prbm.g_00607
OG0000111	Syar.g_01940	Prbm.g_00736
OG0000112	Syar.g_02548, Syar.g_03195	Prbm.g_00980
OG0000113	Syar.g_02664	Prbm.g_00838, Prbm.g_01191
OG0000114	Syar.g_01616	Prbm.g_00929
OG0000115	Syar.g_02854, Syar.g_01415	Prbm.g_01803
OG0000116	Syar.g_01525, Syar.g_02255	Prbm.g_01560
OG0000117	Syar.g_01969	Prbm.g_01522
OG0000118	Syar.g_02793	Prbm.g_01622
OG0000120	Syar.g_00713	Prbm.g_00707
OG0000121	Syar.g_02806	Prbm.g_01712
OG0000123	Syar.g_01079	Prbm.g_02040
OG0000124	Syar.g_00586	Prbm.g_02111
OG0000125	Syar.g_00338	Prbm.g_02176
OG0000126	Syar.g_00887, Syar.g_00888	Prbm.g_02228
OG0000128	Syar.g_00482	Prbm.g_00011
OG0000129	Syar.g_00324	Prbm.g_00053
OG0000130	Syar.g_03040	Prbm.g_00126
OG0000131	Syar.g_00078	Prbm.g_00204
OG0000132	Syar.g_00099	Prbm.g_00223
OG0000133	Syar.g_02543	Prbm.g_00377
OG0000134	Syar.g_02009, Syar.g_01165	Prbm.g_00425
OG0000135	Syar.g_00698	Prbm.g_01389
OG0000136	Syar.g_02874	Prbm.g_00451
OG0000137	Syar.g_01273	Prbm.g_00500
OG0000138	Syar.g_01486	Prbm.g_00520
OG0000139	Syar.g_03245	Prbm.g_00570
OG0000140	Syar.g_02344, Syar.g_03246	Prbm.g_00571
OG0000141	Syar.g_02129	Prbm.g_00638
OG0000142	Syar.g_02418	Prbm.g_00666
OG0000143	Syar.g_02422	Prbm.g_00670
OG0000144	Syar.g_02441	Prbm.g_00683
OG0000145	Syar.g_01494	Prbm.g_01094
OG0000146	Syar.g_02549	Prbm.g_00979
OG0000147	Syar.g_02550	Prbm.g_00978
OG0000148	Syar.g_02658	Prbm.g_00832
OG0000149	Syar.g_01830, Syar.g_03289, Syar.g_03288	Prbm.g_00862
OG0000150	Syar.g_02130	Prbm.g_00870
OG0000151	Syar.g_02038	Prbm.g_00940
OG0000152	Syar.g_02539	Prbm.g_00988
OG0000153	Syar.g_03283, Syar.g_02503	Prbm.g_01006
OG0000154	Syar.g_01800	Prbm.g_01035
OG0000155	Syar.g_01959	Prbm.g_01527
OG0000156	Syar.g_01517	Prbm.g_01600
OG0000157	Syar.g_01516	Prbm.g_01601
OG0000158	Syar.g_00650	Prbm.g_02077
OG0000159	Syar.g_02359	Prbm.g_02133, Prbm.g_02115
OG0000160	Syar.g_02807	Prbm.g_01711
OG0000161	Syar.g_02801	Prbm.g_01717
OG0000162	Syar.g_02863	Prbm.g_01723
OG0000163	Syar.g_01186	Prbm.g_01759
OG0000164	Syar.g_03168, Syar.g_02969	Prbm.g_01863
OG0000165	Syar.g_02976	Prbm.g_01871
OG0000166	Syar.g_01034	Prbm.g_01996
