Orthogroup	Syar	Prbh
OG0000001	Syar.g_00069	Prbh.g_00001, Prbh.g_00863
OG0000004	Syar.g_02051	Prbh.g_00933
OG0000004	Syar.g_02225, Syar.g_00842	Prbh.g_00548
OG0000005	Syar.g_02909	Prbh.g_00182
OG0000006	Syar.g_00151, Syar.g_02056, Syar.g_03013	Prbh.g_00538
OG0000007	Syar.g_01491	Prbh.g_00334
OG0000007	Syar.g_02929	Prbh.g_01782
OG0000008	Syar.g_02097	Prbh.g_01406
OG0000008	Syar.g_02098	Prbh.g_01405
OG0000010	Syar.g_01272	Prbh.g_00848, Prbh.g_01143, Prbh.g_00357
OG0000013	Syar.g_03281, Syar.g_02032, Syar.g_01103, Syar.g_01106, Syar.g_03167	Prbh.g_00452
OG0000014	Syar.g_00825	Prbh.g_00472
OG0000016	Syar.g_02859	Prbh.g_01336
OG0000017	Syar.g_02180	Prbh.g_00225
OG0000017	Syar.g_02188	Prbh.g_00232
OG0000018	Syar.g_01409	Prbh.g_01305, Prbh.g_00981
OG0000019	Syar.g_00163	Prbh.g_00530, Prbh.g_01307
OG0000022	Syar.g_00835	Prbh.g_00190
OG0000025	Syar.g_01811	Prbh.g_00988
OG0000026	Syar.g_00505	Prbh.g_00749
OG0000028	Syar.g_00718	Prbh.g_00459, Prbh.g_00404
OG0000031	Syar.g_00714	Prbh.g_00064
OG0000032	Syar.g_01390	Prbh.g_00138
OG0000033	Syar.g_00105	Prbh.g_00613
OG0000034	Syar.g_00074, Syar.g_02790	Prbh.g_01383
OG0000035	Syar.g_02809	Prbh.g_00099, Prbh.g_00096
OG0000037	Syar.g_02154, Syar.g_02562, Syar.g_01310, Syar.g_02856	Prbh.g_00674
OG0000038	Syar.g_00334, Syar.g_00336	Prbh.g_01530
OG0000039	Syar.g_00007, Syar.g_02827, Syar.g_02151, Syar.g_02044	Prbh.g_00921
OG0000042	Syar.g_00595, Syar.g_01970	Prbh.g_01573
OG0000044	Syar.g_02052, Syar.g_02167, Syar.g_01631	Prbh.g_01794
OG0000045	Syar.g_02592	Prbh.g_01327
OG0000046	Syar.g_01102, Syar.g_01105, Syar.g_03233	Prbh.g_00451
OG0000048	Syar.g_00213	Prbh.g_00508
OG0000052	Syar.g_00281	Prbh.g_00727
OG0000052	Syar.g_02742, Syar.g_02751	Prbh.g_00041
OG0000053	Syar.g_01413	Prbh.g_01834, Prbh.g_00120
OG0000055	Syar.g_01386	Prbh.g_01332, Prbh.g_01797
OG0000056	Syar.g_01662	Prbh.g_01803, Prbh.g_01417, Prbh.g_01418
OG0000057	Syar.g_00006	Prbh.g_00936
OG0000061	Syar.g_01539	Prbh.g_01283
OG0000062	Syar.g_02911, Syar.g_01439	Prbh.g_00184
OG0000063	Syar.g_00509	Prbh.g_01401
OG0000064	Syar.g_03117, Syar.g_00860	Prbh.g_00715
OG0000065	Syar.g_03119	Prbh.g_00676
OG0000066	Syar.g_02228	Prbh.g_01856
OG0000067	Syar.g_02639	Prbh.g_00953
OG0000068	Syar.g_02329, Syar.g_01461	Prbh.g_00009
OG0000069	Syar.g_01716	Prbh.g_00376
OG0000070	Syar.g_03150, Syar.g_02223	Prbh.g_00382
OG0000071	Syar.g_02777	Prbh.g_01373
OG0000072	Syar.g_00107, Syar.g_01140	Prbh.g_00611
OG0000073	Syar.g_01493	Prbh.g_00330
OG0000073	Syar.g_01364	Prbh.g_00051
OG0000075	Syar.g_03065, Syar.g_00659	Prbh.g_01607
