Orthogroup	Syar	Prap
OG0000001	Syar.g_00069	Prap.g_01925, Prap.g_00653
OG0000004	Syar.g_02051	Prap.g_00802
OG0000004	Syar.g_02225, Syar.g_00842	Prap.g_01480
OG0000005	Syar.g_02909	Prap.g_00204
OG0000006	Syar.g_00151, Syar.g_02056, Syar.g_03013	Prap.g_01470
OG0000007	Syar.g_01491	Prap.g_01270
OG0000007	Syar.g_02929	Prap.g_01779
OG0000008	Syar.g_02097	Prap.g_01888
OG0000008	Syar.g_02098	Prap.g_01887
OG0000010	Syar.g_01272	Prap.g_00669, Prap.g_00318, Prap.g_01293
OG0000013	Syar.g_03281, Syar.g_02032, Syar.g_01103, Syar.g_01106, Syar.g_03167	Prap.g_01385
OG0000014	Syar.g_00825	Prap.g_01403
OG0000016	Syar.g_02859	Prap.g_00514
OG0000017	Syar.g_02180	Prap.g_01163
OG0000017	Syar.g_02188	Prap.g_01170
OG0000018	Syar.g_01409	Prap.g_00478, Prap.g_00755
OG0000019	Syar.g_00163	Prap.g_01462, Prap.g_00480
OG0000022	Syar.g_00835	Prap.g_00212
OG0000025	Syar.g_01811	Prap.g_00747
OG0000026	Syar.g_00505	Prap.g_00923
OG0000027	Syar.g_02055	Prap.g_01860, Prap.g_01912
OG0000028	Syar.g_00718	Prap.g_01889
OG0000032	Syar.g_01390	Prap.g_00160
OG0000033	Syar.g_00105	Prap.g_00087, Prap.g_01001
OG0000034	Syar.g_00074, Syar.g_02790	Prap.g_00572
OG0000035	Syar.g_02809	Prap.g_00121
OG0000037	Syar.g_02154, Syar.g_02562, Syar.g_01310, Syar.g_02856	Prap.g_01067
OG0000038	Syar.g_00334, Syar.g_00336	Prap.g_01530
OG0000039	Syar.g_00007, Syar.g_02827, Syar.g_02151, Syar.g_02044	Prap.g_00814
OG0000042	Syar.g_00595, Syar.g_01970	Prap.g_01572
OG0000045	Syar.g_02592	Prap.g_00500
OG0000046	Syar.g_01102, Syar.g_01105, Syar.g_03233	Prap.g_01384
OG0000048	Syar.g_00213	Prap.g_00548, Prap.g_01439
OG0000051	Syar.g_01597	Prap.g_00611
OG0000052	Syar.g_00281	Prap.g_00897
OG0000052	Syar.g_02742, Syar.g_02751	Prap.g_00099
OG0000053	Syar.g_01413	Prap.g_01834, Prap.g_00142
OG0000055	Syar.g_01386	Prap.g_00505, Prap.g_01805
OG0000057	Syar.g_00006	Prap.g_00799
OG0000061	Syar.g_01539	Prap.g_00456
OG0000062	Syar.g_02911, Syar.g_01439	Prap.g_00206
OG0000063	Syar.g_00509	Prap.g_01903
OG0000064	Syar.g_03117, Syar.g_00860	Prap.g_00883
OG0000065	Syar.g_03119	Prap.g_01069
OG0000066	Syar.g_02228	Prap.g_01230, Prap.g_01867
OG0000067	Syar.g_02639	Prap.g_00783
OG0000068	Syar.g_02329, Syar.g_01461	Prap.g_00059
OG0000069	Syar.g_01716	Prap.g_01312
OG0000070	Syar.g_03150, Syar.g_02223	Prap.g_01316
OG0000071	Syar.g_02777	Prap.g_00561
OG0000072	Syar.g_00107, Syar.g_01140	Prap.g_00999
OG0000073	Syar.g_01493	Prap.g_01267
OG0000075	Syar.g_03065, Syar.g_00659	Prap.g_01606
OG0000076	Syar.g_00608	Prap.g_01580
OG0000078	Syar.g_01366	Prap.g_01472
OG0000079	Syar.g_00166	Prap.g_01459
OG0000081	Syar.g_01898	Prap.g_01238
OG0000082	Syar.g_02202	Prap.g_01183, Prap.g_01790
OG0000085	Syar.g_02919	Prap.g_01787, Prap.g_01917
OG0000086	Syar.g_03085	Prap.g_01090
OG0000087	Syar.g_03192, Syar.g_00068	Prap.g_01035
OG0000088	Syar.g_00101	Prap.g_01004
OG0000089	Syar.g_01162	Prap.g_01349
OG0000090	Syar.g_03271, Syar.g_02363, Syar.g_02353, Syar.g_02356	Prap.g_01236
OG0000091	Syar.g_01891, Syar.g_02426	Prap.g_00384
OG0000092	Syar.g_01960	Prap.g_00853
OG0000093	Syar.g_00819	Prap.g_00355
OG0000094	Syar.g_01789	Prap.g_00306
OG0000095	Syar.g_01932	Prap.g_00708
OG0000097	Syar.g_01706, Syar.g_00364	Prap.g_00410
OG0000098	Syar.g_02343	Prap.g_01928
OG0000099	Syar.g_00715	Prap.g_00082
OG0000100	Syar.g_02477	Prap.g_00200
OG0000101	Syar.g_01073, Syar.g_03154	Prap.g_01642
OG0000102	Syar.g_00602, Syar.g_02164, Syar.g_01644, Syar.g_02138	Prap.g_01575
OG0000103	Syar.g_00452, Syar.g_00014	Prap.g_01491
OG0000104	Syar.g_00466	Prap.g_01869
OG0000105	Syar.g_00218	Prap.g_01436
OG0000106	Syar.g_01748	Prap.g_00591
OG0000107	Syar.g_00149	Prap.g_01714
OG0000108	Syar.g_01469	Prap.g_01287
OG0000109	Syar.g_03310, Syar.g_01485	Prap.g_01273
OG0000110	Syar.g_02295	Prap.g_01194
OG0000111	Syar.g_01940	Prap.g_00798
OG0000112	Syar.g_02548, Syar.g_03195	Prap.g_01121
