Orthogroup	Syar	Prak
OG0000001	Syar.g_00069	Prak.g_01302, Prak.g_00755
OG0000004	Syar.g_02051	Prak.g_00826
OG0000004	Syar.g_02225, Syar.g_00842	Prak.g_00248
OG0000005	Syar.g_02909	Prak.g_01474
OG0000006	Syar.g_00151, Syar.g_02056, Syar.g_03013	Prak.g_00258
OG0000007	Syar.g_01491	Prak.g_00458
OG0000007	Syar.g_02929	Prak.g_01645
OG0000008	Syar.g_02097	Prak.g_01544
OG0000008	Syar.g_02098	Prak.g_01545, Prak.g_01546
OG0000010	Syar.g_01272	Prak.g_00739, Prak.g_01034, Prak.g_00435
OG0000013	Syar.g_03281, Syar.g_02032, Syar.g_01103, Syar.g_01106, Syar.g_03167	Prak.g_00343
OG0000014	Syar.g_00825	Prak.g_00325
OG0000016	Syar.g_02859	Prak.g_00013, Prak.g_01230
OG0000017	Syar.g_02180	Prak.g_00566
OG0000017	Syar.g_02188	Prak.g_00559
OG0000018	Syar.g_01409	Prak.g_01194, Prak.g_00873
OG0000019	Syar.g_00163	Prak.g_00266, Prak.g_01196
OG0000022	Syar.g_00835	Prak.g_01482
OG0000025	Syar.g_01811	Prak.g_00881
OG0000026	Syar.g_00505	Prak.g_00032
OG0000027	Syar.g_02055	Prak.g_01564, Prak.g_01521
OG0000028	Syar.g_00718	Prak.g_01543
OG0000032	Syar.g_01390	Prak.g_01430
OG0000033	Syar.g_00105	Prak.g_01357, Prak.g_00181
OG0000034	Syar.g_00074, Syar.g_02790	Prak.g_01288
OG0000035	Syar.g_02809	Prak.g_01391
OG0000037	Syar.g_02154, Syar.g_02562, Syar.g_01310, Syar.g_02856	Prak.g_00115
OG0000038	Syar.g_00334, Syar.g_00336	Prak.g_01893
OG0000039	Syar.g_00007, Syar.g_02827, Syar.g_02151, Syar.g_02044	Prak.g_00814
OG0000042	Syar.g_00595, Syar.g_01970	Prak.g_01850
OG0000045	Syar.g_02592	Prak.g_01216
OG0000046	Syar.g_01102, Syar.g_01105, Syar.g_03233	Prak.g_00344
OG0000048	Syar.g_00213	Prak.g_01264, Prak.g_00289
OG0000051	Syar.g_01597	Prak.g_00667
OG0000052	Syar.g_00281	Prak.g_00058
OG0000052	Syar.g_02742, Syar.g_02751	Prak.g_01369
OG0000053	Syar.g_01413	Prak.g_01590, Prak.g_01412
OG0000055	Syar.g_01386	Prak.g_01221, Prak.g_01619
OG0000057	Syar.g_00006	Prak.g_00829
OG0000061	Syar.g_01539	Prak.g_01172
OG0000062	Syar.g_02911, Syar.g_01439	Prak.g_01476
OG0000063	Syar.g_00509	Prak.g_01530
OG0000064	Syar.g_03117, Syar.g_00860	Prak.g_00072
OG0000065	Syar.g_03119	Prak.g_00113
OG0000066	Syar.g_02228	Prak.g_00498, Prak.g_01557
OG0000067	Syar.g_02639	Prak.g_00845
OG0000068	Syar.g_02329, Syar.g_01461	Prak.g_01329
OG0000069	Syar.g_01716	Prak.g_00416
OG0000070	Syar.g_03150, Syar.g_02223	Prak.g_00412
OG0000071	Syar.g_02777	Prak.g_01277
OG0000072	Syar.g_00107, Syar.g_01140	Prak.g_00183
OG0000073	Syar.g_01493	Prak.g_00461
OG0000075	Syar.g_03065, Syar.g_00659	Prak.g_01816
OG0000076	Syar.g_00608	Prak.g_01842
OG0000078	Syar.g_01366	Prak.g_00256
OG0000079	Syar.g_00166	Prak.g_00269
OG0000081	Syar.g_01898	Prak.g_00490
OG0000082	Syar.g_02202	Prak.g_00546, Prak.g_01634
OG0000085	Syar.g_02919	Prak.g_01637, Prak.g_01516
OG0000086	Syar.g_03085	Prak.g_00092
OG0000087	Syar.g_03192, Syar.g_00068	Prak.g_00147
OG0000088	Syar.g_00101	Prak.g_00178
OG0000089	Syar.g_01162	Prak.g_00379
OG0000090	Syar.g_03271, Syar.g_02363, Syar.g_02353, Syar.g_02356	Prak.g_00492
OG0000091	Syar.g_01891, Syar.g_02426	Prak.g_01100
OG0000092	Syar.g_01960	Prak.g_00775
OG0000093	Syar.g_00819	Prak.g_01071
OG0000094	Syar.g_01789	Prak.g_01022
OG0000095	Syar.g_01932	Prak.g_00920
OG0000097	Syar.g_01706, Syar.g_00364	Prak.g_01126
OG0000098	Syar.g_02343	Prak.g_01305
OG0000099	Syar.g_00715	Prak.g_01352
