Orthogroup	Syar	Syab
OG0000001	Syar.g_00069	Syab.g_01549
OG0000001	Syar.g_00070	Syab.g_02553, Syab.g_02555
OG0000001	Syar.g_02229	Syab.g_00673
OG0000004	Syar.g_02051	Syab.g_00549, Syab.g_01193
OG0000004	Syar.g_02225	Syab.g_01911
OG0000004	Syar.g_00842	Syab.g_02377
OG0000005	Syar.g_02952	Syab.g_02289
OG0000005	Syar.g_02909	Syab.g_02232
OG0000005	Syar.g_01752	Syab.g_00981
OG0000006	Syar.g_00151, Syar.g_02056, Syar.g_03013	Syab.g_00365, Syab.g_01847, Syab.g_02361
OG0000006	Syar.g_02439	Syab.g_01849
OG0000007	Syar.g_01491	Syab.g_02117
OG0000007	Syar.g_02929	Syab.g_02256
OG0000008	Syar.g_02097	Syab.g_01755
OG0000008	Syar.g_02098	Syab.g_01168
OG0000009	Syar.g_03116	Syab.g_02498
OG0000010	Syar.g_01272	Syab.g_00696
OG0000013	Syar.g_02032, Syar.g_01103, Syar.g_01106	Syab.g_00482
OG0000014	Syar.g_00825	Syab.g_00249
OG0000014	Syar.g_02736	Syab.g_00178
OG0000015	Syar.g_00451	Syab.g_02889
OG0000016	Syar.g_02859	Syab.g_00014, Syab.g_01049
OG0000017	Syar.g_02180	Syab.g_01945
OG0000017	Syar.g_02188	Syab.g_01953
OG0000018	Syar.g_01409	Syab.g_00742
OG0000019	Syar.g_00163	Syab.g_00344
OG0000022	Syar.g_00835	Syab.g_01825
OG0000025	Syar.g_01811	Syab.g_01705
OG0000026	Syar.g_00505	Syab.g_00036
OG0000027	Syar.g_02055	Syab.g_01782
OG0000028	Syar.g_00718	Syab.g_00234
OG0000031	Syar.g_00714	Syab.g_00160
OG0000032	Syar.g_01390	Syab.g_00724
OG0000032	Syar.g_00543	Syab.g_00149
OG0000033	Syar.g_00105	Syab.g_02590
OG0000034	Syar.g_00074, Syar.g_02790	Syab.g_00900, Syab.g_02560
OG0000035	Syar.g_02809	Syab.g_00778, Syab.g_00776
OG0000037	Syar.g_02154, Syar.g_02562, Syar.g_01310, Syar.g_02856	Syab.g_02504
OG0000038	Syar.g_00334	Syab.g_02759
OG0000038	Syar.g_00336	Syab.g_02761
OG0000039	Syar.g_02151	Syab.g_02791
OG0000040	Syar.g_00858	Syab.g_02853
OG0000041	Syar.g_01370, Syar.g_02014	Syab.g_01086, Syab.g_02804
OG0000042	Syar.g_00595, Syar.g_01970	Syab.g_01019, Syab.g_00099
OG0000044	Syar.g_02052, Syar.g_02167, Syar.g_01631	Syab.g_01097, Syab.g_01262, Syab.g_01256
OG0000045	Syar.g_02592	Syab.g_00871, Syab.g_01787
OG0000046	Syar.g_03233	Syab.g_00496
OG0000048	Syar.g_00213	Syab.g_00308
OG0000051	Syar.g_01597	Syab.g_01073
OG0000052	Syar.g_02742, Syar.g_02751	Syab.g_00214
OG0000053	Syar.g_01413	Syab.g_00746
OG0000055	Syar.g_01386	Syab.g_01255
OG0000056	Syar.g_01662	Syab.g_01452
OG0000057	Syar.g_00006	Syab.g_01200
OG0000060	Syar.g_01260	Syab.g_00662, Syab.g_02094, Syab.g_01222
OG0000061	Syar.g_01539	Syab.g_00171, Syab.g_00969
OG0000062	Syar.g_02911	Syab.g_02234
OG0000063	Syar.g_00509	Syab.g_00040
OG0000064	Syar.g_03117	Syab.g_01783
OG0000064	Syar.g_00860	Syab.g_00997
OG0000065	Syar.g_03119	Syab.g_02500, Syab.g_01768
OG0000066	Syar.g_02228	Syab.g_02031
OG0000067	Syar.g_02639	Syab.g_01659
OG0000068	Syar.g_02329, Syar.g_01461	Syab.g_02087
OG0000070	Syar.g_02223	Syab.g_00614
OG0000071	Syar.g_02777	Syab.g_00915
OG0000072	Syar.g_00107	Syab.g_02593
OG0000073	Syar.g_01493	Syab.g_02119
OG0000075	Syar.g_03065, Syar.g_00659	Syab.g_00202
OG0000076	Syar.g_00608	Syab.g_00113
OG0000078	Syar.g_01366, Syar.g_03265	Syab.g_02366
OG0000079	Syar.g_00166	Syab.g_00340
OG0000080	Syar.g_00585	Syab.g_00140
OG0000081	Syar.g_01898	Syab.g_01793
OG0000082	Syar.g_02202	Syab.g_01971
OG0000085	Syar.g_02919	Syab.g_02243
OG0000086	Syar.g_03085	Syab.g_02468
OG0000087	Syar.g_03192, Syar.g_00068	Syab.g_02551
OG0000088	Syar.g_00101	Syab.g_02586
OG0000089	Syar.g_01162	Syab.g_00551
OG0000090	Syar.g_03271, Syar.g_02363, Syar.g_02353, Syar.g_02356	Syab.g_02041
OG0000091	Syar.g_01891, Syar.g_02426	Syab.g_01866
OG0000092	Syar.g_01960	Syab.g_01242, Syab.g_00690
OG0000093	Syar.g_02623	Syab.g_01582
OG0000093	Syar.g_00819	Syab.g_01090
OG0000094	Syar.g_01789	Syab.g_01306
OG0000095	Syar.g_01932	Syab.g_01210
OG0000097	Syar.g_01706	Syab.g_01051
OG0000098	Syar.g_02343	Syab.g_01553
OG0000099	Syar.g_00715	Syab.g_00230
OG0000100	Syar.g_02477	Syab.g_01694
OG0000101	Syar.g_03154	Syab.g_00446
OG0000102	Syar.g_00602, Syar.g_02164, Syar.g_01644, Syar.g_02138	Syab.g_00104
OG0000103	Syar.g_00452	Syab.g_01296
OG0000103	Syar.g_00014	Syab.g_02895
OG0000104	Syar.g_00466	Syab.g_02910
OG0000105	Syar.g_00218	Syab.g_00303
OG0000106	Syar.g_01748	Syab.g_01817
OG0000107	Syar.g_00149	Syab.g_00367
OG0000108	Syar.g_01469	Syab.g_02096
OG0000109	Syar.g_03310, Syar.g_01485	Syab.g_02112
OG0000110	Syar.g_02295	Syab.g_01984
OG0000111	Syar.g_01940	Syab.g_01201
OG0000112	Syar.g_02548, Syar.g_03195	Syab.g_01392
OG0000113	Syar.g_02664	Syab.g_01689
OG0000114	Syar.g_01616	Syab.g_01633
OG0000115	Syar.g_02854, Syar.g_01415	Syab.g_00748
OG0000116	Syar.g_01525, Syar.g_02255	Syab.g_00945
OG0000117	Syar.g_01969	Syab.g_01018
OG0000118	Syar.g_02793	Syab.g_00897
OG0000120	Syar.g_00713	Syab.g_00229
OG0000121	Syar.g_02806	Syab.g_00772
OG0000123	Syar.g_01079	Syab.g_00454
OG0000124	Syar.g_00586	Syab.g_00088
OG0000125	Syar.g_00338	Syab.g_02763
OG0000126	Syar.g_00887, Syar.g_00888	Syab.g_02908
OG0000128	Syar.g_00482	Syab.g_00012
OG0000129	Syar.g_00324	Syab.g_02749
OG0000130	Syar.g_03040	Syab.g_02434
