Orthogroup	Syar	Syal
OG0000001	Syar.g_00069	Syal.g_02193, Syal.g_02215
OG0000001	Syar.g_00070	Syal.g_00874, Syal.g_01184
OG0000004	Syar.g_02051	Syal.g_01809
OG0000004	Syar.g_02225	Syal.g_02718
OG0000004	Syar.g_00842	Syal.g_00691
OG0000005	Syar.g_02952	Syal.g_00606
OG0000005	Syar.g_02909	Syal.g_00565
OG0000005	Syar.g_01752	Syal.g_01664
OG0000006	Syar.g_00151, Syar.g_02056, Syar.g_03013	Syal.g_00674
OG0000006	Syar.g_02439	Syal.g_02611
OG0000007	Syar.g_01491	Syal.g_02918
OG0000007	Syar.g_02929	Syal.g_00587
OG0000008	Syar.g_02097	Syal.g_02512
OG0000008	Syar.g_02098	Syal.g_01783
OG0000009	Syar.g_03116	Syal.g_00818
OG0000010	Syar.g_01272	Syal.g_00464
OG0000013	Syar.g_02032, Syar.g_01103, Syar.g_01106	Syal.g_00310
OG0000014	Syar.g_00825	Syal.g_01305
OG0000015	Syar.g_00451	Syal.g_02210, Syal.g_01183
OG0000016	Syar.g_02859	Syal.g_00111, Syal.g_01734
OG0000017	Syar.g_02180	Syal.g_02745
OG0000017	Syar.g_02188	Syal.g_02752
OG0000018	Syar.g_01409	Syal.g_00410
OG0000019	Syar.g_00163	Syal.g_01209
OG0000022	Syar.g_00835	Syal.g_02587
OG0000025	Syar.g_01811	Syal.g_02459
OG0000026	Syar.g_00505	Syal.g_00132
OG0000027	Syar.g_02055	Syal.g_02543
OG0000028	Syar.g_00718	Syal.g_01319
OG0000031	Syar.g_00714	Syal.g_01404, Syal.g_01432
OG0000032	Syar.g_01390	Syal.g_00428
OG0000032	Syar.g_00543	Syal.g_00183
OG0000033	Syar.g_00105	Syal.g_00912
OG0000034	Syar.g_00074, Syar.g_02790	Syal.g_00881, Syal.g_01586
OG0000035	Syar.g_02809	Syal.g_00020, Syal.g_00370
OG0000037	Syar.g_02154, Syar.g_02562, Syar.g_01310, Syar.g_02856	Syal.g_00824
OG0000038	Syar.g_00334	Syal.g_01071
OG0000038	Syar.g_00336	Syal.g_01073
OG0000039	Syar.g_02151	Syal.g_01097
OG0000040	Syar.g_00858	Syal.g_01149
OG0000042	Syar.g_00595, Syar.g_01970	Syal.g_01705, Syal.g_01508
OG0000044	Syar.g_02052, Syar.g_02167, Syar.g_01631	Syal.g_01853, Syal.g_01847
OG0000045	Syar.g_02592	Syal.g_01563
OG0000046	Syar.g_03233	Syal.g_00321
OG0000048	Syar.g_00213	Syal.g_01250
OG0000051	Syar.g_01597	Syal.g_01550
OG0000052	Syar.g_02742, Syar.g_02751	Syal.g_01338
OG0000053	Syar.g_01413	Syal.g_00406
OG0000054	Syar.g_02265	Syal.g_02098
OG0000055	Syar.g_01386	Syal.g_01845
OG0000056	Syar.g_01662	Syal.g_02054
OG0000057	Syar.g_00006	Syal.g_01812
OG0000060	Syar.g_01260	Syal.g_00480, Syal.g_02895
OG0000061	Syar.g_01539	Syal.g_01653
OG0000062	Syar.g_02911	Syal.g_00567
OG0000062	Syar.g_01439	Syal.g_02113
OG0000063	Syar.g_00509	Syal.g_00136
OG0000064	Syar.g_03117	Syal.g_02544
OG0000064	Syar.g_00860	Syal.g_01681
OG0000065	Syar.g_03119	Syal.g_00820, Syal.g_02528
OG0000066	Syar.g_02228	Syal.g_02828
OG0000067	Syar.g_02639	Syal.g_02414
OG0000068	Syar.g_02329, Syar.g_01461	Syal.g_02888
OG0000070	Syar.g_02223	Syal.g_00509
OG0000071	Syar.g_02777	Syal.g_01601, Syal.g_02099
OG0000072	Syar.g_00107	Syal.g_00914
OG0000073	Syar.g_01493	Syal.g_02920
OG0000075	Syar.g_03065, Syar.g_00659	Syal.g_01350
OG0000076	Syar.g_00608	Syal.g_01459
OG0000077	Syar.g_03051	Syal.g_00506
OG0000078	Syar.g_01366, Syar.g_03265	Syal.g_00680
OG0000079	Syar.g_00166	Syal.g_01213
OG0000080	Syar.g_00585	Syal.g_01394
OG0000081	Syar.g_01898	Syal.g_02555
OG0000082	Syar.g_02202	Syal.g_02769
OG0000085	Syar.g_02919	Syal.g_00575
OG0000086	Syar.g_03085	Syal.g_00784
OG0000087	Syar.g_03192, Syar.g_00068	Syal.g_00871
OG0000088	Syar.g_00101	Syal.g_00908
OG0000089	Syar.g_01162	Syal.g_00555
OG0000090	Syar.g_03271, Syar.g_02363, Syar.g_02353, Syar.g_02356	Syal.g_02838
OG0000091	Syar.g_01891, Syar.g_02426	Syal.g_02628
OG0000092	Syar.g_01960	Syal.g_00470
OG0000093	Syar.g_02623	Syal.g_02233
OG0000094	Syar.g_01789	Syal.g_01907
OG0000095	Syar.g_01932	Syal.g_01823
OG0000097	Syar.g_01706	Syal.g_01735
OG0000097	Syar.g_00364	Syal.g_01553
OG0000098	Syar.g_02343	Syal.g_02196
OG0000099	Syar.g_00715	Syal.g_01323
OG0000100	Syar.g_02477	Syal.g_02448
OG0000101	Syar.g_03154	Syal.g_00275
OG0000102	Syar.g_00602, Syar.g_02164, Syar.g_01644, Syar.g_02138	Syal.g_01488
OG0000103	Syar.g_00452	Syal.g_01897
OG0000103	Syar.g_00014	Syal.g_00077
OG0000104	Syar.g_00466	Syal.g_00092
OG0000105	Syar.g_00218	Syal.g_01255
OG0000106	Syar.g_01748	Syal.g_02577
OG0000107	Syar.g_00149	Syal.g_00194
OG0000108	Syar.g_01469	Syal.g_02897
OG0000109	Syar.g_03310, Syar.g_01485	Syal.g_02913
OG0000110	Syar.g_02295	Syal.g_02782
OG0000111	Syar.g_01940	Syal.g_01813
OG0000112	Syar.g_02548, Syar.g_03195	Syal.g_02000
OG0000113	Syar.g_02664	Syal.g_02443
OG0000114	Syar.g_01616	Syal.g_02286
OG0000115	Syar.g_02854, Syar.g_01415	Syal.g_00404
OG0000116	Syar.g_01525, Syar.g_02255	Syal.g_01630
OG0000117	Syar.g_01969	Syal.g_01704
