Orthogroup	Syar	Praf
OG0000001	Syar.g_00069	Praf.g_01895, Praf.g_00818, Praf.g_01896, Praf.g_01031
OG0000001	Syar.g_00070	Praf.g_02422
OG0000001	Syar.g_02229	Praf.g_01293
OG0000004	Syar.g_02051	Praf.g_01121
OG0000004	Syar.g_02225, Syar.g_00842	Praf.g_00743
OG0000005	Syar.g_02909	Praf.g_00503
OG0000006	Syar.g_00151, Syar.g_02056, Syar.g_03013	Praf.g_00396, Praf.g_01719
OG0000007	Syar.g_01491	Praf.g_00614
OG0000007	Syar.g_02929	Praf.g_00480
OG0000008	Syar.g_02097	Praf.g_01223
OG0000008	Syar.g_02098	Praf.g_01224
OG0000009	Syar.g_03116	Praf.g_01768, Praf.g_00246
OG0000010	Syar.g_01272	Praf.g_01908
OG0000013	Syar.g_03281, Syar.g_02032, Syar.g_01103, Syar.g_01106, Syar.g_03167	Praf.g_02073
OG0000014	Syar.g_00825	Praf.g_02319
OG0000014	Syar.g_02736	Praf.g_00112
OG0000016	Syar.g_02859	Praf.g_00014, Praf.g_00906
OG0000017	Syar.g_02180	Praf.g_00760
OG0000017	Syar.g_02188	Praf.g_00752
OG0000018	Syar.g_01409	Praf.g_01832
OG0000019	Syar.g_00163	Praf.g_00943, Praf.g_02214
OG0000022	Syar.g_00835	Praf.g_00201, Praf.g_00965
OG0000025	Syar.g_01811	Praf.g_01591
OG0000026	Syar.g_00505	Praf.g_00037
OG0000028	Syar.g_00718	Praf.g_02333
OG0000032	Syar.g_01390	Praf.g_01851
OG0000032	Syar.g_00543	Praf.g_02346
OG0000033	Syar.g_00105	Praf.g_02707, Praf.g_00098, Praf.g_00117, Praf.g_02457
OG0000034	Syar.g_00074, Syar.g_02790	Praf.g_00783
OG0000035	Syar.g_02809	Praf.g_01794
OG0000037	Syar.g_02154, Syar.g_02562, Syar.g_01310, Syar.g_02856	Praf.g_00240
OG0000038	Syar.g_00334	Praf.g_02660
OG0000038	Syar.g_00336	Praf.g_02662
OG0000039	Syar.g_02827	Praf.g_00406
OG0000039	Syar.g_02151	Praf.g_02541
OG0000042	Syar.g_00595, Syar.g_01970	Praf.g_00164, Praf.g_00920
OG0000044	Syar.g_02052, Syar.g_02167, Syar.g_01631	Praf.g_00356, Praf.g_01078
OG0000045	Syar.g_02592	Praf.g_00322
OG0000046	Syar.g_01102, Syar.g_01105, Syar.g_03233	Praf.g_02072
OG0000048	Syar.g_00213	Praf.g_02267
OG0000051	Syar.g_01597	Praf.g_01022
OG0000052	Syar.g_02742, Syar.g_02751	Praf.g_02366
OG0000053	Syar.g_01413	Praf.g_01828
OG0000055	Syar.g_01386	Praf.g_01257
OG0000056	Syar.g_01662	Praf.g_01648, Praf.g_01880, Praf.g_02641, Praf.g_01879, Praf.g_01191, Praf.g_02639, Praf.g_02620, Praf.g_02084, Praf.g_01964, Praf.g_01881
OG0000057	Syar.g_00006	Praf.g_01125
OG0000058	Syar.g_00648	Praf.g_02345
OG0000059	Syar.g_01024	Praf.g_02172
OG0000060	Syar.g_01260	Praf.g_00592
OG0000061	Syar.g_01539	Praf.g_00854, Praf.g_01859
OG0000062	Syar.g_01439	Praf.g_00501
OG0000063	Syar.g_00509	Praf.g_00041
OG0000065	Syar.g_03119	Praf.g_00244
OG0000066	Syar.g_03187, Syar.g_02228	Praf.g_00672
OG0000067	Syar.g_02639	Praf.g_01530
OG0000068	Syar.g_02329, Syar.g_01461	Praf.g_00585, Praf.g_00583
OG0000070	Syar.g_02223	Praf.g_01962
OG0000071	Syar.g_02777	Praf.g_00796
OG0000072	Syar.g_01140	Praf.g_02469
OG0000073	Syar.g_01493	Praf.g_00616
OG0000075	Syar.g_03065, Syar.g_00659	Praf.g_02384
OG0000076	Syar.g_00608	Praf.g_00178
OG0000078	Syar.g_01366	Praf.g_00391
OG0000079	Syar.g_00166	Praf.g_02234, Praf.g_02218, Praf.g_02225
OG0000081	Syar.g_01898	Praf.g_01131
OG0000082	Syar.g_02202	Praf.g_00731
OG0000085	Syar.g_02919	Praf.g_00491
OG0000086	Syar.g_03085	Praf.g_00297
OG0000087	Syar.g_03192, Syar.g_00068	Praf.g_02420
OG0000088	Syar.g_00101	Praf.g_01239, Praf.g_02454
OG0000089	Syar.g_01162	Praf.g_02015
OG0000090	Syar.g_03271, Syar.g_02363, Syar.g_02353, Syar.g_02356	Praf.g_00660
OG0000091	Syar.g_01891, Syar.g_02426	Praf.g_01700
OG0000093	Syar.g_02623, Syar.g_00819	Praf.g_01503
OG0000094	Syar.g_01789	Praf.g_02685
OG0000095	Syar.g_01932	Praf.g_01274
OG0000097	Syar.g_01706	Praf.g_00905
OG0000098	Syar.g_02343	Praf.g_01886
OG0000099	Syar.g_00715	Praf.g_02342
OG0000100	Syar.g_02477	Praf.g_00370, Praf.g_01561
OG0000101	Syar.g_03154	Praf.g_02119
OG0000102	Syar.g_00602, Syar.g_02164, Syar.g_01644, Syar.g_02138	Praf.g_00173
OG0000103	Syar.g_00452, Syar.g_00014	Praf.g_02765
OG0000104	Syar.g_00466	Praf.g_02779
OG0000105	Syar.g_00218	Praf.g_02271
OG0000106	Syar.g_01748	Praf.g_00496
OG0000107	Syar.g_00149	Praf.g_02201
OG0000108	Syar.g_01469	Praf.g_00595
OG0000109	Syar.g_03310, Syar.g_01485	Praf.g_00611
OG0000110	Syar.g_02295	Praf.g_00718
OG0000111	Syar.g_01940	Praf.g_01126
OG0000112	Syar.g_02548	Praf.g_01400
OG0000113	Syar.g_02664	Praf.g_01556
OG0000114	Syar.g_01616	Praf.g_01461
OG0000115	Syar.g_02854, Syar.g_01415	Praf.g_01825
OG0000116	Syar.g_01525, Syar.g_02255	Praf.g_00825
OG0000117	Syar.g_01969	Praf.g_00919
OG0000118	Syar.g_02793	Praf.g_00779
OG0000120	Syar.g_00713	Praf.g_02343
OG0000121	Syar.g_02806	Praf.g_01796
OG0000123	Syar.g_01079	Praf.g_02108
OG0000124	Syar.g_00586	Praf.g_00153
OG0000125	Syar.g_00338	Praf.g_02664
