Orthogroup	Syar	Syaj
OG0000001	Syar.g_00069	Syaj.g_02674, Syaj.g_01948, Syaj.g_01947, Syaj.g_01949, Syaj.g_01952
OG0000001	Syar.g_00070	Syaj.g_01950
OG0000004	Syar.g_02051	Syaj.g_00441
OG0000004	Syar.g_02225	Syaj.g_01314
OG0000004	Syar.g_00842	Syaj.g_02853
OG0000005	Syar.g_02952	Syaj.g_01736
OG0000005	Syar.g_02909	Syaj.g_01698
OG0000005	Syar.g_01752	Syaj.g_01155
OG0000006	Syar.g_00151, Syar.g_02056, Syar.g_03013	Syaj.g_02635
OG0000007	Syar.g_01491	Syaj.g_00091
OG0000007	Syar.g_02929	Syaj.g_01721
OG0000008	Syar.g_02097	Syaj.g_00496
OG0000008	Syar.g_02098	Syaj.g_00497
OG0000009	Syar.g_03116	Syaj.g_01885
OG0000010	Syar.g_01272	Syaj.g_01445
OG0000013	Syar.g_02032, Syar.g_01103, Syar.g_01106	Syaj.g_02769
OG0000014	Syar.g_00825	Syaj.g_02522
OG0000014	Syar.g_02736	Syaj.g_02344
OG0000015	Syar.g_00451	Syaj.g_02242
OG0000016	Syar.g_02859	Syaj.g_02276, Syaj.g_00590, Syaj.g_01191
OG0000017	Syar.g_02180	Syaj.g_00255
OG0000017	Syar.g_02188	Syaj.g_00248
OG0000018	Syar.g_01409	Syaj.g_01413
OG0000019	Syar.g_00163	Syaj.g_02613
OG0000022	Syar.g_00835	Syaj.g_01220
OG0000025	Syar.g_01811	Syaj.g_00383
OG0000026	Syar.g_00505	Syaj.g_02298
OG0000027	Syar.g_02055	Syaj.g_00396
OG0000028	Syar.g_00718	Syaj.g_02506
OG0000031	Syar.g_00714	Syaj.g_02501
OG0000032	Syar.g_01390	Syaj.g_01432
OG0000033	Syar.g_00105	Syaj.g_01990
OG0000034	Syar.g_00074, Syar.g_02790	Syaj.g_01959
OG0000035	Syar.g_02809	Syaj.g_01378
OG0000037	Syar.g_02154, Syar.g_02562, Syar.g_01310, Syar.g_02856	Syaj.g_02902
OG0000038	Syar.g_00334	Syaj.g_02115
OG0000039	Syar.g_00007	Syaj.g_00392
OG0000039	Syar.g_02151	Syaj.g_00275
OG0000040	Syar.g_00858	Syaj.g_02208
OG0000042	Syar.g_00595, Syar.g_01970	Syaj.g_02399
OG0000044	Syar.g_02052, Syar.g_02167, Syar.g_01631	Syaj.g_01344
OG0000045	Syar.g_02592	Syaj.g_00132
OG0000046	Syar.g_03233	Syaj.g_02781
OG0000048	Syar.g_00213	Syaj.g_02578
OG0000051	Syar.g_01597	Syaj.g_02898
OG0000052	Syar.g_02742, Syar.g_02751	Syaj.g_02476
OG0000053	Syar.g_01413	Syaj.g_01409
OG0000055	Syar.g_01386	Syaj.g_00394
OG0000056	Syar.g_01662	Syaj.g_00985, Syaj.g_02864, Syaj.g_01794, Syaj.g_01081, Syaj.g_00880, Syaj.g_01082, Syaj.g_00533, Syaj.g_01676, Syaj.g_00546, Syaj.g_00879, Syaj.g_00462, Syaj.g_01088, Syaj.g_00360, Syaj.g_01093, Syaj.g_00962
OG0000057	Syar.g_00006	Syaj.g_00438
OG0000060	Syar.g_01260	Syaj.g_01469, Syaj.g_00067
OG0000061	Syar.g_01539	Syaj.g_00302
OG0000062	Syar.g_02911	Syaj.g_01700
OG0000063	Syar.g_00509	Syaj.g_02302
OG0000064	Syar.g_03117	Syaj.g_01253
OG0000065	Syar.g_03119	Syaj.g_00007, Syaj.g_01887
OG0000066	Syar.g_02228	Syaj.g_00157
OG0000067	Syar.g_02639	Syaj.g_01023
OG0000068	Syar.g_02329, Syar.g_01461	Syaj.g_00059
OG0000070	Syar.g_02223	Syaj.g_01529
OG0000071	Syar.g_02777	Syaj.g_01511
OG0000072	Syar.g_00107	Syaj.g_01992
OG0000073	Syar.g_01493	Syaj.g_00093
OG0000075	Syar.g_03065, Syar.g_00659	Syaj.g_02457
OG0000076	Syar.g_00608	Syaj.g_02417
OG0000077	Syar.g_03051	Syaj.g_01831
OG0000078	Syar.g_01366, Syar.g_03265	Syaj.g_02880
OG0000079	Syar.g_00166	Syaj.g_02609
OG0000081	Syar.g_01898	Syaj.g_02888
OG0000082	Syar.g_02202	Syaj.g_00229
OG0000085	Syar.g_02919	Syaj.g_01707
OG0000086	Syar.g_03085	Syaj.g_01848
OG0000087	Syar.g_00068	Syaj.g_01945
OG0000088	Syar.g_00101	Syaj.g_01986
OG0000089	Syar.g_01162	Syaj.g_02829, Syaj.g_01915
OG0000090	Syar.g_02363, Syar.g_02353, Syar.g_02356	Syaj.g_00144
OG0000091	Syar.g_01891, Syar.g_02426	Syaj.g_01275
OG0000092	Syar.g_01960	Syaj.g_00339
OG0000093	Syar.g_02623	Syaj.g_01042
OG0000094	Syar.g_01789	Syaj.g_00804
OG0000095	Syar.g_01932	Syaj.g_00427
OG0000097	Syar.g_01706	Syaj.g_00589
OG0000098	Syar.g_02343	Syaj.g_02671
OG0000099	Syar.g_00715	Syaj.g_02503
OG0000100	Syar.g_02477	Syaj.g_00987
OG0000101	Syar.g_03154	Syaj.g_02738
OG0000102	Syar.g_00602, Syar.g_02164, Syar.g_01644, Syar.g_02138	Syaj.g_02411
OG0000103	Syar.g_00014	Syaj.g_02243
OG0000104	Syar.g_00466	Syaj.g_02258
OG0000105	Syar.g_00218	Syaj.g_02573
OG0000106	Syar.g_01748	Syaj.g_01130
OG0000107	Syar.g_00149	Syaj.g_02637
OG0000108	Syar.g_01469	Syaj.g_00072
OG0000109	Syar.g_03310	Syaj.g_00087
OG0000110	Syar.g_02295	Syaj.g_00215
OG0000111	Syar.g_01940, Syar.g_00005	Syaj.g_00437
OG0000112	Syar.g_02548	Syaj.g_00907
OG0000113	Syar.g_02664	Syaj.g_00992
OG0000114	Syar.g_01616	Syaj.g_00741
OG0000115	Syar.g_02854, Syar.g_01415	Syaj.g_01402
OG0000116	Syar.g_01525, Syar.g_02255	Syaj.g_00289
OG0000117	Syar.g_01969	Syaj.g_00637
OG0000118	Syar.g_02793	Syaj.g_00267
OG0000120	Syar.g_00713	Syaj.g_02502
OG0000121	Syar.g_02806	Syaj.g_01383
OG0000123	Syar.g_01079	Syaj.g_02745
OG0000124	Syar.g_00586	Syaj.g_02388
OG0000125	Syar.g_00338	Syaj.g_02117
OG0000126	Syar.g_00887, Syar.g_00888	Syaj.g_02256
OG0000128	Syar.g_00482	Syaj.g_02274
OG0000129	Syar.g_00324	Syaj.g_02106
OG0000130	Syar.g_03040	Syaj.g_01818
OG0000131	Syar.g_00078, Syar.g_02216	Syaj.g_01964
OG0000132	Syar.g_00099	Syaj.g_01984, Syaj.g_00688
OG0000133	Syar.g_02543	Syaj.g_00902
OG0000134	Syar.g_01165	Syaj.g_02832
OG0000135	Syar.g_00698	Syaj.g_02167
OG0000136	Syar.g_02874	Syaj.g_01550
OG0000137	Syar.g_01273	Syaj.g_01444
OG0000138	Syar.g_01486	Syaj.g_02631, Syaj.g_00088
OG0000139	Syar.g_03245	Syaj.g_00150
OG0000140	Syar.g_02344, Syar.g_03246	Syaj.g_00153
OG0000141	Syar.g_02129	Syaj.g_01340
OG0000142	Syar.g_02418	Syaj.g_01283
OG0000143	Syar.g_02422	Syaj.g_01279
OG0000144	Syar.g_02441	Syaj.g_01151
OG0000145	Syar.g_01494	Syaj.g_00094
OG0000146	Syar.g_02549	Syaj.g_00908
OG0000147	Syar.g_02550	Syaj.g_00909
OG0000148	Syar.g_02658	Syaj.g_01003
OG0000149	Syar.g_01830	Syaj.g_00369
OG0000150	Syar.g_02130	Syaj.g_01339, Syaj.g_00154
OG0000151	Syar.g_02038	Syaj.g_01074
OG0000152	Syar.g_02539	Syaj.g_00898
OG0000153	Syar.g_02503	Syaj.g_00842
OG0000154	Syar.g_01800	Syaj.g_00814
OG0000155	Syar.g_01959	Syaj.g_00338
OG0000156	Syar.g_01517	Syaj.g_00282
OG0000157	Syar.g_01516	Syaj.g_00281
OG0000158	Syar.g_00650	Syaj.g_02445
OG0000160	Syar.g_02807	Syaj.g_01382
OG0000161	Syar.g_02801	Syaj.g_01389
OG0000162	Syar.g_02863	Syaj.g_01395
OG0000163	Syar.g_01186	Syaj.g_01639
