Orthogroup	Prbd	Prar
OG0000000	Prbd.g_01833	Prar.g_00971
OG0000000	Prbd.g_01914	Prar.g_00713
OG0000000	Prbd.g_01568	Prar.g_00729
OG0000000	Prbd.g_00528	Prar.g_01204
OG0000000	Prbd.g_01835	Prar.g_00727
OG0000001	Prbd.g_01779	Prar.g_00926
OG0000001	Prbd.g_01930	Prar.g_01202
OG0000002	Prbd.g_01771	Prar.g_00918
OG0000002	Prbd.g_00566	Prar.g_01508
OG0000004	Prbd.g_00549	Prar.g_01525
OG0000004	Prbd.g_01007	Prar.g_00095
OG0000005	Prbd.g_01512	Prar.g_01130
OG0000005	Prbd.g_01612	Prar.g_00771
OG0000006	Prbd.g_00998	Prar.g_00086
OG0000007	Prbd.g_00745	Prar.g_01328
OG0000007	Prbd.g_01525	Prar.g_01143
OG0000008	Prbd.g_00572	Prar.g_01502
OG0000009	Prbd.g_01576	Prar.g_00737
OG0000009	Prbd.g_01139	Prar.g_00223
OG0000010	Prbd.g_00768	Prar.g_00524
OG0000010	Prbd.g_00348	Prar.g_01912
OG0000011	Prbd.g_01859	Prar.g_00978
OG0000011	Prbd.g_00534, Prbd.g_01867	Prar.g_00988
OG0000012	Prbd.g_00621	Prar.g_01453
OG0000013	Prbd.g_00912	Prar.g_00260
OG0000014	Prbd.g_00933	Prar.g_00281
OG0000015	Prbd.g_00826	Prar.g_01179
OG0000016	Prbd.g_01224	Prar.g_00025
OG0000017	Prbd.g_00646	Prar.g_01428
OG0000018	Prbd.g_00129	Prar.g_01711
OG0000018	Prbd.g_00449	Prar.g_01282
OG0000019	Prbd.g_00990	Prar.g_00078
OG0000019	Prbd.g_00082	Prar.g_01663
OG0000020	Prbd.g_00406	Prar.g_01315
OG0000021	Prbd.g_00874	Prar.g_00425
OG0000022	Prbd.g_00423	Prar.g_01300
OG0000022	Prbd.g_00061	Prar.g_01649
OG0000023	Prbd.g_00879	Prar.g_00420
OG0000024	Prbd.g_00045	Prar.g_01634
OG0000024	Prbd.g_00569	Prar.g_01505
OG0000025	Prbd.g_00908	Prar.g_00256
OG0000025	Prbd.g_00137	Prar.g_01718
OG0000026	Prbd.g_01206	Prar.g_00007
OG0000026	Prbd.g_00355	Prar.g_01919
OG0000027	Prbd.g_00772	Prar.g_00520
OG0000028	Prbd.g_01864	Prar.g_00985
OG0000028	Prbd.g_00919	Prar.g_00267
OG0000029	Prbd.g_00863	Prar.g_00436
OG0000030	Prbd.g_01325	Prar.g_00662
OG0000032	Prbd.g_01730	Prar.g_00886
OG0000033	Prbd.g_01071	Prar.g_00158
OG0000034	Prbd.g_01791	Prar.g_00945
OG0000035	Prbd.g_01689	Prar.g_00339
OG0000037	Prbd.g_01135	Prar.g_00219
OG0000038	Prbd.g_01283	Prar.g_00702
OG0000039	Prbd.g_00558	Prar.g_01516
OG0000040	Prbd.g_01550	Prar.g_00715
OG0000040	Prbd.g_00448	Prar.g_01283
OG0000041	Prbd.g_01478	Prar.g_00602
OG0000042	Prbd.g_01328	Prar.g_00660
OG0000043	Prbd.g_00174	Prar.g_01755
OG0000045	Prbd.g_00867	Prar.g_00432
OG0000047	Prbd.g_00909	Prar.g_00257
OG0000048	Prbd.g_00864	Prar.g_00435
OG0000049	Prbd.g_00854	Prar.g_00445
OG0000049	Prbd.g_01894	Prar.g_01002
OG0000050	Prbd.g_00375	Prar.g_01940
OG0000053	Prbd.g_01669	Prar.g_00827
OG0000054	Prbd.g_00638	Prar.g_01436
OG0000055	Prbd.g_00083	Prar.g_01664
OG0000057	Prbd.g_00546	Prar.g_01528
OG0000058	Prbd.g_01733	Prar.g_00870
OG0000059	Prbd.g_01439	Prar.g_01090
OG0000061	Prbd.g_00468	Prar.g_01263
OG0000062	Prbd.g_01610	Prar.g_00769
OG0000063	Prbd.g_01204	Prar.g_00004
OG0000065	Prbd.g_01137	Prar.g_00221
OG0000066	Prbd.g_00703	Prar.g_01369
OG0000068	Prbd.g_01764	Prar.g_00911
OG0000069	Prbd.g_01575	Prar.g_01170, Prar.g_00736
