Orthogroup	Prbd	Prap
OG0000000	Prbd.g_01914, Prbd.g_01568	Prap.g_01862
OG0000001	Prbd.g_01779	Prap.g_01925
OG0000002	Prbd.g_01771	Prap.g_00720, Prap.g_00715
OG0000002	Prbd.g_00566	Prap.g_00486, Prap.g_01946, Prap.g_00484, Prap.g_00491, Prap.g_00224, Prap.g_00823
OG0000004	Prbd.g_00549	Prap.g_00802
OG0000004	Prbd.g_01007	Prap.g_01480
OG0000005	Prbd.g_01612	Prap.g_00204
OG0000006	Prbd.g_00998	Prap.g_01470
OG0000007	Prbd.g_00745	Prap.g_01270
OG0000007	Prbd.g_01525	Prap.g_01779
OG0000009	Prbd.g_01887	Prap.g_00216
OG0000010	Prbd.g_00768	Prap.g_01293
OG0000010	Prbd.g_00348	Prap.g_00669, Prap.g_00318
OG0000011	Prbd.g_00836	Prap.g_00619
OG0000012	Prbd.g_00621	Prap.g_01145, Prap.g_00236
OG0000013	Prbd.g_00912	Prap.g_01385
OG0000014	Prbd.g_00933	Prap.g_01403
OG0000015	Prbd.g_00065, Prbd.g_00826	Prap.g_01840, Prap.g_01794
OG0000017	Prbd.g_00646	Prap.g_01170, Prap.g_01163
OG0000018	Prbd.g_00129	Prap.g_00755
OG0000018	Prbd.g_00449	Prap.g_00478
OG0000019	Prbd.g_00990	Prap.g_01462
OG0000019	Prbd.g_00082	Prap.g_00480
OG0000021	Prbd.g_01546, Prbd.g_00874	Prap.g_00229, Prap.g_00797
OG0000022	Prbd.g_00061	Prap.g_00212
OG0000023	Prbd.g_00879	Prap.g_00029
OG0000024	Prbd.g_00045	Prap.g_00322
OG0000024	Prbd.g_00569	Prap.g_00826
OG0000025	Prbd.g_00908, Prbd.g_00137	Prap.g_00747
OG0000026	Prbd.g_01206, Prbd.g_00355	Prap.g_00923
OG0000027	Prbd.g_00772, Prbd.g_01832	Prap.g_01912, Prap.g_01860
OG0000028	Prbd.g_01864	Prap.g_01889
OG0000029	Prbd.g_00052	Prap.g_01899, Prap.g_01848
OG0000029	Prbd.g_00863	Prap.g_01688
OG0000030	Prbd.g_01325	Prap.g_01569
OG0000034	Prbd.g_01791	Prap.g_00572
OG0000035	Prbd.g_01689	Prap.g_00121
OG0000037	Prbd.g_01135	Prap.g_01067
OG0000038	Prbd.g_01283	Prap.g_01530
OG0000039	Prbd.g_00558	Prap.g_00814
OG0000041	Prbd.g_01478	Prap.g_01731
OG0000042	Prbd.g_01328	Prap.g_01572
OG0000043	Prbd.g_01891, Prbd.g_00174	Prap.g_00477
OG0000048	Prbd.g_00439, Prbd.g_00864	Prap.g_00548, Prap.g_01439
OG0000050	Prbd.g_01928	Prap.g_00667
OG0000053	Prbd.g_01669	Prap.g_00142, Prap.g_01834
OG0000054	Prbd.g_00638	Prap.g_01161
OG0000055	Prbd.g_00083	Prap.g_00505, Prap.g_01805
OG0000057	Prbd.g_00546	Prap.g_00799
OG0000058	Prbd.g_01733	Prap.g_00081
OG0000059	Prbd.g_01439	Prap.g_01691
OG0000061	Prbd.g_00468	Prap.g_00456
OG0000062	Prbd.g_01610	Prap.g_00206
OG0000065	Prbd.g_01137	Prap.g_01069
