Orthogroup	Prbd	Syac
OG0000001	Prbd.g_01779	Syac.g_02154, Syac.g_00341, Syac.g_00340, Syac.g_02169
OG0000002	Prbd.g_01771, Prbd.g_00566	Syac.g_01084
OG0000004	Prbd.g_00549	Syac.g_00898
OG0000004	Prbd.g_01007	Syac.g_00948, Syac.g_01975
OG0000005	Prbd.g_01512	Syac.g_00527
OG0000005	Prbd.g_01612	Syac.g_00569
OG0000006	Prbd.g_00998	Syac.g_01002, Syac.g_01958, Syac.g_01961, Syac.g_02194
OG0000007	Prbd.g_00745	Syac.g_01885
OG0000007	Prbd.g_01525	Syac.g_00544
OG0000009	Prbd.g_01139	Syac.g_01004, Syac.g_00398
OG0000010	Prbd.g_00348	Syac.g_01701
OG0000011	Prbd.g_00534, Prbd.g_01867	Syac.g_00924
OG0000012	Prbd.g_00621	Syac.g_00955, Syac.g_00758, Syac.g_01577
OG0000013	Prbd.g_00912	Syac.g_02056, Syac.g_02046, Syac.g_02062
OG0000014	Prbd.g_00933	Syac.g_00253
OG0000015	Prbd.g_00065, Prbd.g_00826	Syac.g_01408
OG0000016	Prbd.g_01224	Syac.g_00014
OG0000017	Prbd.g_00646	Syac.g_01749, Syac.g_01742
OG0000018	Prbd.g_00449	Syac.g_01660
OG0000019	Prbd.g_00990, Prbd.g_00082	Syac.g_02207
OG0000022	Prbd.g_00423	Syac.g_01031
OG0000023	Prbd.g_00879	Syac.g_00760
OG0000024	Prbd.g_00045, Prbd.g_00569	Syac.g_00925
OG0000025	Prbd.g_00908, Prbd.g_00137	Syac.g_00847
OG0000026	Prbd.g_01206, Prbd.g_00355	Syac.g_00034
OG0000027	Prbd.g_00772, Prbd.g_01832	Syac.g_01095, Syac.g_01009
OG0000028	Prbd.g_01864, Prbd.g_00919	Syac.g_00237
OG0000029	Prbd.g_00052, Prbd.g_00863	Syac.g_01942
OG0000030	Prbd.g_01325	Syac.g_00143, Syac.g_00142
OG0000034	Prbd.g_01791	Syac.g_00334, Syac.g_00715
OG0000035	Prbd.g_01689	Syac.g_01630
OG0000037	Prbd.g_01135	Syac.g_01077
OG0000038	Prbd.g_01283	Syac.g_02357, Syac.g_02358
OG0000039	Prbd.g_00558	Syac.g_00856, Syac.g_02378
OG0000040	Prbd.g_01550	Syac.g_01006
OG0000040	Prbd.g_00448	Syac.g_02437
OG0000041	Prbd.g_01478	Syac.g_00655, Syac.g_00876
OG0000042	Prbd.g_01328	Syac.g_00146
OG0000043	Prbd.g_01891	Syac.g_00808
OG0000045	Prbd.g_00867	Syac.g_01040
OG0000047	Prbd.g_00909	Syac.g_02031
OG0000048	Prbd.g_00439, Prbd.g_00864	Syac.g_02240
OG0000050	Prbd.g_00375	Syac.g_01937
OG0000051	Prbd.g_01544	Syac.g_01292
OG0000053	Prbd.g_01669	Syac.g_01657
OG0000054	Prbd.g_00638	Syac.g_00933, Syac.g_01050
OG0000055	Prbd.g_00083	Syac.g_01034, Syac.g_00859
OG0000057	Prbd.g_00546	Syac.g_00894
OG0000059	Prbd.g_01439	Syac.g_02142
OG0000060	Prbd.g_00824	Syac.g_01909
OG0000061	Prbd.g_00468	Syac.g_00769
OG0000062	Prbd.g_01610	Syac.g_00567
OG0000063	Prbd.g_01204	Syac.g_00037
OG0000065	Prbd.g_01137	Syac.g_00396, Syac.g_00490
OG0000066	Prbd.g_00703	Syac.g_01827
OG0000067	Prbd.g_00102	Syac.g_01341
OG0000068	Prbd.g_01764	Syac.g_01916
OG0000069	Prbd.g_01575	Syac.g_01272
OG0000070	Prbd.g_00792	Syac.g_00711
OG0000071	Prbd.g_01801	Syac.g_01049, Syac.g_00729
OG0000072	Prbd.g_01069	Syac.g_00302
OG0000073	Prbd.g_00743	Syac.g_01883
OG0000075	Prbd.g_01359	Syac.g_00191
OG0000076	Prbd.g_01335	Syac.g_00156
OG0000077	Prbd.g_01166	Syac.g_00439
OG0000078	Prbd.g_01000	Syac.g_01964
OG0000079	Prbd.g_00987	Syac.g_02211
OG0000081	Prbd.g_00711	Syac.g_01954, Syac.g_00461
OG0000082	Prbd.g_00658	Syac.g_01766
OG0000084	Prbd.g_01693	Syac.g_00822, Syac.g_01627
OG0000085	Prbd.g_01532	Syac.g_00560
OG0000086	Prbd.g_01156	Syac.g_00423
OG0000087	Prbd.g_01104, Prbd.g_01103	Syac.g_00343
OG0000088	Prbd.g_01074	Syac.g_00308
OG0000089	Prbd.g_00883	Syac.g_01988, Syac.g_01543
OG0000090	Prbd.g_00709	Syac.g_01836
OG0000091	Prbd.g_00602	Syac.g_00987
OG0000093	Prbd.g_00232	Syac.g_01357
OG0000094	Prbd.g_00321	Syac.g_01251
OG0000095	Prbd.g_00340	Syac.g_00884
OG0000097	Prbd.g_00509	Syac.g_01507
OG0000098	Prbd.g_01782	Syac.g_02157
OG0000099	Prbd.g_01734	Syac.g_00234
OG0000100	Prbd.g_01614	Syac.g_01309
OG0000101	Prbd.g_01391	Syac.g_02094
OG0000102	Prbd.g_01330	Syac.g_00151
OG0000103	Prbd.g_01250	Syac.g_02476
OG0000104	Prbd.g_01241	Syac.g_02490
OG0000105	Prbd.g_00965	Syac.g_02245
OG0000106	Prbd.g_00868	Syac.g_01098
OG0000107	Prbd.g_00852	Syac.g_02191
OG0000108	Prbd.g_00762	Syac.g_01904
OG0000109	Prbd.g_00748	Syac.g_01889
OG0000110	Prbd.g_00668	Syac.g_01778
OG0000111	Prbd.g_00545	Syac.g_00893
OG0000112	Prbd.g_00066	Syac.g_01173
OG0000113	Prbd.g_00124	Syac.g_01314
OG0000114	Prbd.g_00206	Syac.g_01394
OG0000115	Prbd.g_00401	Syac.g_01655
OG0000116	Prbd.g_00458	Syac.g_00753
OG0000117	Prbd.g_01895	Syac.g_01477
OG0000118	Prbd.g_01789	Syac.g_01728
OG0000120	Prbd.g_01737	Syac.g_00233
OG0000121	Prbd.g_01687	Syac.g_01635
OG0000122	Prbd.g_01649	Syac.g_01013
OG0000123	Prbd.g_01384	Syac.g_02086
OG0000124	Prbd.g_01318	Syac.g_00135
OG0000125	Prbd.g_01281	Syac.g_02360
OG0000126	Prbd.g_01242	Syac.g_02488
OG0000128	Prbd.g_01226	Syac.g_00012
OG0000129	Prbd.g_01194	Syac.g_02349
OG0000130	Prbd.g_01175	Syac.g_00450
OG0000131	Prbd.g_01095	Syac.g_00330
OG0000132	Prbd.g_01076	Syac.g_00310
OG0000133	Prbd.g_00917	Syac.g_01178
OG0000134	Prbd.g_00882	Syac.g_01985
OG0000135	Prbd.g_00855	Syac.g_02398
OG0000136	Prbd.g_01722, Prbd.g_00801	Syac.g_00701
OG0000137	Prbd.g_00767	Syac.g_01700
OG0000138	Prbd.g_00747	Syac.g_01888
OG0000139	Prbd.g_00705	Syac.g_01830
OG0000140	Prbd.g_00704	Syac.g_01829
OG0000141	Prbd.g_00637	Syac.g_00934
OG0000142	Prbd.g_00609	Syac.g_00979
OG0000143	Prbd.g_00605	Syac.g_00983
OG0000144	Prbd.g_00592	Syac.g_01090
OG0000145	Prbd.g_00062	Syac.g_01882
OG0000146	Prbd.g_00067	Syac.g_01172
OG0000147	Prbd.g_00068	Syac.g_01171
OG0000148	Prbd.g_00118	Syac.g_01320
OG0000149	Prbd.g_00149	Syac.g_00832
OG0000150	Prbd.g_00157	Syac.g_00935
OG0000151	Prbd.g_00216	Syac.g_01383
OG0000152	Prbd.g_00264	Syac.g_01182
OG0000153	Prbd.g_00283	Syac.g_01217
OG0000154	Prbd.g_00314	Syac.g_01241
OG0000155	Prbd.g_00488	Syac.g_00804
OG0000156	Prbd.g_01812	Syac.g_00743
OG0000157	Prbd.g_01811	Syac.g_00742
OG0000158	Prbd.g_01736	Syac.g_00182
OG0000160	Prbd.g_01688	Syac.g_01633
OG0000161	Prbd.g_01682	Syac.g_01641
OG0000162	Prbd.g_01676	Syac.g_01648
OG0000163	Prbd.g_01642	Syac.g_00619
OG0000164	Prbd.g_01501	Syac.g_00508
OG0000165	Prbd.g_01494	Syac.g_00674
OG0000166	Prbd.g_01427	Syac.g_02132
OG0000167	Prbd.g_01361	Syac.g_00194
OG0000168	Prbd.g_01351	Syac.g_00179
OG0000169	Prbd.g_01341	Syac.g_00168
OG0000170	Prbd.g_01339	Syac.g_00161
OG0000171	Prbd.g_01319	Syac.g_00136
OG0000172	Prbd.g_01310	Syac.g_00084
OG0000173	Prbd.g_01295	Syac.g_00057
OG0000174	Prbd.g_01268	Syac.g_02401
OG0000175	Prbd.g_01258	Syac.g_02465
OG0000176	Prbd.g_01233	Syac.g_00004
OG0000177	Prbd.g_01232	Syac.g_00005
OG0000178	Prbd.g_01231	Syac.g_00006
OG0000179	Prbd.g_01221	Syac.g_00019
OG0000180	Prbd.g_01220	Syac.g_00020
OG0000181	Prbd.g_01219	Syac.g_00021
OG0000182	Prbd.g_01218	Syac.g_00022
OG0000183	Prbd.g_01214	Syac.g_00026
OG0000184	Prbd.g_01191	Syac.g_02339
OG0000185	Prbd.g_01188	Syac.g_02336
OG0000186	Prbd.g_01180	Syac.g_00454
OG0000187	Prbd.g_01179	Syac.g_00453
OG0000188	Prbd.g_01162	Syac.g_00433
OG0000189	Prbd.g_01148	Syac.g_00408
OG0000190	Prbd.g_01147	Syac.g_00406
OG0000191	Prbd.g_01126	Syac.g_00373
OG0000192	Prbd.g_01122	Syac.g_00368
OG0000193	Prbd.g_01094	Syac.g_00329
OG0000194	Prbd.g_01091	Syac.g_00326
OG0000195	Prbd.g_01089	Syac.g_00324
OG0000196	Prbd.g_01079	Syac.g_00313
OG0000197	Prbd.g_01078	Syac.g_00312
OG0000198	Prbd.g_01077	Syac.g_00311
OG0000199	Prbd.g_01070	Syac.g_00303
OG0000200	Prbd.g_01056	Syac.g_02261
OG0000201	Prbd.g_01048	Syac.g_02278
OG0000202	Prbd.g_01047	Syac.g_02279
OG0000203	Prbd.g_01046	Syac.g_02280
OG0000204	Prbd.g_01045	Syac.g_02281
OG0000205	Prbd.g_01038	Syac.g_02288
OG0000206	Prbd.g_01033	Syac.g_02297
OG0000207	Prbd.g_01031	Syac.g_02300
OG0000208	Prbd.g_01030	Syac.g_02301
OG0000209	Prbd.g_01021	Syac.g_02316
OG0000210	Prbd.g_01020	Syac.g_02317
OG0000211	Prbd.g_01006	Syac.g_01972
OG0000212	Prbd.g_00999	Syac.g_01963
OG0000213	Prbd.g_00982	Syac.g_02219
OG0000214	Prbd.g_00972	Syac.g_02236
OG0000215	Prbd.g_00947	Syac.g_00281
OG0000216	Prbd.g_00945	Syac.g_00277
OG0000217	Prbd.g_00942	Syac.g_00273
OG0000218	Prbd.g_00940	Syac.g_00271
OG0000219	Prbd.g_00939	Syac.g_00270
OG0000220	Prbd.g_00938	Syac.g_00269
OG0000221	Prbd.g_00937	Syac.g_00261
OG0000222	Prbd.g_00929	Syac.g_00247
OG0000223	Prbd.g_00916	Syac.g_00225
OG0000224	Prbd.g_00914	Syac.g_00217
OG0000225	Prbd.g_00893	Syac.g_02004
OG0000226	Prbd.g_00889	Syac.g_02000
OG0000227	Prbd.g_00887	Syac.g_01998
OG0000228	Prbd.g_00884	Syac.g_01989
OG0000229	Prbd.g_00806	Syac.g_00692
OG0000230	Prbd.g_00804	Syac.g_00694
OG0000231	Prbd.g_00793	Syac.g_00710
OG0000232	Prbd.g_00784	Syac.g_01717
OG0000233	Prbd.g_00779	Syac.g_01713
OG0000234	Prbd.g_00766	Syac.g_01699
OG0000235	Prbd.g_00763	Syac.g_01905
OG0000236	Prbd.g_00749	Syac.g_01890
OG0000237	Prbd.g_00736	Syac.g_01873
OG0000238	Prbd.g_00730	Syac.g_01868
