Orthogroup	Prbd	Prbh
OG0000000	Prbd.g_01833	Prbh.g_01853
OG0000000	Prbd.g_01914, Prbd.g_01568	Prbh.g_01903
OG0000001	Prbd.g_01779	Prbh.g_00001
OG0000002	Prbd.g_01771	Prbh.g_01016, Prbh.g_01022
OG0000002	Prbd.g_00566	Prbh.g_01313, Prbh.g_00006, Prbh.g_01311, Prbh.g_01317, Prbh.g_00199, Prbh.g_00912
OG0000004	Prbd.g_00549	Prbh.g_00933
OG0000004	Prbd.g_01007	Prbh.g_00548
OG0000005	Prbd.g_01612	Prbh.g_00182
OG0000006	Prbd.g_00998	Prbh.g_00538
OG0000007	Prbd.g_00745	Prbh.g_00334
OG0000007	Prbd.g_01525	Prbh.g_01782
OG0000009	Prbd.g_01887	Prbh.g_00377, Prbh.g_00193, Prbh.g_01841
OG0000010	Prbd.g_00768	Prbh.g_00357
OG0000010	Prbd.g_00348	Prbh.g_00848, Prbh.g_01143
OG0000011	Prbd.g_00534, Prbd.g_01867	Prbh.g_01835
OG0000012	Prbd.g_00621	Prbh.g_01460
OG0000013	Prbd.g_00912	Prbh.g_00452
OG0000014	Prbd.g_00933	Prbh.g_00472
OG0000015	Prbd.g_00065, Prbd.g_00826	Prbh.g_00840, Prbh.g_01869
OG0000017	Prbd.g_00646	Prbh.g_00232, Prbh.g_00225
OG0000018	Prbd.g_00129	Prbh.g_00981
OG0000018	Prbd.g_00449	Prbh.g_01305
OG0000019	Prbd.g_00990	Prbh.g_00530
OG0000019	Prbd.g_00082	Prbh.g_01307
OG0000021	Prbd.g_01546, Prbd.g_00874	Prbh.g_00203, Prbh.g_00938
OG0000022	Prbd.g_00061	Prbh.g_00190
OG0000023	Prbd.g_00879	Prbh.g_00833
OG0000024	Prbd.g_00045	Prbh.g_01147
OG0000024	Prbd.g_00569	Prbh.g_00909
OG0000025	Prbd.g_00908, Prbd.g_00137	Prbh.g_00988
OG0000026	Prbd.g_00355	Prbh.g_00749
OG0000028	Prbd.g_01864	Prbh.g_00404
OG0000028	Prbd.g_00919	Prbh.g_00459
OG0000029	Prbd.g_00052	Prbh.g_01885
OG0000029	Prbd.g_00863	Prbh.g_01691
OG0000030	Prbd.g_01325	Prbh.g_01570
OG0000034	Prbd.g_01791	Prbh.g_01383
OG0000035	Prbd.g_01689	Prbh.g_00096, Prbh.g_00099
OG0000037	Prbd.g_01135	Prbh.g_00674
OG0000038	Prbd.g_01283	Prbh.g_01530
OG0000039	Prbd.g_00558	Prbh.g_00921
OG0000040	Prbd.g_01550	Prbh.g_01815
OG0000041	Prbd.g_01478	Prbh.g_01734
OG0000042	Prbd.g_01328	Prbh.g_01573
OG0000043	Prbd.g_01891, Prbd.g_00174	Prbh.g_01304
OG0000048	Prbd.g_00439, Prbd.g_00864	Prbh.g_00508
OG0000050	Prbd.g_01928	Prbh.g_01445, Prbh.g_00850
OG0000053	Prbd.g_01669	Prbh.g_00120, Prbh.g_01834
OG0000054	Prbd.g_00638	Prbh.g_00223
OG0000055	Prbd.g_00083	Prbh.g_01332, Prbh.g_01797
OG0000057	Prbd.g_00546	Prbh.g_00936
OG0000058	Prbd.g_01733	Prbh.g_00030
OG0000059	Prbd.g_01439	Prbh.g_01695
OG0000061	Prbd.g_00468	Prbh.g_01283
OG0000062	Prbd.g_01610	Prbh.g_00184
OG0000065	Prbd.g_01137	Prbh.g_00676
OG0000066	Prbd.g_00703	Prbh.g_01856
OG0000067	Prbd.g_00102	Prbh.g_00953
OG0000068	Prbd.g_01764	Prbh.g_00009
OG0000069	Prbd.g_01575	Prbh.g_00376
OG0000070	Prbd.g_00792	Prbh.g_00382
OG0000071	Prbd.g_01801	Prbh.g_01373
OG0000072	Prbd.g_01069	Prbh.g_00611
OG0000073	Prbd.g_00743	Prbh.g_00051, Prbh.g_00330
OG0000074	Prbd.g_00562	Prbh.g_00916, Prbh.g_00859, Prbh.g_00828
OG0000075	Prbd.g_01359	Prbh.g_01607
OG0000076	Prbd.g_01335	Prbh.g_01581
OG0000077	Prbd.g_01166	Prbh.g_00704
OG0000078	Prbd.g_01000	Prbh.g_00540
OG0000079	Prbd.g_00987	Prbh.g_00527
OG0000080	Prbd.g_01731	Prbh.g_00069
OG0000081	Prbd.g_00711	Prbh.g_00298
OG0000082	Prbd.g_00658	Prbh.g_01855
OG0000084	Prbd.g_01693	Prbh.g_00093
OG0000085	Prbd.g_01532	Prbh.g_01408
OG0000086	Prbd.g_01156	Prbh.g_00695
OG0000087	Prbd.g_01104, Prbd.g_01103	Prbh.g_00642
OG0000088	Prbd.g_01074	Prbh.g_00616
OG0000089	Prbd.g_00883	Prbh.g_00415
OG0000090	Prbd.g_00709	Prbh.g_00296
OG0000091	Prbd.g_00602	Prbh.g_01211
OG0000092	Prbd.g_00211	Prbh.g_00883
OG0000093	Prbd.g_00232	Prbh.g_01181
OG0000094	Prbd.g_00321	Prbh.g_01130
OG0000095	Prbd.g_00340	Prbh.g_01031
OG0000096	Prbd.g_01840, Prbd.g_00409, Prbd.g_01870	Prbh.g_01909, Prbh.g_01948
OG0000097	Prbd.g_00509	Prbh.g_01236
OG0000098	Prbd.g_01782	Prbh.g_01935
OG0000099	Prbd.g_01734	Prbh.g_00032
OG0000100	Prbd.g_01614	Prbh.g_00179
OG0000101	Prbd.g_01391	Prbh.g_01644
OG0000102	Prbd.g_01330	Prbh.g_01576
OG0000103	Prbd.g_01250	Prbh.g_01489
OG0000104	Prbd.g_01241	Prbh.g_01480
OG0000105	Prbd.g_00965	Prbh.g_00505
OG0000106	Prbd.g_00868	Prbh.g_00821
OG0000107	Prbd.g_00852	Prbh.g_01718
OG0000108	Prbd.g_00762	Prbh.g_00351
OG0000109	Prbd.g_00748	Prbh.g_00337
OG0000110	Prbd.g_00668	Prbh.g_00254
OG0000111	Prbd.g_00545	Prbh.g_00937
OG0000112	Prbd.g_00066	Prbh.g_01078
OG0000113	Prbd.g_00124	Prbh.g_00976
OG0000114	Prbd.g_00206	Prbh.g_00878
OG0000115	Prbd.g_00401	Prbh.g_01344
OG0000116	Prbd.g_00458	Prbh.g_01294
OG0000117	Prbd.g_01895	Prbh.g_01255
OG0000118	Prbd.g_01789	Prbh.g_01385
OG0000119	Prbd.g_01768	Prbh.g_01333, Prbh.g_00194
OG0000120	Prbd.g_01737	Prbh.g_00031
OG0000121	Prbd.g_01687	Prbh.g_00101
OG0000122	Prbd.g_01649	Prbh.g_01347, Prbh.g_00143
OG0000123	Prbd.g_01384	Prbh.g_01637
OG0000124	Prbd.g_01318	Prbh.g_01564
OG0000125	Prbd.g_01281	Prbh.g_01528
OG0000126	Prbd.g_01242	Prbh.g_01481
OG0000128	Prbd.g_01226	Prbh.g_01953
OG0000129	Prbd.g_01194	Prbh.g_00738
OG0000130	Prbd.g_01175	Prbh.g_00713
