Orthogroup	Prbd	Pran
OG0000000	Prbd.g_01833	Pran.g_00582
OG0000000	Prbd.g_01568	Pran.g_00601
OG0000000	Prbd.g_01569	Pran.g_00579
OG0000000	Prbd.g_00528	Pran.g_00001
OG0000000	Prbd.g_00528	Pran.g_00602
OG0000000	Prbd.g_01836	Pran.g_00593
OG0000000	Prbd.g_01835	Pran.g_00894
OG0000001	Prbd.g_01930	Pran.g_01395
OG0000002	Prbd.g_00566	Pran.g_01500
OG0000004	Prbd.g_00549	Pran.g_01483
OG0000004	Prbd.g_01007	Pran.g_00200
OG0000005	Prbd.g_01512	Pran.g_00983
OG0000005	Prbd.g_01612	Pran.g_00657
OG0000006	Prbd.g_00998	Pran.g_01951
OG0000007	Prbd.g_00745	Pran.g_01681
OG0000007	Prbd.g_01525	Pran.g_00970
OG0000008	Prbd.g_00572	Pran.g_01506
OG0000009	Prbd.g_01887, Prbd.g_01576	Pran.g_00615
OG0000009	Prbd.g_01139	Pran.g_00328
OG0000010	Prbd.g_00768	Pran.g_01704
OG0000010	Prbd.g_00348	Pran.g_00175
OG0000011	Prbd.g_00534	Pran.g_01384
OG0000012	Prbd.g_00621	Pran.g_01555
OG0000013	Prbd.g_00912	Pran.g_01867
OG0000014	Prbd.g_00933	Pran.g_01888
OG0000015	Prbd.g_00065, Prbd.g_00826	Pran.g_01394
OG0000017	Prbd.g_00646	Pran.g_01580
OG0000018	Prbd.g_00129	Pran.g_01316
OG0000018	Prbd.g_00449	Pran.g_00078
OG0000019	Prbd.g_00990	Pran.g_01943
OG0000019	Prbd.g_00082	Pran.g_01363
OG0000020	Prbd.g_00406	Pran.g_00117
OG0000021	Prbd.g_01546, Prbd.g_00874	Pran.g_01829
OG0000022	Prbd.g_00423	Pran.g_00097
OG0000022	Prbd.g_00061	Pran.g_01401
OG0000023	Prbd.g_00879	Pran.g_01834
OG0000024	Prbd.g_00045	Pran.g_01420
OG0000024	Prbd.g_00569	Pran.g_01503
OG0000025	Prbd.g_00908	Pran.g_01863
OG0000025	Prbd.g_00137	Pran.g_01309
OG0000026	Prbd.g_01206	Pran.g_00393
OG0000026	Prbd.g_00355	Pran.g_00168
OG0000027	Prbd.g_00772, Prbd.g_01832	Pran.g_00583
OG0000028	Prbd.g_00919	Pran.g_01874
OG0000029	Prbd.g_00052	Pran.g_01410
OG0000030	Prbd.g_01325	Pran.g_01170
OG0000033	Prbd.g_01071	Pran.g_00263
OG0000034	Prbd.g_01791	Pran.g_00866
OG0000035	Prbd.g_01689	Pran.g_00733
OG0000037	Prbd.g_01135	Pran.g_00324
OG0000038	Prbd.g_01283	Pran.g_01210
