Orthogroup	Prao	Praz
OG0000000	Prao.g_01246	Praz.g_01146
OG0000000	Prao.g_00116	Praz.g_01652
OG0000001	Prao.g_01029	Praz.g_00694, Praz.g_00922
OG0000002	Prao.g_01254	Praz.g_01154
OG0000002	Prao.g_01852	Praz.g_01939, Praz.g_01940
OG0000003	Prao.g_01296	Praz.g_01200
OG0000003	Prao.g_01518	Praz.g_00920
OG0000004	Prao.g_00673	Praz.g_01583
OG0000004	Prao.g_00679	Praz.g_01576
OG0000004	Prao.g_01301	Praz.g_01201
OG0000005	Prao.g_01515	Praz.g_00921
OG0000006	Prao.g_00603	Praz.g_01831
OG0000006	Prao.g_01552	Praz.g_00877
OG0000007	Prao.g_00111	Praz.g_01658
OG0000008	Prao.g_00517	Praz.g_00790
OG0000008	Prao.g_01333	Praz.g_01258, Praz.g_00767
OG0000009	Prao.g_00720	Praz.g_01532
OG0000009	Prao.g_00387	Praz.g_00609
OG0000010	Prao.g_01142	Praz.g_00045
OG0000010	Prao.g_01316	Praz.g_01215
OG0000011	Prao.g_00466	Praz.g_00687
OG0000012	Prao.g_00036	Praz.g_01732
OG0000014	Prao.g_01293	Praz.g_01197
OG0000014	Prao.g_00576	Praz.g_01858
OG0000015	Prao.g_00515	Praz.g_00792
OG0000016	Prao.g_01243	Praz.g_01143
OG0000017	Prao.g_01417	Praz.g_01021
OG0000018	Prao.g_00379	Praz.g_00601
OG0000019	Prao.g_01346	Praz.g_00896
OG0000019	Prao.g_00500	Praz.g_00810
OG0000020	Prao.g_00509	Praz.g_00800
OG0000021	Prao.g_00722	Praz.g_01530
OG0000022	Prao.g_01294	Praz.g_01198
OG0000023	Prao.g_01342	Praz.g_01230
OG0000023	Prao.g_01507	Praz.g_00929
OG0000024	Prao.g_01213	Praz.g_00663
OG0000025	Prao.g_01012	Praz.g_00101
OG0000026	Prao.g_00179	Praz.g_00398
OG0000027	Prao.g_01483	Praz.g_00954
OG0000027	Prao.g_00675	Praz.g_01580
OG0000028	Prao.g_01397	Praz.g_01041
OG0000029	Prao.g_01508	Praz.g_00928
OG0000030	Prao.g_00015	Praz.g_00404
OG0000031	Prao.g_01304	Praz.g_01204
OG0000032	Prao.g_01364, Prao.g_01355	Praz.g_01116
OG0000033	Prao.g_00160	Praz.g_00378
OG0000034	Prao.g_01358	Praz.g_01103
OG0000035	Prao.g_01015	Praz.g_00104
OG0000035	Prao.g_00831	Praz.g_01422
OG0000036	Prao.g_00024	Praz.g_01744
OG0000037	Prao.g_00062	Praz.g_01707
OG0000038	Prao.g_00699	Praz.g_01556
OG0000039	Prao.g_00304	Praz.g_00526
OG0000040	Prao.g_00494	Praz.g_00814
OG0000041	Prao.g_00532	Praz.g_01908
OG0000042	Prao.g_00648	Praz.g_01607
OG0000043	Prao.g_00725	Praz.g_01527
OG0000044	Prao.g_01089	Praz.g_00755
OG0000045	Prao.g_01191	Praz.g_01096
OG0000046	Prao.g_01545	Praz.g_00884
OG0000047	Prao.g_01743	Praz.g_00205
OG0000048	Prao.g_01750	Praz.g_00198
OG0000050	Prao.g_00177	Praz.g_00396
OG0000051	Prao.g_00295	Praz.g_00517
OG0000052	Prao.g_00505	Praz.g_00804
OG0000054	Prao.g_00693	Praz.g_01561
OG0000055	Prao.g_00763	Praz.g_01490
OG0000056	Prao.g_01135	Praz.g_00038
OG0000057	Prao.g_00375	Praz.g_00597
OG0000058	Prao.g_00581	Praz.g_01853
OG0000059	Prao.g_00136	Praz.g_01632
OG0000060	Prao.g_00677	Praz.g_01578
OG0000061	Prao.g_01124	Praz.g_00027
OG0000061	Prao.g_00922	Praz.g_01330
OG0000062	Prao.g_01122	Praz.g_00025
OG0000063	Prao.g_01332	Praz.g_01237
OG0000064	Prao.g_01327	Praz.g_01227
OG0000065	Prao.g_01276	Praz.g_01180
OG0000066	Prao.g_01215	Praz.g_01118
OG0000068	Prao.g_01687	Praz.g_00263
OG0000069	Prao.g_01362	Praz.g_01092
OG0000071	Prao.g_00158	Praz.g_00376
OG0000072	Prao.g_00458	Praz.g_00679
OG0000073	Prao.g_00108	Praz.g_01661
OG0000074	Prao.g_00129	Praz.g_01639
OG0000075	Prao.g_00748	Praz.g_01505
OG0000076	Prao.g_00974	Praz.g_00066
OG0000078	Prao.g_01214	Praz.g_01098
OG0000079	Prao.g_01474	Praz.g_00963
OG0000080	Prao.g_01522	Praz.g_00913
OG0000081	Prao.g_01717	Praz.g_00232
OG0000082	Prao.g_01806	Praz.g_00142
OG0000083	Prao.g_01844	Praz.g_00368
OG0000084	Prao.g_01847	Praz.g_00371
OG0000085	Prao.g_00170	Praz.g_00388
OG0000086	Prao.g_00185	Praz.g_00405
OG0000087	Prao.g_00195	Praz.g_00415
OG0000088	Prao.g_00251	Praz.g_00473
OG0000089	Prao.g_00260	Praz.g_00481
OG0000090	Prao.g_00277	Praz.g_00499
OG0000091	Prao.g_00307	Praz.g_00529
OG0000092	Prao.g_00308	Praz.g_00530
OG0000093	Prao.g_00322	Praz.g_00544
OG0000094	Prao.g_00340	Praz.g_00562
OG0000095	Prao.g_00345	Praz.g_00567
OG0000096	Prao.g_00389	Praz.g_00611
