Orthogroup	Prbh	Prai
OG0000000	Prbh.g_01903	Prai.g_01612, Prai.g_01592
OG0000000	Prbh.g_01858, Prbh.g_01902	Prai.g_01234, Prai.g_01591, Prai.g_01775, Prai.g_00908
OG0000001	Prbh.g_01016, Prbh.g_01022	Prai.g_01363
OG0000001	Prbh.g_00912, Prbh.g_00199, Prbh.g_01313, Prbh.g_00006, Prbh.g_01311, Prbh.g_01317	Prai.g_00707
OG0000002	Prbh.g_00863	Prai.g_01236
OG0000002	Prbh.g_00001	Prai.g_01356, Prai.g_01235
OG0000004	Prbh.g_01901, Prbh.g_01319	Prai.g_01314, Prai.g_01596, Prai.g_01774, Prai.g_00907
OG0000005	Prbh.g_01350	Prai.g_01313
OG0000006	Prbh.g_01909, Prbh.g_01948	Prai.g_01588, Prai.g_00889
OG0000008	Prbh.g_00334	Prai.g_00527
OG0000008	Prbh.g_01782	Prai.g_01638
OG0000010	Prbh.g_01307	Prai.g_00867
OG0000010	Prbh.g_00530	Prai.g_00262
OG0000011	Prbh.g_01885	Prai.g_00890
OG0000012	Prbh.g_00508	Prai.g_01110
OG0000013	Prbh.g_00377, Prbh.g_00193	Prai.g_01578, Prai.g_00105
OG0000014	Prbh.g_00472	Prai.g_00319
OG0000015	Prbh.g_00408	Prai.g_00424
OG0000016	Prbh.g_01869, Prbh.g_00840	Prai.g_01243
OG0000018	Prbh.g_00232, Prbh.g_00225	Prai.g_00626
OG0000019	Prbh.g_00806, Prbh.g_01945, Prbh.g_01817	Prai.g_01259
OG0000020	Prbh.g_01333, Prbh.g_00194	Prai.g_01366
OG0000021	Prbh.g_00120, Prbh.g_01834	Prai.g_01483
OG0000022	Prbh.g_00538	Prai.g_00254, Prai.g_00252
OG0000023	Prbh.g_00938	Prai.g_00378
OG0000025	Prbh.g_01147, Prbh.g_00909	Prai.g_00899
OG0000026	Prbh.g_01853	Prai.g_01772, Prai.g_00905
OG0000028	Prbh.g_01406	Prai.g_01552
OG0000029	Prbh.g_01332, Prbh.g_01797	Prai.g_00866
OG0000031	Prbh.g_01573	Prai.g_01845
OG0000032	Prbh.g_01401	Prai.g_01261
