Orthogroup	Prbh	Prbi
OG0000000	Prbh.g_01903	Prbi.g_01709
OG0000000	Prbh.g_01858, Prbh.g_01902	Prbi.g_01268, Prbi.g_01708
OG0000001	Prbh.g_01016, Prbh.g_01022	Prbi.g_01432
OG0000001	Prbh.g_00912, Prbh.g_00199, Prbh.g_01313, Prbh.g_00006, Prbh.g_01311, Prbh.g_01317	Prbi.g_00681
OG0000002	Prbh.g_00863	Prbi.g_01270
OG0000002	Prbh.g_00001	Prbi.g_01424
OG0000004	Prbh.g_01901, Prbh.g_01319	Prbi.g_01371, Prbi.g_01710
OG0000005	Prbh.g_01350	Prbi.g_00782
OG0000006	Prbh.g_01909, Prbh.g_01948	Prbi.g_01352, Prbi.g_00797, Prbi.g_01156
OG0000008	Prbh.g_00334	Prbi.g_00500
OG0000008	Prbh.g_01782	Prbi.g_01787
OG0000009	Prbh.g_01418	Prbi.g_01745
OG0000009	Prbh.g_01803	Prbi.g_01272, Prbi.g_01771, Prbi.g_01276
OG0000010	Prbh.g_01307	Prbi.g_00827
OG0000010	Prbh.g_00530	Prbi.g_00273
OG0000011	Prbh.g_01691	Prbi.g_00399
OG0000011	Prbh.g_01885	Prbi.g_00796
OG0000012	Prbh.g_00508	Prbi.g_01139
OG0000013	Prbh.g_00377, Prbh.g_00193	Prbi.g_01701, Prbi.g_00112
OG0000016	Prbh.g_01869, Prbh.g_00840	Prbi.g_00810, Prbi.g_01304
OG0000018	Prbh.g_00232, Prbh.g_00225	Prbi.g_00600
OG0000019	Prbh.g_00806, Prbh.g_01945, Prbh.g_01817	Prbi.g_00406
OG0000020	Prbh.g_01333, Prbh.g_00194	Prbi.g_01435
OG0000022	Prbh.g_00538	Prbi.g_00265
OG0000023	Prbh.g_00938	Prbi.g_01742, Prbi.g_00389
OG0000024	Prbh.g_00773, Prbh.g_01329	Prbi.g_01360
OG0000025	Prbh.g_01147, Prbh.g_00909	Prbi.g_00788
OG0000026	Prbh.g_01853	Prbi.g_01373
OG0000027	Prbh.g_01405	Prbi.g_01765
OG0000028	Prbh.g_01406	Prbi.g_01536
OG0000029	Prbh.g_01332, Prbh.g_01797	Prbi.g_00828
OG0000030	Prbh.g_01870, Prbh.g_00788	Prbi.g_00829
OG0000031	Prbh.g_01573	Prbi.g_02001
OG0000034	Prbh.g_00096	Prbi.g_01589
OG0000034	Prbh.g_00099	Prbi.g_01591
OG0000035	Prbh.g_00376	Prbi.g_01702
OG0000036	Prbh.g_00202	Prbi.g_01153
OG0000038	Prbh.g_00064	Prbi.g_01467
OG0000041	Prbh.g_01460	Prbi.g_00625
OG0000042	Prbh.g_01809	Prbi.g_00046
OG0000043	Prbh.g_00825	Prbi.g_00936
OG0000045	Prbh.g_01855	Prbi.g_00587
OG0000046	Prbh.g_00190	Prbi.g_00805
OG0000047	Prbh.g_01283	Prbi.g_01207
OG0000049	Prbh.g_00030	Prbi.g_01461
OG0000050	Prbh.g_00616	Prbi.g_00190
OG0000051	Prbh.g_00833	Prbi.g_00384
OG0000053	Prbh.g_00945	Prbi.g_00745
OG0000054	Prbh.g_01408	Prbi.g_01780
OG0000055	Prbh.g_01581	Prbi.g_01994
OG0000056	Prbh.g_00749	Prbi.g_00031
OG0000057	Prbh.g_00625	Prbi.g_00181
OG0000058	Prbh.g_00821	Prbi.g_00394
OG0000059	Prbh.g_01856	Prbi.g_00542
OG0000062	Prbh.g_00976	Prbi.g_00869
OG0000065	Prbh.g_00543	Prbi.g_00261, Prbi.g_01748
OG0000066	Prbh.g_00356	Prbi.g_00478
