Orthogroup	Prbh	Praf
OG0000000	Prbh.g_01903	Praf.g_00813
OG0000000	Prbh.g_01858, Prbh.g_01902	Praf.g_01042, Praf.g_01039, Praf.g_00815
OG0000001	Prbh.g_01016, Prbh.g_01022	Praf.g_01631
OG0000001	Prbh.g_00912, Prbh.g_00199, Prbh.g_01313, Prbh.g_00006, Prbh.g_01311, Prbh.g_01317	Praf.g_00948
OG0000002	Prbh.g_00001	Praf.g_01896, Praf.g_00818, Praf.g_01895, Praf.g_01031, Praf.g_02422, Praf.g_01293
OG0000004	Prbh.g_01901, Prbh.g_01319	Praf.g_00814
OG0000005	Prbh.g_01350	Praf.g_01014, Praf.g_02005
OG0000008	Prbh.g_00334	Praf.g_00614
OG0000008	Prbh.g_01782	Praf.g_00480
OG0000009	Prbh.g_01418	Praf.g_01191, Praf.g_02634, Praf.g_02638, Praf.g_02623, Praf.g_02642, Praf.g_02640, Praf.g_02641, Praf.g_02639, Praf.g_01648, Praf.g_02620
OG0000010	Prbh.g_01307, Prbh.g_00530	Praf.g_02214
OG0000011	Prbh.g_01691	Praf.g_02647
OG0000011	Prbh.g_01885	Praf.g_02091
OG0000013	Prbh.g_00377, Prbh.g_00193	Praf.g_01768, Praf.g_00246
OG0000014	Prbh.g_00472	Praf.g_02319
OG0000015	Prbh.g_00408	Praf.g_01898
OG0000016	Prbh.g_00840	Praf.g_01033, Praf.g_01618, Praf.g_01030
OG0000018	Prbh.g_00232	Praf.g_00752
OG0000018	Prbh.g_00225	Praf.g_00760
OG0000020	Prbh.g_01333	Praf.g_01108
OG0000020	Prbh.g_00194	Praf.g_01143
OG0000021	Prbh.g_00120, Prbh.g_01834	Praf.g_01828
OG0000022	Prbh.g_00538	Praf.g_01719, Praf.g_00396
OG0000023	Prbh.g_00938	Praf.g_00746
OG0000024	Prbh.g_00773	Praf.g_01082
OG0000025	Prbh.g_01147, Prbh.g_00909	Praf.g_01139
OG0000027	Prbh.g_01405	Praf.g_01224
OG0000028	Prbh.g_01406	Praf.g_01223
OG0000029	Prbh.g_01797	Praf.g_01257
OG0000031	Prbh.g_01573	Praf.g_00920, Praf.g_00164, Praf.g_02721
OG0000032	Prbh.g_01401	Praf.g_00041
OG0000034	Prbh.g_00096, Prbh.g_00099	Praf.g_01794
OG0000038	Prbh.g_00064	Praf.g_00101, Praf.g_00113, Praf.g_02400
OG0000039	Prbh.g_01336	Praf.g_00906
OG0000041	Prbh.g_01460	Praf.g_01668
OG0000042	Prbh.g_01528	Praf.g_02664
OG0000045	Prbh.g_01855	Praf.g_00731
OG0000046	Prbh.g_00190	Praf.g_00965
OG0000047	Prbh.g_01283	Praf.g_00854
OG0000048	Prbh.g_00727	Praf.g_02366
OG0000049	Prbh.g_00030	Praf.g_02345
OG0000050	Prbh.g_00616	Praf.g_01239, Praf.g_02454
OG0000053	Prbh.g_00945	Praf.g_01238, Praf.g_01302
OG0000054	Prbh.g_01408	Praf.g_00491
OG0000055	Prbh.g_01581	Praf.g_00178
OG0000056	Prbh.g_00749	Praf.g_00037
OG0000057	Prbh.g_00625	Praf.g_02445
OG0000058	Prbh.g_00821	Praf.g_00496
OG0000060	Prbh.g_01160	Praf.g_01316, Praf.g_01049
OG0000061	Prbh.g_01897	Praf.g_00348
