Orthogroup	Prbh	Prah
OG0000000	Prbh.g_01903	Prah.g_01348
OG0000000	Prbh.g_01858, Prbh.g_01902	Prah.g_01152, Prah.g_01154, Prah.g_01346
OG0000001	Prbh.g_01016, Prbh.g_01022	Prah.g_00562
OG0000001	Prbh.g_00912, Prbh.g_00199, Prbh.g_01313, Prbh.g_00006, Prbh.g_01311, Prbh.g_01317	Prah.g_01226
OG0000002	Prbh.g_00001	Prah.g_01343, Prah.g_00324, Prah.g_01159, Prah.g_02270, Prah.g_00896
OG0000004	Prbh.g_01901, Prbh.g_01319	Prah.g_01347
OG0000005	Prbh.g_01350	Prah.g_01175, Prah.g_00215
OG0000008	Prbh.g_00334	Prah.g_01546
OG0000008	Prbh.g_01782	Prah.g_01676
OG0000009	Prbh.g_01418	Prah.g_01082, Prah.g_00543, Prah.g_00346, Prah.g_00341, Prah.g_00342
OG0000010	Prbh.g_01307, Prbh.g_00530	Prah.g_02086
OG0000011	Prbh.g_01691, Prbh.g_01885	Prah.g_01972
OG0000013	Prbh.g_00377, Prbh.g_00193	Prah.g_00432, Prah.g_01895
OG0000014	Prbh.g_00472	Prah.g_02171
OG0000015	Prbh.g_00408	Prah.g_00321
OG0000016	Prbh.g_00840	Prah.g_01155, Prah.g_00576
OG0000018	Prbh.g_00232	Prah.g_01405
OG0000018	Prbh.g_00225	Prah.g_01397
OG0000020	Prbh.g_01333	Prah.g_01007
OG0000020	Prbh.g_00194	Prah.g_01048
OG0000021	Prbh.g_00120, Prbh.g_01834	Prah.g_00381
OG0000022	Prbh.g_00538	Prah.g_01767, Prah.g_00475
OG0000023	Prbh.g_00938	Prah.g_01410
OG0000024	Prbh.g_00773	Prah.g_00998
OG0000025	Prbh.g_01147, Prbh.g_00909	Prah.g_01043
OG0000027	Prbh.g_01405	Prah.g_00969
OG0000028	Prbh.g_01406	Prah.g_00970
OG0000029	Prbh.g_01797	Prah.g_00942
OG0000031	Prbh.g_01573	Prah.g_01256, Prah.g_00135, Prah.g_02545
OG0000032	Prbh.g_01401	Prah.g_00042
OG0000034	Prbh.g_00096, Prbh.g_00099	Prah.g_00408
OG0000038	Prbh.g_00064	Prah.g_00091, Prah.g_02248
OG0000039	Prbh.g_01336	Prah.g_01270
OG0000041	Prbh.g_01460	Prah.g_00524
OG0000042	Prbh.g_01528	Prah.g_02498
OG0000045	Prbh.g_01855	Prah.g_01427
OG0000046	Prbh.g_00190	Prah.g_01209
OG0000047	Prbh.g_01283	Prah.g_01322
OG0000048	Prbh.g_00727	Prah.g_02219
OG0000049	Prbh.g_00030	Prah.g_02195
OG0000050	Prbh.g_00616	Prah.g_00957, Prah.g_02304
OG0000051	Prbh.g_00833	Prah.g_00688
OG0000053	Prbh.g_00945	Prah.g_00958, Prah.g_00887
OG0000054	Prbh.g_01408	Prah.g_01666
OG0000055	Prbh.g_01581	Prah.g_00150
OG0000056	Prbh.g_00749	Prah.g_00038
OG0000057	Prbh.g_00625	Prah.g_02295
OG0000058	Prbh.g_00821	Prah.g_01660
OG0000060	Prbh.g_01160	Prah.g_00873
OG0000061	Prbh.g_01897	Prah.g_01812
OG0000062	Prbh.g_00976	Prah.g_00641
OG0000063	Prbh.g_01334	Prah.g_02425
OG0000065	Prbh.g_00543	Prah.g_01778
OG0000066	Prbh.g_00356	Prah.g_00312
OG0000067	Prbh.g_00936	Prah.g_01027
OG0000070	Prbh.g_01031	Prah.g_00915
OG0000071	Prbh.g_01255	Prah.g_01257
