Orthogroup	Prbh	Prar
OG0000000	Prbh.g_01903	Prar.g_00713, Prar.g_00729
OG0000000	Prbh.g_01858, Prbh.g_01902	Prar.g_01204, Prar.g_00730
OG0000001	Prbh.g_01016, Prbh.g_01022	Prar.g_00918
OG0000001	Prbh.g_00912, Prbh.g_00199, Prbh.g_01313, Prbh.g_00006, Prbh.g_01311, Prbh.g_01317	Prar.g_01508
OG0000002	Prbh.g_00863	Prar.g_01203, Prar.g_01202
OG0000002	Prbh.g_00001	Prar.g_00926
OG0000004	Prbh.g_01901, Prbh.g_01319	Prar.g_00973, Prar.g_00727
OG0000005	Prbh.g_01350	Prar.g_01630
OG0000006	Prbh.g_01909, Prbh.g_01948	Prar.g_00991, Prar.g_01006, Prar.g_01643, Prar.g_01313
OG0000008	Prbh.g_00334	Prar.g_01328
OG0000008	Prbh.g_01782	Prar.g_01143
OG0000009	Prbh.g_01418	Prar.g_00931
OG0000009	Prbh.g_01803	Prar.g_01009
OG0000010	Prbh.g_01307	Prar.g_01663
OG0000010	Prbh.g_00530	Prar.g_00078
OG0000011	Prbh.g_01691	Prar.g_00436
OG0000013	Prbh.g_00377, Prbh.g_00193	Prar.g_00737, Prar.g_00223
OG0000014	Prbh.g_00472	Prar.g_00281
OG0000015	Prbh.g_00408	Prar.g_00468
OG0000016	Prbh.g_01869, Prbh.g_00840	Prar.g_01179
OG0000018	Prbh.g_00232, Prbh.g_00225	Prar.g_01428
OG0000019	Prbh.g_00806, Prbh.g_01945, Prbh.g_01817	Prar.g_00443
OG0000020	Prbh.g_01333, Prbh.g_00194	Prar.g_00915
OG0000021	Prbh.g_00120, Prbh.g_01834	Prar.g_00589
OG0000022	Prbh.g_00538	Prar.g_00086
OG0000023	Prbh.g_00938	Prar.g_00425
OG0000024	Prbh.g_00773, Prbh.g_01329	Prar.g_00979
OG0000025	Prbh.g_01147, Prbh.g_00909	Prar.g_01634
OG0000026	Prbh.g_01853	Prar.g_00971
OG0000028	Prbh.g_01406	Prar.g_01185
OG0000029	Prbh.g_01332, Prbh.g_01797	Prar.g_01664
OG0000030	Prbh.g_01870, Prbh.g_00788	Prar.g_01665
OG0000031	Prbh.g_01573	Prar.g_00660
OG0000032	Prbh.g_01401	Prar.g_01189
OG0000034	Prbh.g_00096, Prbh.g_00099	Prar.g_00339
OG0000035	Prbh.g_00376	Prar.g_00736, Prar.g_01170
OG0000036	Prbh.g_01819	Prar.g_01187
OG0000036	Prbh.g_00202	Prar.g_01315
OG0000038	Prbh.g_00064	Prar.g_00879
OG0000041	Prbh.g_01460	Prar.g_01453
OG0000043	Prbh.g_00825	Prar.g_01761
OG0000045	Prbh.g_01855	Prar.g_01414
OG0000046	Prbh.g_00190	Prar.g_01649
OG0000047	Prbh.g_01283	Prar.g_01263
OG0000049	Prbh.g_00030	Prar.g_00870, Prar.g_00362
OG0000050	Prbh.g_00616	Prar.g_00161
OG0000051	Prbh.g_00833	Prar.g_00420
OG0000053	Prbh.g_00945	Prar.g_01599
