Orthogroup	Prap	Praw
OG0000000	Prap.g_01862	Praw.g_01780, Praw.g_00455, Praw.g_00893, Praw.g_00974
OG0000000	Prap.g_01846, Prap.g_01861, Prap.g_00493	Praw.g_01779, Praw.g_00496, Praw.g_00294, Praw.g_00454
OG0000001	Prap.g_00720, Prap.g_00715	Praw.g_01009
OG0000001	Prap.g_00823, Prap.g_00224, Prap.g_00486, Prap.g_01946, Prap.g_00484, Prap.g_00491	Praw.g_01844
OG0000002	Prap.g_00653	Praw.g_00497, Praw.g_01739, Praw.g_01951
OG0000002	Prap.g_01925	Praw.g_01000
OG0000004	Prap.g_00494	Praw.g_00959, Praw.g_00457, Praw.g_00495
OG0000005	Prap.g_00535	Praw.g_01769
OG0000006	Prap.g_00010	Praw.g_00945, Praw.g_00482, Praw.g_01754, Praw.g_00184
OG0000008	Prap.g_01270	Praw.g_00651
OG0000008	Prap.g_01779	Praw.g_00515
OG0000010	Prap.g_00480	Praw.g_01717
OG0000010	Prap.g_01462	Praw.g_00884
OG0000011	Prap.g_01848, Prap.g_01899	Praw.g_01755
OG0000013	Prap.g_00216	Praw.g_00447, Praw.g_01330
OG0000016	Prap.g_01840, Prap.g_01794	Praw.g_01738
OG0000017	Prap.g_01860, Prap.g_01912	Praw.g_00492, Praw.g_00962, Praw.g_00677
OG0000018	Prap.g_01170, Prap.g_01163	Praw.g_01944
OG0000019	Prap.g_01818, Prap.g_01851	Praw.g_00752
OG0000020	Prap.g_00510, Prap.g_00218	Praw.g_01012
OG0000022	Prap.g_01470	Praw.g_01950
OG0000023	Prap.g_00797	Praw.g_00479, Praw.g_00767
OG0000024	Prap.g_01911, Prap.g_00502	Praw.g_00951
OG0000025	Prap.g_00322, Prap.g_00826	Praw.g_01763
OG0000027	Prap.g_01887	Praw.g_00502
OG0000029	Prap.g_00505, Prap.g_01805	Praw.g_01716
OG0000030	Prap.g_01797	Praw.g_01715
OG0000031	Prap.g_01572	Praw.g_00032
OG0000034	Prap.g_00121	Praw.g_01083, Praw.g_01081
OG0000035	Prap.g_01312	Praw.g_00448
OG0000036	Prap.g_00228	Praw.g_00181
OG0000038	Prap.g_00080	Praw.g_01073
OG0000039	Prap.g_00514	Praw.g_00484
OG0000041	Prap.g_01145, Prap.g_00236	Praw.g_00159
OG0000043	Prap.g_00017	Praw.g_00323
OG0000045	Prap.g_01790, Prap.g_01183	Praw.g_01932
OG0000046	Prap.g_00212	Praw.g_01746
OG0000047	Prap.g_00456	Praw.g_00234
OG0000049	Prap.g_00081	Praw.g_01055
OG0000050	Prap.g_01004	Praw.g_01269
OG0000051	Prap.g_00029	Praw.g_00772
OG0000053	Prap.g_00791	Praw.g_01809
OG0000054	Prap.g_01917, Prap.g_01787	Praw.g_00508
OG0000055	Prap.g_01580	Praw.g_00039
OG0000056	Prap.g_00923	Praw.g_01397
OG0000057	Prap.g_01013	Praw.g_01278
OG0000058	Prap.g_00591	Praw.g_00762
OG0000059	Prap.g_01230, Prap.g_01867	Praw.g_00609
OG0000062	Prap.g_00760	Praw.g_01675
OG0000065	Prap.g_01475	Praw.g_01198
OG0000066	Prap.g_01292	Praw.g_00672
OG0000067	Prap.g_00799	Praw.g_01824
OG0000070	Prap.g_00708	Praw.g_01467
OG0000071	Prap.g_00429	Praw.g_00926
OG0000072	Prap.g_00561	Praw.g_00981
OG0000073	Prap.g_01914	Praw.g_00474
OG0000074	Prap.g_00079	Praw.g_01050
OG0000075	Prap.g_01642	Praw.g_00096
OG0000077	Prap.g_00043	Praw.g_01125
OG0000078	Prap.g_01389	Praw.g_00812
OG0000079	Prap.g_00543	Praw.g_00751
OG0000080	Prap.g_00356	Praw.g_01853
OG0000081	Prap.g_00809	Praw.g_01831
OG0000082	Prap.g_00776	Praw.g_01690
OG0000083	Prap.g_00477	Praw.g_01627
OG0000084	Prap.g_00257	Praw.g_01539
OG0000085	Prap.g_00501	Praw.g_01418
OG0000086	Prap.g_01883	Praw.g_00201
OG0000090	Prap.g_00082	Praw.g_01051
OG0000091	Prap.g_00129	Praw.g_00345
OG0000092	Prap.g_00618	Praw.g_00464
OG0000093	Prap.g_01691	Praw.g_01894
OG0000094	Prap.g_01646	Praw.g_00099
OG0000095	Prap.g_01608	Praw.g_00066
OG0000096	Prap.g_01536	Praw.g_01188
OG0000098	Prap.g_00051	Praw.g_01133
OG0000099	Prap.g_00932	Praw.g_01405
OG0000101	Prap.g_00903	Praw.g_01379
OG0000102	Prap.g_01061	Praw.g_01322
OG0000103	Prap.g_01052	Praw.g_01314
OG0000104	Prap.g_01035	Praw.g_01296
OG0000105	Prap.g_01000	Praw.g_01265
OG0000106	Prap.g_00986	Praw.g_01251
OG0000107	Prap.g_00977	Praw.g_01243
OG0000108	Prap.g_00967	Praw.g_01233
OG0000109	Prap.g_01472	Praw.g_01196
OG0000110	Prap.g_01460	Praw.g_00882
OG0000111	Prap.g_01436	Praw.g_00860
OG0000112	Prap.g_01425	Praw.g_00850
OG0000113	Prap.g_01412	Praw.g_00837
OG0000114	Prap.g_01386	Praw.g_00809
OG0000115	Prap.g_01293	Praw.g_00673
OG0000116	Prap.g_01291	Praw.g_00671
OG0000117	Prap.g_01287	Praw.g_00667
OG0000118	Prap.g_01267	Praw.g_00649
OG0000119	Prap.g_01237	Praw.g_00616
OG0000120	Prap.g_01236	Praw.g_00615
OG0000121	Prap.g_01226	Praw.g_00605
OG0000122	Prap.g_01217	Praw.g_00596
OG0000123	Prap.g_01185	Praw.g_01931
OG0000124	Prap.g_00375	Praw.g_01871
OG0000125	Prap.g_00374	Praw.g_01870
OG0000126	Prap.g_00373	Praw.g_01869
OG0000127	Prap.g_00814	Praw.g_01836
OG0000128	Prap.g_00789	Praw.g_01807
OG0000129	Prap.g_00324	Praw.g_01787
OG0000130	Prap.g_00691	Praw.g_01712
OG0000131	Prap.g_00785	Praw.g_01699
OG0000132	Prap.g_00748	Praw.g_01665
OG0000133	Prap.g_00841	Praw.g_01581
OG0000134	Prap.g_00355	Praw.g_01571
OG0000135	Prap.g_00261	Praw.g_01535
OG0000136	Prap.g_00705	Praw.g_01470
OG0000137	Prap.g_01880	Praw.g_00204
OG0000139	Prap.g_00450	Praw.g_00240
OG0000140	Prap.g_01135	Praw.g_00291
OG0000141	Prap.g_00217	Praw.g_00904
OG0000142	Prap.g_00574	Praw.g_00993
OG0000143	Prap.g_00059	Praw.g_01016
OG0000144	Prap.g_00109	Praw.g_01096
OG0000145	Prap.g_00122	Praw.g_01079, Praw.g_01080
OG0000146	Prap.g_00158	Praw.g_00374
OG0000147	Prap.g_00205	Praw.g_00414
OG0000148	Prap.g_00206	Praw.g_00415
OG0000149	Prap.g_01782	Praw.g_00513
OG0000150	Prap.g_01742	Praw.g_00551
OG0000151	Prap.g_01739	Praw.g_00554
OG0000152	Prap.g_01719	Praw.g_01921
OG0000153	Prap.g_01685	Praw.g_00137
OG0000154	Prap.g_01648, Prap.g_01649	Praw.g_00101
OG0000155	Prap.g_01629	Praw.g_00083
OG0000156	Prap.g_01596	Praw.g_00055
OG0000157	Prap.g_01562	Praw.g_00022
OG0000158	Prap.g_01497	Praw.g_01153
OG0000160	Prap.g_00053	Praw.g_01135
OG0000161	Prap.g_00052	Praw.g_01134
OG0000162	Prap.g_00050	Praw.g_01132
OG0000163	Prap.g_00049	Praw.g_01131
OG0000164	Prap.g_00048	Praw.g_01130
OG0000165	Prap.g_00047	Praw.g_01129
OG0000166	Prap.g_00046	Praw.g_01128
OG0000167	Prap.g_00045	Praw.g_01127
OG0000168	Prap.g_00044	Praw.g_01126
OG0000169	Prap.g_00042	Praw.g_01124
OG0000170	Prap.g_00941	Praw.g_01414
OG0000171	Prap.g_00940	Praw.g_01413
OG0000172	Prap.g_00939	Praw.g_01412
OG0000173	Prap.g_00938	Praw.g_01411
OG0000174	Prap.g_00937	Praw.g_01410
OG0000175	Prap.g_00936	Praw.g_01409
OG0000176	Prap.g_00935	Praw.g_01408
OG0000177	Prap.g_00934	Praw.g_01407
OG0000178	Prap.g_00933	Praw.g_01406
OG0000179	Prap.g_00931	Praw.g_01404
OG0000180	Prap.g_00930	Praw.g_01403
OG0000181	Prap.g_00929	Praw.g_01402
OG0000182	Prap.g_00928	Praw.g_01401
OG0000183	Prap.g_00927	Praw.g_01400
OG0000184	Prap.g_00925	Praw.g_01399
OG0000185	Prap.g_00922	Praw.g_01396
OG0000186	Prap.g_00919	Praw.g_01393
OG0000187	Prap.g_00918	Praw.g_01392
OG0000188	Prap.g_00917	Praw.g_01391
OG0000189	Prap.g_00915	Praw.g_01388
OG0000190	Prap.g_00913	Praw.g_01386
OG0000191	Prap.g_00911	Praw.g_01385
OG0000192	Prap.g_00910	Praw.g_01384
OG0000193	Prap.g_00909	Praw.g_01383
OG0000194	Prap.g_00906	Praw.g_01382
OG0000195	Prap.g_00905	Praw.g_01381
OG0000196	Prap.g_00904	Praw.g_01380
OG0000197	Prap.g_00902	Praw.g_01378
OG0000198	Prap.g_00901	Praw.g_01377
OG0000199	Prap.g_00899	Praw.g_01376
OG0000200	Prap.g_00887	Praw.g_01370
OG0000201	Prap.g_00886	Praw.g_01369
OG0000202	Prap.g_00885	Praw.g_01368
OG0000203	Prap.g_00881	Praw.g_01365
OG0000204	Prap.g_00880	Praw.g_01364
OG0000205	Prap.g_00877	Praw.g_01361
OG0000206	Prap.g_00875	Praw.g_01359
OG0000207	Prap.g_01100	Praw.g_01357
OG0000208	Prap.g_01099	Praw.g_01356
OG0000209	Prap.g_00025	Praw.g_01355
OG0000210	Prap.g_01098	Praw.g_01354
OG0000211	Prap.g_01097	Praw.g_01353
OG0000212	Prap.g_01096	Praw.g_01352
OG0000213	Prap.g_01095	Praw.g_01351
OG0000214	Prap.g_01094	Praw.g_01350
OG0000215	Prap.g_01093	Praw.g_01349
OG0000216	Prap.g_01092	Praw.g_01348
OG0000217	Prap.g_01090	Praw.g_01346
OG0000218	Prap.g_01089	Praw.g_01345
OG0000219	Prap.g_01088	Praw.g_01344
OG0000220	Prap.g_01087	Praw.g_01343
OG0000221	Prap.g_01084	Praw.g_01341
OG0000222	Prap.g_01083	Praw.g_01340
OG0000223	Prap.g_01082	Praw.g_01339
OG0000224	Prap.g_01080	Praw.g_01338
OG0000225	Prap.g_01079	Praw.g_01337
OG0000226	Prap.g_01078	Praw.g_01336
OG0000227	Prap.g_01076	Praw.g_01335
OG0000228	Prap.g_01075	Praw.g_01334
OG0000229	Prap.g_01074	Praw.g_01333
OG0000230	Prap.g_01073	Praw.g_01332
OG0000231	Prap.g_01072	Praw.g_01331
OG0000232	Prap.g_01071	Praw.g_01329
OG0000233	Prap.g_01069	Praw.g_01328
OG0000234	Prap.g_01068	Praw.g_01327
OG0000235	Prap.g_01067	Praw.g_01326
OG0000236	Prap.g_01064	Praw.g_01325
OG0000237	Prap.g_01063	Praw.g_01324
OG0000238	Prap.g_01062	Praw.g_01323
OG0000239	Prap.g_01060	Praw.g_01321
OG0000240	Prap.g_01059	Praw.g_01320
OG0000241	Prap.g_01058	Praw.g_01319
OG0000242	Prap.g_01057	Praw.g_01318
OG0000243	Prap.g_01054	Praw.g_01315
OG0000244	Prap.g_01051	Praw.g_01313
OG0000245	Prap.g_01050	Praw.g_01312
OG0000246	Prap.g_01049	Praw.g_01311
OG0000247	Prap.g_01047	Praw.g_01308
OG0000248	Prap.g_01045	Praw.g_01306
OG0000249	Prap.g_01043	Praw.g_01305
OG0000250	Prap.g_01042	Praw.g_01304
OG0000251	Prap.g_01041	Praw.g_01303
OG0000252	Prap.g_01040	Praw.g_01302
OG0000253	Prap.g_01039	Praw.g_01301
OG0000254	Prap.g_00319	Praw.g_01299
OG0000255	Prap.g_01037	Praw.g_01298
OG0000256	Prap.g_01034	Praw.g_01295
