Orthogroup	Prap	Prbm
OG0000000	Prap.g_01862	Prbm.g_01406, Prbm.g_01116, Prbm.g_00435, Prbm.g_01808, Prbm.g_01117, Prbm.g_01382, Prbm.g_01229, Prbm.g_00436, Prbm.g_01407
OG0000000	Prap.g_00493	Prbm.g_01810, Prbm.g_01404
OG0000001	Prap.g_00720	Prbm.g_00874
OG0000001	Prap.g_00823	Prbm.g_00712
OG0000001	Prap.g_00224	Prbm.g_01581
OG0000001	Prap.g_00486	Prbm.g_01578
OG0000001	Prap.g_01946, Prap.g_00484	Prbm.g_01577
OG0000001	Prap.g_00491	Prbm.g_01582, Prbm.g_01576
OG0000002	Prap.g_00653	Prbm.g_01940, Prbm.g_00496, Prbm.g_01426
OG0000002	Prap.g_01925	Prbm.g_01633
OG0000004	Prap.g_00494	Prbm.g_01140, Prbm.g_00433, Prbm.g_01231, Prbm.g_01313, Prbm.g_01384, Prbm.g_01814
OG0000005	Prap.g_00535	Prbm.g_01988, Prbm.g_00081, Prbm.g_01436, Prbm.g_00779
OG0000006	Prap.g_00010	Prbm.g_01359
OG0000008	Prap.g_01270	Prbm.g_00522
OG0000008	Prap.g_01779	Prbm.g_01841
OG0000010	Prap.g_00480	Prbm.g_00788, Prbm.g_00792
OG0000011	Prap.g_01848, Prap.g_01899	Prbm.g_01823
OG0000012	Prap.g_00548	Prbm.g_00329
OG0000013	Prap.g_00216	Prbm.g_01400, Prbm.g_01235
OG0000014	Prap.g_01403	Prbm.g_00362
OG0000015	Prap.g_01343	Prbm.g_00428
OG0000016	Prap.g_01840, Prap.g_01794	Prbm.g_01149, Prbm.g_01427
OG0000018	Prap.g_01170	Prbm.g_00628
OG0000019	Prap.g_01818, Prap.g_01851	Prbm.g_01415
OG0000020	Prap.g_00510, Prap.g_00218	Prbm.g_01653
OG0000021	Prap.g_00142, Prap.g_01834	Prbm.g_01729
OG0000022	Prap.g_01470	Prbm.g_01588, Prbm.g_01236, Prbm.g_00302
OG0000024	Prap.g_01911	Prbm.g_01181
OG0000024	Prap.g_00502	Prbm.g_01158, Prbm.g_01167
OG0000025	Prap.g_00322, Prap.g_00826	Prbm.g_00709
OG0000027	Prap.g_01887	Prbm.g_01908
OG0000028	Prap.g_01888	Prbm.g_01907
OG0000029	Prap.g_00505	Prbm.g_00778
OG0000029	Prap.g_01805	Prbm.g_01921
OG0000030	Prap.g_01797	Prbm.g_01091
OG0000031	Prap.g_01572	Prbm.g_02102
OG0000032	Prap.g_01903	Prbm.g_01947
OG0000034	Prap.g_00121	Prbm.g_01710
OG0000035	Prap.g_01312	Prbm.g_00772, Prbm.g_01414, Prbm.g_01387, Prbm.g_01753
OG0000036	Prap.g_00228	Prbm.g_01065
OG0000037	Prap.g_00611	Prbm.g_01267
OG0000038	Prap.g_00080	Prbm.g_00392, Prbm.g_01627
OG0000039	Prap.g_00514	Prbm.g_01944
OG0000041	Prap.g_00236	Prbm.g_01106
OG0000042	Prap.g_01528	Prbm.g_02176
OG0000043	Prap.g_00017	Prbm.g_01482
OG0000045	Prap.g_01790	Prbm.g_01900
OG0000046	Prap.g_00212	Prbm.g_01204
OG0000047	Prap.g_00456	Prbm.g_01549
OG0000048	Prap.g_00897	Prbm.g_00114
OG0000049	Prap.g_00081	Prbm.g_00881
OG0000050	Prap.g_01004	Prbm.g_00225
OG0000051	Prap.g_00029	Prbm.g_01284, Prbm.g_01297, Prbm.g_01444
OG0000052	Prap.g_01821, Prap.g_01815	Prbm.g_01351
OG0000053	Prap.g_00791	Prbm.g_00742
OG0000054	Prap.g_01917, Prap.g_01787	Prbm.g_01834
OG0000055	Prap.g_01580	Prbm.g_02094
OG0000056	Prap.g_00923	Prbm.g_00031
OG0000057	Prap.g_01013	Prbm.g_00216
OG0000058	Prap.g_00591	Prbm.g_01172, Prbm.g_01237
OG0000059	Prap.g_01230, Prap.g_01867	Prbm.g_00572
OG0000060	Prap.g_00334	Prbm.g_00755
OG0000061	Prap.g_01128	Prbm.g_00047
OG0000062	Prap.g_00760	Prbm.g_00838, Prbm.g_01191
OG0000063	Prap.g_00512	Prbm.g_00048
OG0000065	Prap.g_01475	Prbm.g_00297
OG0000066	Prap.g_01292	Prbm.g_00500
OG0000067	Prap.g_00799	Prbm.g_00735
OG0000070	Prap.g_00708	Prbm.g_01064
OG0000071	Prap.g_00429	Prbm.g_01522
OG0000072	Prap.g_00561	Prbm.g_00468, Prbm.g_01611
OG0000073	Prap.g_01819	Prbm.g_01162
OG0000073	Prap.g_01914	Prbm.g_01310
OG0000074	Prap.g_00079	Prbm.g_00707
OG0000075	Prap.g_01642	Prbm.g_02033
OG0000076	Prap.g_00160	Prbm.g_01747
OG0000077	Prap.g_00043	Prbm.g_00011
OG0000078	Prap.g_01389	Prbm.g_00377
OG0000079	Prap.g_00543	Prbm.g_01389
OG0000080	Prap.g_00356	Prbm.g_00702
OG0000081	Prap.g_00809	Prbm.g_00728
OG0000082	Prap.g_00776	Prbm.g_00821
OG0000083	Prap.g_00477	Prbm.g_00906, Prbm.g_01173
OG0000084	Prap.g_00257	Prbm.g_00988
OG0000085	Prap.g_00501	Prbm.g_01210
OG0000086	Prap.g_01883	Prbm.g_01910
OG0000087	Prap.g_01863	Prbm.g_01230, Prbm.g_01809, Prbm.g_00434, Prbm.g_01118, Prbm.g_01383, Prbm.g_01405
OG0000090	Prap.g_00082	Prbm.g_00394
OG0000091	Prap.g_00129	Prbm.g_01718
OG0000092	Prap.g_00618	Prbm.g_01182
OG0000093	Prap.g_01691	Prbm.g_01973
OG0000094	Prap.g_01646	Prbm.g_02029
OG0000095	Prap.g_01608	Prbm.g_02067
OG0000096	Prap.g_01536	Prbm.g_02168
OG0000097	Prap.g_00623	Prbm.g_02188
OG0000098	Prap.g_00051	Prbm.g_00003
OG0000099	Prap.g_00932	Prbm.g_00023
OG0000101	Prap.g_00903	Prbm.g_00058
OG0000102	Prap.g_01061	Prbm.g_00172
OG0000103	Prap.g_01052	Prbm.g_00181
OG0000104	Prap.g_01035	Prbm.g_00198
OG0000105	Prap.g_01000	Prbm.g_00229
OG0000106	Prap.g_00986	Prbm.g_00243
OG0000107	Prap.g_00977	Prbm.g_00252
OG0000108	Prap.g_00967	Prbm.g_00262
OG0000109	Prap.g_01472	Prbm.g_00300
OG0000110	Prap.g_01460	Prbm.g_00310
OG0000111	Prap.g_01436	Prbm.g_00331
OG0000112	Prap.g_01425	Prbm.g_00341
OG0000113	Prap.g_01412	Prbm.g_00353
OG0000114	Prap.g_01386	Prbm.g_00380
OG0000115	Prap.g_01293	Prbm.g_00499
OG0000116	Prap.g_01291	Prbm.g_00501
OG0000117	Prap.g_01287	Prbm.g_00506
OG0000118	Prap.g_01267	Prbm.g_00533
OG0000119	Prap.g_01237	Prbm.g_00565
OG0000120	Prap.g_01236	Prbm.g_00566
OG0000121	Prap.g_01226	Prbm.g_00576
OG0000122	Prap.g_01217	Prbm.g_00585
OG0000123	Prap.g_01185	Prbm.g_00615
OG0000124	Prap.g_00375	Prbm.g_00682
OG0000125	Prap.g_00374	Prbm.g_00683
OG0000126	Prap.g_00373	Prbm.g_00684
OG0000127	Prap.g_00814	Prbm.g_00723
OG0000128	Prap.g_00789	Prbm.g_00744
OG0000129	Prap.g_00324	Prbm.g_00766
OG0000130	Prap.g_00691	Prbm.g_00950
OG0000131	Prap.g_00785	Prbm.g_00812
OG0000132	Prap.g_00748	Prbm.g_00848
OG0000133	Prap.g_00841	Prbm.g_00946
OG0000134	Prap.g_00355	Prbm.g_00799
OG0000135	Prap.g_00261	Prbm.g_00992
OG0000136	Prap.g_00705	Prbm.g_01061
OG0000137	Prap.g_01880	Prbm.g_01913
OG0000138	Prap.g_00462	Prbm.g_01555
OG0000139	Prap.g_00450	Prbm.g_01542
OG0000140	Prap.g_01135	Prbm.g_01489
OG0000141	Prap.g_00217	Prbm.g_01054
OG0000142	Prap.g_00574	Prbm.g_01622
OG0000143	Prap.g_00059	Prbm.g_01660
OG0000144	Prap.g_00109	Prbm.g_01696
OG0000145	Prap.g_00122	Prbm.g_01711
OG0000146	Prap.g_00158	Prbm.g_01745
OG0000147	Prap.g_00205	Prbm.g_01791
OG0000148	Prap.g_00206	Prbm.g_01792
OG0000149	Prap.g_01782	Prbm.g_01839
OG0000150	Prap.g_01742	Prbm.g_01876
OG0000151	Prap.g_01739	Prbm.g_01878
OG0000152	Prap.g_01719	Prbm.g_01898
OG0000153	Prap.g_01685	Prbm.g_01991
OG0000154	Prap.g_01648, Prap.g_01649	Prbm.g_02027
OG0000155	Prap.g_01629	Prbm.g_01454, Prbm.g_02046
OG0000156	Prap.g_01596	Prbm.g_02079
OG0000157	Prap.g_01562	Prbm.g_02114
OG0000158	Prap.g_01497	Prbm.g_02212
OG0000160	Prap.g_00053	Prbm.g_00001
OG0000161	Prap.g_00052	Prbm.g_00002
OG0000162	Prap.g_00050	Prbm.g_00004
OG0000163	Prap.g_00049	Prbm.g_00005
OG0000164	Prap.g_00048	Prbm.g_00006
OG0000165	Prap.g_00047	Prbm.g_00007
OG0000166	Prap.g_00046	Prbm.g_00008
OG0000167	Prap.g_00045	Prbm.g_00009
OG0000168	Prap.g_00044	Prbm.g_00010
OG0000169	Prap.g_00042	Prbm.g_00012
OG0000170	Prap.g_00941	Prbm.g_00014
OG0000171	Prap.g_00940	Prbm.g_00015
OG0000172	Prap.g_00939	Prbm.g_00016
OG0000173	Prap.g_00938	Prbm.g_00017
OG0000174	Prap.g_00937	Prbm.g_00018
OG0000175	Prap.g_00936	Prbm.g_00019
OG0000176	Prap.g_00935	Prbm.g_00020
OG0000177	Prap.g_00934	Prbm.g_00021
OG0000178	Prap.g_00933	Prbm.g_00022
OG0000179	Prap.g_00931	Prbm.g_00024
OG0000180	Prap.g_00930	Prbm.g_00025
OG0000181	Prap.g_00929	Prbm.g_00026
OG0000182	Prap.g_00928	Prbm.g_00027
OG0000183	Prap.g_00927	Prbm.g_00028
OG0000184	Prap.g_00925	Prbm.g_00029
OG0000185	Prap.g_00922	Prbm.g_00032
OG0000186	Prap.g_00919	Prbm.g_00033
OG0000187	Prap.g_00918	Prbm.g_00034
OG0000188	Prap.g_00917	Prbm.g_00035
OG0000189	Prap.g_00915	Prbm.g_00049
OG0000190	Prap.g_00913	Prbm.g_00051
OG0000191	Prap.g_00911	Prbm.g_00052
OG0000192	Prap.g_00910	Prbm.g_00053
OG0000193	Prap.g_00909	Prbm.g_00054
