Orthogroup	Prap	Praq
OG0000000	Prap.g_01862	Praq.g_01956, Praq.g_00026
OG0000000	Prap.g_01846, Prap.g_01861, Prap.g_00493	Praq.g_00025, Praq.g_01392
OG0000001	Prap.g_00720, Prap.g_00715	Praq.g_00168
OG0000001	Prap.g_00823, Prap.g_00224, Prap.g_00486, Prap.g_01946, Prap.g_00484, Prap.g_00491	Praq.g_00807
OG0000002	Prap.g_00653	Praq.g_01393, Praq.g_01394
OG0000002	Prap.g_01925	Praq.g_00160
OG0000004	Prap.g_00494	Praq.g_00115, Praq.g_00028
OG0000005	Prap.g_00535	Praq.g_00614
OG0000006	Prap.g_00010	Praq.g_00097, Praq.g_00081, Praq.g_00628, Praq.g_01283
OG0000008	Prap.g_01270	Praq.g_01105
OG0000008	Prap.g_01779	Praq.g_00497
OG0000010	Prap.g_00480	Praq.g_00649
OG0000010	Prap.g_01462	Praq.g_01753
OG0000011	Prap.g_01688	Praq.g_01168
OG0000011	Prap.g_01848, Prap.g_01899	Praq.g_00627
OG0000013	Prap.g_00216	Praq.g_00017, Praq.g_01898
OG0000014	Prap.g_01403	Praq.g_01696
OG0000015	Prap.g_01343	Praq.g_01137
OG0000016	Prap.g_01840, Prap.g_01794	Praq.g_00065
OG0000017	Prap.g_01860, Prap.g_01912	Praq.g_00521
OG0000018	Prap.g_01170, Prap.g_01163	Praq.g_01004
OG0000019	Prap.g_01818, Prap.g_01851	Praq.g_01161
OG0000020	Prap.g_00510, Prap.g_00218	Praq.g_00171
OG0000021	Prap.g_00142, Prap.g_01834	Praq.g_01246
OG0000022	Prap.g_01470	Praq.g_01761
OG0000023	Prap.g_00797	Praq.g_01179
OG0000024	Prap.g_01911, Prap.g_00502	Praq.g_00109
OG0000025	Prap.g_00322, Prap.g_00826	Praq.g_00618
OG0000028	Prap.g_01888	Praq.g_00071
OG0000029	Prap.g_00505, Prap.g_01805	Praq.g_00650
OG0000030	Prap.g_01797	Praq.g_00651
OG0000031	Prap.g_01572	Praq.g_00770
OG0000032	Prap.g_01903	Praq.g_00075
OG0000034	Prap.g_00121	Praq.g_00294
OG0000035	Prap.g_01312	Praq.g_00018, Praq.g_00056
OG0000036	Prap.g_00228	Praq.g_01281
OG0000041	Prap.g_01145, Prap.g_00236	Praq.g_00979
OG0000043	Prap.g_00017	Praq.g_01475
OG0000045	Prap.g_01790, Prap.g_01183	Praq.g_01018
OG0000046	Prap.g_00212	Praq.g_00635
OG0000047	Prap.g_00456	Praq.g_01333
OG0000049	Prap.g_00081	Praq.g_00218, Praq.g_00271
OG0000050	Prap.g_01004	Praq.g_01836
OG0000051	Prap.g_00029	Praq.g_01184
OG0000053	Prap.g_00791	Praq.g_00583
OG0000055	Prap.g_01580	Praq.g_01243, Praq.g_00763
OG0000056	Prap.g_00923	Praq.g_01234
OG0000057	Prap.g_01013	Praq.g_01845, Praq.g_00554
OG0000058	Prap.g_00591	Praq.g_01173
OG0000059	Prap.g_01230, Prap.g_01867	Praq.g_01063
OG0000062	Prap.g_00760	Praq.g_01420
OG0000065	Prap.g_01475	Praq.g_01765
OG0000066	Prap.g_01292	Praq.g_00526
OG0000067	Prap.g_00799	Praq.g_00827
OG0000070	Prap.g_00708	Praq.g_01619
OG0000071	Prap.g_00429	Praq.g_00084
OG0000072	Prap.g_00561	Praq.g_00133
OG0000073	Prap.g_01914	Praq.g_00154
OG0000074	Prap.g_00079	Praq.g_00208
OG0000075	Prap.g_01642	Praq.g_00879
OG0000077	Prap.g_00043	Praq.g_00437
OG0000078	Prap.g_01389	Praq.g_01680
OG0000079	Prap.g_00543	Praq.g_01160
OG0000080	Prap.g_00356	Praq.g_00798
OG0000081	Prap.g_00809	Praq.g_00820
OG0000082	Prap.g_00776	Praq.g_00677
OG0000083	Prap.g_00477	Praq.g_01469
OG0000084	Prap.g_00257	Praq.g_01548
OG0000085	Prap.g_00501	Praq.g_01667
OG0000086	Prap.g_01883	Praq.g_01300
OG0000090	Prap.g_00082	Praq.g_00216
OG0000091	Prap.g_00129	Praq.g_00302
OG0000092	Prap.g_00618	Praq.g_00052
OG0000093	Prap.g_01691	Praq.g_00927
OG0000094	Prap.g_01646	Praq.g_00882
OG0000095	Prap.g_01608	Praq.g_00737
OG0000096	Prap.g_01536	Praq.g_00710
OG0000098	Prap.g_00051	Praq.g_00429
OG0000099	Prap.g_00932	Praq.g_01226
OG0000101	Prap.g_00903	Praq.g_01265
OG0000102	Prap.g_01061	Praq.g_01890
OG0000103	Prap.g_01052	Praq.g_01882
OG0000104	Prap.g_01035	Praq.g_01864
OG0000105	Prap.g_01000	Praq.g_01832
OG0000106	Prap.g_00986	Praq.g_01818
OG0000107	Prap.g_00977	Praq.g_01810
OG0000108	Prap.g_00967	Praq.g_01800
OG0000109	Prap.g_01472	Praq.g_01763
OG0000110	Prap.g_01460	Praq.g_01751
OG0000111	Prap.g_01436	Praq.g_01729
OG0000112	Prap.g_01425	Praq.g_01718
OG0000113	Prap.g_01412	Praq.g_01705
OG0000114	Prap.g_01386	Praq.g_01677
OG0000115	Prap.g_01293	Praq.g_00525
OG0000116	Prap.g_01291	Praq.g_00527
OG0000117	Prap.g_01287	Praq.g_00531
OG0000118	Prap.g_01267	Praq.g_01103
OG0000119	Prap.g_01237	Praq.g_01070
OG0000120	Prap.g_01236	Praq.g_01069
OG0000121	Prap.g_01226	Praq.g_01059
OG0000122	Prap.g_01217	Praq.g_01050
OG0000123	Prap.g_01185	Praq.g_01019
OG0000124	Prap.g_00375	Praq.g_00780
OG0000125	Prap.g_00374	Praq.g_00781
OG0000126	Prap.g_00373	Praq.g_00782
OG0000127	Prap.g_00814	Praq.g_00815
OG0000128	Prap.g_00789	Praq.g_00585
OG0000129	Prap.g_00324	Praq.g_00605
OG0000130	Prap.g_00691	Praq.g_00654
OG0000131	Prap.g_00785	Praq.g_00668
OG0000132	Prap.g_00748	Praq.g_01431
OG0000133	Prap.g_00841	Praq.g_01506
OG0000134	Prap.g_00355	Praq.g_01516
OG0000135	Prap.g_00261	Praq.g_01552
OG0000136	Prap.g_00705	Praq.g_01616
OG0000137	Prap.g_01880	Praq.g_01303
OG0000139	Prap.g_00450	Praq.g_01339
OG0000140	Prap.g_01135	Praq.g_01390
OG0000141	Prap.g_00217	Praq.g_00257
OG0000142	Prap.g_00574	Praq.g_00145
OG0000143	Prap.g_00059	Praq.g_00175
OG0000144	Prap.g_00109	Praq.g_00281
OG0000145	Prap.g_00122	Praq.g_00295
OG0000146	Prap.g_00158	Praq.g_00331
OG0000147	Prap.g_00205	Praq.g_00371
OG0000148	Prap.g_00206	Praq.g_00372
OG0000149	Prap.g_01782	Praq.g_01954, Praq.g_00499
OG0000150	Prap.g_01742	Praq.g_00461
OG0000151	Prap.g_01739	Praq.g_00458
OG0000152	Prap.g_01719	Praq.g_00956
OG0000153	Prap.g_01685	Praq.g_00920
OG0000154	Prap.g_01648, Prap.g_01649	Praq.g_00884
OG0000155	Prap.g_01629	Praq.g_00867
OG0000156	Prap.g_01596	Praq.g_00748
OG0000157	Prap.g_01562	Praq.g_00683
OG0000158	Prap.g_01497	Praq.g_00409
OG0000160	Prap.g_00053	Praq.g_00427
OG0000161	Prap.g_00052	Praq.g_00428
OG0000162	Prap.g_00050	Praq.g_00430
OG0000163	Prap.g_00049	Praq.g_00431
OG0000164	Prap.g_00048	Praq.g_00432
OG0000165	Prap.g_00047	Praq.g_00433
OG0000166	Prap.g_00046	Praq.g_00434
OG0000167	Prap.g_00045	Praq.g_00435
OG0000168	Prap.g_00044	Praq.g_00436
OG0000169	Prap.g_00042	Praq.g_00438
