Orthogroup	Syak	Prae
OG0000001	Syak.g_00342, Syak.g_02139, Syak.g_02138, Syak.g_00275, Syak.g_00579	Prae.g_01353
OG0000004	Syak.g_01219, Syak.g_00720	Prae.g_00669
OG0000004	Syak.g_00003, Syak.g_02297	Prae.g_00235
OG0000005	Syak.g_02401	Prae.g_01636
OG0000005	Syak.g_00885, Syak.g_02436	Prae.g_01535
OG0000006	Syak.g_00057, Syak.g_00059, Syak.g_00061, Syak.g_01394, Syak.g_02315, Syak.g_02317	Prae.g_00244
OG0000007	Syak.g_02595	Prae.g_00471
OG0000007	Syak.g_02416	Prae.g_01623
OG0000010	Syak.g_01119	Prae.g_01048
OG0000011	Syak.g_00960	Prae.g_01245
OG0000012	Syak.g_00010	Prae.g_00597
OG0000013	Syak.g_01270, Syak.g_01275	Prae.g_00328
OG0000014	Syak.g_01505	Prae.g_00307
OG0000014	Syak.g_01582	Prae.g_01401
OG0000015	Syak.g_01813, Syak.g_00107, Syak.g_00358	Prae.g_00769, Prae.g_01235
OG0000016	Syak.g_01780	Prae.g_00013
OG0000017	Syak.g_02730, Syak.g_02738	Prae.g_00572
OG0000018	Syak.g_01072	Prae.g_01144
OG0000019	Syak.g_01413	Prae.g_00252, Prae.g_00786
OG0000021	Syak.g_00566	Prae.g_01600, Prae.g_00364
OG0000022	Syak.g_00088	Prae.g_01125
OG0000023	Syak.g_00316, Syak.g_00223	Prae.g_00359
OG0000025	Syak.g_00610	Prae.g_00332, Prae.g_00840
OG0000026	Syak.g_01757	Prae.g_00031, Prae.g_01056
OG0000027	Syak.g_00127	Prae.g_00444, Prae.g_01311
OG0000028	Syak.g_01522	Prae.g_00321
OG0000029	Syak.g_00169, Syak.g_00178	Prae.g_00755, Prae.g_00375
OG0000030	Syak.g_01684, Syak.g_01685	Prae.g_01825
OG0000033	Syak.g_02101	Prae.g_01396, Prae.g_00172
OG0000034	Syak.g_00950, Syak.g_02133	Prae.g_01339
OG0000035	Syak.g_01041, Syak.g_01040	Prae.g_01459
OG0000037	Syak.g_02188	Prae.g_00108
OG0000038	Syak.g_01938, Syak.g_01936	Prae.g_01865
OG0000039	Syak.g_00772, Syak.g_01918	Prae.g_00660
OG0000040	Syak.g_01852	Prae.g_01143
OG0000041	Syak.g_02354, Syak.g_00752	Prae.g_01669
OG0000042	Syak.g_00843, Syak.g_01681	Prae.g_01822
OG0000043	Syak.g_00335	Prae.g_00876
OG0000045	Syak.g_00228	Prae.g_00371
OG0000047	Syak.g_01147	Prae.g_00331
OG0000048	Syak.g_01446	Prae.g_00374
OG0000053	Syak.g_01068	Prae.g_01479
OG0000054	Syak.g_02744, Syak.g_02321	Prae.g_00580
OG0000055	Syak.g_00766	Prae.g_00787
OG0000057	Syak.g_00724, Syak.g_01676	Prae.g_00672
OG0000059	Syak.g_01355	Prae.g_01710
OG0000060	Syak.g_01138, Syak.g_02572, Syak.g_00844	Prae.g_01238
OG0000061	Syak.g_00898	Prae.g_01163
OG0000062	Syak.g_02434	Prae.g_01537
OG0000063	Syak.g_01752	Prae.g_00033
OG0000065	Syak.g_02192, Syak.g_00282	Prae.g_00106
OG0000066	Syak.g_02653	Prae.g_00514
OG0000067	Syak.g_00434	Prae.g_00806
OG0000068	Syak.g_02565	Prae.g_01368
OG0000070	Syak.g_01174	Prae.g_00424
OG0000071	Syak.g_02322, Syak.g_00936	Prae.g_01329
OG0000072	Syak.g_02099	Prae.g_00174
OG0000073	Syak.g_02597	Prae.g_00473
OG0000075	Syak.g_01564	Prae.g_01791
OG0000076	Syak.g_01650	Prae.g_01815
OG0000077	Syak.g_02243	Prae.g_00078
OG0000078	Syak.g_02310	Prae.g_00242
OG0000079	Syak.g_01417	Prae.g_00255
OG0000081	Syak.g_00115	Prae.g_00505
OG0000082	Syak.g_02711	Prae.g_00559
OG0000084	Syak.g_01036	Prae.g_01455
OG0000085	Syak.g_02427	Prae.g_01616
OG0000086	Syak.g_02219	Prae.g_00088
OG0000087	Syak.g_02141	Prae.g_00139
OG0000088	Syak.g_02106	Prae.g_00169
OG0000089	Syak.g_01215	Prae.g_00355
OG0000090	Syak.g_02640	Prae.g_00508
OG0000091	Syak.g_00043	Prae.g_00616
OG0000093	Syak.g_00416	Prae.g_00933
OG0000094	Syak.g_00656	Prae.g_01021
OG0000095	Syak.g_00736	Prae.g_01040
OG0000097	Syak.g_00816	Prae.g_01204
OG0000098	Syak.g_00345, Syak.g_02651	Prae.g_01350
OG0000099	Syak.g_01527	Prae.g_01390
OG0000100	Syak.g_00622	Prae.g_01533
OG0000101	Syak.g_01305	Prae.g_01758
OG0000102	Syak.g_01661	Prae.g_01820
OG0000103	Syak.g_01812	Prae.g_01899
OG0000104	Syak.g_01799	Prae.g_01907
OG0000105	Syak.g_01451	Prae.g_01440
OG0000106	Syak.g_00096	Prae.g_00370
OG0000107	Syak.g_01392	Prae.g_00385
OG0000108	Syak.g_02574	Prae.g_00454
OG0000109	Syak.g_01061, Syak.g_02590	Prae.g_00468
OG0000110	Syak.g_02698	Prae.g_00549
OG0000111	Syak.g_00725	Prae.g_00673
OG0000112	Syak.g_00512	Prae.g_00770
OG0000113	Syak.g_00461	Prae.g_00828
OG0000114	Syak.g_00373, Syak.g_00065	Prae.g_00908
OG0000115	Syak.g_01066	Prae.g_01102
OG0000116	Syak.g_00911	Prae.g_01153
OG0000117	Syak.g_00846	Prae.g_01263
OG0000118	Syak.g_00954	Prae.g_01341
OG0000119	Syak.g_00917	Prae.g_01364
OG0000120	Syak.g_01526	Prae.g_01389
OG0000121	Syak.g_01044	Prae.g_01461
OG0000122	Syak.g_00081	Prae.g_01499
OG0000123	Syak.g_01299	Prae.g_01766
OG0000124	Syak.g_01692	Prae.g_01831
OG0000125	Syak.g_01934	Prae.g_01867
OG0000126	Syak.g_01801	Prae.g_01906
OG0000128	Syak.g_01782	Prae.g_00011
OG0000129	Syak.g_01947	Prae.g_00046
OG0000130	Syak.g_02255	Prae.g_00069
OG0000131	Syak.g_02128	Prae.g_00148
OG0000132	Syak.g_02108	Prae.g_00167
OG0000133	Syak.g_00507	Prae.g_00323
OG0000134	Syak.g_01212	Prae.g_00356
OG0000135	Syak.g_01897	Prae.g_00382
OG0000136	Syak.g_01186	Prae.g_00415
OG0000137	Syak.g_01118	Prae.g_00449
OG0000138	Syak.g_01062, Syak.g_02591	Prae.g_00469
OG0000139	Syak.g_02646	Prae.g_00512
OG0000140	Syak.g_02650	Prae.g_00513
OG0000141	Syak.g_02746	Prae.g_00581
OG0000142	Syak.g_00035	Prae.g_00609
OG0000143	Syak.g_00039	Prae.g_00613
OG0000144	Syak.g_00260	Prae.g_00626
OG0000145	Syak.g_02598	Prae.g_00766
OG0000146	Syak.g_00514	Prae.g_00771
OG0000147	Syak.g_00515	Prae.g_00772
OG0000148	Syak.g_00455	Prae.g_00822
OG0000149	Syak.g_00596	Prae.g_00852
OG0000150	Syak.g_02747	Prae.g_00860
OG0000151	Syak.g_00387	Prae.g_00918
OG0000152	Syak.g_00503	Prae.g_00964
OG0000153	Syak.g_00470	Prae.g_00983
OG0000154	Syak.g_00645	Prae.g_01014
OG0000155	Syak.g_00855	Prae.g_01183
OG0000156	Syak.g_00919	Prae.g_01317
OG0000157	Syak.g_00920	Prae.g_01318
OG0000158	Syak.g_01624	Prae.g_01426
OG0000160	Syak.g_01043	Prae.g_01460
OG0000161	Syak.g_01050	Prae.g_01466
OG0000162	Syak.g_01058	Prae.g_01472
OG0000163	Syak.g_02478	Prae.g_01506
OG0000164	Syak.g_02384	Prae.g_01647
OG0000165	Syak.g_02374	Prae.g_01654
