Orthogroup	Syak	Syac
OG0000001	Syak.g_02138	Syac.g_00341, Syac.g_00340
OG0000001	Syak.g_00275, Syak.g_00579	Syac.g_02169
OG0000004	Syak.g_01219, Syak.g_00720	Syac.g_00898
OG0000004	Syak.g_00003	Syac.g_00948
OG0000004	Syak.g_02297	Syac.g_01975
OG0000005	Syak.g_02401	Syac.g_00527
OG0000005	Syak.g_02436	Syac.g_00569
OG0000006	Syak.g_00057	Syac.g_01002
OG0000006	Syak.g_00059, Syak.g_00061, Syak.g_01394, Syak.g_02315, Syak.g_02317	Syac.g_01958, Syac.g_01961, Syac.g_02194
OG0000007	Syak.g_02595	Syac.g_01885
OG0000007	Syak.g_02416	Syac.g_00544
OG0000008	Syak.g_00267	Syac.g_00921
OG0000008	Syak.g_00692	Syac.g_00922
OG0000009	Syak.g_02194	Syac.g_01004, Syac.g_00398
OG0000010	Syak.g_01119	Syac.g_01701
OG0000011	Syak.g_00960	Syac.g_00924
OG0000012	Syak.g_00010	Syac.g_00955
OG0000013	Syak.g_01270	Syac.g_02056
OG0000013	Syak.g_01275	Syac.g_02062
OG0000014	Syak.g_01505	Syac.g_00253
OG0000015	Syak.g_00358	Syac.g_01408
OG0000016	Syak.g_01780	Syac.g_00014
OG0000016	Syak.g_00818	Syac.g_01505
OG0000017	Syak.g_02730	Syac.g_01749
OG0000017	Syak.g_02738	Syac.g_01742
OG0000018	Syak.g_01072	Syac.g_01660
OG0000019	Syak.g_01413	Syac.g_02207
OG0000022	Syak.g_00088	Syac.g_01031
OG0000023	Syak.g_00316	Syac.g_00760
OG0000025	Syak.g_00610	Syac.g_00847
OG0000026	Syak.g_01757	Syac.g_00034
OG0000027	Syak.g_00127	Syac.g_01095
OG0000028	Syak.g_01522	Syac.g_00237
OG0000029	Syak.g_00169, Syak.g_00178	Syac.g_01942
OG0000030	Syak.g_01684	Syac.g_00143
OG0000030	Syak.g_01685	Syac.g_00142
OG0000031	Syak.g_01630	Syac.g_00232
OG0000032	Syak.g_01092	Syac.g_01677
OG0000033	Syak.g_02101	Syac.g_00304
OG0000034	Syak.g_00950, Syak.g_02133	Syac.g_00334, Syac.g_00715
OG0000035	Syak.g_01041, Syak.g_01040	Syac.g_01630
OG0000036	Syak.g_02275	Syac.g_01722, Syac.g_01536
OG0000037	Syak.g_02188	Syac.g_01077
OG0000038	Syak.g_01938	Syac.g_02357
OG0000038	Syak.g_01936	Syac.g_02358
OG0000039	Syak.g_00772	Syac.g_00856
OG0000039	Syak.g_01918	Syac.g_02378
OG0000040	Syak.g_01852	Syac.g_02437
OG0000041	Syak.g_02354	Syac.g_00655
OG0000042	Syak.g_00843, Syak.g_01681	Syac.g_00146
OG0000043	Syak.g_00335	Syac.g_00808, Syac.g_01100
OG0000044	Syak.g_00767	Syac.g_00858
OG0000045	Syak.g_00228	Syac.g_01040
OG0000045	Syak.g_00317	Syac.g_00576
OG0000046	Syak.g_01269	Syac.g_02055
OG0000046	Syak.g_01276	Syac.g_02063
OG0000047	Syak.g_01147	Syac.g_02031
OG0000048	Syak.g_01446	Syac.g_02240
OG0000052	Syak.g_01549	Syac.g_00207
OG0000053	Syak.g_01068	Syac.g_01657
OG0000054	Syak.g_02321	Syac.g_01050
OG0000055	Syak.g_00766	Syac.g_01034, Syac.g_00859
OG0000058	Syak.g_01530	Syac.g_00226
OG0000059	Syak.g_01355	Syac.g_02142
OG0000060	Syak.g_02572	Syac.g_01909
OG0000061	Syak.g_00898	Syac.g_00769
OG0000062	Syak.g_02434	Syac.g_00567
OG0000063	Syak.g_01752	Syac.g_00037
OG0000064	Syak.g_00983	Syac.g_00575
OG0000064	Syak.g_00164	Syac.g_01567
OG0000065	Syak.g_00282	Syac.g_00490
OG0000067	Syak.g_00434	Syac.g_01341
OG0000068	Syak.g_02565	Syac.g_01916
OG0000070	Syak.g_01174	Syac.g_00711
OG0000071	Syak.g_02322	Syac.g_01049
OG0000071	Syak.g_00936	Syac.g_00729
OG0000072	Syak.g_02099	Syac.g_00302
OG0000073	Syak.g_02597	Syac.g_01883
OG0000075	Syak.g_01564	Syac.g_00191
OG0000076	Syak.g_01650	Syac.g_00156
OG0000077	Syak.g_02243	Syac.g_00439
OG0000078	Syak.g_02310	Syac.g_01964
OG0000079	Syak.g_01417	Syac.g_02211
