Orthogroup	Syak	Syam
OG0000001	Syak.g_02139	Syam.g_02177
OG0000001	Syak.g_00275, Syak.g_00579	Syam.g_00929
OG0000004	Syak.g_01219, Syak.g_00720	Syam.g_00787
OG0000004	Syak.g_00003	Syam.g_01499
OG0000004	Syak.g_02297	Syam.g_00501
OG0000005	Syak.g_02401	Syam.g_02004
OG0000005	Syak.g_02436	Syam.g_01970
OG0000006	Syak.g_00057	Syam.g_01446
OG0000006	Syak.g_00059, Syak.g_00061, Syak.g_01394, Syak.g_02315, Syak.g_02317	Syam.g_00286, Syam.g_00518
OG0000007	Syak.g_02595	Syam.g_00602
OG0000007	Syak.g_02416	Syam.g_01990
OG0000008	Syak.g_00267	Syam.g_00810
OG0000008	Syak.g_00692	Syam.g_00811
OG0000009	Syak.g_02194	Syam.g_02119
OG0000010	Syak.g_01119	Syam.g_01669
OG0000011	Syak.g_00960	Syam.g_00814
OG0000012	Syak.g_00010	Syam.g_01492
OG0000013	Syak.g_01270	Syam.g_00409
OG0000013	Syak.g_01275	Syam.g_00404
OG0000014	Syak.g_01505	Syam.g_00191
OG0000015	Syak.g_00358	Syam.g_01218, Syam.g_01362
OG0000016	Syak.g_01780	Syam.g_00014
OG0000016	Syak.g_00818	Syam.g_00876
OG0000017	Syak.g_02730	Syam.g_01715
OG0000017	Syak.g_02738	Syam.g_01708
OG0000018	Syak.g_01072	Syam.g_01640
OG0000019	Syak.g_01413	Syam.g_00274
OG0000021	Syak.g_00566	Syam.g_00523
OG0000022	Syak.g_00088	Syam.g_01418
OG0000023	Syak.g_00316	Syam.g_01217, Syam.g_01553, Syam.g_01583, Syam.g_01075
OG0000023	Syak.g_00223	Syam.g_01943
OG0000025	Syak.g_00610	Syam.g_00740
OG0000026	Syak.g_01757	Syam.g_00035
OG0000027	Syak.g_00127	Syam.g_00989
OG0000028	Syak.g_01522	Syam.g_00176
OG0000029	Syak.g_00169, Syak.g_00178	Syam.g_01055
OG0000030	Syak.g_01684	Syam.g_00104
OG0000030	Syak.g_01685	Syam.g_00103
OG0000031	Syak.g_01630	Syam.g_00171
OG0000032	Syak.g_01092	Syam.g_01660
OG0000032	Syak.g_01707	Syam.g_00079
OG0000033	Syak.g_02101	Syam.g_02217
OG0000034	Syak.g_00950, Syak.g_02133	Syam.g_02185, Syam.g_01843, Syam.g_02187
OG0000035	Syak.g_01041, Syak.g_01040	Syam.g_01612
OG0000037	Syak.g_02188	Syam.g_02125
OG0000038	Syak.g_01938	Syam.g_02317
OG0000039	Syak.g_00772	Syam.g_00749
OG0000040	Syak.g_01852	Syam.g_02390
OG0000041	Syak.g_02354	Syam.g_01899
OG0000042	Syak.g_00843, Syak.g_01681	Syam.g_00107
OG0000043	Syak.g_00335	Syam.g_01041
OG0000044	Syak.g_00153	Syam.g_01562
OG0000045	Syak.g_00228	Syam.g_02028
OG0000046	Syak.g_01269	Syam.g_00410
OG0000046	Syak.g_01276	Syam.g_00403
OG0000047	Syak.g_01147	Syam.g_00434
OG0000048	Syak.g_01446	Syam.g_00243
OG0000052	Syak.g_01549	Syam.g_00161
OG0000053	Syak.g_01068	Syam.g_01636
OG0000055	Syak.g_00766	Syam.g_00754
OG0000058	Syak.g_01530	Syam.g_00169
OG0000059	Syak.g_01355	Syam.g_00320
