Orthogroup	Syak	Syag
OG0000001	Syak.g_02139	Syag.g_01942
OG0000001	Syak.g_02138	Syag.g_01943
OG0000001	Syak.g_00275, Syak.g_00579	Syag.g_00520
OG0000004	Syak.g_00720	Syag.g_00988
OG0000004	Syak.g_00003	Syag.g_00370
OG0000004	Syak.g_02297	Syag.g_01790
OG0000005	Syak.g_02401	Syag.g_01708
OG0000005	Syak.g_02436	Syag.g_01667
OG0000006	Syak.g_00057	Syag.g_00435
OG0000006	Syak.g_00059, Syak.g_00061, Syak.g_01394, Syak.g_02315, Syak.g_02317	Syag.g_01772, Syag.g_02678, Syag.g_02687
OG0000007	Syak.g_02595	Syag.g_01507
OG0000007	Syak.g_02416	Syag.g_01687
OG0000008	Syak.g_00267	Syag.g_00496
OG0000008	Syak.g_00692	Syag.g_01017
OG0000009	Syak.g_02194	Syag.g_01883
OG0000010	Syak.g_01119	Syag.g_01355
OG0000011	Syak.g_00960	Syag.g_01299
OG0000012	Syak.g_00010	Syag.g_00377
OG0000013	Syak.g_01270	Syag.g_02811
OG0000013	Syak.g_01275	Syag.g_02806
OG0000014	Syak.g_01505	Syag.g_02559
OG0000014	Syak.g_01582	Syag.g_02487
OG0000015	Syak.g_01813	Syag.g_02252
OG0000015	Syak.g_00358	Syag.g_00596
OG0000016	Syak.g_01780	Syag.g_02286
OG0000016	Syak.g_00818	Syag.g_01066
OG0000017	Syak.g_02730	Syag.g_00336
OG0000017	Syak.g_02738	Syag.g_00344
OG0000018	Syak.g_01072	Syag.g_01387
OG0000019	Syak.g_01413	Syag.g_02663
OG0000021	Syak.g_00566	Syag.g_00229
OG0000022	Syak.g_00088	Syag.g_00458
OG0000023	Syak.g_00223	Syag.g_00261, Syag.g_00234
OG0000025	Syak.g_00610	Syag.g_00718
OG0000026	Syak.g_01757	Syag.g_02309
OG0000027	Syak.g_00127	Syag.g_00165
OG0000028	Syak.g_01522	Syag.g_02540
OG0000029	Syak.g_00169, Syak.g_00178	Syag.g_00195
OG0000030	Syak.g_01684	Syag.g_02375
OG0000030	Syak.g_01685	Syag.g_02374
OG0000031	Syak.g_01630	Syag.g_02510
OG0000032	Syak.g_01092	Syag.g_01366
OG0000032	Syak.g_01707	Syag.g_02480
OG0000033	Syak.g_02101	Syag.g_01978, Syag.g_02481
OG0000034	Syak.g_00950, Syak.g_02133	Syag.g_01225, Syag.g_01947
OG0000035	Syak.g_01041	Syag.g_01420
OG0000035	Syak.g_01040	Syag.g_01421
OG0000036	Syak.g_02275	Syag.g_00928
OG0000037	Syak.g_02188	Syag.g_00173
OG0000038	Syak.g_01938	Syag.g_02130
OG0000038	Syak.g_01936	Syag.g_02132
OG0000039	Syak.g_01918	Syag.g_02155
OG0000040	Syak.g_01852	Syag.g_02215
OG0000042	Syak.g_00843, Syak.g_01681	Syag.g_01094, Syag.g_02378
OG0000043	Syak.g_00335	Syag.g_00564
OG0000044	Syak.g_00767	Syag.g_00945
OG0000045	Syak.g_00228	Syag.g_00223
OG0000045	Syak.g_00317	Syag.g_00225
OG0000046	Syak.g_01269	Syag.g_02812
OG0000046	Syak.g_01276	Syag.g_02805
OG0000047	Syak.g_01147	Syag.g_00768
OG0000048	Syak.g_01446	Syag.g_02611
OG0000052	Syak.g_01549	Syag.g_02451
OG0000053	Syak.g_01068	Syag.g_01391
OG0000054	Syak.g_02744, Syak.g_02321	Syag.g_00350
OG0000055	Syak.g_00766	Syag.g_01799, Syag.g_00946
OG0000057	Syak.g_00724, Syak.g_01676	Syag.g_00985
OG0000058	Syak.g_01530	Syag.g_02477
OG0000059	Syak.g_01355	Syag.g_02721
