Orthogroup	Syak	Praw
OG0000001	Syak.g_00342, Syak.g_02139, Syak.g_02138, Syak.g_00275, Syak.g_00579	Praw.g_01000
OG0000004	Syak.g_01219, Syak.g_00720	Praw.g_01827
OG0000004	Syak.g_00003, Syak.g_02297	Praw.g_01203
OG0000005	Syak.g_02401	Praw.g_00528
OG0000005	Syak.g_00885, Syak.g_02436	Praw.g_00413
OG0000006	Syak.g_00057, Syak.g_00059, Syak.g_00061, Syak.g_01394, Syak.g_02315, Syak.g_02317	Praw.g_01950
OG0000007	Syak.g_02595	Praw.g_00651
OG0000007	Syak.g_02416	Praw.g_00515
OG0000008	Syak.g_00267	Praw.g_00501
OG0000008	Syak.g_00692	Praw.g_00502
OG0000009	Syak.g_02194	Praw.g_01330
OG0000010	Syak.g_01119	Praw.g_01460
OG0000012	Syak.g_00010	Praw.g_00159
OG0000013	Syak.g_01270, Syak.g_01275	Praw.g_00807
OG0000014	Syak.g_01505	Praw.g_00828
OG0000015	Syak.g_01813, Syak.g_00107, Syak.g_00358	Praw.g_01738
OG0000016	Syak.g_00818	Praw.g_01415
OG0000017	Syak.g_02730, Syak.g_02738	Praw.g_01944
OG0000018	Syak.g_01072	Praw.g_00215
OG0000019	Syak.g_01413	Praw.g_00884, Praw.g_01717
OG0000021	Syak.g_00566	Praw.g_00479, Praw.g_00767
OG0000022	Syak.g_00088	Praw.g_00197
OG0000023	Syak.g_00316, Syak.g_00223	Praw.g_00772
OG0000025	Syak.g_00610	Praw.g_00803, Praw.g_01664
OG0000026	Syak.g_01757	Praw.g_01397, Praw.g_01453
OG0000027	Syak.g_00127	Praw.g_00677, Praw.g_00492, Praw.g_00962
OG0000028	Syak.g_01522	Praw.g_00334, Praw.g_00814
OG0000029	Syak.g_00169, Syak.g_00178	Praw.g_01755
OG0000030	Syak.g_01684, Syak.g_01685	Praw.g_00029
OG0000032	Syak.g_01707	Praw.g_01043
OG0000033	Syak.g_02101	Praw.g_01266
OG0000034	Syak.g_00950, Syak.g_02133	Praw.g_00991
OG0000035	Syak.g_01041, Syak.g_01040	Praw.g_01081, Praw.g_01083
OG0000037	Syak.g_02188	Praw.g_01326
OG0000038	Syak.g_01938, Syak.g_01936	Praw.g_01182
OG0000039	Syak.g_00772, Syak.g_01918	Praw.g_01836
OG0000040	Syak.g_01852	Praw.g_00214
OG0000041	Syak.g_02354, Syak.g_00752	Praw.g_00562
OG0000042	Syak.g_00843, Syak.g_01681	Praw.g_00032
OG0000043	Syak.g_00335	Praw.g_01627
OG0000045	Syak.g_00228	Praw.g_00761
OG0000047	Syak.g_01147	Praw.g_00804
OG0000048	Syak.g_01446	Praw.g_00504, Praw.g_00758
OG0000053	Syak.g_01068	Praw.g_00357
OG0000054	Syak.g_02744, Syak.g_02321	Praw.g_00142
OG0000055	Syak.g_00766	Praw.g_01716
OG0000057	Syak.g_00724, Syak.g_01676	Praw.g_01824
OG0000059	Syak.g_01355	Praw.g_01894
OG0000060	Syak.g_01138, Syak.g_02572, Syak.g_00844	Praw.g_01743
OG0000061	Syak.g_00898	Praw.g_00234
OG0000062	Syak.g_02434	Praw.g_00415
OG0000063	Syak.g_01752	Praw.g_01395
OG0000065	Syak.g_02192, Syak.g_00282	Praw.g_01328
OG0000066	Syak.g_02653	Praw.g_00609
OG0000067	Syak.g_00434	Praw.g_01697
OG0000068	Syak.g_02565	Praw.g_01016
OG0000070	Syak.g_01174	Praw.g_00697
OG0000071	Syak.g_02322, Syak.g_00936	Praw.g_00981
OG0000072	Syak.g_02099	Praw.g_01264
OG0000073	Syak.g_02597	Praw.g_00649
OG0000075	Syak.g_01564	Praw.g_00064
OG0000076	Syak.g_01650	Praw.g_00039
OG0000077	Syak.g_02243	Praw.g_01356
OG0000078	Syak.g_02310	Praw.g_01196
OG0000081	Syak.g_00115	Praw.g_00617
OG0000082	Syak.g_02711	Praw.g_01932
OG0000084	Syak.g_01036	Praw.g_01087
OG0000085	Syak.g_02427	Praw.g_00508
OG0000086	Syak.g_02219	Praw.g_01346
OG0000087	Syak.g_02141	Praw.g_01296
OG0000088	Syak.g_02106	Praw.g_01269
OG0000089	Syak.g_01215	Praw.g_00776
OG0000090	Syak.g_02640	Praw.g_00615
OG0000091	Syak.g_00043	Praw.g_01880
OG0000093	Syak.g_00416	Praw.g_01571
OG0000094	Syak.g_00656	Praw.g_01486
OG0000095	Syak.g_00736	Praw.g_01467
OG0000097	Syak.g_00816	Praw.g_00275
OG0000098	Syak.g_00345, Syak.g_02651	Praw.g_00997
OG0000099	Syak.g_01527	Praw.g_01051
OG0000100	Syak.g_00622	Praw.g_00411
OG0000101	Syak.g_01305	Praw.g_00096
OG0000102	Syak.g_01661	Praw.g_00034
OG0000103	Syak.g_01812	Praw.g_01148
OG0000104	Syak.g_01799	Praw.g_01140
OG0000105	Syak.g_01451	Praw.g_00860
OG0000106	Syak.g_00096	Praw.g_00762
OG0000107	Syak.g_01392	Praw.g_00748
OG0000108	Syak.g_02574	Praw.g_00667
OG0000109	Syak.g_01061, Syak.g_02590	Praw.g_00654
OG0000110	Syak.g_02698	Praw.g_01922
OG0000111	Syak.g_00725	Praw.g_01823
OG0000112	Syak.g_00512	Praw.g_01732
OG0000113	Syak.g_00461	Praw.g_01675
OG0000114	Syak.g_00373, Syak.g_00065	Praw.g_01597
OG0000115	Syak.g_01066	Praw.g_00178
OG0000116	Syak.g_00911	Praw.g_00224
OG0000117	Syak.g_00846	Praw.g_00926
OG0000118	Syak.g_00954	Praw.g_00993
OG0000119	Syak.g_00917	Praw.g_01012
OG0000120	Syak.g_01526	Praw.g_01050
OG0000121	Syak.g_01044	Praw.g_01078
OG0000122	Syak.g_00081	Praw.g_00377
OG0000123	Syak.g_01299	Praw.g_00089
OG0000124	Syak.g_01692	Praw.g_00023
OG0000125	Syak.g_01934	Praw.g_01180
OG0000126	Syak.g_01801	Praw.g_01141
OG0000128	Syak.g_01782	Praw.g_01125
OG0000129	Syak.g_01947	Praw.g_01384
OG0000130	Syak.g_02255	Praw.g_01365
OG0000131	Syak.g_02128	Praw.g_01290
OG0000132	Syak.g_02108	Praw.g_01271
OG0000133	Syak.g_00507	Praw.g_00812
OG0000134	Syak.g_01212	Praw.g_00775
OG0000135	Syak.g_01897	Praw.g_00751
OG0000136	Syak.g_01186	Praw.g_00706
OG0000137	Syak.g_01118	Praw.g_00672
OG0000138	Syak.g_01062, Syak.g_02591	Praw.g_00653
OG0000139	Syak.g_02646	Praw.g_00611
OG0000140	Syak.g_02650	Praw.g_00610
OG0000141	Syak.g_02746	Praw.g_00143
OG0000142	Syak.g_00035	Praw.g_01887
OG0000143	Syak.g_00039	Praw.g_01883
OG0000144	Syak.g_00260	Praw.g_01870
OG0000145	Syak.g_02598	Praw.g_01745
OG0000146	Syak.g_00514	Praw.g_01731
OG0000147	Syak.g_00515	Praw.g_01730
OG0000148	Syak.g_00455	Praw.g_01681
OG0000149	Syak.g_00596	Praw.g_01652
OG0000150	Syak.g_02747	Praw.g_01644
OG0000151	Syak.g_00387	Praw.g_01587
OG0000152	Syak.g_00503	Praw.g_01539
OG0000153	Syak.g_00470	Praw.g_01520
OG0000154	Syak.g_00645	Praw.g_01493
OG0000155	Syak.g_00855	Praw.g_00254
OG0000156	Syak.g_00919	Praw.g_00968
OG0000157	Syak.g_00920	Praw.g_00969
OG0000158	Syak.g_01624	Praw.g_01052
OG0000160	Syak.g_01043	Praw.g_01079, Praw.g_01080
OG0000161	Syak.g_01050	Praw.g_00344
OG0000162	Syak.g_01058	Praw.g_00350
OG0000163	Syak.g_02478	Praw.g_00384
OG0000164	Syak.g_02384	Praw.g_00539
OG0000165	Syak.g_02374	Praw.g_00546
OG0000166	Syak.g_01345	Praw.g_00132
OG0000167	Syak.g_01561	Praw.g_00066
OG0000168	Syak.g_01625	Praw.g_00056
OG0000169	Syak.g_01637	Praw.g_00046
OG0000170	Syak.g_01644	Praw.g_00044
OG0000171	Syak.g_01691	Praw.g_00024
OG0000172	Syak.g_01713	Praw.g_00016
OG0000173	Syak.g_01733	Praw.g_00001
OG0000174	Syak.g_01895	Praw.g_01166
OG0000175	Syak.g_01827	Praw.g_01156
OG0000176	Syak.g_01790	Praw.g_01132
OG0000177	Syak.g_01789	Praw.g_01131
OG0000178	Syak.g_01788	Praw.g_01130
OG0000179	Syak.g_01773	Praw.g_01412
OG0000180	Syak.g_01772	Praw.g_01411
OG0000181	Syak.g_01771	Praw.g_01410
OG0000182	Syak.g_01770	Praw.g_01409
OG0000183	Syak.g_01766	Praw.g_01405
OG0000184	Syak.g_01955	Praw.g_01382
OG0000185	Syak.g_01971	Praw.g_01379
OG0000186	Syak.g_02258	Praw.g_01370
OG0000187	Syak.g_02257	Praw.g_01369
OG0000188	Syak.g_02235	Praw.g_01352
OG0000189	Syak.g_02203	Praw.g_01339
OG0000190	Syak.g_01575	Praw.g_01338
OG0000191	Syak.g_02171	Praw.g_01318
OG0000192	Syak.g_02165	Praw.g_01314
OG0000193	Syak.g_02127	Praw.g_01289
OG0000194	Syak.g_02124	Praw.g_01286
OG0000195	Syak.g_02122	Praw.g_01284
OG0000196	Syak.g_02111	Praw.g_01274
OG0000197	Syak.g_02110	Praw.g_01273
OG0000198	Syak.g_02109	Praw.g_01272
OG0000199	Syak.g_02100	Praw.g_01265
OG0000200	Syak.g_02083	Praw.g_01251
OG0000201	Syak.g_02068	Praw.g_01243
OG0000202	Syak.g_02067	Praw.g_01242
OG0000203	Syak.g_02066	Praw.g_01241
OG0000204	Syak.g_02065	Praw.g_01240
OG0000205	Syak.g_02058	Praw.g_01233
OG0000206	Syak.g_02038	Praw.g_01228
OG0000207	Syak.g_02025	Praw.g_01226
OG0000208	Syak.g_02024	Praw.g_01225
OG0000209	Syak.g_01995	Praw.g_01216
OG0000210	Syak.g_01994	Praw.g_01215
OG0000211	Syak.g_02017, Syak.g_02300	Praw.g_01202
OG0000212	Syak.g_02311	Praw.g_01195
OG0000213	Syak.g_01425	Praw.g_00876
OG0000214	Syak.g_01442	Praw.g_00867
OG0000215	Syak.g_01474	Praw.g_00842
OG0000216	Syak.g_01478	Praw.g_00840
OG0000217	Syak.g_01482	Praw.g_00837
OG0000218	Syak.g_01484	Praw.g_00835
OG0000219	Syak.g_01485	Praw.g_00834
OG0000220	Syak.g_01486	Praw.g_00833
OG0000221	Syak.g_01498	Praw.g_00832
OG0000222	Syak.g_01512	Praw.g_00824
OG0000223	Syak.g_01531	Praw.g_00811
OG0000224	Syak.g_01532	Praw.g_00809
OG0000225	Syak.g_01230	Praw.g_00786
OG0000226	Syak.g_01226	Praw.g_00782
OG0000227	Syak.g_01224	Praw.g_00780
OG0000228	Syak.g_01216	Praw.g_00777
OG0000229	Syak.g_01191	Praw.g_00711
OG0000230	Syak.g_01189	Praw.g_00709
OG0000231	Syak.g_01176	Praw.g_00698
OG0000232	Syak.g_01156	Praw.g_00689
OG0000233	Syak.g_01145	Praw.g_00684
OG0000234	Syak.g_01116	Praw.g_00671
OG0000235	Syak.g_02573	Praw.g_00668
OG0000236	Syak.g_02589	Praw.g_00655
OG0000237	Syak.g_02607	Praw.g_00642
OG0000238	Syak.g_02612	Praw.g_00636
OG0000239	Syak.g_02628	Praw.g_00623
OG0000240	Syak.g_02629	Praw.g_00622
OG0000241	Syak.g_00027	Praw.g_00618
OG0000242	Syak.g_02638	Praw.g_00616
OG0000243	Syak.g_02658	Praw.g_00605
OG0000244	Syak.g_02665	Praw.g_00602
OG0000245	Syak.g_02667	Praw.g_00600
OG0000246	Syak.g_02671	Praw.g_00596
OG0000247	Syak.g_02681	Praw.g_00586
OG0000248	Syak.g_02684	Praw.g_00584
OG0000249	Syak.g_02686	Praw.g_00582
OG0000250	Syak.g_02694	Praw.g_00577
OG0000251	Syak.g_02722	Praw.g_01937
OG0000252	Syak.g_02725	Praw.g_01940
OG0000253	Syak.g_02727	Praw.g_01941
OG0000254	Syak.g_02752	Praw.g_00147
OG0000255	Syak.g_02772	Praw.g_00153
OG0000256	Syak.g_00020	Praw.g_00163
OG0000257	Syak.g_00026	Praw.g_00166
OG0000258	Syak.g_00044	Praw.g_01879
OG0000259	Syak.g_00334	Praw.g_01862
OG0000260	Syak.g_00338	Praw.g_01859
OG0000261	Syak.g_00348	Praw.g_01857
OG0000262	Syak.g_00353	Praw.g_01853
OG0000263	Syak.g_00828	Praw.g_01841
OG0000264	Syak.g_00698	Praw.g_01831
OG0000265	Syak.g_00211	Praw.g_01809
OG0000266	Syak.g_00778	Praw.g_01799
OG0000267	Syak.g_00555	Praw.g_01788
OG0000268	Syak.g_00554	Praw.g_01787
OG0000269	Syak.g_00429	Praw.g_01702
OG0000270	Syak.g_00432	Praw.g_01699
OG0000271	Syak.g_00440	Praw.g_01691
OG0000272	Syak.g_00441	Praw.g_01690
OG0000273	Syak.g_00616	Praw.g_01668
OG0000274	Syak.g_00615	Praw.g_01667
OG0000275	Syak.g_00611	Praw.g_01665
OG0000276	Syak.g_00604	Praw.g_01660
