Orthogroup	Syak	Syat
OG0000001	Syak.g_02139	Syat.g_02910, Syat.g_02911
OG0000001	Syak.g_02138	Syat.g_02908, Syat.g_02909
OG0000001	Syak.g_00579	Syat.g_01540
OG0000005	Syak.g_02401	Syat.g_03065
OG0000005	Syak.g_02436	Syat.g_03105
OG0000006	Syak.g_00057	Syat.g_00371
OG0000006	Syak.g_00059, Syak.g_00061, Syak.g_01394, Syak.g_02315, Syak.g_02317	Syat.g_01439, Syat.g_01865
OG0000007	Syak.g_02595	Syat.g_03191
OG0000007	Syak.g_02416	Syat.g_03124
OG0000008	Syak.g_00267	Syat.g_02626
OG0000008	Syak.g_00692	Syat.g_02627
OG0000009	Syak.g_02194	Syat.g_01567
OG0000010	Syak.g_01119	Syat.g_01372
OG0000013	Syak.g_01275	Syat.g_01027
OG0000014	Syak.g_01505	Syat.g_02104
OG0000014	Syak.g_01582	Syat.g_02250
OG0000015	Syak.g_00107	Syat.g_00775, Syat.g_01677
OG0000016	Syak.g_01780	Syat.g_02329
OG0000016	Syak.g_00818	Syat.g_00909
OG0000018	Syak.g_01072	Syat.g_01334
OG0000019	Syak.g_01413	Syat.g_01876
OG0000021	Syak.g_00566	Syat.g_00964
OG0000022	Syak.g_00088	Syat.g_00210
OG0000025	Syak.g_00610	Syat.g_00719
OG0000026	Syak.g_01757	Syat.g_02306
OG0000027	Syak.g_00127	Syat.g_00850
OG0000028	Syak.g_01522	Syat.g_02126
OG0000030	Syak.g_01684	Syat.g_00307
OG0000030	Syak.g_01685	Syat.g_00308
OG0000031	Syak.g_01630	Syat.g_02131
OG0000032	Syak.g_01092	Syat.g_01354
OG0000032	Syak.g_01707	Syat.g_02237
OG0000033	Syak.g_02101	Syat.g_02858
OG0000034	Syak.g_00950, Syak.g_02133	Syat.g_01165, Syat.g_02902
OG0000035	Syak.g_01040	Syat.g_01227, Syat.g_01226
OG0000037	Syak.g_02188	Syat.g_01575, Syat.g_00849, Syat.g_00187
OG0000038	Syak.g_01938	Syat.g_02688
OG0000038	Syak.g_01936	Syat.g_02686
OG0000039	Syak.g_00772, Syak.g_01918	Syat.g_01278
OG0000040	Syak.g_01852	Syat.g_02551
OG0000041	Syak.g_00752	Syat.g_00785
OG0000042	Syak.g_00843, Syak.g_01681	Syat.g_00223, Syat.g_02222
OG0000045	Syak.g_00317	Syat.g_00935
OG0000046	Syak.g_01276	Syat.g_01626, Syat.g_01026
OG0000048	Syak.g_01446	Syat.g_02046
OG0000052	Syak.g_01549	Syat.g_02140
OG0000053	Syak.g_01068	Syat.g_01330
OG0000054	Syak.g_02744, Syak.g_02321	Syat.g_00987, Syat.g_03390
OG0000055	Syak.g_00766	Syat.g_00693
OG0000057	Syak.g_01676	Syat.g_02055
OG0000058	Syak.g_01530	Syat.g_02133, Syat.g_02238
OG0000059	Syak.g_01355	Syat.g_01832
OG0000060	Syak.g_02572	Syat.g_01384
OG0000060	Syak.g_00844	Syat.g_01047
OG0000061	Syak.g_00898	Syat.g_03260
OG0000062	Syak.g_02434	Syat.g_03107
OG0000063	Syak.g_01752	Syat.g_02303
OG0000064	Syak.g_00254	Syat.g_01568
OG0000065	Syak.g_02192	Syat.g_01571
OG0000066	Syak.g_02653	Syat.g_03283
OG0000068	Syak.g_02565	Syat.g_00085, Syat.g_01295
OG0000070	Syak.g_01174	Syat.g_01032, Syat.g_01040
OG0000071	Syak.g_02322	Syat.g_01153
OG0000072	Syak.g_02099	Syat.g_02856
OG0000073	Syak.g_02597	Syat.g_03201
OG0000075	Syak.g_01564	Syat.g_02497, Syat.g_01713, Syat.g_02154
OG0000076	Syak.g_01650	Syat.g_02206
OG0000077	Syak.g_02243	Syat.g_01481
OG0000078	Syak.g_02310	Syat.g_00184
OG0000079	Syak.g_01417	Syat.g_01879
OG0000080	Syak.g_01612	Syat.g_01200
OG0000081	Syak.g_00115	Syat.g_00980
OG0000082	Syak.g_02711	Syat.g_00035
OG0000085	Syak.g_02427	Syat.g_03113
OG0000086	Syak.g_02219	Syat.g_01531, Syat.g_00798, Syat.g_00635
OG0000087	Syak.g_02141	Syat.g_02912
OG0000088	Syak.g_02106	Syat.g_02862
OG0000089	Syak.g_01215	Syat.g_02953
OG0000090	Syak.g_02640	Syat.g_03270
OG0000091	Syak.g_00043	Syat.g_00939, Syat.g_00862
OG0000092	Syak.g_01126	Syat.g_00825
OG0000094	Syak.g_00656	Syat.g_00698
OG0000095	Syak.g_00736	Syat.g_00808
OG0000098	Syak.g_00345, Syak.g_02651	Syat.g_03281
OG0000099	Syak.g_01527	Syat.g_02130
OG0000100	Syak.g_00622	Syat.g_00517
OG0000102	Syak.g_01661	Syat.g_00974
OG0000104	Syak.g_01799	Syat.g_02385
OG0000105	Syak.g_01451	Syat.g_02052
OG0000106	Syak.g_00096	Syat.g_00957
OG0000107	Syak.g_01392	Syat.g_01862
OG0000108	Syak.g_02574	Syat.g_03170
OG0000109	Syak.g_02590	Syat.g_03187
OG0000110	Syak.g_02698	Syat.g_00049
OG0000111	Syak.g_00725	Syat.g_00816
OG0000112	Syak.g_00512	Syat.g_00593
OG0000113	Syak.g_00461	Syat.g_00509
OG0000114	Syak.g_00065	Syat.g_00426
OG0000115	Syak.g_01066	Syat.g_01328
OG0000116	Syak.g_00911	Syat.g_02641
OG0000117	Syak.g_00846	Syat.g_00224
OG0000118	Syak.g_00954	Syat.g_01168
OG0000119	Syak.g_00917	Syat.g_00309
OG0000120	Syak.g_01526	Syat.g_02132
OG0000121	Syak.g_01044	Syat.g_01223
OG0000123	Syak.g_01299	Syat.g_01653
OG0000124	Syak.g_01692	Syat.g_02231
OG0000125	Syak.g_01934	Syat.g_02684
OG0000126	Syak.g_01801	Syat.g_00976
OG0000127	Syak.g_02269, Syak.g_02544	Syat.g_00175
OG0000128	Syak.g_01782	Syat.g_02331
OG0000129	Syak.g_01947	Syat.g_02693, Syat.g_02694
OG0000130	Syak.g_02255	Syat.g_01469
OG0000131	Syak.g_02128	Syat.g_02898
OG0000132	Syak.g_02108	Syat.g_02864
OG0000133	Syak.g_00507	Syat.g_00588
OG0000134	Syak.g_01212	Syat.g_02956
OG0000135	Syak.g_01897	Syat.g_02501
OG0000136	Syak.g_01186	Syat.g_01292
OG0000137	Syak.g_01118	Syat.g_01371
OG0000138	Syak.g_01062, Syak.g_02591	Syat.g_03188
OG0000139	Syak.g_02646	Syat.g_03276
OG0000140	Syak.g_02650	Syat.g_03280
OG0000141	Syak.g_02746	Syat.g_03398
OG0000142	Syak.g_00035	Syat.g_00117
OG0000143	Syak.g_00039	Syat.g_00130
OG0000144	Syak.g_00260	Syat.g_00369
OG0000145	Syak.g_02598	Syat.g_03202
OG0000146	Syak.g_00514	Syat.g_00594
