Orthogroup	Syak	Syas
OG0000001	Syak.g_02138	Syas.g_00966, Syas.g_00967, Syas.g_00093, Syas.g_02373
OG0000004	Syak.g_01219, Syak.g_00720	Syas.g_00176
OG0000004	Syak.g_00003	Syas.g_00174, Syas.g_00311
OG0000004	Syak.g_02297	Syas.g_00072
OG0000005	Syak.g_02401	Syas.g_02665
OG0000005	Syak.g_02436	Syas.g_02704
OG0000006	Syak.g_00059, Syak.g_00061, Syak.g_01394, Syak.g_02315, Syak.g_02317	Syas.g_01684, Syas.g_02565
OG0000007	Syak.g_02595	Syas.g_01232
OG0000007	Syak.g_02416	Syas.g_02681
OG0000008	Syak.g_00267	Syas.g_00886
OG0000008	Syak.g_00692	Syas.g_00887
OG0000009	Syak.g_02194	Syas.g_01450
OG0000010	Syak.g_01119	Syas.g_01334
OG0000014	Syak.g_01505	Syas.g_01816
OG0000015	Syak.g_01813	Syas.g_02007
OG0000015	Syak.g_00107	Syas.g_00968
OG0000016	Syak.g_01780	Syas.g_02048
OG0000016	Syak.g_00818	Syas.g_01086
OG0000017	Syak.g_02738	Syas.g_00856
OG0000018	Syak.g_01072	Syas.g_01290
OG0000019	Syak.g_01413	Syas.g_01696
OG0000022	Syak.g_00088	Syas.g_02758
OG0000025	Syak.g_00610	Syas.g_00231
OG0000026	Syak.g_01757	Syas.g_02070
OG0000027	Syak.g_00127	Syas.g_01480
OG0000028	Syak.g_01522	Syas.g_01793
OG0000030	Syak.g_01684	Syas.g_01644
OG0000030	Syak.g_01685	Syas.g_01645
OG0000031	Syak.g_01630	Syas.g_01827
OG0000033	Syak.g_02101	Syas.g_02328
OG0000034	Syak.g_00950, Syak.g_02133	Syas.g_02371, Syas.g_02838
OG0000035	Syak.g_01040	Syas.g_02814, Syas.g_02818
OG0000037	Syak.g_02188	Syas.g_01479, Syas.g_00147, Syas.g_01928
OG0000038	Syak.g_01938	Syas.g_01885
OG0000038	Syak.g_01936	Syas.g_01887
OG0000040	Syak.g_01852	Syas.g_01972
OG0000041	Syak.g_00752	Syas.g_00996
OG0000042	Syak.g_00843, Syak.g_01681	Syas.g_01121, Syas.g_02147
OG0000046	Syak.g_01276	Syas.g_01553, Syas.g_01556, Syas.g_01558
OG0000048	Syak.g_01446	Syas.g_01734
OG0000053	Syak.g_01068	Syas.g_01287
OG0000054	Syak.g_02744, Syak.g_02321	Syas.g_00961, Syas.g_00957
OG0000055	Syak.g_00766	Syas.g_00203
OG0000057	Syak.g_01676	Syas.g_01055
OG0000059	Syak.g_01355	Syas.g_01639
OG0000060	Syak.g_00844	Syas.g_00975
OG0000061	Syak.g_00898	Syas.g_01184
OG0000062	Syak.g_02434	Syas.g_02702
OG0000063	Syak.g_01752	Syas.g_02074
OG0000064	Syak.g_00254	Syas.g_02423
OG0000064	Syak.g_00164	Syas.g_00946
OG0000065	Syak.g_02192	Syas.g_02420
OG0000066	Syak.g_02653	Syas.g_00094
OG0000068	Syak.g_02565	Syas.g_00969, Syas.g_01261
OG0000070	Syak.g_01174	Syas.g_00173
OG0000071	Syak.g_02322	Syas.g_02854
OG0000072	Syak.g_02099	Syas.g_02326
OG0000073	Syak.g_02597	Syas.g_01230
OG0000075	Syak.g_01564	Syas.g_01921, Syas.g_02194
OG0000076	Syak.g_01650	Syas.g_02156
OG0000077	Syak.g_02243	Syas.g_02510
OG0000078	Syak.g_02310	Syas.g_02561
OG0000079	Syak.g_01417	Syas.g_01699
OG0000080	Syak.g_01612	Syas.g_02616
OG0000081	Syak.g_00115	Syas.g_00391
OG0000082	Syak.g_02711	Syas.g_00837
OG0000085	Syak.g_02427	Syas.g_02695
OG0000086	Syak.g_02219	Syas.g_02470
OG0000087	Syak.g_02141	Syas.g_02374
OG0000089	Syak.g_01215	Syas.g_01512
OG0000090	Syak.g_02640	Syas.g_00062
OG0000091	Syak.g_00043	Syas.g_00907, Syas.g_00146
OG0000092	Syak.g_01126	Syas.g_00900, Syas.g_00877
OG0000094	Syak.g_00656	Syas.g_00208
OG0000095	Syak.g_00736	Syas.g_01021
OG0000098	Syak.g_00345, Syak.g_02651	Syas.g_00091
OG0000099	Syak.g_01527	Syas.g_01826
OG0000100	Syak.g_00622	Syas.g_00567
OG0000102	Syak.g_01661	Syas.g_02152, Syas.g_01395
OG0000104	Syak.g_01799	Syas.g_02027, Syas.g_02026
OG0000105	Syak.g_01451	Syas.g_01739
OG0000106	Syak.g_00096	Syas.g_01451
OG0000107	Syak.g_01392	Syas.g_01669
OG0000108	Syak.g_02574	Syas.g_01253
OG0000109	Syak.g_02590	Syas.g_01236
OG0000110	Syak.g_02698	Syas.g_00359, Syas.g_00818
OG0000111	Syak.g_00725	Syas.g_01037
OG0000112	Syak.g_00512	Syas.g_00452
OG0000113	Syak.g_00461	Syas.g_00571
OG0000114	Syak.g_00065	Syas.g_00252
OG0000115	Syak.g_01066	Syas.g_02548, Syas.g_01285
OG0000116	Syak.g_00911	Syas.g_01198, Syas.g_00317
OG0000117	Syak.g_00846	Syas.g_01122
OG0000118	Syak.g_00954	Syas.g_02835
OG0000120	Syak.g_01526	Syas.g_01828
OG0000121	Syak.g_01044	Syas.g_02821
OG0000122	Syak.g_00081	Syas.g_00393
OG0000123	Syak.g_01299	Syas.g_01582
OG0000124	Syak.g_01692	Syas.g_02137
OG0000125	Syak.g_01934	Syas.g_01889
OG0000126	Syak.g_01801	Syas.g_01992
OG0000127	Syak.g_02269	Syas.g_02540
OG0000128	Syak.g_01782	Syas.g_02046
OG0000129	Syak.g_01947	Syas.g_01880
OG0000130	Syak.g_02255	Syas.g_02522
OG0000131	Syak.g_02128	Syas.g_02367
OG0000132	Syak.g_02108	Syas.g_02334
OG0000133	Syak.g_00507	Syas.g_00457
OG0000134	Syak.g_01212	Syas.g_01509
OG0000135	Syak.g_01897	Syas.g_01938
OG0000136	Syak.g_01186	Syas.g_02740
OG0000137	Syak.g_01118	Syas.g_01333
OG0000138	Syak.g_01062, Syak.g_02591	Syas.g_01235
