Orthogroup	Syak	Prau
OG0000001	Syak.g_00342, Syak.g_02139, Syak.g_02138, Syak.g_00275, Syak.g_00579	Prau.g_01394
OG0000004	Syak.g_01219, Syak.g_00720	Prau.g_00735
OG0000004	Syak.g_00003, Syak.g_02297	Prau.g_00233
OG0000005	Syak.g_02401	Prau.g_01745
OG0000005	Syak.g_00885, Syak.g_02436	Prau.g_01607
OG0000006	Syak.g_00057, Syak.g_00059, Syak.g_00061, Syak.g_01394, Syak.g_02315, Syak.g_02317	Prau.g_01316
OG0000007	Syak.g_02595	Prau.g_00538
OG0000007	Syak.g_02416	Prau.g_01732
OG0000008	Syak.g_00267	Prau.g_00781
OG0000009	Syak.g_02194	Prau.g_00106
OG0000010	Syak.g_01119	Prau.g_01698, Prau.g_01096
OG0000011	Syak.g_00960	Prau.g_01307, Prau.g_01335
OG0000012	Syak.g_00010	Prau.g_00663
OG0000013	Syak.g_01270, Syak.g_01275	Prau.g_00329
OG0000014	Syak.g_01505	Prau.g_00308
OG0000014	Syak.g_01582	Prau.g_01470
OG0000015	Syak.g_01813, Syak.g_00107, Syak.g_00358	Prau.g_00817
OG0000016	Syak.g_01780	Prau.g_00013
OG0000017	Syak.g_02730, Syak.g_02738	Prau.g_00636
OG0000018	Syak.g_01072	Prau.g_01188
OG0000019	Syak.g_01413	Prau.g_00251, Prau.g_00834
OG0000021	Syak.g_00566	Prau.g_01680, Prau.g_00367
OG0000022	Syak.g_00088	Prau.g_01170
OG0000023	Syak.g_00316, Syak.g_00223	Prau.g_00362
OG0000025	Syak.g_00610	Prau.g_00333, Prau.g_00888
OG0000026	Syak.g_01757	Prau.g_00030, Prau.g_01103
OG0000027	Syak.g_00127	Prau.g_01353
OG0000028	Syak.g_01522	Prau.g_01338, Prau.g_00322
OG0000029	Syak.g_00169, Syak.g_00178	Prau.g_00804, Prau.g_00378
OG0000030	Syak.g_01684, Syak.g_01685	Prau.g_01935
OG0000032	Syak.g_01707	Prau.g_01475, Prau.g_01446
OG0000033	Syak.g_02101	Prau.g_01465, Prau.g_00170
OG0000034	Syak.g_00950, Syak.g_02133	Prau.g_01381
OG0000035	Syak.g_01041, Syak.g_01040	Prau.g_01531, Prau.g_01528
OG0000037	Syak.g_02188	Prau.g_00110
OG0000038	Syak.g_01938, Syak.g_01936	Prau.g_01976
OG0000039	Syak.g_00772, Syak.g_01918	Prau.g_00726
OG0000040	Syak.g_01852	Prau.g_01187
OG0000041	Syak.g_02354, Syak.g_00752	Prau.g_01778
OG0000042	Syak.g_00843, Syak.g_01681	Prau.g_01932
OG0000043	Syak.g_00335	Prau.g_01321, Prau.g_00926
OG0000045	Syak.g_00228	Prau.g_00374
OG0000045	Syak.g_00317	Prau.g_01682
OG0000047	Syak.g_01147	Prau.g_00332, Prau.g_00414
OG0000048	Syak.g_01446	Prau.g_00377
OG0000053	Syak.g_01068	Prau.g_00040, Prau.g_01551
OG0000054	Syak.g_02744, Syak.g_02321	Prau.g_00644
OG0000055	Syak.g_00766	Prau.g_00835
OG0000057	Syak.g_00724, Syak.g_01676	Prau.g_00738
OG0000059	Syak.g_01355	Prau.g_01818
OG0000061	Syak.g_00898	Prau.g_01206
OG0000062	Syak.g_02434	Prau.g_01609
OG0000063	Syak.g_01752	Prau.g_00032, Prau.g_01295
OG0000065	Syak.g_02192, Syak.g_00282	Prau.g_00108
OG0000066	Syak.g_02653	Prau.g_00579
OG0000067	Syak.g_00434	Prau.g_00854
OG0000068	Syak.g_02565	Prau.g_01409
OG0000070	Syak.g_01174	Prau.g_00491
OG0000071	Syak.g_02322, Syak.g_00936	Prau.g_01371
OG0000072	Syak.g_02099	Prau.g_00172
OG0000073	Syak.g_02597	Prau.g_00540
OG0000075	Syak.g_01564	Prau.g_01901
OG0000076	Syak.g_01650	Prau.g_00037, Prau.g_01925
OG0000077	Syak.g_02243	Prau.g_00079
OG0000078	Syak.g_02310	Prau.g_00240
OG0000079	Syak.g_01417	Prau.g_00254
OG0000080	Syak.g_01585, Syak.g_01583	Prau.g_01440
OG0000081	Syak.g_00115	Prau.g_00571
OG0000082	Syak.g_02711	Prau.g_00624
OG0000084	Syak.g_01036	Prau.g_01524
OG0000085	Syak.g_02427	Prau.g_01725
OG0000086	Syak.g_02219	Prau.g_00089
OG0000087	Syak.g_02141	Prau.g_00140
OG0000088	Syak.g_02106	Prau.g_00167
OG0000089	Syak.g_01215	Prau.g_00358
OG0000090	Syak.g_02640	Prau.g_00573
OG0000091	Syak.g_00043	Prau.g_00682
OG0000092	Syak.g_01126	Prau.g_00052, Prau.g_00451
OG0000093	Syak.g_00416	Prau.g_00983
OG0000094	Syak.g_00656	Prau.g_01070
OG0000095	Syak.g_00736	Prau.g_01089
OG0000097	Syak.g_00816	Prau.g_01247
OG0000098	Syak.g_00345, Syak.g_02651	Prau.g_01391
OG0000099	Syak.g_01527	Prau.g_01435
OG0000100	Syak.g_00622	Prau.g_01605
OG0000101	Syak.g_01305	Prau.g_01869
OG0000102	Syak.g_01661	Prau.g_01930
OG0000103	Syak.g_01812	Prau.g_02009
OG0000104	Syak.g_01799	Prau.g_02018
OG0000105	Syak.g_01451	Prau.g_00276
OG0000106	Syak.g_00096	Prau.g_00373
OG0000107	Syak.g_01392	Prau.g_00389
OG0000108	Syak.g_02574	Prau.g_00521
OG0000109	Syak.g_01061, Syak.g_02590	Prau.g_00535
OG0000110	Syak.g_02698	Prau.g_00614
OG0000111	Syak.g_00725	Prau.g_00739
OG0000112	Syak.g_00512	Prau.g_00818
OG0000113	Syak.g_00461	Prau.g_00876
OG0000114	Syak.g_00373, Syak.g_00065	Prau.g_00956
OG0000115	Syak.g_01066	Prau.g_01148
OG0000116	Syak.g_00911	Prau.g_01197
OG0000117	Syak.g_00846	Prau.g_01318
OG0000118	Syak.g_00954	Prau.g_01383
OG0000119	Syak.g_00917	Prau.g_01405
OG0000120	Syak.g_01526	Prau.g_01430
OG0000121	Syak.g_01044	Prau.g_01533
OG0000122	Syak.g_00081	Prau.g_01571
OG0000123	Syak.g_01299	Prau.g_01876
OG0000124	Syak.g_01692	Prau.g_01941
OG0000125	Syak.g_01934	Prau.g_01978
OG0000126	Syak.g_01801	Prau.g_02017
OG0000127	Syak.g_02269, Syak.g_02544	Prau.g_01292
OG0000128	Syak.g_01782	Prau.g_00011
OG0000129	Syak.g_01947	Prau.g_00051
OG0000130	Syak.g_02255	Prau.g_00071
OG0000131	Syak.g_02128	Prau.g_00146
OG0000132	Syak.g_02108	Prau.g_00165
OG0000133	Syak.g_00507	Prau.g_00324
OG0000134	Syak.g_01212	Prau.g_00359
OG0000135	Syak.g_01897	Prau.g_00386
OG0000136	Syak.g_01186	Prau.g_00482
OG0000137	Syak.g_01118	Prau.g_00516
OG0000138	Syak.g_01062, Syak.g_02591	Prau.g_00536
OG0000139	Syak.g_02646	Prau.g_00577
OG0000140	Syak.g_02650	Prau.g_00578
OG0000141	Syak.g_02746	Prau.g_00645
OG0000142	Syak.g_00035	Prau.g_00675
OG0000143	Syak.g_00039	Prau.g_00679
OG0000144	Syak.g_00260	Prau.g_00692
OG0000145	Syak.g_02598	Prau.g_00816
