Orthogroup	Syak	Syar
OG0000001	Syak.g_02139	Syar.g_00069
OG0000001	Syak.g_02138	Syar.g_00070
OG0000004	Syak.g_01219, Syak.g_00720	Syar.g_02051
OG0000004	Syak.g_00003	Syar.g_02225
OG0000004	Syak.g_02297	Syar.g_00842
OG0000005	Syak.g_02401	Syar.g_02952
OG0000005	Syak.g_02436	Syar.g_02909
OG0000006	Syak.g_00057	Syar.g_02439
OG0000006	Syak.g_00059, Syak.g_00061, Syak.g_01394, Syak.g_02315, Syak.g_02317	Syar.g_00151, Syar.g_02056, Syar.g_03013
OG0000007	Syak.g_02595	Syar.g_01491
OG0000007	Syak.g_02416	Syar.g_02929
OG0000008	Syak.g_00267	Syar.g_02097
OG0000008	Syak.g_00692	Syar.g_02098
OG0000009	Syak.g_02194	Syar.g_03116
OG0000010	Syak.g_01119	Syar.g_01272
OG0000013	Syak.g_01275	Syar.g_02032, Syar.g_01103, Syar.g_01106
OG0000014	Syak.g_01505	Syar.g_00825
OG0000014	Syak.g_01582	Syar.g_02736
OG0000015	Syak.g_01813	Syar.g_00451
OG0000015	Syak.g_00107	Syar.g_00180
OG0000016	Syak.g_01780, Syak.g_00818	Syar.g_02859
OG0000017	Syak.g_02730	Syar.g_03181
OG0000017	Syak.g_02738	Syar.g_02180
OG0000018	Syak.g_01072	Syar.g_01409
OG0000019	Syak.g_01413	Syar.g_00163
OG0000022	Syak.g_00088	Syar.g_00835
OG0000025	Syak.g_00610	Syar.g_01811
OG0000026	Syak.g_01757	Syar.g_00505
OG0000027	Syak.g_00127	Syar.g_02055
OG0000028	Syak.g_01522	Syar.g_00718
OG0000031	Syak.g_01630	Syar.g_00714
OG0000032	Syak.g_01092	Syar.g_01390
OG0000032	Syak.g_01707	Syar.g_00543
OG0000033	Syak.g_02101	Syar.g_00105
OG0000034	Syak.g_00950, Syak.g_02133	Syar.g_00074, Syar.g_02790
OG0000035	Syak.g_01040	Syar.g_02809
OG0000037	Syak.g_02188	Syar.g_02154, Syar.g_02562, Syar.g_01310, Syar.g_02856
OG0000038	Syak.g_01938	Syar.g_00334
OG0000038	Syak.g_01936	Syar.g_00336
OG0000039	Syak.g_00772	Syar.g_00007
OG0000039	Syak.g_01918	Syar.g_02151
OG0000040	Syak.g_01852	Syar.g_00858
OG0000041	Syak.g_00752	Syar.g_01370, Syar.g_02014
OG0000042	Syak.g_00843, Syak.g_01681	Syar.g_00595, Syar.g_01970
OG0000045	Syak.g_00317	Syar.g_02592
OG0000046	Syak.g_01276	Syar.g_01102, Syar.g_01105
OG0000048	Syak.g_01446	Syar.g_00213
OG0000052	Syak.g_01549	Syar.g_02742, Syar.g_02751, Syar.g_00281
OG0000053	Syak.g_01068	Syar.g_01413
OG0000054	Syak.g_02744, Syak.g_02321	Syar.g_02265
OG0000055	Syak.g_00766	Syar.g_01386
OG0000057	Syak.g_01676	Syar.g_01941
OG0000058	Syak.g_01530	Syar.g_00648
OG0000059	Syak.g_01355	Syar.g_01024
OG0000060	Syak.g_01138, Syak.g_02572	Syar.g_01260
OG0000061	Syak.g_00898	Syar.g_01539
OG0000062	Syak.g_02434	Syar.g_02911
OG0000063	Syak.g_01752	Syar.g_00509
OG0000064	Syak.g_00254	Syar.g_03117
OG0000064	Syak.g_00164	Syar.g_00860
OG0000065	Syak.g_02192	Syar.g_03119
OG0000066	Syak.g_02653	Syar.g_02228
OG0000068	Syak.g_02565	Syar.g_02329, Syar.g_01461
OG0000070	Syak.g_01174	Syar.g_02223
OG0000071	Syak.g_02322	Syar.g_02777
OG0000072	Syak.g_02099	Syar.g_00107
OG0000073	Syak.g_02597	Syar.g_01493
OG0000075	Syak.g_01564	Syar.g_03065, Syar.g_00659
OG0000076	Syak.g_01650	Syar.g_00608
OG0000077	Syak.g_02243	Syar.g_03051
OG0000078	Syak.g_02310	Syar.g_03265, Syar.g_03018
OG0000079	Syak.g_01417	Syar.g_00166
OG0000080	Syak.g_01612	Syar.g_00585
OG0000081	Syak.g_00115	Syar.g_01898
OG0000082	Syak.g_02711	Syar.g_02202
OG0000085	Syak.g_02427	Syar.g_02919
OG0000086	Syak.g_02219	Syar.g_03085
OG0000087	Syak.g_02141	Syar.g_03192, Syar.g_00068
OG0000088	Syak.g_02106	Syar.g_00101
OG0000089	Syak.g_01215	Syar.g_01162
OG0000090	Syak.g_02640	Syar.g_03271, Syar.g_02363, Syar.g_02353, Syar.g_02356
OG0000091	Syak.g_00043	Syar.g_01891, Syar.g_02426
OG0000092	Syak.g_01126	Syar.g_01960
OG0000093	Syak.g_00416	Syar.g_02623
OG0000094	Syak.g_00656	Syar.g_01789
OG0000095	Syak.g_00736	Syar.g_01932
OG0000097	Syak.g_00816	Syar.g_01706
OG0000098	Syak.g_02651	Syar.g_02343
OG0000099	Syak.g_01527	Syar.g_00715
OG0000100	Syak.g_00622	Syar.g_02477
OG0000101	Syak.g_01305	Syar.g_03154
OG0000102	Syak.g_01661	Syar.g_00602, Syar.g_02164, Syar.g_01644, Syar.g_02138
OG0000103	Syak.g_01812	Syar.g_00014
OG0000104	Syak.g_01799	Syar.g_00466
OG0000105	Syak.g_01451	Syar.g_00218
OG0000106	Syak.g_00096	Syar.g_01748
OG0000107	Syak.g_01392	Syar.g_00149
OG0000108	Syak.g_02574	Syar.g_01469
OG0000109	Syak.g_02590	Syar.g_03310, Syar.g_01485
OG0000110	Syak.g_02698	Syar.g_02295
OG0000111	Syak.g_00725	Syar.g_01940, Syar.g_00005
