Orthogroup	Syak	Prba
OG0000001	Syak.g_00342, Syak.g_02139, Syak.g_02138, Syak.g_00275, Syak.g_00579	Prba.g_00211
OG0000004	Syak.g_01219, Syak.g_00720	Prba.g_01622
OG0000004	Syak.g_00003, Syak.g_02297	Prba.g_00451
OG0000005	Syak.g_02401	Prba.g_00607
OG0000005	Syak.g_00885, Syak.g_02436	Prba.g_00312
OG0000006	Syak.g_00057, Syak.g_00059, Syak.g_00061, Syak.g_01394, Syak.g_02315, Syak.g_02317	Prba.g_00460
OG0000007	Syak.g_02595	Prba.g_00964
OG0000007	Syak.g_02416	Prba.g_00226
OG0000008	Syak.g_00267	Prba.g_01131
OG0000009	Syak.g_02194	Prba.g_01893
OG0000010	Syak.g_01119	Prba.g_01256
OG0000011	Syak.g_00960	Prba.g_01132
OG0000012	Syak.g_00010	Prba.g_01694
OG0000013	Syak.g_01270, Syak.g_01275	Prba.g_00543
OG0000014	Syak.g_01505	Prba.g_00522
OG0000014	Syak.g_01582	Prba.g_00159
OG0000015	Syak.g_01813, Syak.g_00107, Syak.g_00358	Prba.g_01538
OG0000016	Syak.g_01780	Prba.g_01806
OG0000017	Syak.g_02730, Syak.g_02738	Prba.g_01719
OG0000018	Syak.g_01072	Prba.g_00083
OG0000019	Syak.g_01413	Prba.g_00468, Prba.g_01519
OG0000021	Syak.g_00566	Prba.g_00245, Prba.g_00858
OG0000022	Syak.g_00088	Prba.g_00101
OG0000023	Syak.g_00316, Syak.g_00223	Prba.g_00854
OG0000025	Syak.g_00610	Prba.g_00547, Prba.g_01464
OG0000026	Syak.g_01757	Prba.g_01824, Prba.g_01249
OG0000027	Syak.g_00127	Prba.g_00991, Prba.g_01175
OG0000028	Syak.g_01522	Prba.g_01126, Prba.g_00536
OG0000029	Syak.g_00169, Syak.g_00178	Prba.g_01551, Prba.g_00869
OG0000030	Syak.g_01684, Syak.g_01685	Prba.g_00778
OG0000031	Syak.g_01630	Prba.g_00173
OG0000033	Syak.g_02101	Prba.g_00625
OG0000034	Syak.g_00950, Syak.g_02133	Prba.g_01202
OG0000035	Syak.g_01041, Syak.g_01040	Prba.g_00713
OG0000037	Syak.g_02188	Prba.g_01897
OG0000038	Syak.g_01938, Syak.g_01936	Prba.g_00819
OG0000039	Syak.g_00772, Syak.g_01918	Prba.g_01631
OG0000040	Syak.g_01852	Prba.g_00084
OG0000042	Syak.g_00843, Syak.g_01681	Prba.g_00775
OG0000043	Syak.g_00335	Prba.g_01138, Prba.g_01427
OG0000044	Syak.g_00767, Syak.g_00153	Prba.g_00002
OG0000045	Syak.g_00228	Prba.g_00865
OG0000047	Syak.g_01147	Prba.g_00546, Prba.g_00913
OG0000048	Syak.g_01446	Prba.g_00868
OG0000050	Syak.g_00106	Prba.g_00899
OG0000053	Syak.g_01068	Prba.g_00693
OG0000054	Syak.g_02744, Syak.g_02321	Prba.g_01711
OG0000055	Syak.g_00766	Prba.g_01518
OG0000057	Syak.g_00724, Syak.g_01676	Prba.g_01619
OG0000058	Syak.g_01530	Prba.g_00153
OG0000059	Syak.g_01355	Prba.g_00381
OG0000061	Syak.g_00898	Prba.g_00064
OG0000062	Syak.g_02434	Prba.g_00310
OG0000063	Syak.g_01752	Prba.g_01826
OG0000065	Syak.g_02192, Syak.g_00282	Prba.g_01895
OG0000066	Syak.g_02653	Prba.g_00922
OG0000067	Syak.g_00434	Prba.g_01499
OG0000068	Syak.g_02565	Prba.g_00196
OG0000070	Syak.g_01174	Prba.g_01011
OG0000071	Syak.g_02322, Syak.g_00936	Prba.g_01192
OG0000072	Syak.g_02099	Prba.g_00627
OG0000073	Syak.g_02597	Prba.g_00962
OG0000075	Syak.g_01564	Prba.g_01071
OG0000076	Syak.g_01650	Prba.g_00768
OG0000077	Syak.g_02243	Prba.g_01866
OG0000078	Syak.g_02310	Prba.g_00458
OG0000079	Syak.g_01417	Prba.g_00471
OG0000081	Syak.g_00115	Prba.g_00930
OG0000082	Syak.g_02711	Prba.g_01731
OG0000084	Syak.g_01036	Prba.g_00717
OG0000085	Syak.g_02427	Prba.g_00233
OG0000086	Syak.g_02219	Prba.g_01876
OG0000087	Syak.g_02141	Prba.g_01927
OG0000088	Syak.g_02106	Prba.g_00622
OG0000089	Syak.g_01215	Prba.g_00850
OG0000090	Syak.g_02640	Prba.g_00928
OG0000091	Syak.g_00043	Prba.g_01675
OG0000092	Syak.g_01126	Prba.g_01057
OG0000093	Syak.g_00416	Prba.g_01369
OG0000094	Syak.g_00656	Prba.g_01283
OG0000095	Syak.g_00736	Prba.g_01264
OG0000097	Syak.g_00816	Prba.g_00022
OG0000098	Syak.g_00345, Syak.g_02651	Prba.g_00214
OG0000099	Syak.g_01527	Prba.g_00155
OG0000100	Syak.g_00622	Prba.g_00314
OG0000101	Syak.g_01305	Prba.g_00429
OG0000102	Syak.g_01661	Prba.g_00773
OG0000103	Syak.g_01812	Prba.g_01781
OG0000104	Syak.g_01799	Prba.g_01789
OG0000105	Syak.g_01451	Prba.g_00491
OG0000106	Syak.g_00096	Prba.g_00864
OG0000107	Syak.g_01392	Prba.g_00880
OG0000108	Syak.g_02574	Prba.g_00981
OG0000109	Syak.g_01061, Syak.g_02590	Prba.g_00967
OG0000110	Syak.g_02698	Prba.g_01741
OG0000111	Syak.g_00725	Prba.g_01618
OG0000112	Syak.g_00512	Prba.g_01534
OG0000113	Syak.g_00461	Prba.g_01477
OG0000114	Syak.g_00373, Syak.g_00065	Prba.g_01395
OG0000115	Syak.g_01066	Prba.g_00743
OG0000116	Syak.g_00911	Prba.g_00074
OG0000117	Syak.g_00846	Prba.g_01135
OG0000118	Syak.g_00954	Prba.g_01204
OG0000119	Syak.g_00917	Prba.g_00200
OG0000120	Syak.g_01526	Prba.g_00175
OG0000121	Syak.g_01044	Prba.g_00711
OG0000122	Syak.g_00081	Prba.g_00348
OG0000123	Syak.g_01299	Prba.g_00436
OG0000124	Syak.g_01692	Prba.g_00784
OG0000125	Syak.g_01934	Prba.g_01089, Prba.g_00821
OG0000126	Syak.g_01801	Prba.g_01788
OG0000127	Syak.g_02269, Syak.g_02544	Prba.g_01118
OG0000128	Syak.g_01782	Prba.g_01804
OG0000129	Syak.g_01947	Prba.g_01838
OG0000130	Syak.g_02255	Prba.g_01857
OG0000131	Syak.g_02128	Prba.g_01933
OG0000132	Syak.g_02108	Prba.g_01952
OG0000133	Syak.g_00507	Prba.g_00538
OG0000134	Syak.g_01212	Prba.g_00851
OG0000135	Syak.g_01897	Prba.g_00877
OG0000136	Syak.g_01186	Prba.g_01020
OG0000137	Syak.g_01118	Prba.g_00986
OG0000138	Syak.g_01062, Syak.g_02591	Prba.g_00966
OG0000139	Syak.g_02646	Prba.g_00924
OG0000140	Syak.g_02650	Prba.g_00923
OG0000141	Syak.g_02746	Prba.g_01710
OG0000142	Syak.g_00035	Prba.g_01682
OG0000143	Syak.g_00039	Prba.g_01678
OG0000144	Syak.g_00260	Prba.g_01665
OG0000145	Syak.g_02598	Prba.g_01541
OG0000146	Syak.g_00514	Prba.g_01533
OG0000147	Syak.g_00515	Prba.g_01532
OG0000148	Syak.g_00455	Prba.g_01483
OG0000149	Syak.g_00596	Prba.g_01452
OG0000150	Syak.g_02747	Prba.g_01444
OG0000151	Syak.g_00387	Prba.g_01385
OG0000152	Syak.g_00503	Prba.g_01337
OG0000153	Syak.g_00470	Prba.g_01318
OG0000154	Syak.g_00645	Prba.g_01290
OG0000155	Syak.g_00855	Prba.g_00043
OG0000156	Syak.g_00919	Prba.g_01181
OG0000157	Syak.g_00920	Prba.g_01182
OG0000158	Syak.g_01624	Prba.g_00154
OG0000160	Syak.g_01043	Prba.g_00712
OG0000161	Syak.g_01050	Prba.g_00706
OG0000162	Syak.g_01058	Prba.g_00700
OG0000163	Syak.g_02478	Prba.g_00341
OG0000164	Syak.g_02384	Prba.g_00596
OG0000165	Syak.g_02374	Prba.g_00589
OG0000166	Syak.g_01345	Prba.g_00393
OG0000167	Syak.g_01561	Prba.g_01069
OG0000168	Syak.g_01625	Prba.g_01079
OG0000169	Syak.g_01637	Prba.g_00761
OG0000170	Syak.g_01644	Prba.g_00763
OG0000171	Syak.g_01691	Prba.g_00783
OG0000172	Syak.g_01713	Prba.g_00792
OG0000173	Syak.g_01733	Prba.g_00807
OG0000174	Syak.g_01895	Prba.g_00835
OG0000175	Syak.g_01827	Prba.g_00845
OG0000176	Syak.g_01790	Prba.g_01797
OG0000177	Syak.g_01789	Prba.g_01798
OG0000178	Syak.g_01788	Prba.g_01799
OG0000179	Syak.g_01773	Prba.g_01809
OG0000180	Syak.g_01772	Prba.g_01810
OG0000181	Syak.g_01771	Prba.g_01811
OG0000182	Syak.g_01770	Prba.g_01812
OG0000183	Syak.g_01766	Prba.g_01816
OG0000184	Syak.g_01955	Prba.g_01840
OG0000185	Syak.g_01971	Prba.g_01843
OG0000186	Syak.g_02258	Prba.g_01852
OG0000187	Syak.g_02257	Prba.g_01853
OG0000188	Syak.g_02235	Prba.g_01870
OG0000189	Syak.g_02203	Prba.g_01884
OG0000190	Syak.g_01575	Prba.g_01885
OG0000191	Syak.g_02171	Prba.g_01905
OG0000192	Syak.g_02165	Prba.g_01909
OG0000193	Syak.g_02127	Prba.g_01934
OG0000194	Syak.g_02124	Prba.g_01937
OG0000195	Syak.g_02122	Prba.g_01939
OG0000196	Syak.g_02111	Prba.g_01949
OG0000197	Syak.g_02110	Prba.g_01950
OG0000198	Syak.g_02109	Prba.g_01951
OG0000199	Syak.g_02100	Prba.g_00626
OG0000200	Syak.g_02083	Prba.g_00640
OG0000201	Syak.g_02068	Prba.g_00648
OG0000202	Syak.g_02067	Prba.g_00649
OG0000203	Syak.g_02066	Prba.g_00650
OG0000204	Syak.g_02065	Prba.g_00651
OG0000205	Syak.g_02058	Prba.g_00658
OG0000206	Syak.g_02038	Prba.g_00663
OG0000207	Syak.g_02025	Prba.g_00665
OG0000208	Syak.g_02024	Prba.g_00666
OG0000209	Syak.g_01995	Prba.g_00675
OG0000210	Syak.g_01994	Prba.g_00439
OG0000211	Syak.g_02017, Syak.g_02300	Prba.g_00452
OG0000212	Syak.g_02311	Prba.g_00459
OG0000213	Syak.g_01425	Prba.g_00476
OG0000214	Syak.g_01442	Prba.g_00485
OG0000215	Syak.g_01474	Prba.g_00509
OG0000216	Syak.g_01478	Prba.g_00510
OG0000217	Syak.g_01482	Prba.g_00513
OG0000218	Syak.g_01484	Prba.g_00515
OG0000219	Syak.g_01485	Prba.g_00516
OG0000220	Syak.g_01486	Prba.g_00517
OG0000221	Syak.g_01498	Prba.g_00518
OG0000222	Syak.g_01512	Prba.g_00526
OG0000223	Syak.g_01531	Prba.g_00539
OG0000224	Syak.g_01532	Prba.g_00541
OG0000225	Syak.g_01230	Prba.g_00562
OG0000226	Syak.g_01226	Prba.g_00221
OG0000227	Syak.g_01224	Prba.g_00223
OG0000228	Syak.g_01216	Prba.g_00849
OG0000229	Syak.g_01191	Prba.g_01025
OG0000230	Syak.g_01189	Prba.g_01023
OG0000231	Syak.g_01176	Prba.g_01012
OG0000232	Syak.g_01156	Prba.g_01003
OG0000233	Syak.g_01145	Prba.g_00998
OG0000234	Syak.g_01116	Prba.g_00985
OG0000235	Syak.g_02573	Prba.g_00982
OG0000236	Syak.g_02589	Prba.g_00968
OG0000237	Syak.g_02607	Prba.g_00955
OG0000238	Syak.g_02612	Prba.g_00949
OG0000239	Syak.g_02628	Prba.g_00936
OG0000240	Syak.g_02629	Prba.g_00935
OG0000241	Syak.g_00027	Prba.g_00931
OG0000242	Syak.g_02638	Prba.g_00929
OG0000243	Syak.g_02658	Prba.g_01772
OG0000244	Syak.g_02665	Prba.g_01769
OG0000245	Syak.g_02667	Prba.g_01767
OG0000246	Syak.g_02671	Prba.g_01763
OG0000247	Syak.g_02681	Prba.g_01753
OG0000248	Syak.g_02684	Prba.g_01751
OG0000249	Syak.g_02686	Prba.g_01749
OG0000250	Syak.g_02694	Prba.g_01744
OG0000251	Syak.g_02722	Prba.g_01726
OG0000252	Syak.g_02725	Prba.g_01723
OG0000253	Syak.g_02727	Prba.g_01722
OG0000254	Syak.g_02752	Prba.g_01706
OG0000255	Syak.g_02772	Prba.g_01700
OG0000256	Syak.g_00020	Prba.g_01690
OG0000257	Syak.g_00026	Prba.g_01687
OG0000258	Syak.g_00044	Prba.g_01674
OG0000259	Syak.g_00334	Prba.g_01657
OG0000260	Syak.g_00338	Prba.g_01654
OG0000261	Syak.g_00348	Prba.g_01652
OG0000262	Syak.g_00353	Prba.g_01648
OG0000263	Syak.g_00828	Prba.g_01636
OG0000264	Syak.g_00698	Prba.g_01626
OG0000265	Syak.g_00211	Prba.g_01594
OG0000266	Syak.g_00778	Prba.g_01584
OG0000267	Syak.g_00555	Prba.g_01573
OG0000268	Syak.g_00554	Prba.g_01572
OG0000269	Syak.g_00429	Prba.g_01504
OG0000270	Syak.g_00432	Prba.g_01501
OG0000271	Syak.g_00440	Prba.g_01493
OG0000272	Syak.g_00441	Prba.g_01492
OG0000273	Syak.g_00616	Prba.g_01469
OG0000274	Syak.g_00615	Prba.g_01468
OG0000275	Syak.g_00611	Prba.g_01465
OG0000276	Syak.g_00604	Prba.g_01460
OG0000277	Syak.g_00603	Prba.g_01459
OG0000278	Syak.g_00600	Prba.g_01456
OG0000279	Syak.g_00592	Prba.g_01449
OG0000280	Syak.g_00582	Prba.g_01448
OG0000281	Syak.g_00339	Prba.g_01443
OG0000282	Syak.g_00375	Prba.g_01393
OG0000283	Syak.g_00541	Prba.g_01360
OG0000284	Syak.g_00536	Prba.g_01355
OG0000285	Syak.g_00523	Prba.g_01350
OG0000286	Syak.g_00504	Prba.g_01338
OG0000287	Syak.g_00477	Prba.g_01321
OG0000288	Syak.g_00644	Prba.g_01291
OG0000289	Syak.g_00659	Prba.g_01280
OG0000290	Syak.g_00738	Prba.g_01267
OG0000291	Syak.g_00734, Syak.g_00737	Prba.g_01265
OG0000292	Syak.g_01802	Prba.g_01216
OG0000293	Syak.g_00910	Prba.g_00073
OG0000294	Syak.g_00909	Prba.g_00072
