Orthogroup	Syak	Prat
OG0000001	Syak.g_00342, Syak.g_02139, Syak.g_02138, Syak.g_00275, Syak.g_00579	Prat.g_01285, Prat.g_01286
OG0000004	Syak.g_01219, Syak.g_00720	Prat.g_00772
OG0000004	Syak.g_00003, Syak.g_02297	Prat.g_00236
OG0000005	Syak.g_00885, Syak.g_02436	Prat.g_01440
OG0000006	Syak.g_00057, Syak.g_00059, Syak.g_00061, Syak.g_01394, Syak.g_02315, Syak.g_02317	Prat.g_00248
OG0000007	Syak.g_02595	Prat.g_00458
OG0000007	Syak.g_02416	Prat.g_01592
OG0000008	Syak.g_00267	Prat.g_00376
OG0000008	Syak.g_00692	Prat.g_00377
OG0000010	Syak.g_01119	Prat.g_00682, Prat.g_00662
OG0000011	Syak.g_00960	Prat.g_01532
OG0000012	Syak.g_00010	Prat.g_00586
OG0000013	Syak.g_01270, Syak.g_01275	Prat.g_00334
OG0000014	Syak.g_01505	Prat.g_00314
OG0000014	Syak.g_01582	Prat.g_01267
OG0000015	Syak.g_01813, Syak.g_00107, Syak.g_00358	Prat.g_00701
OG0000016	Syak.g_01780	Prat.g_00014
OG0000016	Syak.g_00818	Prat.g_01219
OG0000017	Syak.g_02730	Prat.g_00560
OG0000017	Syak.g_02738	Prat.g_00567
OG0000018	Syak.g_01072	Prat.g_01177
OG0000019	Syak.g_01413	Prat.g_00255, Prat.g_01180
OG0000021	Syak.g_00566	Prat.g_00854, Prat.g_00461
OG0000022	Syak.g_00088	Prat.g_01448
OG0000023	Syak.g_00316, Syak.g_00223	Prat.g_00834
OG0000025	Syak.g_00610	Prat.g_01003
OG0000026	Syak.g_01757	Prat.g_00033
OG0000027	Syak.g_00127	Prat.g_01474, Prat.g_01548
OG0000028	Syak.g_01522	Prat.g_00380, Prat.g_00327
OG0000030	Syak.g_01684, Syak.g_01685	Prat.g_01799
OG0000032	Syak.g_01092	Prat.g_01394
OG0000033	Syak.g_02101	Prat.g_00170, Prat.g_01265
OG0000034	Syak.g_00950, Syak.g_02133	Prat.g_01259
OG0000035	Syak.g_01041, Syak.g_01040	Prat.g_01353, Prat.g_01352
OG0000037	Syak.g_02188	Prat.g_00106
OG0000038	Syak.g_01938, Syak.g_01936	Prat.g_01839
OG0000039	Syak.g_00772, Syak.g_01918	Prat.g_00760
OG0000041	Syak.g_02354, Syak.g_00752	Prat.g_01640
OG0000042	Syak.g_00843, Syak.g_01681	Prat.g_01796
OG0000043	Syak.g_00335	Prat.g_01176
OG0000044	Syak.g_00767, Syak.g_00153	Prat.g_00619
OG0000045	Syak.g_00317	Prat.g_01203
OG0000046	Syak.g_01269, Syak.g_01276	Prat.g_00335
OG0000047	Syak.g_01147	Prat.g_00374
OG0000048	Syak.g_01446	Prat.g_00278
OG0000050	Syak.g_00106	Prat.g_00685
OG0000052	Syak.g_01549	Prat.g_00058
OG0000053	Syak.g_01068	Prat.g_01375
OG0000054	Syak.g_02744, Syak.g_02321	Prat.g_00569
OG0000055	Syak.g_00766	Prat.g_00852
OG0000057	Syak.g_00724, Syak.g_01676	Prat.g_00775
OG0000058	Syak.g_01530	Prat.g_01311
OG0000059	Syak.g_01355	Prat.g_01679
OG0000061	Syak.g_00898	Prat.g_01156
OG0000062	Syak.g_02434	Prat.g_01442
OG0000063	Syak.g_01752	Prat.g_01516
