Orthogroup	Syak	Syan
OG0000001	Syak.g_02138	Syan.g_02266
OG0000001	Syak.g_00579	Syan.g_01149
OG0000004	Syak.g_01219, Syak.g_00720	Syan.g_00183
OG0000004	Syak.g_00003	Syan.g_00989
OG0000005	Syak.g_02401	Syan.g_01423
OG0000005	Syak.g_02436	Syan.g_01378
OG0000006	Syak.g_00057	Syan.g_00791
OG0000006	Syak.g_00059, Syak.g_00061, Syak.g_01394, Syak.g_02315, Syak.g_02317	Syan.g_01505, Syan.g_02101, Syan.g_02441
OG0000007	Syak.g_02595	Syan.g_02743
OG0000007	Syak.g_02416	Syan.g_01400
OG0000008	Syak.g_00267	Syan.g_00640, Syan.g_02532
OG0000008	Syak.g_00692	Syan.g_00641, Syan.g_02531
OG0000009	Syak.g_02194	Syan.g_02972
OG0000010	Syak.g_01119	Syan.g_02847
OG0000014	Syak.g_01505	Syan.g_01987
OG0000015	Syak.g_01813	Syan.g_01691
OG0000015	Syak.g_00107	Syan.g_00248
OG0000016	Syak.g_01780	Syan.g_01766
OG0000016	Syak.g_00818	Syan.g_02598
OG0000017	Syak.g_02738	Syan.g_01013
OG0000018	Syak.g_01072	Syan.g_02816
OG0000019	Syak.g_01413	Syan.g_02088
OG0000021	Syak.g_00566	Syan.g_01001
OG0000022	Syak.g_00088	Syan.g_00089
OG0000023	Syak.g_00316, Syak.g_00223	Syan.g_00404
OG0000025	Syak.g_00610	Syan.g_00374
OG0000026	Syak.g_01757	Syan.g_01743
OG0000028	Syak.g_01522	Syan.g_01971
OG0000030	Syak.g_01684	Syan.g_01884
OG0000030	Syak.g_01685	Syan.g_01883
OG0000031	Syak.g_01630	Syan.g_01967
OG0000032	Syak.g_01092	Syan.g_02835
OG0000032	Syak.g_01707	Syan.g_01819
OG0000033	Syak.g_02101	Syan.g_03036
OG0000034	Syak.g_00950, Syak.g_02133	Syan.g_01227, Syan.g_03003
OG0000035	Syak.g_01040	Syan.g_01279, Syan.g_01276
OG0000037	Syak.g_02188	Syan.g_00136, Syan.g_02978, Syan.g_00917
OG0000038	Syak.g_01938	Syan.g_01569
OG0000038	Syak.g_01936	Syan.g_01571
OG0000039	Syak.g_00772, Syak.g_01918	Syan.g_00535
OG0000040	Syak.g_01852	Syan.g_01651
OG0000041	Syak.g_00752	Syan.g_00302
OG0000042	Syak.g_00843, Syak.g_01681	Syan.g_00991, Syan.g_02643, Syan.g_01888
OG0000044	Syak.g_00767	Syan.g_01065
OG0000045	Syak.g_00228	Syan.g_00151
OG0000045	Syak.g_00317	Syan.g_00086
OG0000046	Syak.g_01276	Syan.g_02157, Syan.g_02160
OG0000048	Syak.g_01446	Syan.g_02036
OG0000052	Syak.g_01549	Syan.g_01954, Syan.g_01953
OG0000053	Syak.g_01068	Syan.g_02812
OG0000054	Syak.g_02744, Syak.g_02321	Syan.g_02503, Syan.g_00231, Syan.g_00506
OG0000055	Syak.g_00766	Syan.g_00312
OG0000057	Syak.g_01676	Syan.g_00643, Syan.g_02514
OG0000058	Syak.g_01530	Syan.g_01964
OG0000059	Syak.g_01355	Syan.g_02255
OG0000060	Syak.g_01138, Syak.g_02572	Syan.g_02856
OG0000060	Syak.g_00844	Syan.g_00277
OG0000061	Syak.g_00898	Syan.g_02696
OG0000062	Syak.g_02434	Syan.g_01380
OG0000063	Syak.g_01752	Syan.g_01739
OG0000064	Syak.g_00254	Syan.g_02518
OG0000065	Syak.g_02192	Syan.g_02974
OG0000066	Syak.g_02653	Syan.g_01156
OG0000068	Syak.g_02565	Syan.g_00845, Syan.g_00257, Syan.g_02773
OG0000070	Syak.g_01174	Syan.g_00289
OG0000071	Syak.g_02322, Syak.g_00936	Syan.g_01213
OG0000072	Syak.g_02099	Syan.g_03038
OG0000073	Syak.g_02597	Syan.g_02741
OG0000075	Syak.g_01564	Syan.g_00981, Syan.g_01937
OG0000076	Syak.g_01650	Syan.g_01896
OG0000077	Syak.g_02243	Syan.g_02919, Syan.g_02579
OG0000078	Syak.g_02310	Syan.g_01509, Syan.g_01510, Syan.g_02437
OG0000079	Syak.g_01417	Syan.g_02079, Syan.g_02067, Syan.g_02085
OG0000080	Syak.g_01612	Syan.g_01083
OG0000082	Syak.g_02711	Syan.g_00952
OG0000084	Syak.g_01036	Syan.g_01283
OG0000085	Syak.g_02427	Syan.g_01387
OG0000086	Syak.g_02219	Syan.g_02946, Syan.g_02515, Syan.g_00114
OG0000087	Syak.g_02141	Syan.g_02268
OG0000088	Syak.g_02106	Syan.g_03031
OG0000089	Syak.g_01215	Syan.g_02316
OG0000090	Syak.g_02640	Syan.g_01166
OG0000091	Syak.g_00043	Syan.g_00235, Syan.g_00808
OG0000092	Syak.g_01126	Syan.g_02502
OG0000093	Syak.g_00416	Syan.g_00708
OG0000094	Syak.g_00656	Syan.g_00353
OG0000095	Syak.g_00736	Syan.g_00290
OG0000098	Syak.g_00345, Syak.g_02651	Syan.g_00043
OG0000099	Syak.g_01527	Syan.g_01968
OG0000100	Syak.g_00622	Syan.g_00658
OG0000102	Syak.g_01661	Syan.g_01891
OG0000104	Syak.g_01799	Syan.g_01792
OG0000105	Syak.g_01451	Syan.g_02031
OG0000106	Syak.g_00096	Syan.g_00076
OG0000107	Syak.g_01392	Syan.g_02106
OG0000108	Syak.g_02574	Syan.g_02764
OG0000109	Syak.g_02590	Syan.g_02748
OG0000110	Syak.g_02698	Syan.g_00171, Syan.g_00882
OG0000111	Syak.g_00725	Syan.g_00187
OG0000112	Syak.g_00512	Syan.g_00556, Syan.g_00252
OG0000113	Syak.g_00461	Syan.g_00664
OG0000115	Syak.g_01066	Syan.g_02810
OG0000116	Syak.g_00911	Syan.g_02710, Syan.g_00460
OG0000117	Syak.g_00846	Syan.g_02644
OG0000118	Syak.g_00954	Syan.g_01241, Syan.g_01237
OG0000119	Syak.g_00917	Syan.g_02672
OG0000120	Syak.g_01526	Syan.g_01966
OG0000121	Syak.g_01044	Syan.g_01273
OG0000123	Syak.g_01299	Syan.g_02190
OG0000124	Syak.g_01692	Syan.g_01873
OG0000125	Syak.g_01934	Syan.g_01573
OG0000126	Syak.g_01801	Syan.g_01705
OG0000128	Syak.g_01782	Syan.g_01768
OG0000129	Syak.g_01947	Syan.g_01563
OG0000130	Syak.g_02255	Syan.g_02906, Syan.g_02907
OG0000131	Syak.g_02128	Syan.g_03008
OG0000132	Syak.g_02108	Syan.g_03029
OG0000133	Syak.g_00507	Syan.g_00561
OG0000134	Syak.g_01212	Syan.g_02319
OG0000135	Syak.g_01897	Syan.g_01616
OG0000136	Syak.g_01186	Syan.g_01342
OG0000137	Syak.g_01118	Syan.g_02846
OG0000138	Syak.g_01062, Syak.g_02591	Syan.g_02747
OG0000139	Syak.g_02646	Syan.g_01160
OG0000140	Syak.g_02650	Syan.g_00042
OG0000141	Syak.g_02746	Syan.g_01032
OG0000142	Syak.g_00035	Syan.g_00816
OG0000143	Syak.g_00039	Syan.g_00812
OG0000144	Syak.g_00260	Syan.g_00782
OG0000145	Syak.g_02598	Syan.g_02740
OG0000146	Syak.g_00514	Syan.g_00555, Syan.g_00253
OG0000147	Syak.g_00515	Syan.g_00254, Syan.g_00554
OG0000148	Syak.g_00455	Syan.g_00670
OG0000149	Syak.g_00596	Syan.g_00393
OG0000150	Syak.g_02747	Syan.g_01031
OG0000151	Syak.g_00387	Syan.g_00731
OG0000152	Syak.g_00503	Syan.g_00565
OG0000153	Syak.g_00470	Syan.g_00601
OG0000154	Syak.g_00645	Syan.g_00363
OG0000155	Syak.g_00855	Syan.g_02654
OG0000156	Syak.g_00919	Syan.g_02717
OG0000157	Syak.g_00920	Syan.g_02718
OG0000158	Syak.g_01624	Syan.g_01078, Syan.g_01926
OG0000159	Syak.g_01580	Syan.g_01126
OG0000160	Syak.g_01043	Syan.g_01274
OG0000161	Syak.g_01050	Syan.g_01268
OG0000162	Syak.g_01058	Syan.g_01059, Syan.g_01254, Syan.g_01330
OG0000163	Syak.g_02478	Syan.g_02405
OG0000164	Syak.g_02384	Syan.g_01440
OG0000165	Syak.g_02374	Syan.g_01448
OG0000166	Syak.g_01345	Syan.g_02239
OG0000167	Syak.g_01561	Syan.g_01941
OG0000168	Syak.g_01625	Syan.g_01924, Syan.g_01121, Syan.g_01925
OG0000169	Syak.g_01637	Syan.g_01912
OG0000170	Syak.g_01644	Syan.g_01901
OG0000171	Syak.g_01691	Syan.g_01875
OG0000172	Syak.g_01713	Syan.g_01810
OG0000173	Syak.g_01733	Syan.g_01720
OG0000174	Syak.g_01895	Syan.g_01619
OG0000175	Syak.g_01827	Syan.g_01678, Syan.g_00258
OG0000176	Syak.g_01790	Syan.g_01801
OG0000177	Syak.g_01789	Syan.g_01775
OG0000178	Syak.g_01788	Syan.g_01774
OG0000179	Syak.g_01773	Syan.g_01759
OG0000180	Syak.g_01772	Syan.g_01758
OG0000181	Syak.g_01771	Syan.g_01757
OG0000182	Syak.g_01770	Syan.g_01756
OG0000183	Syak.g_01766	Syan.g_01752
OG0000184	Syak.g_01955	Syan.g_01549
