Orthogroup	Syas	Prbh
OG0000004	Syas.g_00176	Prbh.g_00933
OG0000004	Syas.g_00509, Syas.g_00174, Syas.g_00311, Syas.g_00072	Prbh.g_00548
OG0000005	Syas.g_02704	Prbh.g_00182
OG0000006	Syas.g_00942, Syas.g_01684, Syas.g_02565, Syas.g_00720	Prbh.g_00538
OG0000007	Syas.g_01232	Prbh.g_00334
OG0000007	Syas.g_02681	Prbh.g_01782
OG0000008	Syas.g_00886	Prbh.g_01406
OG0000008	Syas.g_00887	Prbh.g_01405
OG0000010	Syas.g_01334	Prbh.g_00848, Prbh.g_01143, Prbh.g_00357
OG0000013	Syas.g_00158, Syas.g_01552, Syas.g_01555, Syas.g_01557	Prbh.g_00452
OG0000014	Syas.g_01816	Prbh.g_00472
OG0000016	Syas.g_01086, Syas.g_01050	Prbh.g_01336
OG0000017	Syas.g_00856	Prbh.g_00225
OG0000017	Syas.g_00849	Prbh.g_00232
OG0000018	Syas.g_01290	Prbh.g_01305, Prbh.g_00981
OG0000019	Syas.g_01696	Prbh.g_00530, Prbh.g_01307
OG0000022	Syas.g_02758	Prbh.g_00190
OG0000025	Syas.g_00231	Prbh.g_00988
OG0000026	Syas.g_02070	Prbh.g_00749
OG0000028	Syas.g_01793	Prbh.g_00459, Prbh.g_00404
OG0000030	Syas.g_01644, Syas.g_01645	Prbh.g_01570
OG0000031	Syas.g_01827	Prbh.g_00064
OG0000033	Syas.g_02328	Prbh.g_00613
OG0000034	Syas.g_02371, Syas.g_02838	Prbh.g_01383
OG0000035	Syas.g_02814, Syas.g_02818	Prbh.g_00099, Prbh.g_00096
OG0000037	Syas.g_01479, Syas.g_00147, Syas.g_01928	Prbh.g_00674
OG0000038	Syas.g_01885, Syas.g_01887	Prbh.g_01530
OG0000039	Syas.g_02795	Prbh.g_00921
OG0000040	Syas.g_02028	Prbh.g_01815
OG0000042	Syas.g_01121, Syas.g_02147	Prbh.g_01573
OG0000044	Syas.g_00894, Syas.g_02453	Prbh.g_01794
OG0000046	Syas.g_01553, Syas.g_01556, Syas.g_01558	Prbh.g_00451
OG0000048	Syas.g_01734	Prbh.g_00508
OG0000053	Syas.g_01287	Prbh.g_01834, Prbh.g_00120
OG0000054	Syas.g_00961	Prbh.g_00223
OG0000055	Syas.g_00203	Prbh.g_01797
OG0000061	Syas.g_01184	Prbh.g_01283
OG0000062	Syas.g_02702, Syas.g_00070	Prbh.g_00184
OG0000063	Syas.g_02074	Prbh.g_01401
OG0000064	Syas.g_02423, Syas.g_00946	Prbh.g_00715
OG0000065	Syas.g_02420	Prbh.g_00676
OG0000066	Syas.g_00094	Prbh.g_01856
OG0000067	Syas.g_00596	Prbh.g_00953
OG0000068	Syas.g_00969, Syas.g_01261	Prbh.g_00009
OG0000070	Syas.g_00173	Prbh.g_00382
OG0000072	Syas.g_02326, Syas.g_01524	Prbh.g_00611
OG0000073	Syas.g_01230	Prbh.g_00330
OG0000073	Syas.g_00358, Syas.g_00264	Prbh.g_00051
OG0000075	Syas.g_01921, Syas.g_02194	Prbh.g_01607
OG0000076	Syas.g_02156	Prbh.g_01581
OG0000078	Syas.g_02308	Prbh.g_00540
OG0000079	Syas.g_01699	Prbh.g_00527
OG0000081	Syas.g_00391	Prbh.g_00298
OG0000082	Syas.g_00837	Prbh.g_01855
OG0000085	Syas.g_02695	Prbh.g_01408
OG0000086	Syas.g_02470	Prbh.g_00695
OG0000087	Syas.g_02374	Prbh.g_00642
OG0000089	Syas.g_01512	Prbh.g_00415
OG0000090	Syas.g_00062	Prbh.g_00296
OG0000091	Syas.g_00907, Syas.g_00146	Prbh.g_01211
OG0000092	Syas.g_00900, Syas.g_00877	Prbh.g_00883
OG0000094	Syas.g_01716	Prbh.g_01130
OG0000095	Syas.g_01021	Prbh.g_01031
OG0000097	Syas.g_00114, Syas.g_01443	Prbh.g_01236
OG0000098	Syas.g_00091	Prbh.g_01935
OG0000099	Syas.g_01826	Prbh.g_00032
OG0000100	Syas.g_00567	Prbh.g_00179
OG0000101	Syas.g_01589	Prbh.g_01644
OG0000102	Syas.g_02152, Syas.g_01395	Prbh.g_01576
OG0000103	Syas.g_02009	Prbh.g_01489
OG0000104	Syas.g_02027, Syas.g_02026	Prbh.g_01480
OG0000105	Syas.g_01739	Prbh.g_00505
OG0000106	Syas.g_01451	Prbh.g_00821
OG0000107	Syas.g_01669	Prbh.g_01718
OG0000108	Syas.g_01253	Prbh.g_00351
OG0000109	Syas.g_01236	Prbh.g_00337
OG0000110	Syas.g_00818	Prbh.g_00254
OG0000111	Syas.g_01037	Prbh.g_00937
OG0000112	Syas.g_00452	Prbh.g_01078
OG0000113	Syas.g_00571	Prbh.g_00976
OG0000114	Syas.g_00674	Prbh.g_00878
OG0000115	Syas.g_02548, Syas.g_01285	Prbh.g_01344
OG0000116	Syas.g_01198, Syas.g_00317	Prbh.g_01294
OG0000117	Syas.g_01122	Prbh.g_01255
OG0000118	Syas.g_02835	Prbh.g_01385
OG0000120	Syas.g_01828	Prbh.g_00031
OG0000121	Syas.g_02821	Prbh.g_00101
OG0000122	Syas.g_00393	Prbh.g_01347, Prbh.g_00143
OG0000123	Syas.g_01582	Prbh.g_01637
OG0000124	Syas.g_02137	Prbh.g_01564
OG0000125	Syas.g_01889	Prbh.g_01528
OG0000126	Syas.g_01992	Prbh.g_01481
OG0000127	Syas.g_02540	Prbh.g_01938
OG0000128	Syas.g_02046	Prbh.g_01953
OG0000129	Syas.g_01880	Prbh.g_00738
OG0000130	Syas.g_02522	Prbh.g_00713
OG0000131	Syas.g_02367	Prbh.g_00637
OG0000132	Syas.g_02334	Prbh.g_00618
OG0000133	Syas.g_00457	Prbh.g_00457
OG0000134	Syas.g_01509	Prbh.g_00413
OG0000135	Syas.g_01938	Prbh.g_01825
OG0000136	Syas.g_02740	Prbh.g_00391
OG0000137	Syas.g_01333	Prbh.g_00356
OG0000138	Syas.g_01235	Prbh.g_00336
OG0000140	Syas.g_00090	Prbh.g_00291
OG0000141	Syas.g_00875	Prbh.g_00222
OG0000142	Syas.g_00746	Prbh.g_01218
OG0000143	Syas.g_00742	Prbh.g_01215
OG0000144	Syas.g_00718	Prbh.g_01201
OG0000145	Syas.g_00948	Prbh.g_01880
OG0000146	Syas.g_00451	Prbh.g_01077
OG0000147	Syas.g_00450	Prbh.g_01076
OG0000148	Syas.g_00577	Prbh.g_00970
OG0000149	Syas.g_00282	Prbh.g_01002
OG0000150	Syas.g_00874	Prbh.g_01012
OG0000151	Syas.g_00148, Syas.g_00659	Prbh.g_00888
OG0000152	Syas.g_00461	Prbh.g_01086
OG0000153	Syas.g_00543	Prbh.g_01104
OG0000154	Syas.g_00219	Prbh.g_01121
OG0000155	Syas.g_01131	Prbh.g_01261
OG0000156	Syas.g_01206	Prbh.g_01362
OG0000157	Syas.g_01207	Prbh.g_01363
OG0000158	Syas.g_02185	Prbh.g_01599
OG0000159	Syas.g_01155	Prbh.g_00039, Prbh.g_00722
OG0000160	Syas.g_02820	Prbh.g_00100
OG0000161	Syas.g_02826	Prbh.g_01288, Prbh.g_00106
OG0000162	Syas.g_02751	Prbh.g_00112
OG0000163	Syas.g_01488	Prbh.g_00151
OG0000164	Syas.g_02648	Prbh.g_01758
OG0000165	Syas.g_02609	Prbh.g_01750
OG0000166	Syas.g_01629	Prbh.g_01681
OG0000167	Syas.g_01449	Prbh.g_01609
OG0000168	Syas.g_02184	Prbh.g_01598
OG0000169	Syas.g_02170	Prbh.g_01588
OG0000170	Syas.g_02161	Prbh.g_01585
OG0000171	Syas.g_02139	Prbh.g_01565
OG0000172	Syas.g_02110	Prbh.g_01558
OG0000173	Syas.g_02092	Prbh.g_01543
OG0000174	Syas.g_01940	Prbh.g_01512
OG0000175	Syas.g_01994	Prbh.g_01500
OG0000176	Syas.g_02038	Prbh.g_01472
OG0000177	Syas.g_02039	Prbh.g_01471
OG0000178	Syas.g_02040	Prbh.g_01470
OG0000179	Syas.g_02054	Prbh.g_00764
OG0000180	Syas.g_02055	Prbh.g_00763
OG0000181	Syas.g_02056	Prbh.g_00762
OG0000182	Syas.g_02057	Prbh.g_00761
OG0000183	Syas.g_02061	Prbh.g_00757
OG0000184	Syas.g_01872	Prbh.g_00734
OG0000185	Syas.g_01861	Prbh.g_00731
OG0000186	Syas.g_02525	Prbh.g_00719
OG0000187	Syas.g_02524	Prbh.g_00718
OG0000188	Syas.g_02502	Prbh.g_00701
OG0000189	Syas.g_02432	Prbh.g_00687
OG0000190	Syas.g_00133	Prbh.g_00686
OG0000191	Syas.g_02400	Prbh.g_00664
OG0000192	Syas.g_02395	Prbh.g_00659
OG0000193	Syas.g_02366	Prbh.g_00636
OG0000194	Syas.g_02363	Prbh.g_00633
OG0000195	Syas.g_02360	Prbh.g_00631
OG0000196	Syas.g_02337	Prbh.g_00621
OG0000197	Syas.g_02336	Prbh.g_00620
OG0000198	Syas.g_02335	Prbh.g_00619
