Orthogroup	Syas	Prbb
OG0000004	Syas.g_00176	Prbb.g_01450
OG0000004	Syas.g_00509, Syas.g_00174, Syas.g_00311, Syas.g_00072	Prbb.g_00288
OG0000005	Syas.g_02665	Prbb.g_01393
OG0000005	Syas.g_02704	Prbb.g_01766
OG0000006	Syas.g_00942, Syas.g_01684, Syas.g_02565, Syas.g_00720	Prbb.g_00299, Prbb.g_01328, Prbb.g_01560
OG0000007	Syas.g_01232	Prbb.g_00501
OG0000007	Syas.g_02681	Prbb.g_01823
OG0000008	Syas.g_00886	Prbb.g_01884
OG0000008	Syas.g_00887	Prbb.g_01885
OG0000010	Syas.g_01334	Prbb.g_01072, Prbb.g_00477
OG0000013	Syas.g_00158, Syas.g_01552, Syas.g_01555, Syas.g_01557	Prbb.g_00378
OG0000014	Syas.g_01816	Prbb.g_00357
OG0000016	Syas.g_02048	Prbb.g_00014
OG0000016	Syas.g_01086, Syas.g_01050	Prbb.g_01919
OG0000017	Syas.g_00849	Prbb.g_00605
OG0000018	Syas.g_01290	Prbb.g_01539, Prbb.g_00812
OG0000019	Syas.g_01696	Prbb.g_00761
OG0000022	Syas.g_02758	Prbb.g_01231, Prbb.g_01258
OG0000025	Syas.g_00231	Prbb.g_00052, Prbb.g_00818
OG0000026	Syas.g_02070	Prbb.g_00032
OG0000027	Syas.g_01480	Prbb.g_01375
OG0000028	Syas.g_01793	Prbb.g_01635
OG0000030	Syas.g_01644, Syas.g_01645	Prbb.g_02073
OG0000033	Syas.g_02328	Prbb.g_00226
OG0000034	Syas.g_02371, Syas.g_02838	Prbb.g_01596
OG0000035	Syas.g_02814, Syas.g_02818	Prbb.g_01686
OG0000037	Syas.g_01479, Syas.g_00147, Syas.g_01928	Prbb.g_00164
OG0000038	Syas.g_01885, Syas.g_01887	Prbb.g_02129
OG0000039	Syas.g_02795	Prbb.g_00692
OG0000040	Syas.g_02028	Prbb.g_01899, Prbb.g_01790
OG0000042	Syas.g_01121, Syas.g_02147	Prbb.g_02069
OG0000044	Syas.g_00894, Syas.g_02453	Prbb.g_00079
OG0000046	Syas.g_01553, Syas.g_01556, Syas.g_01558	Prbb.g_00379
OG0000048	Syas.g_01734	Prbb.g_00325
OG0000051	Syas.g_01445	Prbb.g_01383, Prbb.g_01391
OG0000053	Syas.g_01287	Prbb.g_01705
OG0000054	Syas.g_00961	Prbb.g_00607
OG0000055	Syas.g_00203	Prbb.g_01897
OG0000058	Syas.g_01151	Prbb.g_00851
OG0000060	Syas.g_00975	Prbb.g_01153
OG0000061	Syas.g_01184	Prbb.g_01517, Prbb.g_00874
OG0000062	Syas.g_00070	Prbb.g_01768
OG0000063	Syas.g_02074	Prbb.g_01921
OG0000065	Syas.g_02420	Prbb.g_00162
OG0000066	Syas.g_00094	Prbb.g_00542
OG0000067	Syas.g_00596	Prbb.g_00783
OG0000068	Syas.g_00969, Syas.g_01261	Prbb.g_01639
OG0000070	Syas.g_00173	Prbb.g_00455
OG0000072	Syas.g_02326, Syas.g_01524	Prbb.g_00228
OG0000073	Syas.g_01230	Prbb.g_00503
OG0000075	Syas.g_01921, Syas.g_02194	Prbb.g_02036
OG0000076	Syas.g_02156	Prbb.g_02061
OG0000077	Syas.g_02510	Prbb.g_00133
OG0000078	Syas.g_02308	Prbb.g_00297
OG0000079	Syas.g_01699	Prbb.g_00308
OG0000081	Syas.g_00391	Prbb.g_00534
OG0000082	Syas.g_00837	Prbb.g_01882
OG0000085	Syas.g_02695	Prbb.g_01816
OG0000086	Syas.g_02470	Prbb.g_00143
OG0000087	Syas.g_02374	Prbb.g_00196
OG0000089	Syas.g_01512	Prbb.g_00416
OG0000090	Syas.g_00062	Prbb.g_00536
OG0000091	Syas.g_00907, Syas.g_00146	Prbb.g_00643
OG0000092	Syas.g_00900, Syas.g_00877	Prbb.g_00937
OG0000094	Syas.g_01716	Prbb.g_00892
OG0000095	Syas.g_01021	Prbb.g_01070
OG0000097	Syas.g_00114, Syas.g_01443	Prbb.g_01470
OG0000098	Syas.g_00091	Prbb.g_01608
OG0000099	Syas.g_01826	Prbb.g_00388
OG0000100	Syas.g_00567	Prbb.g_01763
OG0000101	Syas.g_01589	Prbb.g_02001
OG0000102	Syas.g_02152, Syas.g_01395	Prbb.g_02066
OG0000103	Syas.g_02009	Prbb.g_02174
OG0000104	Syas.g_02027, Syas.g_02026	Prbb.g_02185
OG0000105	Syas.g_01739	Prbb.g_00327
OG0000106	Syas.g_01451	Prbb.g_01197, Prbb.g_01329
OG0000107	Syas.g_01669	Prbb.g_01923
OG0000108	Syas.g_01253	Prbb.g_00484, Prbb.g_00485
OG0000109	Syas.g_01236	Prbb.g_00498
OG0000110	Syas.g_00818	Prbb.g_00578
OG0000111	Syas.g_01037	Prbb.g_00707
OG0000112	Syas.g_00452	Prbb.g_00983
OG0000113	Syas.g_00571	Prbb.g_00807, Prbb.g_01218
OG0000114	Syas.g_00674	Prbb.g_00932
OG0000115	Syas.g_02548, Syas.g_01285	Prbb.g_01780
OG0000116	Syas.g_01198, Syas.g_00317	Prbb.g_01528
OG0000117	Syas.g_01122	Prbb.g_01399
OG0000118	Syas.g_02835	Prbb.g_01598
OG0000120	Syas.g_01828	Prbb.g_00678
OG0000121	Syas.g_02821	Prbb.g_01688
OG0000122	Syas.g_00393	Prbb.g_01727
OG0000123	Syas.g_01582	Prbb.g_02008
OG0000124	Syas.g_02137	Prbb.g_02079
OG0000125	Syas.g_01889	Prbb.g_02131
OG0000126	Syas.g_01992	Prbb.g_02183
OG0000128	Syas.g_02046	Prbb.g_00012
OG0000129	Syas.g_01880	Prbb.g_00059
OG0000130	Syas.g_02522	Prbb.g_00124
OG0000131	Syas.g_02367	Prbb.g_00202
OG0000132	Syas.g_02334	Prbb.g_00221
OG0000133	Syas.g_00457	Prbb.g_00373
OG0000134	Syas.g_01509	Prbb.g_00418
OG0000135	Syas.g_01938	Prbb.g_01326
OG0000136	Syas.g_02740	Prbb.g_00446
OG0000137	Syas.g_01333	Prbb.g_00478
OG0000138	Syas.g_01235	Prbb.g_00499
OG0000140	Syas.g_00090	Prbb.g_00541
OG0000141	Syas.g_00875	Prbb.g_00608
OG0000142	Syas.g_00746	Prbb.g_00636
OG0000143	Syas.g_00742	Prbb.g_00640
OG0000144	Syas.g_00718	Prbb.g_00653
OG0000145	Syas.g_00948	Prbb.g_01099
OG0000146	Syas.g_00451	Prbb.g_00982
OG0000147	Syas.g_00450	Prbb.g_00981
OG0000148	Syas.g_00577	Prbb.g_00801
OG0000149	Syas.g_00282	Prbb.g_00832
OG0000150	Syas.g_00874	Prbb.g_00840
OG0000151	Syas.g_00148, Syas.g_00659	Prbb.g_00943
OG0000152	Syas.g_00461	Prbb.g_00991
OG0000153	Syas.g_00543	Prbb.g_01009
OG0000154	Syas.g_00219	Prbb.g_01040
OG0000155	Syas.g_01131	Prbb.g_01495
OG0000156	Syas.g_01206	Prbb.g_01575
OG0000157	Syas.g_01207	Prbb.g_01576
OG0000158	Syas.g_02185	Prbb.g_02044
OG0000159	Syas.g_01155	Prbb.g_02093, Prbb.g_02083
OG0000160	Syas.g_02820	Prbb.g_01687
OG0000161	Syas.g_02826	Prbb.g_01693
OG0000162	Syas.g_02751	Prbb.g_01699
OG0000163	Syas.g_01488	Prbb.g_01735
OG0000164	Syas.g_02648	Prbb.g_01845
OG0000165	Syas.g_02609	Prbb.g_01853
OG0000166	Syas.g_01629	Prbb.g_01964
OG0000167	Syas.g_01449	Prbb.g_02034
OG0000168	Syas.g_02184	Prbb.g_02045
OG0000169	Syas.g_02170	Prbb.g_02055
OG0000170	Syas.g_02161	Prbb.g_02057
OG0000171	Syas.g_02139	Prbb.g_02078
OG0000172	Syas.g_02110	Prbb.g_02101
OG0000173	Syas.g_02092	Prbb.g_02116
OG0000174	Syas.g_01940	Prbb.g_02147
OG0000175	Syas.g_01994	Prbb.g_02165
OG0000176	Syas.g_02038	Prbb.g_00004
OG0000177	Syas.g_02039	Prbb.g_00005
OG0000178	Syas.g_02040	Prbb.g_00007, Prbb.g_00006
OG0000179	Syas.g_02054	Prbb.g_00017
OG0000180	Syas.g_02055	Prbb.g_00018
OG0000181	Syas.g_02056	Prbb.g_00019
OG0000182	Syas.g_02057	Prbb.g_00020
OG0000183	Syas.g_02061	Prbb.g_00024
OG0000184	Syas.g_01872	Prbb.g_00061
OG0000185	Syas.g_01861	Prbb.g_00064
OG0000186	Syas.g_02525	Prbb.g_00119
OG0000187	Syas.g_02524	Prbb.g_00120
OG0000188	Syas.g_02502	Prbb.g_00137
OG0000189	Syas.g_02432	Prbb.g_00151
OG0000190	Syas.g_00133	Prbb.g_00152
OG0000191	Syas.g_02400	Prbb.g_00175
OG0000192	Syas.g_02395	Prbb.g_00179
OG0000193	Syas.g_02366	Prbb.g_00203
OG0000194	Syas.g_02363	Prbb.g_00206
OG0000195	Syas.g_02360	Prbb.g_00208
OG0000196	Syas.g_02337	Prbb.g_00218
