Orthogroup	Syas	Syab
OG0000001	Syas.g_00966, Syas.g_00967, Syas.g_00093, Syas.g_02373	Syab.g_02553, Syab.g_02555
OG0000004	Syas.g_00176	Syab.g_00549, Syab.g_01193
OG0000004	Syas.g_00174, Syas.g_00311	Syab.g_01911
OG0000004	Syas.g_00072	Syab.g_02377
OG0000005	Syas.g_02665	Syab.g_02289
OG0000005	Syas.g_02704	Syab.g_02806, Syab.g_02232
OG0000006	Syas.g_01684, Syas.g_02565	Syab.g_00365, Syab.g_01847, Syab.g_02361
OG0000007	Syas.g_01232	Syab.g_02117
OG0000007	Syas.g_02681	Syab.g_02256
OG0000008	Syas.g_00886	Syab.g_01755
OG0000008	Syas.g_00887	Syab.g_01168
OG0000009	Syas.g_01450	Syab.g_02498
OG0000010	Syas.g_01334	Syab.g_00696
OG0000014	Syas.g_01816	Syab.g_00249
OG0000015	Syas.g_02007	Syab.g_02889
OG0000016	Syas.g_02048	Syab.g_00014
OG0000016	Syas.g_01086	Syab.g_01049
OG0000017	Syas.g_00856	Syab.g_01945
OG0000017	Syas.g_00849	Syab.g_01953
OG0000018	Syas.g_01290	Syab.g_00742
OG0000019	Syas.g_01696	Syab.g_00344
OG0000022	Syas.g_02758	Syab.g_01825
OG0000025	Syas.g_00231	Syab.g_01705
OG0000026	Syas.g_02070	Syab.g_00036
OG0000027	Syas.g_01480	Syab.g_01782
OG0000028	Syas.g_01793	Syab.g_00234
OG0000030	Syas.g_01644	Syab.g_00096
OG0000030	Syas.g_01645	Syab.g_00095
OG0000031	Syas.g_01827	Syab.g_00160
OG0000033	Syas.g_02328	Syab.g_02590
OG0000034	Syas.g_02371, Syas.g_02838	Syab.g_00900, Syab.g_02560
OG0000035	Syas.g_02814, Syas.g_02818	Syab.g_00778, Syab.g_00776
OG0000037	Syas.g_01479, Syas.g_00147, Syas.g_01928	Syab.g_02504
OG0000038	Syas.g_01885	Syab.g_02759
OG0000038	Syas.g_01887	Syab.g_02761
OG0000040	Syas.g_01972	Syab.g_02853
OG0000041	Syas.g_00996	Syab.g_01086, Syab.g_02804
OG0000042	Syas.g_01121, Syas.g_02147	Syab.g_01019, Syab.g_00099
OG0000044	Syas.g_00894, Syas.g_02453	Syab.g_01097, Syab.g_01262, Syab.g_01256
OG0000048	Syas.g_01734	Syab.g_00308
OG0000051	Syas.g_01445	Syab.g_01073
OG0000053	Syas.g_01287	Syab.g_00746
OG0000054	Syas.g_00961	Syab.g_01932
OG0000058	Syas.g_01151	Syab.g_00227
OG0000060	Syas.g_01343, Syas.g_01002	Syab.g_01222
OG0000060	Syas.g_01680	Syab.g_00707
OG0000061	Syas.g_01184	Syab.g_00171, Syab.g_00969
OG0000062	Syas.g_02702	Syab.g_02234
OG0000063	Syas.g_02074	Syab.g_00040
OG0000064	Syas.g_02423	Syab.g_01783
OG0000064	Syas.g_00946	Syab.g_00997
OG0000065	Syas.g_02420	Syab.g_02500, Syab.g_01768
OG0000066	Syas.g_00094	Syab.g_02031
OG0000067	Syas.g_00596	Syab.g_01659
OG0000068	Syas.g_00969, Syas.g_01261	Syab.g_02087
OG0000070	Syas.g_00173	Syab.g_00614
OG0000072	Syas.g_02326	Syab.g_02593
OG0000073	Syas.g_01230	Syab.g_02119
OG0000075	Syas.g_01921, Syas.g_02194	Syab.g_00202
OG0000076	Syas.g_02156	Syab.g_00113
OG0000078	Syas.g_02308	Syab.g_02366
OG0000079	Syas.g_01699	Syab.g_00340
OG0000080	Syas.g_02616, Syas.g_02149	Syab.g_00140
OG0000081	Syas.g_00391	Syab.g_01793
OG0000082	Syas.g_00837	Syab.g_01971
OG0000085	Syas.g_02695	Syab.g_02243
OG0000086	Syas.g_02470	Syab.g_02468
OG0000087	Syas.g_02374	Syab.g_02551
OG0000089	Syas.g_01512	Syab.g_00551
OG0000090	Syas.g_00062	Syab.g_02041
OG0000091	Syas.g_00907, Syas.g_00146	Syab.g_01866
OG0000092	Syas.g_00900, Syas.g_00877	Syab.g_01242, Syab.g_00690
OG0000094	Syas.g_00208	Syab.g_01306
OG0000095	Syas.g_01021	Syab.g_01210
OG0000098	Syas.g_00091	Syab.g_01553
OG0000099	Syas.g_01826	Syab.g_00230
OG0000100	Syas.g_00567	Syab.g_01694
OG0000102	Syas.g_02152, Syas.g_01395	Syab.g_00104
OG0000103	Syas.g_02009	Syab.g_01296
OG0000104	Syas.g_02027, Syas.g_02026	Syab.g_02910
OG0000105	Syas.g_01739	Syab.g_00303
OG0000106	Syas.g_01451	Syab.g_01817
OG0000107	Syas.g_01669	Syab.g_00367
OG0000108	Syas.g_01253	Syab.g_02096
OG0000109	Syas.g_01236	Syab.g_02112
OG0000110	Syas.g_00818	Syab.g_01984
OG0000111	Syas.g_01037	Syab.g_01201
OG0000112	Syas.g_00452	Syab.g_01392
OG0000113	Syas.g_00571	Syab.g_01689
OG0000114	Syas.g_00674	Syab.g_01633
OG0000114	Syas.g_00252	Syab.g_02656
OG0000115	Syas.g_02548, Syas.g_01285	Syab.g_00748
OG0000116	Syas.g_01198, Syas.g_00317	Syab.g_00945
OG0000117	Syas.g_01122	Syab.g_01018
OG0000118	Syas.g_02835	Syab.g_00897
OG0000120	Syas.g_01828	Syab.g_00229
OG0000121	Syas.g_02821	Syab.g_00772
OG0000122	Syas.g_00393	Syab.g_01839
OG0000123	Syas.g_01582	Syab.g_00454
OG0000124	Syas.g_02137	Syab.g_00088
OG0000125	Syas.g_01889	Syab.g_02763
OG0000126	Syas.g_01992	Syab.g_02908
OG0000128	Syas.g_02046	Syab.g_00012
OG0000129	Syas.g_01880	Syab.g_02749
OG0000130	Syas.g_02522	Syab.g_02434
OG0000131	Syas.g_02367	Syab.g_02564
OG0000132	Syas.g_02334	Syab.g_02584
OG0000133	Syas.g_00457	Syab.g_01387
